Frequency,Nominal,Min,Max
118,100452.70340772385,95247.72765227889,105759.11633611291
120,100468.3450743613,95256.2493252004,105785.50341246468
122,100484.2608133415,95264.91780133876,105812.36332288319
125,100508.64952236143,95278.19616226778,105853.54291712976
128,100533.65805083285,95291.80584583317,105895.79460710908
130,100550.67570912416,95301.06334596343,105924.5605102521
132,100567.9702980802,95310.46856920468,105953.80668309426
135,100594.43273606051,95324.85380691114,105998.5798467515
138,100621.52166756218,95339.57251747766,106044.44243523217
140,100639.93004054249,95349.57058728485,106075.62540650992
142,100658.61841750226,95359.71737148645,106107.29661096126
145,100687.17739299363,95375.21684036832,106155.72247914446
148,100716.37001561231,95391.05209232439,106205.25626691106
150,100736.18489377438,95401.79583008804,106238.89714754601
155,100786.9629698518,95429.31093051861,106325.17627010317
160,100839.52237124128,95457.76562535983,106414.5874615317
165,100893.87416720892,95487.16350738307,106507.15907222046
170,100950.02974222148,95517.5082778475,106602.92016600523
175,101008.00079163027,95548.80374588285,106701.90049627644
180,101067.79931707658,95581.05382783891,106804.13048032235
185,101129.43762160258,95614.26254659926,106909.64117180646
190,101192.92830445462,95648.4340308591,107018.46423127399
195,101258.28425556257,95683.57251436354,107130.63189457683
200,101325.51864967916,95719.68233510708,107246.17693910524
205,101394.64494016358,95756.76793449112,107365.13264770778
210,101465.6768523917,95794.83385643837,107487.53277018022
215,101538.6283767753,95833.88474646272,107613.41148219771
220,101613.51376137245,95873.92535069147,107742.80334156353
225,101690.34750406964,95914.96051483993,107875.74324164221
230,101769.14434431691,95956.9951831354,108012.2663618439
235,101849.91925439569,96000.0343971883,108152.40811502181
240,101932.68743019865,96044.0832948092,108296.20409164291
245,102017.46428150074,96089.14710876925,108443.69000059014
250,102104.26542169954,96135.23116550193,108594.90160645133
255,102193.10665700298,96182.34088374392,108749.87466314888
260,102284.00397504058,96230.48177311292,108908.64484376348
270,102472.03164439999,96329.87954911293,109237.71841597109
275,102569.1947670655,96381.14789565316,109408.09206168281
280,102668.4794879651,96433.47032981414,109582.40317018877
285,102769.90250919972,96486.85279190908,109760.68581415618
290,102873.48063252796,96541.3013031386,109942.97347616982
295,102979.23074326578,96596.82196365815,110129.29894781388
300,103087.16979340887,96653.42095056195,110319.694223802
305,103197.31478395248,96711.10451578077,110514.19039102894
310,103309.68274638015,96769.87898389048,110712.81751242415
315,103424.29072329476,96829.75074982857,110915.60450549559
320,103541.15574816332,96890.72627651575,111122.57901546366
330,103781.72490199762,97016.01478877412,111549.19400575421
340,104031.52546472503,97145.79748702279,111992.85302945857
350,104290.69109181734,97280.12825602932,112453.71721989913
360,104559.35301678466,97419.06180425521,112931.91324690598
370,104837.63916146563,97562.65356160162,113427.52790264356
390,105423.5733899185,97864.03636057253,114471.12591846577
400,105731.45171739439,98021.9408343404,115019.02986280342
410,106049.41243726824,98184.73011691528,115584.1804678422
420,106377.55092229172,98352.46141576643,116166.37219786283
432,106784.87076267356,98560.34286141221,116887.09000773574
445,107242.9540663842,98793.78526234796,117694.32561053547
458,107718.64715586322,99035.91505620607,118528.0040071469
475,108367.39777455367,99365.85637030732,119655.73886027443
488,108883.93106964321,99628.49303123094,120544.5830158167
500,109376.4006534578,99878.98101099374,121383.3669129396
515,110012.99178670495,100203.09777097899,122453.45123088262
530,110672.63061529874,100539.59122903491,123543.32708411753
550,111587.19359460053,101007.75103804986,125018.25872356692
565,112298.55772191953,101373.662733844,126133.06769846151
580,113030.78462221181,101752.3732038894,127247.87793848143
600,114037.6607441625,102277.37360417692,128721.66808916321
615,114814.02898875672,102686.23703164443,129807.42053528772
630,115606.82275557099,103108.08359469002,130867.30140588396
645,116414.19577102616,103542.90508429449,131892.94778264177
660,117234.04749690498,103990.65780834116,132876.00416790767
675,118064.01898951428,104451.25888682879,133808.31142951877
688,118789.49699836614,104860.74325742229,134569.2440616826
700,119462.56972869122,105247.11619069541,135228.54958074397
