Frequency,Nominal,Min,Max
118,2.0193367336569574,1.5396938830741727,2.53754673417148
120,2.0532685178138594,1.5656661974786261,2.579936726939338
122,2.08718455964687,1.5916320210064692,2.622292597473979
125,2.138028364484146,1.630568307081821,2.685760643616323
128,2.188834829139082,1.6694892681006568,2.749147289926299
130,2.2226844802682195,1.69542784503639,2.7913584232928197
132,2.256516658791072,1.7213592846393866,2.833531247055244
135,2.3072313810991383,1.7602427718622906,2.8967167318430915
138,2.357904757532145,1.7991094512690997,2.9598110313921526
140,2.391663423420769,1.8250110080916948,3.001821719400173
142,2.425402784342948,1.8509047555323999,3.0437895803422634
145,2.475974797615272,1.8897304326594058,3.106658998645517
148,2.526501220179476,1.9285377593084547,3.169426672335105
150,2.5601595213899606,1.9543988812858943,3.211213622963909
155,2.64421143312375,2.0190141448528203,3.3154700644741415
160,2.7281241851737312,2.0835739677708864,3.419412191947826
165,2.8118912371425138,2.148076046340025,3.523023248631241
170,2.8955058491072982,2.212518027101678,3.626285829986958
175,2.978961074811927,2.2768975051832423,3.729181861374518
180,3.062249754823246,2.3412120226345374,3.8316925756921028
185,3.1453645096537337,2.405459066756394,3.933798491003461
190,3.228297732852211,2.4696360684211527,4.035479388177334
195,3.311041584065079,2.5337404003853568,4.136714288569754
200,3.393587982070946,2.5977693755944498,4.237481431782116
205,3.4759285977912286,2.6617202454796907,4.33775825353182
210,3.5580548472805913,2.725590198247314,4.437521363675141
215,3.6399578847005882,2.789376357159969,4.536746524425842
220,3.721628595280872,2.8530757788109313,4.635408628816614
225,3.8030575882724436,2.9166854513907663,4.7334816794543695
230,3.8842351898978835,2.9802022929470082,4.830938767624158
235,3.965151436303972,3.043623149636935,4.927752052801132
240,4.045796066522678,3.10694479397385,5.0238927426338185
245,4.12615851544668,3.170163923066919,5.119331073466686
250,4.206227906826517,3.233277156855216,5.214036291474411
255,4.285993046296384,3.2962810363360626,5.307976634485369
260,4.36544241443696,3.3591720217882384,5.401119314576026
270,4.523346092486164,3.4846007374359442,5.584875307210637
275,4.601775676539759,3.547130968542216,5.675417771073168
280,4.679840024080042,3.609533303859329,5.765020846705111
285,4.757525888270661,3.6718037732743296,5.853646389716575
290,4.834819656884378,3.733938315214387,5.9412551469655694
295,4.9117073458932525,3.795932774848713,6.027806747279665
300,4.988174593180591,3.8577829022900385,6.113259693791828
305,5.0642066523879254,3.9194843507965453,6.197571358019827
310,5.139788386911536,3.981032674975079,6.280697975823561
315,5.214904264063581,4.042423328986496,6.362594645380005
320,5.289538349413506,4.103651664754298,6.44321532732039
330,5.437295365716722,4.225602267347571,6.600438900306863
340,5.582923723490803,4.3468451856195145,6.751977784873751
350,5.726280956912699,4.46733937290223,6.897423297573987
360,5.8672177079430154,4.5870419768896715,7.036349458834931
370,6.005577607708958,4.705908284278501,7.1683136810675725
390,6.2739057763526205,4.940943525688023,7.409508698838524
400,6.403525527024424,5.057013244310531,7.517780865104652
410,6.529871343140972,5.1720481333848,7.617177037934617
420,6.6527509420269375,5.2859933848767175,7.75020493454361
432,6.795349796751305,5.421208991453478,7.903004163884311
445,6.943459439359819,5.565710014778185,8.05781055524594
458,7.084479887559244,5.708015846343039,8.200505827554501
475,7.257373512307464,5.890556552815058,8.367125733540204
488,7.380127235292952,6.027238465022658,8.477903511163266
500,7.485657029154098,6.151018169869772,8.566310356786909
515,7.606396796152662,6.302314967108775,8.656739016930679
530,7.7139271545181645,6.4495548646139955,8.723224106770356
550,7.835255318376036,6.639082471718443,8.771603798963122
