Frequency,Nominal,Min,Max
118,1.242990174555244e-7,1.1685878658373737e-7,1.3259525689366958e-7
120,1.2437416784330788e-7,1.1690308935904376e-7,1.327097336268562e-7
122,1.2445053345765633e-7,1.1694810909143032e-7,1.3282605942391884e-7
125,1.2456735519828427e-7,1.170169799719677e-7,1.3300400688799862e-7
128,1.2468689760120184e-7,1.1708745617625982e-7,1.3318609335585244e-7
130,1.247680998667828e-7,1.1713532977145564e-7,1.333097772501117e-7
132,1.2485050503526877e-7,1.1718391323036549e-7,1.3343529081291822e-7
135,1.2497636257114623e-7,1.1725811615884294e-7,1.336269828669586e-7
138,1.251049119376229e-7,1.1733390782975949e-7,1.3382276850262943e-7
140,1.25192102500952e-7,1.1738531567385785e-7,1.3395555941088364e-7
142,1.2528048266252796e-7,1.1743742573688253e-7,1.3409015900408648e-7
145,1.254152773124072e-7,1.1751690399721657e-7,1.3429544006018014e-7
148,1.2555273275306702e-7,1.1759795318171265e-7,1.3450476568390864e-7
150,1.256458431274784e-7,1.1765285595327476e-7,1.346465554849799e-7
155,1.258837545327394e-7,1.1779314551273439e-7,1.3500883383158967e-7
160,1.2612896457791973e-7,1.1793774579540079e-7,1.3538220070520601e-7
165,1.2638142477413745e-7,1.1808662907298896e-7,1.3576657915094282e-7
170,1.2664108509180124e-7,1.1823976677197515e-7,1.3616188963311032e-7
175,1.269078939581684e-7,1.1839712947649205e-7,1.3656805001268949e-7
180,1.2718179825454422e-7,1.185586869312647e-7,1.369849755229501e-7
185,1.2746274331311447e-7,1.1872440804458539e-7,1.3741257874316889e-7
190,1.2775067291339752e-7,1.1889426089132586e-7,1.3785076957040648e-7
195,1.280455292783109e-7,1.1906821271598445e-7,1.3829945518931316e-7
200,1.283472530698439e-7,1.192462299357676e-7,1.387585400399355e-7
205,1.286557833843319e-7,1.1942827814370454e-7,1.39227925783508e-7
210,1.2897105774732994e-7,1.196143221117941e-7,1.397075112662189e-7
215,1.292930121080836e-7,1.1980432579418327e-7,1.401971924809468e-7
220,1.2962158083359896e-7,1.1999825233037747e-7,1.4069686252697708e-7
225,1.2995669670231508e-7,1.2019606404848329e-7,1.4120641156771148e-7
230,1.3029829089738364e-7,1.2039772246848266e-7,1.4172572678639666e-7
235,1.306462929995637e-7,1.2060318830554178e-7,1.4225469233990598e-7
240,1.310006309797426e-7,1.2081242147335349e-7,1.427931893106185e-7
245,1.3136123119109352e-7,1.2102538108751705e-7,1.4334109565645012e-7
250,1.3172801836088676e-7,1.2124202546895599e-7,1.438982861591016e-7
255,1.3210091558197086e-7,1.214623121473768e-7,1.4446463237059984e-7
260,1.3247984430394398e-7,1.216861978647719e-7,1.45040002558219e-7
270,1.332554737777451e-7,1.2214458946723389e-7,1.4621727116614392e-7
275,1.3365200912919936e-7,1.2237900492992232e-7,1.468188891809028e-7
280,1.3405424516137148e-7,1.2261683859419908e-7,1.4742897024093398e-7
285,1.344620949660824e-7,1.2285804331781602e-7,1.4804736531443264e-7
290,1.3487546993388877e-7,1.2310257119296199e-7,1.4867392172670038e-7
295,1.352942797438733e-7,1.2335037355018832e-7,1.4930848309715588e-7
300,1.357184323533847e-7,1.2360140096241616e-7,1.4995088927585225e-7
305,1.361478339877685e-7,1.2385560324903251e-7,1.506009762796998e-7
310,1.365823891301395e-7,1.2411292948008144e-7,1.5125857622860325e-7
315,1.3702200051124425e-7,1.2437332798055924e-7,1.5192351728173888e-7
320,1.3746656909946583e-7,1.246367463348196e-7,1.5259562357420666e-7
330,1.3837017290046286e-7,1.2517242926616674e-7,1.539606079217157e-7
340,1.3929237266763036e-7,1.2571954431131045e-7,1.5535203951141346e-7
350,1.4023231174296587e-7,1.2627764596083704e-7,1.5676836030139698e-7
360,1.4118910441682755e-7,1.2684627732446433e-7,1.5820794216706582e-7
370,1.42161835706467e-7,1.2742497030805825e-7,1.5966908525443664e-7
390,1.4415130684785126e-7,1.286106138914915e-7,1.6278334201706894e-7
400,1.4516606909609266e-7,1.2921657406284797e-7,1.644555081172778e-7
410,1.461928147326563e-7,1.2983061545305484e-7,1.6615807727681795e-7
420,1.4723048109750808e-7,1.304522170984155e-7,1.6788999061360824e-7
432,1.4848855665222893e-7,1.312073705864896e-7,1.7000544679272667e-7
445,1.4986518851469048e-7,1.320357906684775e-7,1.723406907655666e-7
458,1.5125360307551775e-7,1.3287377788948241e-7,1.7471847567039767e-7
475,1.530826240507868e-7,1.339819788610176e-7,1.778871312282754e-7
488,1.5448808612493698e-7,1.348372771244954e-7,1.8035146710397888e-7
500,1.557880024170088e-7,1.3563159059618237e-7,1.8265470215278483e-7
515,1.5741285050153498e-7,1.366293627994757e-7,1.8556767413949907e-7
530,1.5903345923575168e-7,1.375096435957563e-7,1.8851274533986063e-7
550,1.6117976282939338e-7,1.3828090810262813e-7,1.9247831347930273e-7
565,1.6277257270836816e-7,1.388327588784572e-7,1.954726419120813e-7
580,1.6434564478160525e-7,1.3935971297430654e-7,1.984760439827572e-7
600,1.6640416995961434e-7,1.400205464230526e-7,2.0248106516036493e-7
615,1.6791273522929533e-7,1.4048272589814682e-7,2.054743814441422e-7
630,1.6938578122915405e-7,1.409145749385391e-7,2.0844899106008959e-7
645,1.7081865751833968e-7,1.4131474034190636e-7,2.113957199099522e-7
660,1.7220680387402866e-7,1.41682006537076e-7,2.1430506742581163e-7
675,1.7354578106852482e-7,1.420152995457977e-7,2.1716725655673917e-7
688,1.746631375195317e-7,1.4227595075962558e-7,2.1960195456800473e-7
700,1.7565658371034085e-7,1.4249283361620896e-7,2.2180556462286655e-7
715,1.7684399798527204e-7,1.427313851100841e-7,2.2449278153501065e-7
732,1.781122894954071e-7,1.4295739744429984e-7,2.274358489329985e-7
750,1.793601607172389e-7,1.4314476381834417e-7,2.304176967319642e-7
765,1.8032158673912786e-7,1.4325982248493003e-7,2.3278495116334973e-7
780,1.8120873035221448e-7,1.4333746208740905e-7,2.3503511851981291e-7
800,1.8227193347623197e-7,1.4338291883691202e-7,2.378376088032302e-7
820,1.8319414955006532e-7,1.4336252595044247e-7,2.403959553605588e-7
840,1.8397187442515301e-7,1.4327719610840949e-7,2.426924017096013e-7
860,1.8460282541940527e-7,1.4312819675371864e-7,2.447117668506488e-7
880,1.8508594668095619e-7,1.429171180133788e-7,2.464417887059565e-7
900,1.8542139036918814e-7,1.4264583854957648e-7,2.478733913041828e-7
920,1.8561047470266418e-7,1.4231649010092077e-7,2.490008618536712e-7
940,1.85655620807159e-7,1.419314214454088e-7,2.4982192888300035e-7
960,1.8556027104401298e-7,1.414931624669887e-7,2.503377384110971e-7
980,1.853287920691182e-7,1.410043889415511e-7,2.5055273108997045e-7
1000,1.8496636624207976e-7,1.4046788858019722e-7,2.504744288689702e-7
1020,1.844788751670159e-7,1.3988652878217e-7,2.5011314444976934e-7
1040,1.8387277911091718e-7,1.3926322646108484e-7,2.49481630253883e-7
1060,1.831549958358452e-7,1.386009202198109e-7,2.4859468559861913e-7
1080,1.8233278203072376e-7,1.379025450646977e-7,2.4746874124479873e-7
1100,1.81413620075703e-7,1.3717100977131316e-7,2.4612143957733974e-7
1120,1.804051123571634e-7,1.3640917694329646e-7,2.4457122666946654e-7
1150,1.7874149424211073e-7,1.3521572198708347e-7,2.4190674958358054e-7
1180,1.769193863135597e-7,1.339694821829216e-7,2.388918585007692e-7
1200,1.7562876566368648e-7,1.3311361125020138e-7,2.3671793808323242e-7
1220,1.742856092785012e-7,1.3224054730980958e-7,2.3443337274912294e-7
1250,1.7218688090405673e-7,1.309037343574705e-7,2.3083524533710713e-7
1280,1.7000600284904005e-7,1.295407027101265e-7,2.270774195510716e-7
1300,1.6851605474081772e-7,1.2862077763209668e-7,2.245066780404915e-7
1320,1.6700346725158925e-7,1.2769401737320172e-7,2.2189811554067864e-7
1350,1.647027056570886e-7,1.2629477648257933e-7,2.179386647427175e-7
1380,1.623767934468537e-7,1.2488927694991e-7,2.1395255715433797e-7
1400,1.608187453774519e-7,1.2395115742215882e-7,2.112944615268136e-7
1420,1.5925881644599803e-7,1.2301363579174662e-7,2.0864429533462511e-7
1450,1.5692214334275225e-7,1.2161099750101488e-7,2.0469741555509989e-7
1480,1.5459745552667122e-7,1.2021583411365602e-7,2.0080012688438197e-7
1500,1.5305825010449946e-7,1.1929141411951982e-7,1.9823663965510125e-7
1550,1.492614807244175e-7,1.1700601857914973e-7,1.91973394336395e-7
1600,1.4555708291592414e-7,1.1476538586596338e-7,1.8594717138871017e-7
1650,1.4196282024339303e-7,1.1257750926423526e-7,1.8018099238084458e-7
1700,1.384904799499919e-7,1.1044822092809865e-7,1.7468576641407945e-7
1750,1.351471688806477e-7,1.0838156868417193e-7,1.695680384680961e-7
1800,1.3193639437461255e-7,1.0638014562507911e-7,1.65821744317669e-7
1850,1.2885894557120367e-7,1.0444537310624641e-7,1.6214678389708445e-7
1900,1.259135992567842e-7,1.0257774016428558e-7,1.5855877046239253e-7
1950,1.2309767696899182e-7,1.0077700362851724e-7,1.5506891670547562e-7
2000,1.2040747921454698e-7,9.904235368292394e-8,1.5168485211595372e-7
2050,1.1783862007744655e-7,9.712197744501347e-8,1.4841133000089404e-7
2100,1.1538628225172611e-7,9.521124776389505e-8,1.4525082655921042e-7
2150,1.1304540922920664e-7,9.340063231957836e-8,1.422040402587578e-7
2200,1.1081084831857847e-7,9.168350642104438e-8,1.3951655207204707e-7
2250,1.0867745550220038e-7,9.005372991747764e-8,1.3693002612059289e-7
2300,1.0664017088463712e-7,8.850561726777749e-8,1.3441800495111002e-7
2350,1.0469407163259783e-7,8.703390676516699e-8,1.3198189539464174e-7
2400,1.0283440780541932e-7,8.563373000914917e-8,1.2962219682919704e-7
2450,1.0105662527629985e-7,8.430058233286756e-8,1.2733868509361053e-7
2500,9.93563789955123e-8,8.303029462345974e-8,1.2513056645003615e-7
2550,9.772953910107774e-8,8.18190067842263e-8,1.2299660550434467e-7
2600,9.617219179957213e-8,8.066314295722377e-8,1.2093523076336224e-7
2700,9.325138022226546e-8,7.850466894355534e-8,1.1702277666075487e-7
2750,9.188113041439325e-8,7.74961300990806e-8,1.15167575157424e-7
2800,9.05667863343791e-8,7.653112050221663e-8,1.1337681856169372e-7
2850,8.930542995240711e-8,7.560717481621408e-8,1.1164826934846344e-7
2900,8.80943164368358e-8,7.472199885396997e-8,1.0997967957430755e-7
2950,8.693086457721965e-8,7.387345585638848e-8,1.083688136015555e-7
3000,8.58126473157319e-8,7.305955395909165e-8,1.0681346568844605e-7
3050,8.473738251731808e-8,7.227843474758402e-8,1.0531147339530022e-7
3100,8.370292406748651e-8,7.152836280671993e-8,1.038607275943606e-7
3150,8.270725335547039e-8,7.080771617667697e-8,1.0245917973420914e-7
3200,8.174847117721593e-8,7.011497763420646e-8,1.0110484689510126e-7
3300,7.993452712108157e-8,6.880763247502488e-8,9.85302410744875e-8
3400,7.824800631961615e-8,6.759599804557426e-8,9.612245144909639e-8
3500,7.667728875005164e-8,6.647097656954668e-8,9.386815734924131e-8
3600,7.521203571250292e-8,6.54245295702528e-8,9.175514535873005e-8
3700,7.384302941268098e-8,6.444953289396104e-8,8.977225263422184e-8
3900,7.136167366434378e-8,6.268924949828582e-8,8.61569996522485e-8
4000,7.023533075279717e-8,6.189327429679477e-8,8.450691178118029e-8
4100,6.917705272685691e-8,6.11472089260021e-8,8.295133756382103e-8
4200,6.818147500717636e-8,6.044699377646589e-8,8.14832657959311e-8
4320,6.706275744886677e-8,5.9662137478289e-8,7.982812333435595e-8
4450,6.593616964301385e-8,5.887393406753962e-8,7.815532793586915e-8
4580,6.489013726872495e-8,5.814411475208171e-8,7.659658790984059e-8
4750,6.363148079641627e-8,5.726863363705257e-8,7.471365745191573e-8
4880,6.274423349874639e-8,5.6653323634038795e-8,7.338133714919039e-8
