Frequency,Nominal,Min,Max
118,-0.004040791155199134,-0.003988952663413783,-0.004088173975817655
120,-0.003970134132061247,-0.003918260402896461,-0.004017536808190005
122,-0.0039017919783551716,-0.003849882440209979,-0.003949214836931397
125,-0.0038033760059198755,-0.0037514116849905743,-0.0038508297503950088
128,-0.003709569367630405,-0.0036575489841788105,-0.003757054731581163
130,-0.0036494347215303086,-0.003597376254061242,-0.0036969415720495362
132,-0.0035911205848762943,-0.0035390234675995013,-0.0036386492470503453
135,-0.003506885785282034,-0.0034547296351559943,-0.0035544477736143996
138,-0.003426309456127008,-0.003374093007215765,-0.003473905499819696
140,-0.0033745082041482534,-0.0033222508549330173,-0.003422127355838758
142,-0.003324164392231962,-0.003271865583390569,-0.003371806974966699
145,-0.003251249399452343,-0.003198887355461017,-0.0032989277335193903
148,-0.003181286511969687,-0.003128859982221909,-0.003229001321760592
150,-0.0031361971378830135,-0.0030837269252688864,-0.003183936666508406
155,-0.003028556895218202,-0.0029759750631051904,-0.0030763596234294477
160,-0.0029276334643527327,-0.0028749365860024426,-0.002975501389697394
165,-0.002832815907322936,-0.002780000581339373,-0.002880751019534788
170,-0.0027435651628583287,-0.0026906280144312175,-0.002791569443515071
175,-0.0026594037783549936,-0.002606341460542661,-0.002707479200527283
180,-0.002579907353188712,-0.0025267165482414163,-0.0026280558810802736
185,-0.0025046973696009273,-0.0024513747903254896,-0.002552920958179506
190,-0.002433435155552047,-0.0023799775467185933,-0.0024817357501709823
195,-0.002365816776368525,-0.0023122209161600764,-0.0024141963123787127
200,-0.002301568692644836,-0.0022478313941504454,-0.002350029094996862
205,-0.0022404440535763836,-0.0021865621663284514,-0.002288987236412616
210,-0.0021822195198182223,-0.0021281899313745477,-0.0022308473860546524
215,-0.002126692529667755,-0.0020725121672388216,-0.002175406970565382
220,-0.0020736789380426087,-0.002019344770164524,-0.0021224818327681815
225,-0.0020230109702633853,-0.0019685200085168032,-0.002071904185439297
230,-0.001974535442736189,-0.0019198847435114787,-0.0020235208319793617
235,-0.0019281122107839585,-0.0018732988770927676,-0.001977191614233531
240,-0.0018836128105007336,-0.0018286339938340202,-0.0019327880543343915
245,-0.0018409192669113308,-0.0017857721691438145,-0.0018901921628501283
250,-0.0017999230451536763,-0.0017446049204945724,-0.0018492953899551972
255,-0.0017605241250532573,-0.0017050322820430222,-0.0018099976999929818
260,-0.0017226301824792266,-0.001666961986031941,-0.0017722067528199803
270,-0.0016510221384769728,-0.0015949935658743446,-0.0017008099286325846
275,-0.0016171557283725178,-0.0015609432564135464,-0.0016670517081550996
280,-0.001584488590234892,-0.0015280898306440445,-0.0016344944553090283
285,-0.0015529574585329414,-0.0014963700902821788,-0.0016030748857154696
290,-0.0015225034332767315,-0.0014657252048861698,-0.0015727340799327303
295,-0.0014930716101345528,-0.0014361003420122025,-0.0015434171135608877
300,-0.0014646107475397708,-0.0014074443343587877,-0.0015150727243361858
305,-0.0014370729665427705,-0.0013797093796544743,-0.0014876530119705205
310,-0.0014104134797109497,-0.0013528507695916938,-0.0014611131670389996
315,-0.001384590345849189,-0.0013268266445789695,-0.0014354112256880086
320,-0.0013595642477166573,-0.0013015977714871617,-0.0014105078473396736
330,-0.0013117578172103517,-0.0012533807887833515,-0.00136295134140762
340,-0.001266724905820416,-0.0012079312631180076,-0.001318174166140303
350,-0.0012242270496027198,-0.001165011496111025,-0.001275937645232677
360,-0.0011840523251538267,-0.0011244103718950457,-0.0012360296309177781
370,-0.0011460117654981034,-0.0010859397731799738,-0.0011982609194948232
390,-0.0010756744103081791,-0.0010147350306478236,-0.0011284816643260997
400,-0.0010430895402665408,-0.0009817147201279233,-0.0010961825078418617
410,-0.0010120586623619651,-0.0009502485763003438,-0.0010654414045645824
420,-0.0009824704797659297,-0.0009202263551209426,-0.0010361467544673774
432,-0.0009487276256744667,-0.0008859658112184559,-0.0010027606521095264
445,-0.0009141721686438985,-0.0008508555507793407,-0.0009685965985167127
458,-0.0008815232622549898,-0.0008176606065093029,-0.0009363434632403611
475,-0.0008414448019079657,-0.0007768857199509784,-0.0008967877844480017
488,-0.0008126211240646727,-0.0007475464033529643,-0.0008683667910849855
500,-0.0007873005555430832,-0.0007217655107181367,-0.0008434193081842494
515,-0.0007572515702970209,-0.0006911656643764775,-0.0008138373773041548
