Frequency,Nominal,Min,Max
118,171.6528082728592,169.4507091418175,173.66563049273395
120,171.50979450504585,169.2688494051271,173.5575901138082
122,171.36670368935913,169.0868367740223,173.44951563802695
125,171.15192026639437,168.81352582457583,173.2873387677754
128,170.93695646040905,168.5398571909596,173.12508203125998
130,170.79354496761843,168.3572086900661,173.0168655719183
132,170.6500501933215,168.1743951803283,172.90861221983243
135,170.43464916470683,167.89986026858134,172.74616179765982
138,170.21905378038974,167.6249405984792,172.5836252310425
140,170.07521348907196,167.44144308862406,172.4752187342734
142,169.9312837308979,167.25776862292588,172.36677256029765
145,169.7152186514123,166.98191995506508,172.20402768971215
148,169.4989453577449,166.70565985278333,172.04119042340434
150,169.35464544568273,166.52125396451987,171.9325799914539
155,168.99347475317566,166.05940852126963,171.66086698736316
160,168.6316875467174,165.5963473537407,171.38888004656988
165,168.2692648949824,165.13203453155873,171.11661056036638
170,167.9061879669297,164.6664344831905,170.84404994312234
175,167.5424380363646,164.19951201418763,170.57118963321884
180,167.17799648662856,163.73123232604377,170.29802109400174
185,166.81284481542176,163.2615610356776,170.0245358147551
190,166.44696463976,162.79046419555178,169.7507253116952
195,166.08033770107048,162.31790831443735,169.47658112898563
200,165.7129458704282,161.8438603788321,169.20209483977405
205,165.3447711539371,161.3682878750397,168.92725804725106
210,164.9757956982576,160.89115881191583,168.6520623857317
215,164.6060017962842,160.4124417442848,168.37649952176056
220,164.23537189297463,159.9321057970303,168.10056115523997
225,163.86388859133422,159.45012068986105,167.82423902058306
230,163.49153465855645,158.96645676275043,167.54752488789117
235,163.1182930323229,158.48108500204813,167.27041056415672
240,162.74414682726336,157.99397706725935,166.99288789449142
245,162.36907934157938,157.50510531848445,166.71494876338133
250,161.99307406383085,157.0144428445115,166.43658509596773
255,161.61611467988902,156.52196349154946,166.15778885935572
260,161.2381850800556,156.02764189258966,165.87855206395017
270,160.47935185996175,155.03337460298627,165.31872506308721
275,160.09841710887926,154.5333823849411,165.03811910735487
280,159.71644989567713,154.0314549289197,164.75704109515004
285,159.3334352454798,153.52757126295154,164.4754832744072
290,158.94935843409078,153.0217113901161,164.19343794497703
295,158.5642049962895,152.51385632169593,163.91089746016627
300,158.17796073429525,152.00398811074908,163.62785422830805
305,157.7906117263962,151.4920898860613,163.34430071436316
310,157.40214433574198,150.97814588643303,163.06022944155237
315,157.01254521929803,150.46214149525517,162.77563299302017
320,156.6218013369589,149.944063275321,162.4905040135304
330,155.83682868458976,148.90163770746213,161.91861935922523
340,155.04712847241893,147.85078660564415,161.3445179355731
350,154.25260824994268,146.79144850998912,160.76814329931727
360,153.45318133993592,145.72358419759794,160.18944016694405
370,152.64876716434736,144.6471777875725,159.60835447671045
390,151.02468720726836,142.4687983029544,158.4388256713844
400,150.20489379838187,141.36691969842096,157.8502811292281
410,149.37985856462603,140.25668986193074,157.25915131373236
420,148.54953654060856,139.13822489428654,156.66538927546748
432,147.54612034489304,137.78540296069426,155.94933661607357
445,146.45038141675255,136.30705923485036,155.16917508237736
458,145.3455554806027,134.81588080125383,154.3843102190707
475,143.88706112626213,132.84745811161733,153.3507111406083
488,142.7612790756817,131.32895214104877,152.55467785781025
500,141.71409999775497,129.9177919292646,151.81547547316487
515,140.3944411330677,128.14211417539894,150.8854497521903
530,139.0630856005821,126.35475436448147,149.94864978034988
550,137.27017929216586,123.95618577531513,148.6889158767386
565,135.91258133370184,122.1479399144456,147.73603681383523
580,134.54433215106653,120.33377506868074,146.77618334834798
600,132.70421198587596,117.90910615281895,145.48548239426378
615,131.31295377253315,116.08895336353233,144.5092711507671
630,129.91277411253643,114.26976398773898,143.52605220547574
645,128.50432508445627,112.453724778371,142.5358517725806
660,127.08831810108772,110.6430428032072,141.53871387872562
675,125.66552180215281,108.83992432414533,140.53470093385403
688,124.42757478675126,107.28502909590092,139.65905758975475
700,123.28136631869621,105.85744922128306,138.84629777764957
715,121.84462690914619,104.08505620397035,137.8244018125551
732,120.21210593533931,102.0949633912319,136.65842639093853
750,118.48021867543774,100.01236652634017,135.41504404284566
765,117.03561843810316,98.29837922294995,134.37218090893765
780,115.59091228176786,96.60573828942871,133.32343181951816
800,113.66634552194544,94.38473473846048,131.91633319694535
820,111.7461178275085,92.20767566789738,130.49975795233104
840,109.83284754972739,90.0773749749117,129.07435849553605
860,107.92914178523101,87.99618444284413,127.64085086265622
880,106.03756876997649,85.96599879837504,126.2000127306984
900,104.16063137655748,83.98827045733613,124.75268078410791
920,102.30074233797137,82.06403217347166,123.29974743012252
940,100.46020174394981,80.19392574435064,121.84215687274464
960,98.64117725743878,78.37823498383712,120.38090056862424
980,96.84568738553523,76.61692131296557,118.91701210191377
1000,95.0755880184812,74.90966052182766,117.45156152873278
1020,93.33256232946587,73.25587948755309,115.98564925478551
1040,91.61811401360242,71.65479187531643,114.52039952141503
1060,89.93356374201345,70.10543208335409,113.05695358549941
1080,88.28004862051529,68.60668690728707,111.59646268667946
1100,86.65852437442572,67.15732458640998,110.14008090112232
1120,85.06976993248928,65.75602105170962,108.6889579841246
1150,82.7493687955856,63.74111510639898,106.52461935757492
1180,80.50541328281739,61.8263096255103,104.37842823776705
1200,79.05225596299822,60.602915129756184,102.95950930912974
1220,77.63339412691981,59.42029778678203,101.55129456055737
1250,75.56916472597479,57.719596298515825,99.4611854908245
1280,73.58109192450948,56.10240641192544,97.40049084974572
1300,72.29743177775053,55.068312882779416,96.04445905281183
1320,71.04662545841146,54.06784227420512,94.70355339450498
1350,69.23086133120982,52.62727960209468,92.72210961276936
1380,67.48585450769222,51.2550703106151,90.77846562798669
1400,66.36075364102521,50.37620836066608,89.50463146978882
1420,65.26544547834908,49.52474625469558,88.24890054689565
1450,63.67678845532241,48.29650908451279,86.40013306247175
1480,62.151107896269586,47.1238687281449,84.59415382975918
1500,61.167739856935924,46.37133618148157,83.41437280310646
1550,58.822025846525754,44.585539854740816,80.55090394426169
1600,56.6281110436623,42.92556326809062,77.8112965672208
1650,54.574787187343205,41.379312797177455,75.1954052765195
1700,52.651356872544646,39.93601874420466,72.70165520209325
1750,50.84774368002648,38.58609710389029,70.32732478521504
1800,49.15454826684696,37.32101843669801,68.06881015418725
1850,47.56306613036623,36.13318696757459,65.92186171506066
1900,46.06527919315886,35.01583118164809,63.881788367951394
1950,44.65383031826609,33.96290607021488,61.94362833943533
2000,43.321987408420135,32.969006538350776,60.102288056584655
2050,42.06360183003948,32.02929114788396,58.35265196151208
2100,40.87306445410093,31.1394152216801,56.68966690150486
2150,39.74526153335609,30.29547230201712,55.1084049452321
2200,38.67553185649537,29.493942988722857,53.60410835285941
2250,37.659626064497836,28.731650250903048,52.17222010836567
2300,36.69366862563444,28.005720390367973,50.80840300724078
2350,35.774122698940474,27.313548923721847,49.50854984987225
2400,34.897757937568215,26.652770736823474,48.268786862299535
2450,34.06162116793007,26.021233946354286,47.08547207501016
2500,33.263009809288846,25.416976976835326,45.95519004780742
2550,32.49944785786231,24.838208427072658,44.87474403716523
2600,31.768664239805954,24.2832893578018,43.84114645979778
2700,30.397257450005547,23.23911438893001,41.90352801066196
2750,29.75295112105484,22.747211350228095,40.99448011318725
2800,29.134026952490995,22.273840529881134,40.122204036709434
2850,28.538982943947172,21.817924396588715,39.28459311531679
2900,27.9664310862319,21.378467402003043,38.47968403721942
2950,27.41508711355296,20.954548388391565,37.70564677659272
3000,26.883761286296114,20.54531381276671,36.960775066617494
3050,26.37135009444564,20.149971688932045,36.243477438916834
3100,25.876828783294375,19.767786161889422,35.552268835898204
3150,25.399244613645525,19.39807264022139,34.885762789106145
3200,24.93771077826441,19.04019342167049,34.24266414733585
3300,24.059544084190858,18.35759829166416,33.02192509307709
3400,23.236356680787146,17.7156966463757,31.881272798597962
3500,22.46292961758539,17.110719264453063,30.81300732026377
3600,21.73468328432164,16.539351223474185,29.81035596053046
3700,21.047583317797667,15.998665392348205,28.867344355654776
3900,19.7829549449153,14.999248821897321,27.13969419614612
4000,19.199442372060524,14.536150123733186,26.346193024232594
4100,18.645006946377663,14.094926582317049,25.594459884916155
4200,18.117392778956532,13.673921521270831,24.8811630247298
4320,17.516819959347533,13.193313195946654,24.07175559133009
4450,16.90288422963088,12.700423435143101,23.247193930831475
4580,16.323694055492027,12.233892810093998,22.472020030070578
4750,15.613629292909927,11.659810301574462,21.525402769679708
4880,15.103427782211353,11.245794353119564,20.847832990520416
5000,14.655435766080728,10.881161711730154,20.25472369550047
5150,14.123886131742088,10.44712912737454,19.55328370124096
5300,13.621281791869443,10.035281129230656,18.892390523213464
5500,12.99184274466122,9.517407422180508,18.068039676833216
5650,12.547441074621403,9.150298685475983,17.488318175796888
5800,12.12461266770594,8.799819493532938,16.9385551296854
6000,11.591467776887317,8.356161627019238,16.24795854125414
6150,11.21262520768895,8.039671497572977,15.75904937325739
6300,10.85030396174804,7.735977985726148,15.292914731984109
6450,10.503303189357137,7.444166401529276,14.847857405949268
6600,10.17053665622522,7.163408061524057,14.422346022102271
6750,9.85101932828401,6.892950378554835,14.014995211479892
6880,9.584127250460359,6.66635471203463,13.675673572887964
7000,9.345537482918326,6.463244679570322,13.37307363583088
7150,9.057186129852912,6.217066524964037,13.008312974706527
7320,8.742843244197099,5.947787761332434,12.611887682313474
7500,8.423443486532895,5.673168077461767,12.210417134425816
7650,8.167122714153514,5.4520216344133745,11.889230525198649
7800,7.919186929109462,5.237442490260374,11.579415970960019
8000,7.600813399378505,4.960908309414996,11.18286280087012
