Frequency,Nominal,Min,Max
118,2.995906674655954,2.9574727943639703,3.03103704965007
120,2.9934106135319283,2.954298743181913,3.029151389312713
122,2.990913207668831,2.951122023488916,3.0272651338729633
125,2.9871645297593923,2.9463518475393236,3.024434613516494
128,2.98341270357233,2.941575428823286,3.021602699230759
130,2.9809097008379335,2.938387611108863,3.019713965710396
132,2.978405244567046,2.935196913446812,3.017824588290177
135,2.9746457874055374,2.930405375325155,3.01498929355201
138,2.970882938097102,2.9256071219033766,3.012152495309651
140,2.968372451416579,2.9224044861871934,3.0102604450104775
142,2.965860403244842,2.919198762008919,3.0083677022134103
145,2.962089356209235,2.9143842945175074,3.0055272683809613
148,2.9583146751506066,2.9095626461407944,3.0026852219389433
150,2.955796166574783,2.9063441562305323,3.000789612299395
155,2.949492548828827,2.898283432610483,2.9960473257575266
160,2.9431781708845377,2.890201490598974,2.991300258118257
165,2.936852702327953,2.882097703092672,2.9865482591312924
170,2.9305158144954073,2.8739714492512016,2.981791178949116
175,2.924167180553145,2.8658221148155603,2.9770288681432877
180,2.9178064755791806,2.8576490924372377,2.972261177721086
185,2.9114333766474623,2.8494517820182574,2.967487959142496
190,2.9050475629143895,2.8412295910623206,2.9627090643375587
195,2.8986487157077496,2.832981935037211,2.957924345724088
200,2.8922365186181125,2.824708237748617,2.9531336562257646
205,2.8858106575927462,2.816407931725487,2.9483368492906177
210,2.8793708210320927,2.8080804586170194,2.9435337789099014
215,2.87291669988886,2.7997252696013653,2.9387242996373795
220,2.8664479877697593,2.7913418258060885,2.9339082666090204
225,2.859964381039955,2.7829295987404077,2.929085535563118
230,2.8534655789302334,2.7744880707392015,2.924255962860844
235,2.8469512836469595,2.766016735418744,2.91941940550724
240,2.8404212004848293,2.75751509814409,2.9145757211726564
245,2.833875037942467,2.7489826765079854,2.909724768214653
250,2.827312507840879,2.7404190008211766,2.9048664057003593
255,2.820733325444805,2.7318236146138974,2.9000004934293107
260,2.814137209586967,2.7231960751483264,2.8951268919567656
270,2.8008930714228186,2.7058428372998673,2.885356067550142
275,2.794244505781164,2.6971163268606295,2.8804585697219074
280,2.7875779202761195,2.6883560401468967,2.8755528329539723
285,2.780893053546802,2.6795616111287335,2.8706387219472695
290,2.774189648607502,2.6707326907940354,2.8657161023088413
295,2.767467452992495,2.6618689477271618,2.8607848405787126
300,2.7607262189037596,2.6529700686948865,2.855844804257301
305,2.7539657033615876,2.644035759238971,2.850895861833363
310,2.7471856683580405,2.635065744274589,2.8459378828124833
315,2.740385881013233,2.6260597686937865,2.840970737746114
320,2.7335661137343896,2.6170175979730645,2.835994298261166
330,2.7198657564124353,2.5988238396069554,2.8260130281019116
340,2.7060828876063563,2.5804830279320212,2.815993068018795
350,2.692215893750468,2.5619940902710345,2.805933432891146
360,2.678263262041806,2.543356342055263,2.7958331578396285
370,2.6642235861280694,2.524569506110747,2.7856912993088283
390,2.6358780435613927,2.4865496117462644,2.765279170958973
400,2.6215699493901754,2.4673182021398747,2.755007130903703
410,2.607170368116175,2.4479410360392424,2.7446899693165956
420,2.5926785149452467,2.428420139785639,2.734326866775521
432,2.575165598562175,2.4048089428512576,2.7218293902514357
445,2.5560413465238496,2.3790069773590816,2.7082130027910285
458,2.5367584962766063,2.3529810039580905,2.694514526743112
