Freq.	V(out)
1.20000000000000e+02	(1.47527353541516e-02dB,1.71500110440222e+02°)
1.22795159073690e+02	(1.55043275912678e-02dB,1.71299876008475e+02°)
1.25655425766108e+02	(1.62880988117465e-02dB,1.71094817709509e+02°)
1.28582316628513e+02	(1.71052507887010e-02dB,1.70884811860279e+02°)
1.31577383537182e+02	(1.79570112842444e-02dB,1.70669731100928e+02°)
1.34642214516236e+02	(1.88446322776651e-02dB,1.70449444254008e+02°)
1.37778434579626e+02	(1.97693878155462e-02dB,1.70223816176697e+02°)
1.40987706592744e+02	(2.07325714367347e-02dB,1.69992707605637e+02°)
1.44271732154090e+02	(2.17354931201496e-02dB,1.69755974993970e+02°)
1.47632252497486e+02	(2.27794756975702e-02dB,1.69513470340114e+02°)
1.51071049415300e+02	(2.38658506675168e-02dB,1.69265041007843e+02°)
1.54589946203176e+02	(2.49959533392333e-02dB,1.69010529537160e+02°)
1.58190808626769e+02	(2.61711172283149e-02dB,1.68749773445460e+02°)
1.61875545910998e+02	(2.73926676171744e-02dB,1.68482605018442e+02°)
1.65646111752346e+02	(2.86619141841186e-02dB,1.68208851090215e+02°)
1.69504505354730e+02	(2.99801425948774e-02dB,1.67928332812002e+02°)
1.73452772489511e+02	(3.13486049388791e-02dB,1.67640865408828e+02°)
1.77493006580185e+02	(3.27685088805735e-02dB,1.67346257923562e+02°)
1.81627349812345e+02	(3.42410053820595e-02dB,1.67044312947648e+02°)
1.85857994269498e+02	(3.57671748385944e-02dB,1.66734826337838e+02°)
1.90187183095333e+02	(3.73480114518716e-02dB,1.66417586918223e+02°)
1.94617211683071e+02	(3.89844056478193e-02dB,1.66092376166840e+02°)
1.99150428892507e+02	(4.06771243256351e-02dB,1.65758967886115e+02°)
2.03789238295409e+02	(4.24267887028913e-02dB,1.65417127856392e+02°)
2.08536099449925e+02	(4.42338494972883e-02dB,1.65066613471779e+02°)
2.13393529204671e+02	(4.60985591592086e-02dB,1.64707173357577e+02°)
2.18364103033198e+02	(4.80209408401020e-02dB,1.64338546968516e+02°)
2.23450456399544e+02	(5.00007537499500e-02dB,1.63960464167078e+02°)
2.28655286155589e+02	(5.20374545219592e-02dB,1.63572644781203e+02°)
2.33981351970965e+02	(5.41301541647480e-02dB,1.63174798140695e+02°)
2.39431477796265e+02	(5.62775701403047e-02dB,1.62766622591757e+02°)
2.45008553360343e+02	(5.84779730606853e-02dB,1.62347804989079e+02°)
2.50715535702484e+02	(6.07291274466974e-02dB,1.61918020165100e+02°)
2.56555450740268e+02	(6.30282259380076e-02dB,1.61476930376104e+02°)
2.62531394873946e+02	(6.53718162855978e-02dB,1.61024184725036e+02°)
2.68646536628200e+02	(6.77557203940412e-02dB,1.60559418561087e+02°)
2.74904118332132e+02	(7.01749446127651e-02dB,1.60082252856352e+02°)
2.81307457838390e+02	(7.26235804018641e-02dB,1.59592293560156e+02°)
2.87859950282339e+02	(7.50946944188599e-02dB,1.59089130932011e+02°)
2.94565069882203e+02	(7.75802069886505e-02dB,1.58572338854573e+02°)
3.01426371781149e+02	(8.00707578290910e-02dB,1.58041474128493e+02°)
3.08447493932263e+02	(8.25555578099019e-02dB,1.57496075751659e+02°)
3.15632159027445e+02	(8.50222254232050e-02dB,1.56935664186017e+02°)
3.22984176471229e+02	(8.74566065405461e-02dB,1.56359740616039e+02°)
3.30507444400580e+02	(8.98425759247618e-02dB,1.55767786203832e+02°)
3.38205951751734e+02	(9.21618188568282e-02dB,1.55159261347082e+02°)
3.46083780375192e+02	(9.43935911297639e-02dB,1.54533604947309e+02°)
3.54145107199966e+02	(9.65144555560956e-02dB,1.53890233697503e+02°)
3.62394206448241e+02	(9.84979930355679e-02dB,1.53228541399937e+02°)
3.70835451901630e+02	(1.00314486139440e-01dB,1.52547898327048e+02°)
3.79473319220205e+02	(1.01930573092412e-01dB,1.51847650640591e+02°)
3.88312388315553e+02	(1.03308869978686e-01dB,1.51127119886958e+02°)
3.97357345779109e+02	(1.04407558973290e-01dB,1.50385602589584e+02°)
4.06612987367042e+02	(1.05179940412658e-01dB,1.49622369962778e+02°)
4.16084220543037e+02	(1.05573946581581e-01dB,1.48836667775178e+02°)
4.25776067080290e+02	(1.05531615220710e-01dB,1.48027716395294e+02°)
4.35693665724121e+02	(1.04988520966371e-01dB,1.47194711056365e+02°)
4.45842274916606e+02	(1.03873163242490e-01dB,1.46336822382955e+02°)
4.56227275584673e+02	(1.02106309554909e-01dB,1.45453197227369e+02°)
4.66854173993136e+02	(9.96002937184493e-02dB,1.44542959870055e+02°)
4.77728604664196e+02	(9.62582693051772e-02dB,1.43605213644575e+02°)
4.88856333364934e+02	(9.19734195728068e-02dB,1.42639043054407e+02°)
5.00243260164401e+02	(8.66281263498045e-02dB,1.41643516455629e+02°)
5.11895422561910e+02	(8.00931018575997e-02dB,1.40617689386164e+02°)
5.23818998688198e+02	(7.22264892795830e-02dB,1.39560608628540e+02°)
5.36020310581155e+02	(6.28729400792765e-02dB,1.38471317098577e+02°)
5.48505827537849e+02	(5.18626786617715e-02dB,1.37348859656597e+02°)
5.61282169544637e+02	(3.90105679900707e-02dB,1.36192289940101e+02°)
5.74356110787165e+02	(2.41151932271340e-02dB,1.35000678316522e+02°)
5.87734583242134e+02	(6.95798437176875e-03dB,1.33773121050958e+02°)
6.01424680352725e+02	(-1.26975968375608e-02dB,1.32508750775483e+02°)
6.15433660789636e+02	(-3.51067758268641e-02dB,1.31206748332797e+02°)
6.29768952299726e+02	(-6.05440550910768e-02dB,1.29866356046291e+02°)
6.44438155644302e+02	(-8.93036353406495e-02dB,1.28486892439824e+02°)
6.59449048629148e+02	(-1.21699623348522e-01dB,1.27067768392505e+02°)
6.74809590228417e+02	(-1.58065977648430e-01dB,1.25608504665446e+02°)
6.90527924804587e+02	(-1.98756139796465e-01dB,1.24108750678202e+02°)
7.06612386426705e+02	(-2.44142296808197e-01dB,1.22568304342141e+02°)
7.23071503289228e+02	(-2.94614220168826e-01dB,1.20987132677055e+02°)
7.39914002233777e+02	(-3.50577629077355e-01dB,1.19365392847303e+02°)
7.57148813376230e+02	(-4.12452030937743e-01dB,1.17703453157639e+02°)
7.74785074841585e+02	(-4.80668001120126e-01dB,1.16001913450762e+02°)
7.92832137609113e+02	(-5.55663877146671e-01dB,1.14261624254292e+02°)
8.11299570470376e+02	(-6.37881859976098e-01dB,1.12483703941626e+02°)
8.30197165102722e+02	(-7.27763536949096e-01dB,1.10669553107474e+02°)
8.49534941260963e+02	(-8.25744866812608e-01dB,1.08820865324095e+02°)
8.69323152089986e+02	(-9.32250696204720e-01dB,1.06939633447766e+02°)
8.89572289561099e+02	(-1.04768890769578e+00dB,1.05028150695191e+02°)
9.10293090035018e+02	(-1.17244433009336e+00dB,1.03089005812613e+02°)
9.31496539954427e+02	(-1.30687256996830e+00dB,1.01125071819196e+02°)
9.53193881669135e+02	(-1.45129394672585e+00dB,9.91394880189568e+01°)
9.75396619396916e+02	(-1.60598772948809e+00dB,9.71356352351460e+01°)
9.98116525323202e+02	(-1.77118688028984e+00dB,9.51171045145326e+01°)
1.02136564584285e+03	(-1.94707350291490e+00dB,9.30876598588213e+01°)
1.04515630794729e+03	(-2.13377517926757e+00dB,9.10511958443946e+01°)
1.06950112576049e+03	(-2.33136234571670e+00dB,8.90116912661832e+01°)
1.09441300722709e+03	(-2.53984682176181e+00dB,8.69731601636618e+01°)
1.11990516095639e+03	(-2.75918155515195e+00dB,8.49396017372017e+01°)
1.14599110322572e+03	(-2.98926159462104e+00dB,8.29149507276074e+01°)
1.17268466514697e+03	(-3.22992624760246e+00dB,8.09030298046297e+01°)
1.20000000000000e+03	(-3.48096232965803e+00dB,7.89075053941034e+01°)
1.22795159073690e+03	(-3.74210836855400e+00dB,7.69318481787693e+01°)
1.25655425766108e+03	(-4.01305959183659e+00dB,7.49792992522131e+01°)
1.28582316628512e+03	(-4.29347350427258e+00dB,7.30528426105951e+01°)
1.31577383537182e+03	(-4.58297585133131e+00dB,7.11551843566834e+01°)
1.34642214516235e+03	(-4.88116676657596e+00dB,6.92887386880065e+01°)
1.37778434579625e+03	(-5.18762691301888e+00dB,6.74556204654634e+01°)
1.40987706592743e+03	(-5.50192344909990e+00dB,6.56576439254716e+01°)
1.44271732154089e+03	(-5.82361567649290e+00dB,6.38963269171784e+01°)
1.47632252497485e+03	(-6.15226025687719e+00dB,6.21728999203032e+01°)
1.51071049415300e+03	(-6.48741591573148e+00dB,6.04883190277743e+01°)
1.54589946203176e+03	(-6.82864758108849e+00dB,5.88432820554809e+01°)
1.58190808626768e+03	(-7.17552993245801e+00dB,5.72382469615440e+01°)
1.61875545910998e+03	(-7.52765035872496e+00dB,5.56734518103950e+01°)
1.65646111752346e+03	(-7.88461134317324e+00dB,5.41489355932179e+01°)
1.69504505354730e+03	(-8.24603230870983e+00dB,5.26645593070253e+01°)
1.73452772489511e+03	(-8.61155096702752e+00dB,5.12200267919721e+01°)
1.77493006580184e+03	(-8.98082422224082e+00dB,4.98149049240803e+01°)
1.81627349812344e+03	(-9.35352868299488e+00dB,4.84486428534944e+01°)
1.85857994269497e+03	(-9.72936083778078e+00dB,4.71205900633332e+01°)
1.90187183095333e+03	(-1.01080369467989e+01dB,4.58300130991138e+01°)
1.94617211683071e+03	(-1.04892927007644e+01dB,4.45761108826169e+01°)
1.99150428892507e+03	(-1.08728826930473e+01dB,4.33580285768413e+01°)
2.03789238295409e+03	(-1.12585797469096e+01dB,4.21748700108525e+01°)
2.08536099449924e+03	(-1.16461741346898e+01dB,4.10257087057767e+01°)
2.13393529204670e+03	(-1.20354727208466e+01dB,3.99095975670582e+01°)
2.18364103033197e+03	(-1.24262980560143e+01dB,3.88255773246298e+01°)
2.23450456399543e+03	(-1.28184874447610e+01dB,3.77726838130700e+01°)
2.28655286155589e+03	(-1.32118920056719e+01dB,3.67499541893081e+01°)
2.33981351970965e+03	(-1.36063757387353e+01dB,3.57564321870513e+01°)
2.39431477796265e+03	(-1.40018146118121e+01dB,3.47911725057624e+01°)
2.45008553360343e+03	(-1.43980956752049e+01dB,3.38532444285184e+01°)
