Quantity,Reference Designator,Model
1,R1A,"150k ohm, 0603, 5%"
5,"R4A, R4B, R5M, JP2, R2A","0 ohm, 0603"
1,R1B,"220k ohm, 0603, 5%"
1,R2B,"680k ohm, 0603, 5%"
6,"C2A, C9A, C0A, C1B, C9B, C0B","100nF, 0603, X7R, 20%"
1,C2B,"10nF, 0603, C0G, 20%"
2,"C101M, C100M","10µF, 6032, tantalum, 20%"
1,U2A,"LT6003, SOT-23"
1,U1B,"LT6010, SOIC"
4,"J1M, J2M, J3M, J4M","67996-206HLF, 2x3 0.1"" header"
2,"J3M, J4M","65474-010LF, 0.1"" jumper"
2,"J1A, J1B","BCS-103-L-D-TE, 2x3 0.1"" socket"
2,"J5M, J6M","142-0701-851, SMA Jack, board edge female"
3,"+VS, -VS, GND","68000-101HLF, Test pin"
