Frequency,Nominal,Min,Max
1.08,1481271.2787965462,1238106.0809277399,1847574.677697238
1.1,1454617.7797525604,1215962.6630930316,1814184.0819171763
1.12,1428921.1600530508,1194616.5940164875,1781989.619098269
1.15,1392061.1640133534,1164001.5047343187,1735804.1563792431
1.18,1357086.0003785589,1134956.990259333,1691974.8134684742
1.2,1334746.5404053011,1116408.3429823066,1663976.9412858835
1.22,1313144.0693445024,1098473.7981926203,1636900.3419452184
1.25,1282044.8269375782,1072658.9296506643,1597916.0932472157
1.28,1252413.0982871656,1048066.8609268665,1560766.3225766579
1.3,1233423.7218204357,1032309.6668626996,1536956.244065165
1.32,1215013.9703049907,1017035.4344983298,1513870.736326822
1.35,1188429.7812189138,994982.6718508007,1480530.5979234455
1.38,1163010.4268766288,973900.467273421,1448646.5952224587
1.4,1146674.3374883335,960354.0421572215,1428153.3291798038
1.42,1130802.3001500396,947194.2639333332,1408240.170625547
1.45,1107822.3308787167,928144.5487254969,1379405.621994461
1.48,1085782.3435651835,909878.0052528951,1351746.1494292193
1.5,1071583.3748987098,898112.1903746325,1333924.5020329747
1.55,1037704.5509642736,870046.1893437854,1291393.8297750978
1.6,1005964.5540510883,843762.1126732234,1251536.9825783246
1.65,976168.9027741207,819097.8806077649,1214110.8672754301
1.7,948145.9947475721,795910.4794003842,1178900.9893725326
1.75,921743.8381691291,774073.2376359082,1145717.3675275715
1.8,896827.3281404397,753473.5565014136,1114391.1289491225
1.85,873275.9646656133,734011.0081214805,1084771.6568927777
1.9,850981.9309659835,715595.734156841,1056724.1885529086
1.95,829848.467438986,698147.0907729585,1030127.7825096153
2,809788.4895234132,681592.4968637639,1004873.5910586987
2.05,790723.4078284965,665866.4508284128,980863.3853714596
2.1,772582.116816159,650909.6878088607,958008.2913460167
2.15,755300.1245975526,636668.4545225106,936227.7018515232
2.2,738818.8013938648,623093.8829815892,915448.3373027759
2.25,723084.7282025067,610141.4477168461,895603.4314915949
2.3,708049.1304200246,597770.4937983637,876632.0236141639
2.35,693667.383768605,585943.8251091976,858478.3406779087
2.4,679898.5819818865,574627.3440849512,841091.2571075633
2.45,666705.157427316,563789.7355669773,824423.820521966
2.5,654052.5472539276,553402.1885932755,808432.8344176844
2.55,641908.8988169456,543438.1509199244,793078.4899487247
2.6,630244.8090919463,533873.1118669908,778324.0401932377
2.7,608248.580945331,515851.060695662,750481.445704615
2.75,597867.9299206163,507353.6061622186,737332.6734202596
2.8,587869.4660071887,499173.97675753146,724662.107752185
2.85,578233.0352339094,491295.3704209891,712444.5625755507
2.9,568939.8730959083,483702.143195804,700656.5884921667
2.95,559972.4868131967,476379.71111096215,689276.3256531217
3,551314.5493634529,469314.46187485,678283.3712991789
3.05,542950.8039378359,462493.67525460874,667658.6603300071
3.1,534866.9776430315,455905.45116055646,657384.3574312509
3.15,527049.7034221671,449538.64457954303,647443.759475237
3.2,519486.4492956493,443382.806608122,637821.2070716326
3.3,505075.6692672967,431665.4051508333,619472.3456370545
3.4,491548.7837834265,420681.6614791253,602230.4983856962
3.5,478829.7461527316,410368.16617037234,586000.6476648103
3.6,466850.95493624086,400668.5507832156,570698.3306179587
3.7,455552.1129526943,391532.53697601944,556248.2129404781
3.9,434783.9920324901,374775.9698655804,529641.8597264988
4,425222.7056980292,367078.6978908542,517370.68046208535
4.1,416156.0727923812,359790.52250539727,505720.2118667892
4.2,407548.5023969961,352881.76904008107,494645.9936883433
4.32,397780.1372450895,345054.3813689234,482061.0658715899
4.45,387833.25874561217,337099.1823522099,469225.8194842745
4.58,378491.95981398394,329643.2874712941,457151.7862739738
4.75,367106.57783931773,320576.9966154074,442406.83958054776
4.88,358978.35474916163,314119.64632482413,431859.09735268203
5,351882.34346488287,308493.40849515214,422635.3031174192
5.15,343518.46123586636,301876.00150496105,411743.4979940816
5.3,335671.70381149155,295682.464745767,401503.99425883224
5.5,325939.43518219877,288021.88792078267,388773.14120611106
5.65,319138.4478952734,282683.50594127853,379854.71919579845
5.8,312726.9492698016,277662.79609096627,371429.13354955125
6,304732.5599356866,271419.7920771807,360897.1743381277
6.15,299117.87117157056,267047.2555640932,353481.5696535064
6.3,293803.2461858592,262918.11604110355,346447.0275826553
6.45,288767.16461095976,259014.52575828042,339766.63718796836
6.6,283990.0665894001,255320.27534257493,333415.93281105894
6.75,279454.13540601154,251820.61212564455,327372.62264200137
6.88,275705.4655463627,248934.54033046376,322367.9568155982
7,272386.63963229244,246384.24351307162,317929.04438867216
7.15,268418.0209460132,243340.80178118506,312610.56536191714
7.32,264146.8103396837,240073.10433581832,306873.18587200245
7.5,259868.49977319755,236808.40411602965,301111.5791279983
7.65,256481.9756241023,234230.42403090227,296539.9525676373
7.8,253247.46777001958,231773.4764747071,292164.0162539461
8,249155.7492017557,228673.08567321877,286614.36242876993
8.2,245298.73466957474,225758.70419803684,281367.9453538507
8.4,241658.73758568833,223015.8586966727,276402.5185630228
8.6,238219.73551443507,220431.46199330335,271697.90895797586
8.8,234967.18139096934,217993.65486882214,267235.78169268626
9,231887.83982775122,215691.66885597495,262999.43637053674
9.2,228969.6446977952,213515.7068660201,258973.62979001645
9.4,226201.5748321037,211456.83900379026,255144.42128590323
9.6,223573.54519556032,209506.9113672215,251499.03737176376
9.8,221076.31133561413,207658.46598602147,248025.75292749776
10,218701.38525072136,205904.67034829297,244713.78661670903
10.2,216440.96111589874,204239.25520625108,241553.2085818968
10.4,214287.84954287307,202656.45955263558,238534.8587658003
10.6,212235.4192516589,201150.9818259233,235650.2744565537
10.8,210277.5451965225,199717.9365412693,232891.62586207464
11,208408.5623282371,198352.81566028492,230251.65869286738
11.2,206623.2242911565,197051.45411033012,227723.64287824827
11.5,204091.50605437285,195210.6107009493,224127.97280356273
11.8,201722.14584480986,193492.7936575035,220750.93475253228
12,200226.08039723296,192410.66338123,218612.39697535738
12.2,198792.53876477957,191375.6367805401,216558.5712794664
12.5,196752.10134271515,189905.6589298831,213627.11885569314
12.8,194834.25183373835,188527.52836053137,210862.7578234114
13,193619.06098185107,187656.12162405407,209106.50985014546
13.2,192451.52501438637,186820.22976715362,207415.60588120448
13.5,190784.31132795053,185628.91119875046,204994.8682622947
13.8,189211.34355592314,184507.4760045074,202704.11214007527
14,188211.63716025397,183796.045558323,201244.64419326436
14.2,187248.8676073802,183111.87082295373,199836.41130093057
14.5,185870.1244631195,182133.770985198,197815.03026792294
14.8,184564.9830709472,181209.73302896807,195896.30937046063
15,183733.25581830062,180621.82195126702,194670.83312925743
15.5,181778.18172409924,179242.82751596064,191781.5625544123
16,179985.12949705607,177981.8320161578,189120.69079720648
16.5,178336.920651424,176825.9055686166,186665.04622012918
17,176818.5744585637,175763.82566442247,184394.3137068911
17.5,175416.98045522155,174785.81542059232,182290.6206104502
18,174120.62647772435,173883.3272728265,180338.19169217872
18.5,172919.3716869992,172919.3716869992,178523.06006782156
19,171804.2562578295,171804.2562578295,176832.82389513557
19.5,170767.34110803602,170767.34110803602,175256.44063195444
20,169801.57236505824,169801.57236505824,173784.05231801924
20.5,168900.66630087374,168900.66630087374,172406.8366034932
21,168059.01127949482,168059.01127949482,171116.87924596202
21.5,167271.58390524908,167271.58390524908,169907.06458867993
22,166533.87707289672,166533.87707289672,168770.98116294807
