Frequency,Nominal,Min,Max
1.08,-84.18801694438116,-85.5764899059794,-82.69157701882017
1.1,-84.08114484610992,-85.49490722184467,-82.55773948370894
1.12,-83.97431406508909,-85.41334283905539,-82.42398357522205
1.15,-83.81414693445585,-85.29103128921554,-82.22350578383099
1.18,-83.65407680095676,-85.16876273967645,-82.02321940163485
1.2,-83.54741845558866,-85.08727480090553,-81.8898037648156
1.22,-83.44080500192443,-85.00580678049256,-81.75647660997839
1.25,-83.28097054483376,-84.8836428010207,-81.55665474277616
1.28,-83.1212410765098,-84.76152544688709,-81.3570395534014
1.3,-83.0148142655659,-84.68014031492639,-81.22407981368553
1.32,-82.90843587473616,-84.5987767063429,-81.09121527044397
1.35,-82.7489606066146,-84.47677234852748,-80.89209984615132
1.38,-82.58959821156049,-84.35481821306671,-80.69320604097463
1.4,-82.48342047971647,-84.27354388755568,-80.56073547440938
1.42,-82.37729464706295,-84.1922926775312,-80.42836666883849
1.45,-82.21820471701545,-84.07045989686432,-80.23000709154026
1.48,-82.05923542973669,-83.94868090550581,-80.03188372744727
1.5,-81.95332406861253,-83.86752531973086,-79.89993484291342
1.55,-81.68878920016611,-83.66474507716748,-79.57053861986321
1.6,-81.42461069054404,-83.46212406723953,-79.24183805360026
1.65,-81.16079902952877,-83.25966716439277,-78.91385250936185
1.7,-80.89736461557645,-83.05737921878881,-78.5866010808042
1.75,-80.63431775363101,-82.85526505564977,-78.26010258463923
1.8,-80.37166865299429,-82.65332947461165,-77.93437555551796
1.85,-80.10942742525305,-82.45157724908714,-77.60943824116252
1.9,-79.84760408226356,-82.25001312563762,-77.2853085977481
1.95,-79.5862085341949,-82.0486418233551,-76.96200428553604
2,-79.32525058763125,-81.84746803325355,-76.63954266475845
2.05,-79.06473994373405,-81.64649641767056,-76.31794079175525
2.1,-78.80468619646469,-81.44573160967882,-75.99721541536303
2.15,-78.54509883086803,-81.24517821250808,-75.67738297355572
2.2,-78.28598722141741,-81.04484079897752,-75.35845959033627
