Frequency,Nominal,Min,Max
1.08,-0.0011176570709172514,-0.04564867877877003,0.043394263768132234
1.1,-0.001150060700684171,-0.0473325818711881,0.04502042099059944
1.12,-0.0011823713731963616,-0.049045739599331006,0.04667670950353786
1.15,-0.0012305825126842978,-0.051670136890608676,0.04921767140009005
1.18,-0.001278375076209647,-0.054359858859997806,0.0518265141255429
1.2,-0.0013099403832540135,-0.05618914648476601,0.05360348003148169
1.22,-0.0013412230118503394,-0.058047237547698624,0.05541065421641972
1.25,-0.0013875299234810262,-0.060888173874846595,0.05817809084849113
1.28,-0.0014329749083308832,-0.06379338137279258,0.06101358625465805
1.3,-0.0014627240308872174,-0.06576572953414503,0.06294175412377095
1.32,-0.0014919862187664549,-0.06776639618084122,0.06490021129499965
1.35,-0.0015348732592118588,-0.07082027217432657,0.0678947259020271
1.38,-0.0015764228509260753,-0.07393729130249974,0.0709574855322859
1.4,-0.0016033062020967504,-0.07605020975971312,0.07303726743553364
1.42,-0.0016294843094847363,-0.07819092927426305,0.07514742299354663
1.45,-0.0016673298906754927,-0.08145390054846335,0.07836964459104646
1.48,-0.0017033314550864457,-0.08477881535154115,0.08166030409748891
1.5,-0.001726230204930348,-0.08702965415911375,0.08389212722752114
1.55,-0.0017792722985855549,-0.09277573266138175,0.08960498854378544
1.6,-0.0018257010376056299,-0.09869035168968836,0.09550850439517576
1.65,-0.0018647414520879362,-0.10477168157819161,0.10160295257842052
1.7,-0.0018955992014393571,-0.11101784851587407,0.10788861208370185
1.75,-0.0019174610527413712,-0.11742693572036506,0.1143657623129557
1.8,-0.0019294953722066733,-0.12399698462907047,0.12103468226336692
1.85,-0.001930852629645464,-0.1307259961063132,0.12789564967497968
1.9,-0.0019206659157768916,-0.13761193166499983,0.134948940141343
1.95,-0.001898051472353328,-0.14465271470157853,0.1421948261818967
2,-0.0018621092350148607,-0.15184623174283057,0.14963357627506066
2.05,-0.0018119233886752422,-0.15919033370310823,0.157265453850565
2.1,-0.0017465629355533938,-0.1666828371508525,0.16509071623982774
2.15,-0.0016650822755846654,-0.17432152558282793,0.17310961358294014
2.2,-0.001566521799250707,-0.1821041507050028,0.18132238769082767
2.25,-0.0014499084927449809,-0.19002843371854883,0.18972927086112287
2.3,-0.0013142565554346984,-0.19809206660990214,0.1983304846461338
2.35,-0.0011585680295097725,-0.2062927134434986,0.20712623857141638
2.4,-0.0009818334418684454,-0.21462801165598788,0.21611672880312438
2.45,-0.0007830324581549163,-0.22309557335075647,0.22530213676251018
2.5,-0.0005611345489274688,-0.23169298659160673,0.2346826276858014
2.55,-0.0003150996679975624,-0.2404178166943531,0.2442583491274404
2.6,-0.00004387894287623267,-0.24926760751534285,0.25402942940491524
2.7,0.0005783554335697437,-0.2673321471405267,0.27415807379613294
2.75,0.0009315045770490304,-0.276541887891384,0.28451578350432705
2.8,0.0013141090828150816,-0.28586657579211305,0.2950691396846059
2.85,0.001727251171816695,-0.29530366654604207,0.305818148951414
2.9,0.0021720174922813954,-0.30485060200428415,0.3167627880062535
2.95,0.002649498343342376,-0.3145048114040735,0.3279030016131329
3,0.0031607868861192353,-0.3242637125962875,0.3392387004976196
3.05,0.0037069783421130624,-0.3341247132614344,0.3507697591667327
3.1,0.004289169178790963,-0.3440852121133332,0.36249601364710754
3.15,0.004908456282292242,-0.35414260008972953,0.37441725913863577
3.2,0.005565936116981646,-0.36429426152926553,0.3865332475808233
3.3,0.006999852592919591,-0.38486991611746446,0.41134822953649164
3.4,0.008599649107864782,-0.4057911624067244,0.43693801155883866
