Frequency,Nominal,Min,Max
1.08,3.646666483491418e-7,3.6137835091382893e-7,3.684191038778914e-7
1.1,3.6475251102356613e-7,3.614269755851751e-7,3.6855827924062815e-7
1.12,3.648399706646489e-7,3.6147649949775545e-7,3.687000634004323e-7
1.15,3.6497415700063507e-7,3.615524722846674e-7,3.689176376847697e-7
1.18,3.6511194317665674e-7,3.6163047055184763e-7,3.6914109880068547e-7
1.2,3.6520580257627865e-7,3.616835953324624e-7,3.692933485468954e-7
1.22,3.653012649915207e-7,3.617376213399967e-7,3.6944822254853846e-7
1.25,3.6544746705570306e-7,3.618203510671426e-7,3.6968546114647166e-7
1.28,3.6559728314856575e-7,3.6190511093420475e-7,3.6992862281152846e-7
1.3,3.656991705463251e-7,3.6196274609354267e-7,3.700940268170342e-7
1.32,3.65802667522061e-7,3.620212846358836e-7,3.702620718252416e-7
1.35,3.6596093395506737e-7,3.62110787282282e-7,3.7051909889365525e-7
1.38,3.6612282975664033e-7,3.6220232511096885e-7,3.7078208814668704e-7
1.4,3.6623277898548587e-7,3.6226448176927656e-7,3.7096073269948176e-7
1.42,3.663443448644894e-7,3.623275441364566e-7,3.711420362745003e-7
1.45,3.6651472813471447e-7,3.6242383695521825e-7,3.714189855312845e-7
1.48,3.6668875725609025e-7,3.6252217037991167e-7,3.717019389319021e-7
1.5,3.668068046902201e-7,3.6258886050503245e-7,3.7189391664395753e-7
1.55,3.671090327263655e-7,3.6275956034730404e-7,3.72385587233909e-7
1.6,3.674214371007607e-7,3.629359446736764e-7,3.7289406042126867e-7
1.65,3.677440434504003e-7,3.6311802193821954e-7,3.7341940123084667e-7
1.7,3.6807687818757344e-7,3.633058008567671e-7,3.7396167657176676e-7
1.75,3.684199684955377e-7,3.6349929040622155e-7,3.745209552156912e-7
1.8,3.687733423239423e-7,3.636984998238265e-7,3.7509730777355717e-7
1.85,3.691370283839922e-7,3.6390343860640375e-7,3.7569080667073237e-7
1.9,3.6951105614333857e-7,3.6411411650955617e-7,3.763015261204978e-7
1.95,3.698954558206833e-7,3.643305435468324e-7,3.769295420957593e-7
2,3.7029025838008417e-7,3.645527299888533e-7,3.7757493229888077e-7
2.05,3.706954955249462e-7,3.647806863624015e-7,3.782377761295313e-7
2.1,3.7111119969168324e-7,3.6501442344946645e-7,3.7891815465043113e-7
2.15,3.715374040430367e-7,3.6525395228625e-7,3.7961615055087234e-7
2.2,3.719741424610333e-7,3.65499284162126e-7,3.8033184810788833e-7
2.25,3.7242144953956524e-7,3.6575043061855685e-7,3.810653331449356e-7
2.3,3.728793605765744e-7,3.660074034479606e-7,3.818166929879477e-7
2.35,3.733479115658256e-7,3.6627021469253074e-7,3.825860164186127e-7
2.4,3.738271391882437e-7,3.665388766430052e-7,3.8337339362471575e-7
2.45,3.7431708080280023e-7,3.6681340183738364e-7,3.8417891614738524e-7
2.5,3.748177744369259e-7,3.6709380305958916e-7,3.850026768250708e-7
2.55,3.753292587764261e-7,3.6738009333807464e-7,3.858447697340687e-7
2.6,3.7585157315487993e-7,3.6767228594437174e-7,3.867052901254104e-7
2.7,3.7692885253440584e-7,3.682744324327892e-7,3.884819998271846e-7
2.75,3.774838993383547e-7,3.6858441405944557e-7,3.8939838489036487e-7
2.8,3.7804993976178863e-7,3.689003534996425e-7,3.9033358878637943e-7
2.85,3.786270161982832e-7,3.6922226521634765e-7,3.912877115514593e-7
2.9,3.792151716133015e-7,3.6955016390555544e-7,3.922608539296868e-7
2.95,3.7981444952924874e-7,3.69884064494368e-7,3.932531172782995e-7
3,3.804248940097867e-7,3.7022398213899666e-7,3.942646034674832e-7
3.05,3.8104654964338327e-7,3.705699322226857e-7,3.9529541477437005e-7
3.1,3.8167946152605634e-7,3.7092193035355304e-7,3.963456537709405e-7
3.15,3.8232367524328405e-7,3.7127999236234645e-7,3.974154232055248e-7
3.2,3.8297923685103935e-7,3.7164413430011063e-7,3.985048258775761e-7
3.3,3.8432459019429614e-7,3.7239072325358334e-7,4.007484330257374e-7
3.4,3.857158986341592e-7,3.731618299338013e-7,4.0307527335213466e-7
3.5,3.871535454024168e-7,3.7395759042015083e-7,4.0548276426761336e-7
3.6,3.8863791910004887e-7,3.747678668075796e-7,4.079716908591397e-7
3.7,3.9016941283812374e-7,3.755972317514179e-7,4.1054281862598316e-7
3.9,3.933753497007787e-7,3.7733111769676796e-7,4.1593533189251873e-7
4,3.9505059268852615e-7,3.782359745357913e-7,4.187651659842797e-7
4.1,3.9677455309317725e-7,3.791663348569539e-7,4.216800244370854e-7
4.2,3.985476306011143e-7,3.8012237185754247e-7,4.246804542510868e-7
4.32,4.0074071700291176e-7,3.813037560055854e-7,4.283945875875485e-7
4.45,4.031978068141202e-7,3.826259523057675e-7,4.325588125440549e-7
4.58,4.057402149733379e-7,3.8399258886692907e-7,4.368697826880297e-7
4.75,4.0919499598774147e-7,3.858474421148328e-7,4.4272894026695065e-7
4.88,4.119373626017785e-7,3.873181465664612e-7,4.4737870962125986e-7
5,4.145467678048066e-7,3.8871632298867777e-7,4.5180024969837243e-7
5.15,4.179146387561712e-7,3.905193495246302e-7,4.575002056281757e-7
5.3,4.2140127924103395e-7,3.923843998927413e-7,4.633893912114872e-7
5.5,4.2623622869204123e-7,3.9496866933017756e-7,4.7152789601750714e-7
5.65,4.300027746926043e-7,3.969808048998623e-7,4.778381036032156e-7
5.8,4.338900087745226e-7,3.990569709713045e-7,4.843157118180186e-7
6,4.3926084469941884e-7,4.019257945441064e-7,4.93193765921111e-7
6.15,4.43429537498167e-7,4.0415358961560536e-7,5.000152964048797e-7
6.3,4.477180184640832e-7,4.064472765131247e-7,5.069576856362559e-7
6.45,4.521252266297039e-7,4.088073648540777e-7,5.140004747029838e-7
6.6,4.5664964058490316e-7,4.112343337341689e-7,5.211196285342356e-7
6.75,4.612892166603705e-7,4.1372862652548387e-7,5.282872202674634e-7
6.88,4.6540131726913745e-7,4.1594511638178187e-7,5.345136089594142e-7
7,4.692703098637369e-7,4.1803646022279796e-7,5.402516399132938e-7
7.15,4.742022771591029e-7,4.207121160633405e-7,5.47379316317376e-7
7.32,4.799149289498508e-7,4.238274017178282e-7,5.553443010505025e-7
7.5,4.860975000133154e-7,4.272222025037401e-7,5.63569907579869e-7
7.65,4.913467132987056e-7,4.3012696064365894e-7,5.701947583884347e-7
7.8,4.966758206956973e-7,4.3310059510071367e-7,5.786123471943407e-7
8,5.038896785623559e-7,4.3717239774601416e-7,5.900715211188031e-7
8.2,5.112040521828406e-7,4.413659207081864e-7,6.014796090541275e-7
8.4,5.185891853077333e-7,4.456802249384101e-7,6.127222550741835e-7
8.6,5.260103719297162e-7,4.501139160004382e-7,6.236681771705643e-7
8.8,5.334276017944458e-7,4.546650818366114e-7,6.341698224352632e-7
9,5.407952808001227e-7,4.5933122477489673e-7,6.440651522354661e-7
