Frequency,Nominal,Min,Max
1.08,-9.362120077370667,-11.788302536534218,-7.1226914497900475
1.1,-9.53549429200515,-12.006626652796262,-7.254590849364089
1.12,-9.70886921809548,-12.224953956440805,-7.386490281127185
1.15,-9.968933093535847,-12.552451405602813,-7.584339522049488
1.18,-10.228998972804787,-12.87995739228079,-7.7821889229673555
1.2,-10.402377467695736,-13.09829989388053,-7.914088640817405
1.22,-10.57575705098372,-13.316646855431843,-8.045988473482808
1.25,-10.83582865313551,-13.644176284355643,-8.243838479438626
1.28,-11.09590319600167,-13.971717391684725,-8.44168885406395
1.3,-11.269288014192833,-14.190085136592783,-8.573589343930864
1.32,-11.44267437815796,-14.408458865419869,-8.705490051876867
1.35,-11.702757045823713,-14.73603141789935,-8.903341573855945
1.38,-11.962843779170122,-15.063619376777295,-9.101193721480419
1.4,-12.136237378498876,-15.282020518068382,-9.233095543611455
1.42,-12.309633067703759,-15.500429437617806,-9.364997709379557
1.45,-12.56973078306413,-15.828058263956857,-9.56285166371687
1.48,-12.82983389120117,-16.155706854012223,-9.760706552689294
1.5,-13.003239175563978,-16.374150933896587,-9.892610382093705
1.55,-13.436764622027336,-16.92030527193479,-10.222372185339795
1.6,-13.870309343214869,-17.466528501902513,-10.552137599997316
1.65,-14.30387571932695,-18.012828341308364,-10.881907193814586
1.7,-14.737466294671695,-18.55921301505608,-11.211681577001322
1.75,-15.17108378229223,-19.105691268984494,-11.541461403477324
1.8,-15.604731068552773,-19.652272383228322,-11.871247372114365
1.85,-16.038411217682768,-20.198966185399197,-12.20104022797118
1.9,-16.472127476278803,-20.74578306358584,-12.530840763521436
1.95,-16.905883277763387,-21.292733979172972,-12.860649819874546
2,-17.339682246800773,-21.839830479478533,-13.190468287989143
2.05,-17.773528203668867,-22.38708471020909,-13.52029710987921
2.1,-18.20742516858715,-22.934509427733325,-13.85013727981263
2.15,-18.641377366000402,-23.482118011173558,-14.17998984550215
2.2,-19.075389228817663,-24.029924474315944,-14.509855909288648
2.25,-19.509465402606416,-24.577943477339,-14.839736629316437
2.3,-19.943610749741936,-25.126190338361358,-15.169633220700817
2.35,-20.37783035351123,-25.674681044808732,-15.49954695668751
2.4,-20.812129522171812,-26.223432264600593,-15.829479169804069
2.45,-21.246513792965217,-26.772461357156903,-16.159431253003074
2.5,-21.68098893608487,-27.321786384225025,-16.489404660797113
2.55,-22.115560958598742,-27.871426120527033,-16.819400910385504
2.6,-22.55023610832636,-28.421400064227353,-17.149421582772618
2.7,-23.41992200740317,-29.522432245239333,-17.809542845636535
2.75,-23.854946490406927,-30.073533187780058,-18.139646927094024
