Frequency,Nominal,Min,Max
1.08,-0.16339982031718442,-0.20574469248372124,-0.1243144174024847
1.1,-0.16642577120061547,-0.2095551671490008,-0.12661649620645532
1.12,-0.16945173450129353,-0.2133656974445995,-0.12891857557223094
1.15,-0.17399070539322437,-0.21908160622435927,-0.13237169624889664
1.18,-0.17852971125856143,-0.22479766401188267,-0.13582481971801172
1.2,-0.18155573684656065,-0.22860845956183912,-0.1381269040769466
1.22,-0.18458178143067172,-0.23241933295263498,-0.14042899043978746
1.25,-0.18912088717915723,-0.23813579988453204,-0.14388212446880688
1.28,-0.19366004425279085,-0.24385247064305265,-0.14733526493232302
1.3,-0.1966861802031984,-0.24766370677185334,-0.1496373627654941
1.32,-0.19971234313245112,-0.25147504733974324,-0.15193946440486328
1.35,-0.2042516420105887,-0.2571922669196721,-0.15539262489348013
1.38,-0.20879101184824006,-0.26290975539198,-0.15884579630166906
1.4,-0.21181730105841065,-0.26672157439762284,-0.16114791738723558
1.42,-0.21484362674380064,-0.2705335291594837,-0.16345004447040032
1.45,-0.21938318825375416,-0.2762517309035449,-0.16690324741167695
1.48,-0.22392284388541636,-0.28197027758952814,-0.17035646666541357
1.5,-0.2269493370379044,-0.2857828460149998,-0.17265862278450944
1.55,-0.2345157834698684,-0.29531503743781656,-0.17841405199846744
1.6,-0.24208256630923167,-0.3048484312516315,-0.18416954424344556
1.65,-0.24964972709832758,-0.3143831621523799,-0.18992510942852125
1.7,-0.2572173102437099,-0.32391937369171253,-0.19568075820386321
1.75,-0.26478536309691403,-0.333457218513313,-0.20143650198252502
1.8,-0.27235393603449887,-0.3429968585860871,-0.20719235296212013
1.85,-0.2799230825373573,-0.35253846543421535,-0.21294832414637666
1.9,-0.28749285926928925,-0.362082220364049,-0.2187044293665692
1.95,-0.29506332615482217,-0.3716283146878421,-0.22446068330282648
2,-0.3026345464562815,-0.3811769499443123,-0.23021710150531016
2.05,-0.31020658685009506,-0.39072833811602925,-0.23597370041526577
2.1,-0.3177795175023294,-0.400282701843627,-0.24173049738594155
2.15,-0.3253534121434551,-0.4098402746368412,-0.24748751070337455
2.2,-0.3329283481423302,-0.4194013010823808,-0.25324475960704257
2.25,-0.34050440657940306,-0.4289660370486299,-0.2590022643103771
2.3,-0.3480816723191316,-0.43853474988719376,-0.2647600460211409
2.35,-0.35566023408161096,-0.4481077186312902,-0.270518126961664
2.4,-0.36324018451341233,-0.45768523419099316,-0.27627653038893957
2.45,-0.3708216202576319,-0.4672675995453375,-0.28203528061457644
2.5,-0.3784046420231434,-0.4768551299312832,-0.28779440302460835
2.55,-0.3859893546530614,-0.48644815302954664,-0.29355392409915876
2.6,-0.39357586719240767,-0.49604700914729516,-0.2993138714319594
2.7,-0.4087547495894651,-0.5152636458763684,-0.31083516093135777
2.75,-0.4163473591446668,-0.5248821718345481,-0.3165965640270625
2.8,-0.42394224813406645,-0.5345080218492517,-0.3223585152772314
2.85,-0.4315395475995024,-0.5441416019901051,-0.32812104813124154
2.9,-0.439139393174096,-0.5537833319829972,-0.3338841972660742
2.95,-0.446741925144386,-0.563433645370452,-0.3396479986047908
3,-0.45434728851167605,-0.5730929896686812,-0.3454124893348526
3.05,-0.46195563305259635,-0.5827618265212593,-0.351177707926295
3.1,-0.4695671133788843,-0.5924406318493505,-0.3569436941497425
3.15,-0.4771818889963759,-0.6021298959984085,-0.362710489094277
3.2,-0.48480012436322195,-0.6118301238812508,-0.3684781351851495
3.3,-0.5000476572829182,-0.6312655641685636,-0.38001615729297156
3.4,-0.5153111290120628,-0.6507512885584817,-0.39155812726208883
3.5,-0.5305920392554198,-0.6702918744794636,-0.4031044343680672
3.6,-0.5458919722725941,-0.6898921448008646,-0.41465549091308385
3.7,-0.5612125985509862,-0.7095571713868141,-0.4262117327560839
3.9,-0.5919230536520219,-0.7491030446929754,-0.44934163666836957
4,-0.6073166689084032,-0.7689953071059179,-0.46091629287443014
4.1,-0.6227385532619354,-0.788975161502921,-0.47249812364428934
4.2,-0.6381908315595985,-0.8090489645919372,-0.4840876902326045
4.32,-0.6567768179997154,-0.8332708774322766,-0.49800621092033515
4.45,-0.6769693067857955,-0.8596885733078744,-0.5130993748172448
4.58,-0.697227019044331,-0.886306144669774,-0.528209293017383
4.75,-0.7238257447290113,-0.9214430724659088,-0.5479962239814669
4.88,-0.7442560620513587,-0.9485865372128971,-0.5631507156164134
5,-0.7631901591822217,-0.9738702404181179,-0.5771590281677379
5.15,-0.7869676323569215,-1.0058061931552398,-0.5946980116616236
5.3,-0.8108771064110172,-1.038138362616146,-0.6122714619758933
5.5,-0.8429810913962265,-1.0819180399586223,-0.6357616184264336
5.65,-0.8672428456428447,-1.1152969240254091,-0.6534275823339744
5.8,-0.8916758137325782,-1.1491786099183319,-0.6711387636730952
6,-0.9245417884840317,-1.1951937995345383,-0.6948302185486255
6.15,-0.9494252545339502,-1.2303781424051268,-0.7126611103321373
6.3,-0.9745248443942054,-1.2661760483124063,-0.7305497983930757
6.45,-0.9998550751038625,-1.3026198314227053,-0.7485004241292793
6.6,-1.0254309064377687,-1.3397405897226082,-0.7665173014815363
6.75,-1.0512677093935217,-1.3775676421790473,-0.7846049181176031
6.88,-1.073882862327248,-1.4109432682259562,-0.8003416719005121
7,-1.0949518933593978,-1.442253930220405,-0.8149208865232707
7.15,-1.1215624466691503,-1.4820870426498935,-0.833220410471069
7.32,-1.1521089671997389,-1.5281837434395005,-0.8540673714177096
7.5,-1.1849274411586026,-1.5781115419080467,-0.876273401774661
7.65,-1.2126698620810326,-1.6206019447664026,-0.8948894895365903
7.8,-1.240787915359736,-1.6638908896558129,-0.9136126210003772
8,-1.2788913037780083,-1.7228266311029476,-0.9387534871474982
8.2,-1.3177295513860923,-1.783097476329278,-0.9641094983883373
8.4,-1.3573388271511972,-1.8446113169687512,-0.9896955398137005
8.6,-1.3977527681325237,-1.9072410055448685,-1.0155269761338508
8.8,-1.4390015838880135,-1.970823817120471,-1.0416196211607773
9,-1.4811110502940872,-2.0351627298279675,-1.067989699837402
9.2,-1.5241013999206179,-2.100029744188105,-1.094653801750158
9.4,-1.5679861240624535,-2.1651712686762306,-1.1216288249640525
9.6,-1.6127707112656435,-2.230315364007088,-1.1489319089278243
9.8,-1.6584513584578664,-2.2951803992843334,-1.1765803551161271
10,-1.7050137030443449,-2.3594844761137237,-1.204591534012442
10.2,-1.7524316366318984,-2.422954864645763,-1.2329827769986945
10.4,-1.8006662720593631,-2.4853366939742414,-1.261771251715153
10.6,-1.8496651434454598,-2.54640024873231,-1.2909738194987113
10.8,-1.899361722096588,-2.6059464190191473,-1.3206068736125816
11,-1.949675327460504,-2.66381008961585,-1.3506861571607014
11.2,-2.0005115003723364,-2.719861490125089,-1.3812265598521896
11.5,-2.0775075421805287,-2.800342071846677,-1.427931619852061
11.8,-2.1550263331494746,-2.8763546573871204,-1.4757457071558417
12,-2.2067743439189793,-2.9245213983828906,-1.5082540993079392
12.2,-2.2584145392997605,-2.9706973529983705,-1.5412766548780776
12.5,-2.3353630644416756,-3.0363080927574115,-1.591783265410931
12.8,-2.4112816616169575,-3.0976940684084004,-1.6434582080384508
13,-2.461102887002693,-3.1363788568469695,-1.67855089463714
13.2,-2.5101506827466276,-3.173356593627542,-1.7141479336287053
13.5,-2.582039835895387,-3.2257890333000194,-1.7684596079728045
13.8,-2.6516403057762616,-3.2748122535840287,-1.8238136809315972
14,-2.6966482484084864,-3.305727883382299,-1.861254307060967
14.2,-2.7404781061869006,-3.3353170598834505,-1.8990895500869929
14.5,-2.803930476518148,-3.3773695573010585,-1.9565024717917583
14.8,-2.864563918063537,-3.4168270570575414,-2.014580863465023
15,-2.9034054544833983,-3.4417961880958536,-2.0535902803525756
15.5,-2.995021882842357,-3.499966991359125,-2.151740318094981
16,-3.079040533725225,-3.5527133357473075,-2.250052911908838
16.5,-3.1559197692818497,-3.600746780615073,-2.3475674479102646
17,-3.226222180707798,-3.6446724822797125,-2.443334302590774
17.5,-3.2905472015845545,-3.68500389264822,-2.536484696435687
18,-3.349487170897623,-3.722176761909945,-2.626286450246419
18.5,-3.403601541360743,-3.7565616134640694,-2.712177959530476
19,-3.4534037913408167,-3.788474460777182,-2.793778681038321
19.5,-3.4993565677960383,-3.8181858251776037,-2.8708796307015785
20,-3.5418717897722978,-3.845928235290439,-2.9434203098642198
20.5,-3.5813134962183977,-3.8719024248758585,-3.011458938543911
21,-3.6180020207332353,-3.8962824410236943,-3.075141647205794
21.5,-3.6522186328435913,-3.919219852592176,-3.134674368981246
22,-3.6842101527198468,-3.94084722140159,-3.1902993449512453
22.5,-3.7141932783314466,-3.9612809716814237,-3.2422767817259692
23,-3.7423585051981503,-3.9806237690260424,-3.290871352452605
23.5,-3.7688736012967197,-3.9989664993961513,-3.336342816698194
24,-3.793886645305681,-4.016389921487203,-3.3789399110148666
24.5,-3.8175286596104714,-4.032966051715963,-3.418896704597309
25,-3.839915879512495,-4.048759329691238,-3.4564307332184567
25.5,-3.8611517025885913,-4.063827602874033,-3.4917423644400034
26,-3.881328360603682,-4.078222961782393,-3.525014978939873
27,-3.9188256755242756,-4.105178678158463,-3.5860962069240454
27.5,-3.936286877175843,-4.117820333543674,-3.614194232010134
28,-3.9529719663806655,-4.129952641374043,-3.6408343965646957
28.5,-3.9689351936130253,-4.141607747021915,-3.6661295684897617
29,-3.984225726256308,-4.1528150539074336,-3.6901819551969943
29.5,-3.998888232646844,-4.163601516451518,-3.71308415918742
30,-4.012963388616403,-4.173991895793697,-3.734920150142993
30.5,-4.026488317895363,-4.184008983700415,-3.7557661503190944
31,-4.039496975967587,-4.193673799207637,-3.7756914346432957
31.5,-4.05202048547817,-4.203005761816369,-3.7947590496794517
32,-4.064087430044028,-4.212022844461062,-3.8130264571208525
33,-4.086954780873097,-4.2291778263663415,-3.847365955241408
34,-4.108285982235223,-4.245258380461569,-3.8790782361291325
35,-4.128241008477032,-4.260368249146348,-3.9084730389373554
