Frequency,Nominal,Min,Max
0.225,14735908.830096629,12134694.061361382,18582168.98357613
0.23,14402255.65743351,11854018.476135626,18168294.633841783
0.235,14082556.526823027,11585006.719433323,17771837.208659675
0.24,13775941.802203044,11326934.484685855,17391709.278252166
0.245,13481612.870248264,11079136.631429508,17026912.20093866
0.25,13198835.037022458,10841001.26588871,16676527.24401752
0.255,12926931.260314776,10611964.51798114,16339707.749246668
0.26,12665276.605165793,10391505.92099829,16015672.20230465
0.27,12170446.501475438,9974434.201677047,15403116.421388078
0.275,11936240.130096298,9776962.506064372,15113306.892291177
0.28,11710213.664365824,9586345.673233496,14833693.508046173
0.285,11491938.894873071,9402227.07947668,14563740.711118676
0.29,11281017.162571728,9224274.707853146,14302949.89196928
0.295,11077076.85359953,9052179.06072423,14050856.257585764
0.3,10879771.144618712,8885651.28106938,13807026.013160586
0.305,10688775.969929773,8724421.458626399,13571053.820978973
0.31,10503788.185320169,8568237.099989807,13342560.505219972
0.315,10324523.906789526,8416861.744451093,13121190.975346576
0.32,10150717.00502405,8270073.709641495,12906612.344177349
0.33,9818491.51291348,7989440.03677947,12496597.15201743
0.34,9505288.843000233,7724817.428282002,12110234.74070947
0.35,9209494.584330318,7474860.685322877,11745505.648655921
0.36,8929673.806578767,7238373.927558964,11400614.921047332
0.37,8664546.784656204,7014290.373610735,11073961.763668185
0.39,8173911.627864656,6599611.720334685,10469786.389121816
0.4,7946451.26820064,6407387.980367186,10189822.363894548
0.41,7729752.963756112,6224287.475716429,9923178.223188613
0.42,7523061.660105063,6049679.617283944,9668909.742355745
0.432,7287281.529616031,5850558.446330834,9378923.306899678
0.445,7045771.082124983,5646685.604695957,9081951.92379396
0.458,6817560.903992078,5454145.358819461,8801380.339308884
0.475,6537427.163001215,5217975.847553167,8457008.182495104
0.488,6335996.583660586,5048308.565745249,8209392.833326127
0.5,6159095.286009447,4899428.05771571,7991920.269607512
0.515,5949246.446932159,4722997.622110356,7733911.553716629
0.53,5750967.114680917,4556502.389919668,7490072.568123601
0.55,5503010.96111973,4348630.254251051,7185025.391270774
0.565,5328305.999106733,4202429.889572949,6969985.814050582
0.58,5162454.312917195,4063869.5494859773,6765732.9321493395
0.6,4953989.848876937,3890072.6668392406,6508807.088593274
0.615,4806405.616554772,3767308.7964126263,6326753.501191296
0.63,4665764.386106273,3650560.026813036,6153114.987312569
0.645,4531604.817941419,3539432.004109541,5987320.332090964
0.66,4403506.806308306,3433564.8088234267,5828850.082311016
0.675,4281086.888788299,3332629.163866102,5677230.779314479
0.688,4179310.6509877215,3248906.6625340343,5551033.792838626
0.7,4088732.1705733477,3174553.19263267,5438598.326210572
0.715,3979816.63642113,3085357.58221889,5303231.561642913
0.732,3861836.8122355808,2989016.956921846,5156367.728035793
0.75,3742840.380707745,2892162.723056479,5007965.917653236
0.765,3648044.381653903,2815250.832082314,4889527.073197637
0.78,3556989.2085775803,2741593.0382245462,4775561.840900795
0.8,3441059.531084094,2648145.7476304453,4630151.0880721845
0.82,3330995.0796932722,2559796.3940975987,4491738.952498192
0.84,3226402.4057383374,2476199.4468572508,4359848.904098321
0.86,3126923.080994529,2397039.3907383145,4234048.030996718
0.88,3032229.7645807746,2322027.44659275,4113942.072313019
0.9,2942022.7969790646,2250898.724100433,3999171.1163793984
0.92,2856027.2402925156,2183409.740724803,3889405.8629099927
0.94,2773990.2976962673,2119336.25200722,3784344.364920855
0.96,2695679.0562725924,2058471.3476430585,3683709.180233679
0.98,2620878.5065922495,2000623.7753187167,3587244.873855761
1,2549389.7999208393,1945616.4604516702,3494715.8219261514
1.02,2481028.710115821,1893285.1950363985,3405904.275658514
1.04,2415624.272392491,1843477.4729709595,3320608.6501127854
1.06,2353017.575378173,1796051.4526916058,3238642.007943067
1.08,2293060.6864043735,1750875.0308105166,3159830.7126991106
1.1,2235615.6929363213,1707825.0128422542,3084013.2299642386
1.12,2180553.8455114327,1666786.3691041816,3011039.057722763
1.15,2102168.322013828,1608766.3994154588,2906604.3670813437
1.18,2028501.538639624,1554697.2612575698,2807817.4699826827
1.2,1981842.7361318253,1520695.0290151364,2744900.7010112978
1.22,1937036.4436347564,1488230.234696842,2684209.987179832
1.25,1873110.545360875,1442246.3339688005,2597127.857092197
1.28,1812883.295903414,1399303.0551490474,2514511.0695267436
1.3,1774661.9438652631,1372252.44635757,2461769.970550064
1.32,1737903.5728849273,1346392.2745865027,2410804.65373749
1.35,1685367.4168738516,1309708.2436623052,2337522.902773212
1.38,1635771.682042226,1275390.9359919988,2267831.756927745
1.4,1604247.3984932955,1253744.3271855598,2223257.475611011
1.42,1573893.2288495502,1233028.628814231,2180121.5476301042
1.45,1530447.9821758424,1203605.3243421554,2117990.2837498803
1.48,1489367.1958351484,1176040.208725929,2058786.4370120359
1.5,1463221.2951747777,1158632.3207030413,2020860.301880612
1.55,1401909.5075696772,1118248.5236090454,1931109.9684333426
1.6,1345931.7030783435,1081947.4739598474,1848069.7610424298
1.65,1294773.024523575,1049283.2812054164,1771145.5205927836
1.7,1247975.642770654,1019862.4751238868,1699807.9577507528
1.75,1205131.1986926582,993337.1578081154,1633583.9068562496
1.8,1165874.4432470542,969399.2080510657,1572048.989834481
1.85,1129877.8580195059,947775.3433596529,1514821.4264246514
1.9,1096847.0825079773,928222.8859457007,1461556.782941249
1.95,1066517.00846107,907235.8648226468,1411943.4945830952
2,1038648.4282422172,887442.1088958487,1365699.0293148337
2.05,1013025.1452673322,869592.993249368,1322566.5869928205
2.1,989451.4713711758,853492.9467926426,1282312.247478114
2.15,967750.0494628887,838966.3563458471,1244722.4972964213
2.2,947759.9507518033,825855.4989933006,1209602.0769559992
2.25,929335.004700009,814018.7060463468,1176772.1010616578
2.3,912342.3270987283,801824.6731935594,1146068.4114273705
2.35,896661.0175879814,786633.0769908016,1117340.1299186065
2.4,882181.0027910951,772942.6469450993,1090448.3830750913
2.45,868802.0052140689,760616.5688649304,1065265.1749267504
2.5,856432.6213228448,749529.7184959598,1041672.3880145067
2.55,844989.4948876906,739567.7390653201,1019560.8956145099
2.6,834396.5738787614,730626.1960871727,998829.7706573674
2.7,815489.7094050319,715431.6720217351,961141.7458756504
2.75,807054.4764287036,709012.6944743524,944017.987924911
2.8,799225.8290189689,703280.8614047681,929220.0419865437
2.85,791955.3955690392,698170.7054792157,919068.016720968
