Frequency,Nominal,Min,Max
0.225,-93.66507522922544,-97.06332060878262,-89.97543907935874
0.23,-93.73759523138378,-97.20721502351407,-89.9707071819574
0.235,-93.80954698727119,-97.35028440585951,-89.96570795902174
0.24,-93.88092026141337,-97.4925145891764,-89.96043651497945
0.245,-93.9517049423681,-97.6338916200842,-89.95488800930197
0.25,-94.02189104413051,-97.77440176015178,-89.94905765727022
0.255,-94.09146870747838,-97.91403148744635,-89.94294073071588
0.26,-94.16042820125189,-98.05276749794673,-89.93653255874264
0.27,-94.29645440298991,-98.32750624959537,-89.92282408548371
0.275,-94.36350229959099,-98.46348348312056,-89.91551473493695
0.28,-94.42989440601124,-98.59851598650599,-89.90789604173159
0.285,-94.49562164841073,-98.73259156185146,-89.89996363134999
0.29,-94.56067508737769,-98.86569823487994,-89.89171319039359
0.295,-94.62504591877244,-98.99782425544115,-89.88314046714481
0.3,-94.68872547450867,-99.12895809789114,-89.8742412721041
0.305,-94.75170522327653,-99.25908846135239,-89.86501147850583
0.31,-94.81397677120313,-99.38820426985096,-89.85544702280964
0.315,-94.8755318624554,-99.51629467233973,-89.84554390517035
0.32,-94.9363623797829,-99.64334904260546,-89.83529818988367
0.33,-95.0558179194236,-99.89430830443911,-89.81376354676998
0.34,-95.1722812407511,-100.14100153177341,-89.79081290615892
0.35,-95.28569243679392,-100.3833517739757,-89.76641713170802
0.36,-95.39599385038849,-100.62128563160235,-89.74054814831318
0.37,-95.50313007814393,-100.85473322841725,-89.71317895095106
0.39,-95.70769663204717,-101.30790754204183,-89.65383728779328
0.4,-95.80502741009386,-101.52751179047674,-89.62181622224013
0.41,-95.89899389184248,-101.74238474750557,-89.5881977511808
0.42,-95.98955189008022,-101.95247354019129,-89.55296030386529
0.432,-96.09366334348671,-102.19819534260442,-89.50850956449037
0.445,-96.20076470658056,-102.45644693458895,-89.45765197831557
0.458,-96.30187381892284,-102.70634332462613,-89.40394538855743
0.475,-96.42492814272526,-103.02038490008053,-89.32935500177858
0.488,-96.51193339447096,-103.25069244476832,-89.26894059532925
0.5,-96.58672924103419,-103.45565010810923,-89.2105493794332
0.515,-96.67270857089483,-103.70147049748176,-89.1339857495547
0.53,-96.75026669153452,-103.93568971773227,-89.05341739889116
0.55,-96.84046444838934,-104.22982562741579,-88.9397117021799
0.565,-96.8981312584018,-104.4367443467336,-88.84968996034328
0.58,-96.94719212082636,-104.63189159416136,-88.7555822492523
0.6,-96.9991591513156,-104.87373109204688,-88.62372657071687
0.615,-97.02801554088558,-105.0413226968892,-88.52004037866413
0.63,-97.04817999181788,-105.19708963820214,-88.41224135515738
0.645,-97.05964434682483,-105.34103554067896,-88.30033139242441
0.66,-97.06240806280728,-105.47317207189758,-88.18431674307884
0.675,-97.05647791522335,-105.5935184097943,-88.06420788238805
0.688,-97.04431657634038,-105.68830167444644,-87.95681292351588
0.7,-97.02731518071091,-105.76796926261423,-87.85496952386355
0.715,-96.99828703346985,-105.85702050822063,-87.72402455989804
0.732,-96.95498052824442,-105.9438476677708,-87.5707596115856
0.75,-96.89713205949712,-106.01953129994025,-87.4028946106136
0.765,-96.83955444221802,-106.06989785715001,-87.25865881836204
0.78,-96.77351124384785,-106.10877839419292,-87.11050821820733
0.8,-96.67238103584712,-106.14286076944587,-86.90695220775578
0.82,-96.55644371357266,-106.15679389531101,-86.6966065740614
0.84,-96.42585785286332,-106.1507467493656,-86.47958020464472
