Frequency,Nominal,Min,Max
0.225,-0.008197888267989157,-0.056430469992103764,0.02336234413281828
0.23,-0.008584651007538887,-0.05896619029534443,0.02439784851296275
0.235,-0.008981542502722357,-0.06155761884283094,0.02545482723434686
0.24,-0.009388668489168086,-0.06420475329719716,0.02653319551452248
0.245,-0.009806136923928885,-0.06690759117463455,0.027632866636290256
0.25,-0.01023405798185633,-0.06966612983902906,0.02875375194069444
0.255,-0.010672544051844354,-0.0724803664959837,0.029895760819879928
0.26,-0.011121709732965985,-0.07535029818676493,0.031058800709844188
0.27,-0.012052549351932564,-0.0812572339760283,0.033447593440642596
0.275,-0.012534463502573912,-0.08429423127939392,0.034673151305326236
0.28,-0.013027537681441832,-0.08738691001357206,0.03591935021299232
0.285,-0.013531897476719415,-0.0905352663038766,0.037186087705102656
0.29,-0.014047670661243423,-0.09373929607297536,0.03847325932055363
0.295,-0.014574987187810508,-0.09699899503421291,0.039780758587498334
0.3,-0.015113979184384459,-0.10031435868482852,0.04110847701504697
0.305,-0.015664780949158044,-0.10368538229913257,0.0424563040848186
0.31,-0.016227528945533146,-0.10711206092158271,0.04382412724238983
0.315,-0.016802361796885858,-0.11059438935978358,0.045211831888617514
0.32,-0.017389420281261364,-0.11413236217742434,0.046619301370846467
0.33,-0.018600788001829745,-0.12137521794322917,0.04949305791136772
0.34,-0.019862801214340954,-0.12884057957708017,0.052444422230245674
0.35,-0.021176663136920543,-0.13652839407033984,0.055472386254273254
0.36,-0.0225436109036235,-0.14443860380976023,0.058575908168618546
0.37,-0.02396491535975161,-0.1525711463357789,0.06175391210753678
0.39,-0.026975844980443826,-0.16950295420314443,0.0683288904378744
0.4,-0.028568178409943246,-0.17830206817067926,0.07172353996443538
0.41,-0.03022028457752065,-0.1873232116716061,0.07518802112093463
0.42,-0.03193359945855096,-0.19656629427538735,0.07872108291396468
0.432,-0.034072442355061,-0.20795081627013906,0.08304946879922648
0.445,-0.03649438875107386,-0.22064433280647913,0.08784524184276164
0.458,-0.03902870095003765,-0.2337123032709147,0.09274902928128229
0.475,-0.04251814655823195,-0.2513657425671396,0.09931944474316369
0.488,-0.04532518838418529,-0.2652967760386132,0.10446039585827667
0.5,-0.04802646148295801,-0.2784876910511342,0.1092923013038252
0.515,-0.05155639256064413,-0.2954234359275191,0.1154445557623787
0.53,-0.055262225769716566,-0.3128554280412903,0.12171650026395717
0.55,-0.060487451744115475,-0.3368689566249714,0.1302553443866457
0.565,-0.06462752322838976,-0.35545638851912287,0.13678392750124413
0.58,-0.06896423285856351,-0.37453783089894993,0.14341229767515465
0.6,-0.07506367553169943,-0.40074685523905573,0.1523942120300861
