Frequency,Nominal,Min,Max
0.225,3.8274825675550567e-7,3.780224902501156e-7,3.882880565434134e-7
0.23,3.8298672380032426e-7,3.78162064994607e-7,3.8866049695811553e-7
0.235,3.8323021399479626e-7,3.7830463351881273e-7,3.890405828345014e-7
0.24,3.8347871328889857e-7,3.7845019104305644e-7,3.894282795398575e-7
0.245,3.8373220734706214e-7,3.7859873268836686e-7,3.8982355175667036e-7
0.25,3.8399068154914874e-7,3.7875025347669187e-7,3.902263634860218e-7
0.255,3.8425412099144167e-7,3.7890474833111206e-7,3.9063667805101497e-7
0.26,3.84522510487648e-7,3.790622120760624e-7,3.910544581002325e-7
0.27,3.850740774898496e-7,3.793860250433956e-7,3.919122618940163e-7
0.275,3.8535722321956787e-7,3.7955236342343243e-7,3.9235220759466446e-7
0.28,3.856452554527316e-7,3.797216490097688e-7,3.927994626988091e-7
0.285,3.85938157605612e-7,3.7989387613700724e-7,3.9325398653527136e-7
0.29,3.862359128181578e-7,3.8006903904248627e-7,3.937157377796652e-7
0.295,3.8653850395507284e-7,3.802471318665219e-7,3.94184674458033e-7
0.3,3.8684591360690456e-7,3.804281486526509e-7,3.946607539504993e-7
0.305,3.8715812409114017e-7,3.8061208334787723e-7,3.951439329949472e-7
0.31,3.874751174533113e-7,3.807989298029233e-7,3.9563416769071003e-7
0.315,3.8779687546810853e-7,3.809886817724805e-7,3.9613141350228247e-7
0.32,3.8812337964050306e-7,3.811813329154646e-7,3.9663562526304814e-7
0.33,3.887905511361491e-7,3.815753068800495e-7,3.9766476283261347e-7
0.34,3.894764786287085e-7,3.8198079906234435e-7,3.9872120658687773e-7
0.35,3.901810045641275e-7,3.8239775531234445e-7,3.998045728566555e-7
0.36,3.9090396718294686e-7,3.8282611997296054e-7,4.0091446823796254e-7
0.37,3.916452005577885e-7,3.8326583588874667e-7,4.020504897147225e-7
0.39,3.931817952537081e-7,3.8417908542557133e-7,4.0439925157188745e-7
0.4,3.9397680422242014e-7,3.84652497324336e-7,4.0561113897570614e-7
0.41,3.947893793195344e-7,3.851370170520583e-7,4.0684744677317286e-7
0.42,3.956193343513528e-7,3.8563258009690166e-7,4.0810772575800076e-7
0.432,3.9663795392482236e-7,3.862417399632772e-7,4.0965105693734115e-7
0.445,3.977690018324523e-7,3.8691936586379324e-7,4.113602696737183e-7
0.458,3.989282681686328e-7,3.87615254141773e-7,4.1310721940309265e-7
0.475,4.004860623613847e-7,3.8855255701519956e-7,4.154468412483341e-7
0.488,4.0170871847824033e-7,3.8928998608773733e-7,4.1727673477714495e-7
0.5,4.028610281434904e-7,3.899864305650495e-7,4.189961530704208e-7
0.515,4.0433282162675624e-7,3.908780280038273e-7,4.211848976863438e-7
0.53,4.058388026242272e-7,3.9179275659006876e-7,4.234158170853848e-7
0.55,4.078986141364044e-7,3.930479038769282e-7,4.2645279861394366e-7
0.565,4.094813181290095e-7,3.9401553235873886e-7,4.2877491355653757e-7
0.58,4.110955556160757e-7,3.950053564421673e-7,4.311329358363246e-7
0.6,4.132954822658185e-7,3.963591376925364e-7,4.3432943816702656e-7
0.615,4.1498003021195166e-7,3.9739959343419714e-7,4.367635871828015e-7
0.63,4.166932718332665e-7,3.984612367491079e-7,4.392270054059582e-7
0.645,4.184343207924749e-7,3.995437515308503e-7,4.4171763675334297e-7
0.66,4.202022754935435e-7,4.0064681549220377e-7,4.4423339801662296e-7
0.675,4.219962194395262e-7,4.017701002451722e-7,4.467721805085688e-7
0.688,4.2357127400841044e-7,4.027597117478819e-7,4.489894326187581e-7
0.7,4.250413447478493e-7,4.036862656318075e-7,4.510488411608347e-7
0.715,4.2690000336530133e-7,4.048618215150222e-7,4.536385296467095e-7
0.732,4.290336394153077e-7,4.062170266906319e-7,4.565916463203364e-7
0.75,4.3132270451622136e-7,4.076779254173324e-7,4.5973604928699565e-7
0.765,4.3325255065134004e-7,4.0891530731597797e-7,4.6236747921278753e-7
0.78,4.3520158556481873e-7,4.1017044728160336e-7,4.65006612931325e-7
0.8,4.3782838081030464e-7,4.1187094325761636e-7,4.68533564686635e-7
0.82,4.404850202009339e-7,4.1360144126395525e-7,4.7206489235209065e-7
0.84,4.4316901868943564e-7,4.153610228344011e-7,4.75595254050642e-7
0.86,4.4587786033987307e-7,4.1714875331255593e-7,4.791193099186665e-7
0.88,4.486090006637712e-7,4.1896368223308457e-7,4.827869326506536e-7
0.9,4.513598690806158e-7,4.2080484371193506e-7,4.867374339349102e-7
0.92,4.541278715079718e-7,4.2267125684662586e-7,4.907055454250679e-7
0.94,4.5691039308557323e-7,4.2456192612773425e-7,4.946865645229572e-7
0.96,4.59704801036727e-7,4.2647584186274905e-7,4.986757142084962e-7
0.98,4.625084476692429e-7,4.2841198061347493e-7,5.026681501928107e-7
1,4.653186735168967e-7,4.3036930564818956e-7,5.066589688477944e-7
1.02,4.68132810621107e-7,4.323467674097557e-7,5.106432159173194e-7
1.04,4.70948185951139e-7,4.3434330400088465e-7,5.146158960068669e-7
1.06,4.7376212495968246e-7,4.363578416877243e-7,5.185719828393178e-7
1.08,4.7657195526915635e-7,4.383892954229212e-7,5.225064302550918e-7
1.1,4.793750104825509e-7,4.4014569691943117e-7,5.264141839248835e-7
1.12,4.821686341110589e-7,4.415451108063216e-7,5.302901937330294e-7
1.15,4.863356095915171e-7,4.4360632570423965e-7,5.360336872686482e-7
1.18,4.904665846234774e-7,4.4561908513521315e-7,5.416775988885351e-7
1.2,4.931962583581531e-7,4.469324686982767e-7,5.453766825774101e-7
1.22,4.959035110274172e-7,4.4822209048228704e-7,5.490193079473235e-7
1.25,4.999168719914899e-7,4.5011024650772604e-7,5.549661776957368e-7
1.28,5.038658517088865e-7,4.5194070487971547e-7,5.620787874345435e-7
1.3,5.064587452801487e-7,4.5312786138151894e-7,5.668194651090883e-7
1.32,5.090171117950603e-7,4.542878068221105e-7,5.715542100355885e-7
1.35,5.127849806537504e-7,4.5597554408008016e-7,5.786354376915706e-7
1.38,5.164626885050062e-7,4.5759925657389116e-7,5.856779144402336e-7
1.4,5.188609092684024e-7,4.5864547962494557e-7,5.903436267947875e-7
1.42,5.212139210990517e-7,4.596622910137753e-7,5.949804162583355e-7
1.45,5.246544923694588e-7,4.6113171528512476e-7,6.018709233398747e-7
1.48,5.27982900916583e-7,4.6253346522022584e-7,6.086693716750392e-7
1.5,5.301366898897706e-7,4.6343005409013087e-7,6.131424634774788e-7
1.55,5.352817837176112e-7,4.6553793704799575e-7,6.24082696974585e-7
1.6,5.400676443221037e-7,4.6745431709215635e-7,6.346166173663903e-7
1.65,5.444759313953937e-7,4.6917952758791964e-7,6.446711194762453e-7
1.7,5.48492221736216e-7,4.70715148002703e-7,6.541764369330427e-7
1.75,5.521060605821865e-7,4.720638690910525e-7,6.630676012137167e-7
1.8,5.553109357856099e-7,4.7322935967305133e-7,6.712858559559132e-7
1.85,5.581041773935087e-7,4.742161368010754e-7,6.787799570885198e-7
1.9,5.604867881196644e-7,4.750294408228447e-7,6.855072915730349e-7
1.95,5.624632126977369e-7,4.7567511656581e-7,6.914347554941749e-7
2,5.640410560398398e-7,4.761595015957876e-7,6.965393454350193e-7
2.05,5.652307614107123e-7,4.7648932224702586e-7,7.0080843437735e-7
2.1,5.660452604396893e-7,4.766715978859822e-7,7.042397230832351e-7
2.15,5.664996067617691e-7,4.7671355366018776e-7,7.068408780297013e-7
2.2,5.666106044813486e-7,4.7662254179863814e-7,7.086288854650134e-7
2.25,5.663964415958562e-7,4.7640597137198586e-7,7.096291662996599e-7
2.3,5.658763371274105e-7,4.760712462892807e-7,7.098745071231567e-7
2.35,5.650702091185287e-7,4.7562571120211835e-7,7.094038680796018e-7
2.4,5.639983689746854e-7,4.750766049052221e-7,7.082611287227892e-7
2.45,5.626812459878207e-7,4.7443102076259286e-7,7.064938289406432e-7
2.5,5.611391443346771e-7,4.736958736481048e-7,7.041519546071045e-7
2.55,5.593920334725239e-7,4.72877872866215e-7,7.012868079904615e-7
2.6,5.574593716897083e-7,4.7198350050980987e-7,6.979499923225874e-7
2.7,5.531118358600609e-7,4.6999033729070726e-7,6.900641191552621e-7
2.75,5.507321701444998e-7,4.689032452044221e-7,6.856125427405271e-7
2.8,5.482372215600858e-7,4.677631654662219e-7,6.808832023843486e-7
2.85,5.456422886818629e-7,4.665752729405391e-7,6.759187886587196e-7
2.9,5.42961690833259e-7,4.6534447068239745e-7,6.707590609434392e-7
2.95,5.402087635701368e-7,4.640753924118534e-7,6.654407260650705e-7
3,5.373958676875551e-7,4.6277240677982533e-7,6.599973993454473e-7
3.05,5.345344092431518e-7,4.6143962311197764e-7,6.544596327254261e-7
3.1,5.31634868324849e-7,4.600808983503442e-7,6.488549956579318e-7
3.15,5.287068345403766e-7,4.5869984494391246e-7,6.432081958884217e-7
3.2,5.257590474589803e-7,4.5729983946906434e-7,6.375412288706287e-7
3.3,5.198351868524054e-7,4.544553545822138e-7,6.26222235530315e-7
3.4,5.139179144336745e-7,4.515700950766714e-7,6.150263650933058e-7
3.5,5.080512008163689e-7,4.486635515714679e-7,6.040500058591211e-7
3.6,5.022698295739737e-7,4.457523673911577e-7,5.933631992890115e-7
3.7,4.966007766273364e-7,4.4285064305161906e-7,5.830147226999147e-7
3.9,4.856758658345816e-7,4.371209746086265e-7,5.634473218424615e-7
4,4.804454850100139e-7,4.3431101488887145e-7,5.542558949023129e-7
4.1,4.753801732066589e-7,4.3154695476880743e-7,5.456387097370268e-7
4.2,4.704838393315259e-7,4.279638412487419e-7,5.389707576793803e-7
4.32,4.6483334480464326e-7,4.2334722816110725e-7,5.311658280567946e-7
4.45,4.5898801895745557e-7,4.186533227803111e-7,5.229823098324178e-7
4.58,4.534250931978885e-7,4.142574783742223e-7,5.15103643025929e-7
4.75,4.4656380659364054e-7,4.0892381551961793e-7,5.052812034055967e-7
4.88,4.416207203578698e-7,4.0513725171029406e-7,4.981427750572273e-7
5,4.3728117469129687e-7,4.0184916172352807e-7,4.918388271954781e-7
5.15,4.3214403509686333e-7,3.9799798804966816e-7,4.84337024844408e-7
5.3,4.2730923378462176e-7,3.944121591905528e-7,4.783726061274523e-7
5.5,4.2130203984116706e-7,3.900061012279227e-7,4.7084219046150305e-7
5.65,4.171033338482241e-7,3.869572685602915e-7,4.6545067754714723e-7
5.8,4.131488324594716e-7,3.8410782565073456e-7,4.602791379093137e-7
6,4.082286216067495e-7,3.805911732224338e-7,4.537213141461294e-7
6.15,4.0478348132869704e-7,3.7814699202647584e-7,4.4905014225955265e-7
6.3,4.01532878847833e-7,3.7585408467339735e-7,4.4458421138838144e-7
6.45,3.9846385557676654e-7,3.737007394409506e-7,4.403166210768997e-7
6.6,3.9556432344339013e-7,3.716762933341415e-7,4.362399342150215e-7
6.75,3.92823029090747e-7,3.6977103086435587e-7,4.323464029500509e-7
6.88,3.9056713232243686e-7,3.6820934132537133e-7,4.2911406778172384e-7
7,3.885777719811315e-7,3.6683673466979795e-7,4.2624277457504234e-7
7.15,3.862093103358022e-7,3.652080462031121e-7,4.227991392978456e-7
7.32,3.8367380275985877e-7,3.6347098554770144e-7,4.1908268775535145e-7
7.5,3.8114915004395734e-7,3.6174791729030565e-7,4.153518043943437e-7
7.65,3.791621105686289e-7,3.6039629210634607e-7,4.123943715669162e-7
7.8,3.772741469522781e-7,3.591156970546856e-7,4.0956743488695805e-7
8,3.749003535405355e-7,3.5751052410463766e-7,4.0598983358665145e-7
8.2,3.7267830354073684e-7,3.560128936444848e-7,4.026177522573921e-7
8.4,3.705958180594682e-7,3.5461359490957705e-7,3.994373426013602e-7
8.6,3.686418560798377e-7,3.533043604649854e-7,3.9643568189342624e-7
8.8,3.6680639827581775e-7,3.5207775565383174e-7,3.936007398249573e-7
9,3.650803427787151e-7,3.5092708236975533e-7,3.909213365084339e-7
9.2,3.6345541187726724e-7,3.4984629516633544e-7,3.8838709545199864e-7
9.4,3.619240686281727e-7,3.488299280003553e-7,3.859883941962871e-7
9.6,3.6047944239057753e-7,3.4787303015062886e-7,3.837163144888135e-7
9.8,3.591152623581829e-7,3.4697111006408195e-7,3.8156259327539473e-7
10,3.578257982344885e-7,3.461200860603066e-7,3.7951957535557463e-7
10.2,3.5660580727274773e-7,3.453162429789512e-7,3.7758016823677244e-7
10.4,3.5545048697783716e-7,3.44556193984829e-7,3.7573779949818556e-7
10.6,3.5435543283962994e-7,3.4383684685680187e-7,3.739863768168074e-7
10.8,3.533166005350707e-7,3.4315537418117983e-7,3.7232025069695093e-7
11,3.523302720982407e-7,3.425091869510888e-7,3.707341798685457e-7
11.2,3.513930256140393e-7,3.418959111420581e-7,3.692232992687294e-7
11.5,3.5007235473739086e-7,3.41032986384455e-7,3.670881640718258e-7
11.8,3.488454479467833e-7,3.402326152427197e-7,3.650981868602125e-7
12,3.480753362558335e-7,3.3973086191413785e-7,3.6384595420289775e-7
12.2,3.473407776600668e-7,3.392527203205455e-7,3.626492736095279e-7
12.5,3.4630098722630566e-7,3.385766372412727e-7,3.6095157631736404e-7
12.8,3.4532989021924665e-7,3.3794599613920644e-7,3.5936207216256575e-7
13,3.447177358402632e-7,3.3754883785648066e-7,3.5835812922210853e-7
13.2,3.4413191104922087e-7,3.371690355105282e-7,3.573959519985315e-7
13.5,3.432993435134316e-7,3.366297205418632e-7,3.5602614316632247e-7
13.8,3.425181612162744e-7,3.361241722224568e-7,3.5473835387124583e-7
14,3.4202387311368686e-7,3.3580452698158967e-7,3.5392225666136143e-7
14.2,3.415494695365298e-7,3.3549791140926954e-7,3.531380774379005e-7
14.5,3.408728795233525e-7,3.3506090470371315e-7,3.520181484503807e-7
14.8,3.402354430981437e-7,3.3464948933913325e-7,3.509613809701325e-7
15,3.3983077027764955e-7,3.3438845412348197e-7,3.5028967335188896e-7
15.5,3.3888429719252614e-7,3.3377837145863434e-7,3.487161608596054e-7
