Frequency,Nominal,Min,Max
0.225,-8.32707451256285,-10.506032914926749,-6.32329743009175
0.23,-8.51309459047842,-10.741427241283128,-6.464246368693031
0.235,-8.699178111465704,-10.976946141897697,-6.605223543486615
0.24,-8.885326370084817,-11.212592053988777,-6.746229546968119
0.245,-9.071540655380606,-11.448367397036712,-6.887264970248319
0.25,-9.257822250759753,-11.684274572380865,-7.028330403022833
0.255,-9.444172433867518,-11.920315962815272,-7.169426433541746
0.26,-9.630592476464171,-12.156493932183022,-7.310553648579137
0.27,-10.003647196996717,-12.629268965892996,-7.592903971742727
0.275,-10.190284387911674,-12.865870659497372,-7.734128245762431
0.28,-10.37699646402428,-13.102618189738985,-7.875386036026352
0.285,-10.563784665805136,-13.339513819575657,-8.016677921470116
0.29,-10.750650227091706,-13.576559790553107,-8.158004479369561
0.295,-10.937594374962421,-13.813758322390303,-8.299366285309931
0.3,-11.124618329610525,-14.0511116125636,-8.440763913154923
0.305,-11.31172330421753,-14.288621835889769,-8.582197935015829
0.31,-11.498910504826428,-14.526291144107725,-8.723668921220469
0.315,-11.686181130214466,-14.764121665459191,-8.865177440282137
0.32,-11.873536371765638,-15.002115504268259,-9.006724058868492
0.33,-12.248505431159929,-15.47860142943677,-9.289933851870463
0.34,-12.62382706135057,-15.955765259807544,-9.573302795468035
0.35,-12.99951051417127,-16.433622925806805,-9.856835353370233
0.36,-13.375564910810386,-16.912189934462123,-10.140535956746467
0.37,-13.751999237652608,-17.391481355718224,-10.42440900321576
0.39,-14.506042928378056,-18.352295447966554,-10.99268984206334
0.4,-14.88366955331124,-18.833845949655373,-11.277106252772272
0.41,-15.261710622095729,-19.316176497706042,-11.561712341185144
0.42,-15.640174384043208,-19.79929976999214,-11.846512321862342
0.432,-16.094900231362836,-20.38011117372253,-12.188534111808487
0.445,-16.588235750876176,-21.01065458896862,-12.559387849203292
0.458,-17.082332220473287,-21.64260556984138,-12.930593649509309
0.475,-17.72963378099816,-22.47116370312539,-13.416562518815837
0.488,-18.225548045089717,-23.106445160584556,-13.78861427507772
0.5,-18.684036514611268,-23.69416741450347,-14.132384452314463
0.515,-19.25813905537712,-24.43060718535183,-14.562563504996083
0.53,-19.83336388711284,-25.169053399955597,-14.993272528254337
0.55,-20.602111508732914,-26.156802257623056,-15.568397061509744
0.565,-21.180033139537255,-26.899999042930123,-16.000390541494127
0.58,-21.759141382010462,-27.645252841458607,-16.43295436153692
0.6,-22.533160511651708,-28.642136580339077,-17.0106131653566
0.615,-23.11510101913053,-29.39221225233583,-17.44455202405046
0.63,-23.698279667771637,-30.14435475998568,-17.8790984283944
0.645,-24.28270924150096,-30.89855862443649,-18.31426287700542
0.66,-24.86840123265616,-31.654814338864444,-18.750055547581724
0.675,-25.455365810497167,-32.41310829752518,-19.186486288502124
0.688,-25.965104674920077,-33.07193148129749,-19.565249751992393
0.7,-26.43649139381223,-33.681410817855735,-19.915314465758946
0.715,-27.026888858154685,-34.44504171885563,-20.35349228015795
0.732,-27.697575403399863,-35.31284842610809,-20.85090568770845
0.75,-28.409536944609282,-36.23438085345947,-21.378531629408144
0.765,-29.004272665867195,-37.00438150391404,-21.81897810679934
0.78,-29.600312580075958,-37.77620565127629,-22.260121666024013
0.8,-30.39705842569956,-38.80805707491141,-22.849409315430716
0.82,-31.196112142434526,-39.84293742210061,-23.439963721655857
0.84,-31.99746076454661,-40.88070605046945,-24.03179883099107
0.86,-32.80108615016242,-41.921208346752024,-24.624927241892173
0.88,-33.606964897087025,-42.96427584913426,-25.219360171078577
0.9,-34.415068266950044,-44.00972642745535,-25.81510742009435
0.92,-35.225362118338964,-45.057364522844814,-26.412177342401367
0.94,-36.03780684957586,-46.10698144794882,-27.01057681107879
0.96,-36.85235735178527,-47.15835574843372,-27.610311187205536
0.98,-37.668962972888345,-48.2112536259536,-28.21138428900567
1,-38.48756749313913,-49.26542942223709,-28.81379836183957
1.02,-39.30810911279477,-50.320626163391935,-29.417554049125847
1.04,-40.130520452480475,-51.37657616295446,-30.02265036428189
1.06,-40.954728566773795,-52.433001681628625,-30.629084663772787
1.08,-41.78065497149035,-53.48961564107921,-31.236852621360374
1.1,-42.60821568510383,-54.54612238857117,-31.84594820364584
1.12,-43.4373212846793,-55.602218508694925,-32.4563636470007
1.15,-44.68366753654476,-57.18491225978993,-33.374440252537276
1.18,-45.93293314051064,-58.76491071667204,-34.29542511162718
1.2,-46.7672180210974,-59.816205589854476,-34.911007036776205
1.22,-47.60252205976341,-60.86548744576887,-35.52784335328513
1.25,-48.857125154231895,-62.43491161711254,-36.45540875232505
1.28,-50.11332564568906,-63.99794096889841,-37.38568402282397
1.3,-50.951460433461804,-65.03585492525923,-38.007334021069795
1.32,-51.78996970450584,-66.07009953842547,-38.630127191433346
1.35,-53.04812576208431,-67.61387241330738,-39.56639901650254
1.38,-54.306314036209564,-69.14756816855412,-40.5050781630417
1.4,-55.144873865047195,-70.16390847372732,-41.132147146417566
1.42,-55.98306839379824,-71.17499126389941,-41.76020158259327
1.45,-57.2393318720214,-72.68110462003038,-42.70404934268017
1.48,-58.49388229760377,-74.1737398841956,-43.64989769321825
1.5,-59.3290276097482,-75.16088021541408,-44.28150500150122
1.55,-61.41141802642871,-77.59900159239533,-45.86384360907956
1.6,-63.48391907365233,-79.99163764774012,-47.450327077031204
1.65,-65.54393630321111,-82.33540086315841,-49.04015279987646
1.7,-67.58889540225142,-84.6273735560871,-50.63245743325611
1.75,-69.61627189318227,-86.86511993371576,-52.22632137685181
1.8,-71.62361926439891,-89.04668515368161,-53.82077393062043
1.85,-73.60859487121778,-91.17058305585549,-55.41479907742499
1.9,-75.5689830480209,-93.2357745130691,-57.007341830000804
1.95,-77.5027149951799,-95.24163846510481,-58.59731506600995
2,-79.40788513945327,-97.18793767395194,-60.18360676227009
2.05,-81.28276380552528,-99.07478110108347,-61.76508752862178
2.1,-83.12580617095912,-100.90258459351617,-63.34061833377286
2.15,-84.93565760000043,-102.67203130702221,-64.90905831018597
2.2,-86.71115555790425,-104.38403301979194,-66.46927252289028
2.25,-88.45132839313061,-106.03969321979397,-68.02013958810048
2.3,-90.1553913380767,-107.64027259943863,-69.56055903167282
2.35,-91.82274011991137,-109.18715737147208,-71.08945828453707
2.4,-93.45294259290074,-110.68183063499617,-72.60579922200769
2.45,-95.0457288047702,-112.1258468710383,-74.10858416587801
2.5,-96.6009798952342,-113.52080953146614,-75.59686128194149
2.55,-98.1187161982604,-114.86835159987474,-77.06972932051274
2.6,-99.5990848843562,-116.17011894411846,-78.52634166306593
2.7,-102.44886722504047,-118.64289524889341,-81.38770520936716
2.75,-103.8190973502012,-119.81714514420447,-82.79106271668793
2.8,-105.15356898456734,-120.95208474725176,-84.17538023671597
2.85,-106.4528802762739,-122.04925634018215,-85.54012004950302
2.9,-107.71768594406556,-123.11016090070169,-86.88480858044367
2.95,-108.94868761129597,-124.13625453957002,-88.20903575762952
3,-110.14662491441999,-125.12894596372875,-89.51245385517002
3.05,-111.31226739744666,-126.08959480401823,-90.7947758811796
3.1,-112.44640718583746,-127.01951066496082,-92.05577357111659
3.15,-113.54985241921446,-127.91995277166963,-93.29527504754455
3.2,-114.6234214115619,-128.79213010526817,-94.5131622063688
3.3,-116.68422453734308,-130.45627865360808,-96.88387288390454
3.4,-118.63538654111359,-132.02065075587606,-99.16792509624615
3.5,-120.48337331755258,-133.49319801254364,-101.36600516759636
3.6,-122.23446160520415,-134.88117560718845,-103.47936506114738
3.7,-123.89468004872506,-136.19119325383693,-105.50972392093016
3.9,-126.96516869535154,-138.60087242695698,-109.3301037961429
4,-128.38598907806696,-139.71098983831791,-111.12510738374303
4.1,-129.7370294873559,-140.76415410896215,-112.84693402272516
4.2,-131.02277427585196,-141.76449535953256,-114.49842430181043
4.32,-132.48534519142336,-142.90045573358415,-116.39143340704085
4.45,-133.97820262610983,-144.05815080304066,-118.33837879052905
4.58,-135.38333940495932,-145.14649850163804,-120.1834602186903
4.75,-137.10008970730124,-146.47491058468168,-122.45267434978655
4.88,-138.3285761490885,-147.42490349913504,-124.0855715258159
5,-139.40312498904038,-148.25560853533807,-125.51940105317651
5.15,-140.67233819490625,-149.2366756861946,-127.21893047467358
5.3,-141.86596482949142,-150.15935011063098,-128.8224179100227
5.5,-143.35080841351294,-151.3074122535005,-130.82304732256824
5.65,-144.39172709960158,-152.11255799847686,-132.22880494500214
5.8,-145.37587455195853,-152.87412876170978,-133.55989561125156
6,-146.6074022999032,-153.82770781688055,-135.2277349486641
6.15,-147.47567157093638,-154.50046784961316,-136.4047005682754
6.3,-148.30041098502178,-155.13989576253718,-137.52323297861028
6.45,-149.08480029437655,-155.7484334591437,-138.5873690320906
6.6,-149.8317241551713,-156.32829135459332,-139.60081502259084
6.75,-150.54380435128104,-156.8814748835386,-140.56697473173477
6.88,-151.13460658083068,-157.34073771188167,-141.36848774853937
7,-151.65956254553413,-157.74904981576213,-142.0805397660291
7.15,-152.28983774484584,-158.23958449919218,-142.93521783532313
7.32,-152.9715346304453,-158.77053075149192,-143.859260015479
7.5,-153.65820787294115,-159.30578162459616,-144.78957044798145
7.65,-154.20473508429794,-159.7321108427454,-145.52960587634286
7.8,-154.72940978558373,-160.14166989315993,-146.23966889894203
8,-155.39721567894384,-160.66336151628306,-147.14283304996974
8.2,-156.03128072220338,-161.1591292518161,-147.99967371424248
8.4,-156.63413434786912,-161.63090002117607,-148.81365334314367
8.6,-157.20806051999588,-162.08041453476883,-149.58790626419648
8.8,-157.75512655507947,-162.50924925195847,-150.3252751829803
9,-158.27720803103037,-162.9188353148769,-151.0283431871143
9.2,-158.7760103783829,-163.31047492901791,-151.69946183212423
9.4,-159.25308764947746,-163.6853555815697,-152.34077581729903
9.6,-159.7098588803188,-164.04456242194428,-152.95424469454804
9.8,-160.1476223929588,-164.3890890748205,-153.54166199517775
10,-160.56756833098012,-164.719847111749,-154.10467210827244
10.2,-160.97078967485024,-165.03767437103969,-154.64478519955117
10.4,-161.35829194586066,-165.34334228571822,-155.16339042060685
10.6,-161.73100177566718,-165.63756235458854,-155.66176762469266
10.8,-162.08977449197707,-165.92099187089568,-156.14109777608115
11,-162.43540084876105,-166.19423900597593,-156.6024722149074
11.2,-162.76861301076,-166.4578673309862,-157.04690091778022
11.5,-163.24662637090844,-166.8364084172537,-157.68379960630404
11.8,-163.70031520258257,-167.196087847601,-158.2875415165842
12,-163.99019559296,-167.42611705701236,-158.6729023194222
12.2,-164.2706118484632,-167.64880340217968,-159.04537970463034
12.5,-164.67452123342542,-167.9698618927392,-159.58135485208342
12.8,-165.0596717180132,-168.27636086026237,-160.09182406664345
13,-165.3066816172149,-168.4731197986334,-160.41887818652862
13.2,-165.5463147300041,-168.66415240400028,-160.73591292433238
13.5,-165.8926758274614,-168.94054112243404,-161.1936954689524
13.8,-166.22427363132417,-169.2054702512811,-161.63144392068287
14,-166.43762247704868,-169.37610073206167,-161.91280932419744
14.2,-166.64511352220356,-169.54218543291728,-162.18623146593328
14.5,-166.94591609911024,-169.78321706085868,-162.5822200605498
14.8,-167.23489921901248,-170.01508088920744,-162.96219035287834
15,-167.42135132833263,-170.16484679766629,-163.20709885510863
15.5,-167.86722235212838,-170.52356084843646,-163.79192633289594
16,-168.28640319223618,-170.86160575731822,-164.34060430916776
16.5,-168.68141299414287,-171.1809537374586,-164.85654654551283
17,-169.05446949334342,-171.48334370467148,-165.3427529644379
17.5,-169.40753308456684,-171.77031514882185,-165.80187072768732
18,-169.7423433673745,-172.0432362618962,-166.23624480824247
18.5,-170.0604496264654,-172.303327429027,-166.647960102773
19,-170.36323639058048,-172.55168095152064,-167.03887668909115
19.5,-170.65194497371118,-172.78927768948802,-167.41065949522704
20,-170.92769171741475,-173.0170011717879,-167.76480338658487
20.5,-171.1914835096375,-173.2356496123512,-168.102654475941
21,-171.444231043457,-173.4459461869833,-168.42542830361586
21.5,-171.68676019110762,-173.64854785784954,-168.7342254114793
22,-171.91982179899964,-173.84405297985322,-169.03004473669972
22.5,-172.14410015400549,-174.0330078808814,-169.31379517343646
23,-172.3602203269143,-174.21591257404637,-169.5863055885408
23.5,-172.56875456324786,-174.39322573277548,-169.84833352739363
24,-172.77022786274662,-174.56536903751345,-170.10057280566073
24.5,-172.96512286535167,-174.73273098482218,-170.3436601499904
25,-173.15388414233345,-174.89567023496383,-170.57818102396226
25.5,-173.33692197548237,-175.05451856197905,-170.80467475370352
26,-173.5146156943145,-175.20958346031395,-171.0236390495764
27,-173.85535073995914,-175.50948514594512,-171.44078564477294
27.5,-174.01902093513857,-175.65483504473383,-171.63978907220658
28,-174.17860916477036,-175.79743119041424,-171.8329112813346
28.5,-174.3343782719408,-175.93748961063005,-172.02049366132198
29,-174.4865736579026,-176.0752126239318,-172.2028542396797
29.5,-174.63542477484444,-176.21079000978966,-172.38028969299643
30,-174.78114646782365,-176.34440006080362,-172.55307715321084
30.5,-174.92394018336813,-176.47621053072828,-172.72147583330872
31,-175.06399505996856,-176.60637949015904,-172.88572849318743
31.5,-175.2014889137245,-176.7350561002087,-173.0460627637512
32,-175.33658913073222,-176.86238131320374,-173.20269234499978
33,-175.60023083030816,-177.11350406901715,-173.50562900013708
34,-175.85607960623787,-177.3607339490918,-173.79600828421863
35,-176.1051727534701,-177.60496094754853,-174.07513709546387
36,-176.34844251305535,-177.84699230446435,-174.3441822952988
37,-176.58673037780054,-178.0875637566545,-174.60418984230802
39,-177.05134297598934,-178.56696769383225,-175.10076526690978
40,-177.27899624517084,-178.80699223775144,-175.33895319183824
41,-177.50434068493337,-179.0479535715597,-175.57136489605222
42,-177.7279117968363,-179.29034612093128,-175.79863912268127
43.2,-177.99455023621118,-179.5837550627173,-176.0654061890609
44.5,-178.28223953741858,-179.90555243237856,-176.348066768141
45.8,-178.5696025954575,-180.23230024107545,-176.62516280034333
47.5,-178.94627704293447,-180.66840880903425,-176.98069606833792
48.8,-179.23597278628841,-181.0096136601151,-177.24844020301737
50,-179.50532418271752,-181.33118037414346,-177.49314632132607
51.5,-179.84542807353108,-181.7428778470059,-177.79659301423487
53,-180.19019010425137,-182.16629801049362,-178.09825275968782
55,-180.65860302098747,-182.75066657695263,-178.49923607265129
56.5,-181.0174946148394,-183.20491200092044,-178.80010999534738
58,-181.38371295314727,-183.67374765107758,-179.10193171783436
60,-181.88460445659783,-184.32288429784876,-179.50701746997208
61.5,-182.27057442903273,-184.82869905494462,-179.81364524820083
63,-182.66606463383476,-185.35153767199628,-180.12333885062074
64.5,-183.0716652213424,-185.89205915247157,-180.43664825415564
66,-183.48794029641238,-186.45089142030932,-180.7540918813002
67.5,-183.915430091852,-187.0286314246974,-181.07616006836136
68.8,-184.29539372660787,-187.54507168035133,-181.35938678310072
70,-184.65423251382794,-188.03507028053752,-181.6244705432222
71.5,-185.11410548603007,-188.66590810137927,-181.96108529526236
73.2,-185.6510539252561,-189.40605165441121,-182.35013025539206
75,-186.23852933779736,-190.21958819018474,-182.77140990414568
76.5,-186.74349418438513,-190.92147414288394,-183.13027979568054
78,-187.26289304559813,-191.64549435082193,-183.49662656862347
80,-187.9785422329917,-192.64579947522893,-183.9973144893872
82,-188.72139895421878,-193.6865632980595,-184.51269200535742
84,-189.49226451712744,-194.76819735825006,-185.04350893648967
86,-190.29187493744047,-195.89093021723838,-185.5904821094432
88,-191.1208964174997,-197.05479130755506,-186.1542969970535
90,-191.97991996165854,-198.25959467272563,-186.7356087756252
92,-192.86945520377498,-199.50492312013165,-187.3350428510769
94,-193.7899235325294,-200.79011337748926,-187.95319489508273
96,-194.74165061479613,-202.11424290359824,-188.59063042479346
98,-195.72485843555236,-203.476119047995,-189.2478839541296
100,-196.7396569942391,-204.8742712746683,-189.92545774075737
102,-197.78603582132837,-206.30694715474075,-190.62382015048868
104,-198.86385550413686,-207.77211278555205,-191.34340365985014
106,-199.9728394364415,-209.26745820421377,-192.08460251783217
108,-201.11256603072965,-210.790408230462,-192.84777008927784
110,-202.2824616532521,-212.33813899802198,-193.63321590492964
112,-203.4817945585289,-213.90760022133088,-194.44120244675355
115,-205.33398643653413,-216.29538339959132,-195.69589514304465
118,-207.2466387505521,-218.71308647700906,-197.00225184136366
120,-208.5531087477808,-220.33551359869412,-197.90196078437597
122,-209.88287902163515,-221.96215911742618,-198.8246907525898
125,-211.9174260776838,-224.40200844099047,-200.2517174920942
128,-213.99408652667182,-226.83091776906605,-201.72966399019134
130,-215.39844910350408,-228.43833675718213,-202.74275404705048
132,-216.81615040370139,-230.0324511421687,-203.77761034458766
135,-218.9625882692798,-232.3920420957386,-205.36959499933766
138,-221.12561602527342,-234.70548900679768,-207.00736481266506
140,-222.57272867064668,-236.21808802393113,-208.1234306848723
142,-224.02101361320112,-237.70446650233026,-209.25788967516183
145,-226.19024551047897,-239.88098964524585,-210.9919821994989
148,-228.34842317782673,-241.9895330493602,-212.76178325174666
150,-229.77720717718543,-243.35559366343915,-213.95955543903
