Frequency,Nominal,Min,Max
0.225,-0.14533486730312364,-0.18336486568836907,-0.110362359737997
0.23,-0.14858153013756675,-0.18747327172380196,-0.11282238279378068
0.235,-0.1518293002624988,-0.1915838519902035,-0.11528289866408829
0.24,-0.15507820027225624,-0.19569664902505796,-0.11774391768991913
0.245,-0.15832825266491582,-0.19981170505626353,-0.12020545018810247
0.25,-0.1615794798401498,-0.20392906199509858,-0.12266750645076846
0.255,-0.1648319040970746,-0.20804876142916442,-0.1251300967448179
0.26,-0.1680855476320943,-0.212170844615306,-0.12759323131139041
0.27,-0.1745965807954945,-0.2204223255747722,-0.13252117409466507
0.275,-0.17785401428363376,-0.2245518041439634,-0.1349860026600476
0.28,-0.181112754765033,-0.2286838280426444,-0.1374514161942446
0.285,-0.18437282388998846,-0.23281843676688005,-0.13991742480158895
0.29,-0.18763424319302635,-0.23695566943902346,-0.14238403855744466
0.295,-0.1908970340907055,-0.2410955648004791,-0.14485126750766938
0.3,-0.19416121787941545,-0.24523816120444467,-0.14731912166807412
0.305,-0.19742681573316806,-0.24938349660863335,-0.14978761102388458
0.31,-0.2006938487013845,-0.2535316085679739,-0.152256745529199
0.315,-0.20396233770667463,-0.25768253422729165,-0.15472653510644627
0.32,-0.20723230354261188,-0.26183631031397053,-0.15719698964584278
0.33,-0.2137767482221484,-0.27015255854757236,-0.16213993300761875
0.34,-0.22032734642292764,-0.2784806384589701,-0.1670856540712945
0.35,-0.22688425961990963,-0.28682082808655257,-0.1720342307432893
0.36,-0.2334476470078629,-0.29517339807900805,-0.17698574036209913
0.37,-0.24001766542878816,-0.30353861145649014,-0.1819402596806552
0.39,-0.25317821053583706,-0.32030798086578405,-0.19185863139454074
0.4,-0.2597690384841148,-0.32871262263488443,-0.19682263420811608
0.41,-0.2663670998421625,-0.3371308787813173,-0.20178994752214277
0.42,-0.27297253858763004,-0.34556297057571883,-0.2067606448945761
0.432,-0.28090900181727857,-0.35570004190394416,-0.21273005124270075
0.445,-0.28951933094982313,-0.36670510057675826,-0.21920267000356652
0.458,-0.29814294116677276,-0.37773472590419566,-0.2256814334214071
0.475,-0.30944048465122914,-0.3921957933741797,-0.23416319025300003
0.488,-0.31809582136723147,-0.4032835464837104,-0.2406567183875973
0.5,-0.3260979547428122,-0.41354123490183764,-0.24665663985054295
0.515,-0.33611793432324133,-0.426394533645774,-0.25416468069294734
0.53,-0.34615750157625996,-0.4392828514394984,-0.2616819712668527
0.55,-0.3595746786904058,-0.45652232118860836,-0.2717197879811552
0.565,-0.3696613139664367,-0.46949355208245414,-0.2792594965540309
0.58,-0.3797686595230318,-0.48250068462977064,-0.2868091594387818
0.6,-0.3932778418086924,-0.49989958813282626,-0.29689120751856724
0.615,-0.40343461971492456,-0.5129908782482786,-0.30446486935512157
0.63,-0.413613007261043,-0.5261182414509752,-0.3120491348636259
