Freq.	V(out)
2.30000000000000e-01	(-8.65213093690008e-03dB,-8.51213781146788e+00°)
2.35357388224573e-01	(-9.07977055264846e-03dB,-8.71150076829439e+00°)
2.40839566051707e-01	(-9.52959094392312e-03dB,-8.91558443598042e+00°)
2.46449440204649e-01	(-1.00028322986904e-02dB,-9.12450415608274e+00°)
2.52189985112933e-01	(-1.05008119442672e-02dB,-9.33837832682097e+00°)
2.58064244489452e-01	(-1.10249297695995e-02dB,-9.55732849890410e+00°)
2.64075332944283e-01	(-1.15766740727816e-02dB,-9.78147947512392e+00°)
2.70226437636092e-01	(-1.21576278699831e-02dB,-1.00109594138846e+01°)
2.76520819962005e-01	(-1.27694757048735e-02dB,-1.02458999368443e+01°)
2.82961817286848e-01	(-1.34140110012185e-02dB,-1.04864362408503e+01°)
2.89552844712658e-01	(-1.40931440050414e-02dB,-1.07327072143561e+01°)
2.96297396889421e-01	(-1.48089103668262e-02dB,-1.09848555585138e+01°)
3.03199049867974e-01	(-1.55634804186721e-02dB,-1.12430279131392e+01°)
3.10261462996080e-01	(-1.63591692061670e-02dB,-1.15073749877561e+01°)
3.17488380858663e-01	(-1.71984473399976e-02dB,-1.17780516979243e+01°)
3.24883635263233e-01	(-1.80839527379833e-02dB,-1.20552173070640e+01°)
3.32451147271563e-01	(-1.90185033345101e-02dB,-1.23390355739887e+01°)
3.40194929278687e-01	(-2.00051108409269e-02dB,-1.26296749063619e+01°)
3.48119087140328e-01	(-2.10469956479307e-02dB,-1.29273085202892e+01°)
3.56227822349870e-01	(-2.21476029687554e-02dB,-1.32321146062579e+01°)
3.64525434266056e-01	(-2.33106203305834e-02dB,-1.35442765016302e+01°)
3.73016322392554e-01	(-2.45399965309587e-02dB,-1.38639828698894e+01°)
3.81704988710639e-01	(-2.58399621859001e-02dB,-1.41914278868270e+01°)
3.90596040066201e-01	(-2.72150520073697e-02dB,-1.45268114338466e+01°)
3.99694190612356e-01	(-2.86701289594382e-02dB,-1.48703392985421e+01°)
4.09004264308952e-01	(-3.02104104550693e-02dB,-1.52222233826829e+01°)
4.18531197480296e-01	(-3.18414967691828e-02dB,-1.55826819177132e+01°)
4.28280041432459e-01	(-3.35694018581270e-02dB,-1.59519396878354e+01°)
4.38255965131546e-01	(-3.54005867916045e-02dB,-1.63302282607063e+01°)
4.48464257944350e-01	(-3.73419960197376e-02dB,-1.67177862257226e+01°)
4.58910332442842e-01	(-3.94010967161741e-02dB,-1.71148594398130e+01°)
4.69599727273991e-01	(-4.15859214572022e-02dB,-1.75217012805785e+01°)
4.80538110096429e-01	(-4.39051145174472e-02dB,-1.79385729065412e+01°)
4.91731280585513e-01	(-4.63679820844387e-02dB,-1.83657435241579e+01°)
5.03185173508397e-01	(-4.89845467172258e-02dB,-1.88034906611410e+01°)
