Frequency,Nominal,Min,Max
1.95,-89.63653404963277,-92.18721947386203,-84.11808742792203
2,-89.6090934632012,-92.23128024831308,-83.9689068133317
2.05,-89.58037621259685,-92.27445597554453,-83.81984775228835
2.1,-89.55036200214685,-92.31672790173036,-83.67091294125568
2.15,-89.5190312638731,-92.35807750184067,-83.52210505314011
2.2,-89.48636516111081,-92.39848648287546,-83.37342673692406
2.25,-89.4523455914153,-92.43793678696295,-83.22488061731089
2.3,-89.41695518877039,-92.47641059432304,-83.07646929438276
2.35,-89.38017732511214,-92.513890326093,-82.92819534327155
2.4,-89.34199611117752,-92.55035864702053,-82.78006131384296
2.45,-89.3023963966974,-92.58579846802141,-82.6320697303942
2.5,-89.26136376994597,-92.62019294860353,-82.48422309136305
2.55,-89.21888455666247,-92.65352549915983,-82.33652386905231
2.6,-89.17494581836405,-92.68577978312861,-82.18897450936574
2.7,-89.0826416774134,-92.74698948233974,-81.8943350279967
2.75,-89.0342540532888,-92.77591350732054,-81.74724966393947
2.8,-88.9843624538344,-92.80369648861542,-81.60032367732148
2.85,-88.9329575739885,-92.83032338280044,-81.45355937855845
2.9,-88.88003082250536,-92.85577940978429,-81.30695905036063
2.95,-88.82557431649509,-92.88005005409063,-81.16052494756127
3,-88.76958087550054,-92.9031210660245,-81.01425929695638
3.05,-88.712044015129,-92.9249784627223,-80.86816429715861
3.1,-88.65295794026088,-92.94560852908802,-80.72224211846247
3.15,-88.59231753785247,-92.96499781861912,-80.57649490272327
3.2,-88.53011836935293,-92.98313315412256,-80.43092476324745
3.3,-88.40102930430561,-93.0155906043792,-80.14032402299729
3.4,-88.26566841601151,-93.04288086911824,-79.85045622980287
3.5,-88.12402362414518,-93.06490827504015,-79.56133725401354
3.6,-87.97609279801067,-93.08158149158143,-79.27298250283941
3.7,-87.8218834411597,-93.09281353042732,-78.9854069196783
3.9,-87.4947053329367,-93.09862779248927,-78.41265071279152
4,-87.32179673902395,-93.09305767218017,-78.12749766044902
4.1,-87.14272921994102,-93.08174165146491,-77.84317892223854
4.2,-86.957553305312,-93.06461426888154,-77.55970713614819
4.32,-86.72736136914105,-93.03630450630652,-77.22067609298709
4.45,-86.46828775365567,-92.99597967229123,-76.85481193697998
4.58,-86.19928641970431,-92.9455028835412,-76.49044784243326
