Frequency,Nominal,Min,Max
0.041,0.001913044798646875,0.0015914922297682052,0.0022816755538292727
0.042,0.002056459805462262,0.0017108020819742637,0.0024527246161540712
0.0432,0.002237804201224108,0.0018616662847517865,0.0026690113200533794
0.0445,0.00244595902074568,0.002034834811546934,0.002917274118589384
0.0458,0.0026666364201884296,0.002218421347182706,0.003180472044536616
0.0475,0.0029747177995530787,0.0024747215911161964,0.003547914497998084
0.0488,0.00322568875880715,0.0026835106271143583,0.003847241960947146
0.05,0.0034695338984936886,0.0028863717901639907,0.004138070135333471
0.0515,0.0037912320099629834,0.0031540013070310378,0.004521750905195359
0.053,0.004132222638554911,0.003437681345745637,0.00492844037538877
0.055,0.004617857576903132,0.0038416962087049734,0.005507641039710473
0.0565,0.005006046869659363,0.004164643887026012,0.005970619910282366
0.058,0.005415399416031663,0.004505198880394006,0.006458837772573477
0.06,0.005995093031215158,0.004987468337687791,0.007150211363456352
0.0615,0.006456007930346298,0.005370922653261052,0.007699920435136232
0.063,0.006939955551289699,0.005773540303553527,0.008277096732106488
0.0645,0.007447496410180925,0.006195787898999455,0.008882408193072249
0.066,0.007979190842996114,0.006638131942192319,0.00951652245994156
0.0675,0.008535598985683773,0.007101038816405551,0.010180106844187777
0.0688,0.009038242806580797,0.007519218206793852,0.010779566877946525
0.07,0.00951938588946154,0.007919511749745435,0.011353381237646346
0.0715,0.010144433937598849,0.00843953188882494,0.012098812090203595
0.0732,0.010885208219169416,0.009055837036347845,0.012982249303609613
0.075,0.011707933181361402,0.009740329028173627,0.013963408347076878
0.0765,0.012424372221239571,0.010336398514963855,0.014817803363517124
0.078,0.01316943821487428,0.010956290958927417,0.015706326855423242
0.08,0.014208353972222462,0.011820675582767098,0.01694525942043916
0.082,0.015300473521769676,0.01272933963759327,0.01824761274510454
0.084,0.016447115406867375,0.013683383228059558,0.019614953248840453
0.086,0.017649596229616142,0.014683905327113762,0.021048844087657743
