Quantity,Reference Designator,Model
1,R1A,"340k ohm, 0603, 1%"
8,"R4A, R4B, R4C, R4D, R5M, JP2, R2A, C2C","0 ohm, 0603"
1,R1B,"11.3k ohm, 0603, 1%"
1,R2B,"36.5k ohm, 0603, 1%"
1,R2C,"649k ohm, 0603, 1%"
1,R1D,"267k ohm, 0603, 1%"
1,R2D,"1.91M ohm, 0603, 1%"
1,C6A,"12nF, 1206, C0G, 5%"
8,"C9A, C0A, C9B, C0B, C9C, C0C, C9D, C0D","100nF, 0603, X7R, 20%"
3,"C5B, C5D, C6D","470nF, 1206, X7R, 5%"
1,C6B,"47nF, 1206, C0G, 5%"
1,C5C,"390nF, 1206, X7R, 5%"
2,"C101M, C100M","10µF, 6032, tantalum, 20%"
4,"U2A, U2B, U2C, U2D","LT6004, MSOP"
4,"J1M, J2M, J3M, J4M","67996-206HLF, 2x3 0.1"" header"
4,"J1A, J1B, J1C, J1D","BCS-103-L-D-TE, 2x3 0.1"" socket"
2,"J5M, J6M","142-0701-851, SMA Jack, board edge female"
3,"+VS, -VS, GND","68000-101HLF, Test pin"
