Frequency,Nominal,Min,Max
0.041,323485835.36950535,308081769.18440473,340511383.93612295
0.042,315783800.28249884,300746498.1903705,332403978.0517216
0.0432,307012038.3663976,292392439.8435356,323170543.8202365
0.0445,298043158.5232724,283850650.18937016,313729616.98102343
0.0458,289583429.3858718,275793765.9692283,304824638.25309974
0.0475,279219405.4125803,265923267.82662636,293915138.4334279
0.0488,271781194.7269947,258839258.32249832,286085442.28636205
0.05,265258456.3872692,252627127.191259,279219401.2931675
0.0515,257532494.81302986,245269069.32522637,271086809.36790335
0.053,250243852.1884838,238327505.69699675,263414553.17915857
0.055,241144092.86037236,229661069.27645233,253835858.09025344
0.0565,234742050.19819707,223563886.564766,247096865.01979396
0.058,228671148.01184142,217782075.7348125,240706440.87125006
0.06,221048793.55296198,210522691.5706788,232682908.80258965
0.0615,215657372.47846195,205388005.609159,227007727.9296835
0.063,210522686.05212873,200497828.83636925,221602794.05484784
0.0645,205626822.55432266,195835102.47170043,216449252.7363567
0.066,200953498.6035532,191384318.5327806,211529963.57264102
0.0675,196487878.2300178,187131347.52455974,206829309.75338244
0.0688,192775182.45235634,183595447.45654836,202921208.24623832
0.07,189470475.4084619,180448108.03562278,199442568.61707783
0.0715,185495583.26685303,176662497.24828386,195258470.83142653
0.0732,181187640.37714246,172559695.37575623,190723793.2050003
0.075,176839152.50865912,168418279.28947031,186146436.60058475
0.0765,173371731.09159485,165115973.95407805,182496518.5249809
0.078,170037672.28814796,161940680.63165453,178986982.14792183
0.08,165786747.6950774,157892182.05400252,174512323.62222084
0.082,161743185.7024483,154041171.66724682,170255941.5180376
0.084,157892174.6959433,150373543.17203754,166202244.66240627
0.086,154220280.88583276,146876502.48291776,162337092.22403258
0.088,150715291.73599857,143538418.61310852,158647628.90173966
0.09,147366080.2690889,140348694.44132224,155122142.0877887
0.092,144162487.07099992,137297654.335079,151749937.66207033
0.094,141095217.35861522,134376446.11998236,148521231.64235687
0.096,138155750.91407815,131576955.30283546,145427055.3782729
0.098,135336263.0475204,128891729.79804936,142459172.3541675
0.1,132629555.04426304,126313913.68688224,139610004.9756418
0.102,130028992.79470003,123837188.76970935,136872569.96942636
0.104,127528452.50534886,121455722.86226156,134240421.23711854
0.106,125122272.55582011,119164123.94512035,131707599.17830838
0.108,122805210.7050123,116957399.40771298,129268585.6444681
0.11,120572405.96572241,114830919.7384174,126918263.80696288
0.112,118419344.56411898,112780386.10501322,124651882.3249175
0.115,115330170.07807444,109838316.71810661,121400118.11907198
0.118,112398072.92558548,107045844.79172802,118313698.47486494
0.12,110524788.99688071,105261765.89441577,116341819.5958726
0.122,108712924.49914691,103536181.69326589,114434592.74948175
0.125,106103840.14536461,101051341.00374804,111688186.57759997
0.128,103617057.23350261,98682977.87796257,109070518.76563542
0.13,102022965.95856138,97164796.74613677,107392526.89060712
0.132,100477180.74394836,95692621.38605152,105765383.50013538
0.135,98244380.36261196,93566146.38457324,103415065.72030574
0.138,96108658.82715185,91532127.4267853,101166936.19929439
0.14,94735695.29420863,90224544.14447848,99721710.36847718
0.142,93401407.03587975,88953794.45704189,98317195.35304406
0.145,91468990.00912036,87113398.84087053,96283070.5780364
0.148,89614914.7431937,85347614.42549078,94331410.81443286
0.15,88420066.52901365,84209664.78009817,93073674.7928429
0.155,85567849.19533983,81493269.90640073,90071338.10916139
0.16,82893896.80686879,78946651.17098741,87256648.73622346
0.165,80382003.4594891,76554374.37946634,84612547.82759619
0.17,78017869.82604365,74302821.12502098,82123983.45995633
0.175,75788830.78819312,72179929.39018524,79777623.92978904
0.18,73683628.46296923,70174977.38165584,77561618.83396985
0.185,71692222.03583258,68278402.41891892,75465398.89403641
0.19,69805627.62009007,66481648.419409536,73479507.38715398
0.195,68015782.75332464,64777036.84749222,71595457.51077841
0.2,66315431.219361,63157657.021095105,69805611.14262006
0.205,64698024.72555301,61617272.471031316,68103075.34305152
0.21,63157638.626173206,60150240.67756024,66481613.64288611
0.215,61688899.405329175,58751444.00649849,64935569.70960562
0.22,60286922.04857321,57416230.06313385,63459801.42273891
0.225,58947255.76496406,56140359.99895067,62049623.73919004
0.23,57665836.78885961,54919963.56095636,60700759.010914825
0.235,56438947.20701282,53751499.879391685,59409293.645021744
0.24,55263178.932280496,52631723.15697727,58171640.1813602
0.245,54135402.088714756,51557652.559476934,56984504.013669394
0.25,53052737.190443546,50526545.71939331,55844854.104189366
0.255,52012530.59362392,49535875.35687585,54749897.14361189
0.26,51012332.78086235,48583308.598216295,53697054.69257549
0.27,49123072.66660336,46784018.424937025,51708354.539221115
0.275,48229969.073783115,45933446.16143815,50768242.84603724
0.28,47368762.81600867,45113252.31226116,49861707.2950136
0.285,46537775.08617026,44321838.01349187,48986980.72077163
0.29,45735442.856958754,43557714.66769286,48142417.8314071
0.295,44960309.06901817,42819494.599286854,47326484.8802296
0.3,44211013.80028284,42105882.64440168,46537750.37032807
0.305,43486286.303904526,41415668.56794363,45774876.673441276
0.31,42784937.81670256,40747720.214502424,45036612.45990552
0.315,42105855.0525236,40100977.311550915,44321785.8495595
0.32,41447994.30559883,39474445.853594854,43629298.204751946
0.33,40192080.31491192,38278342.46447817,42307278.18164758
0.34,39010046.18105922,37152600.84373927,41063026.428927466
0.35,37895559.34486708,36091189.982640244,39889877.09483087
0.36,36842990.8648473,35088748.984524615,38781904.97779224
0.37,35847320.333726205,34140496.5091306,37733825.43857709
0.39,34009166.05691565,32389883.73482284,35798915.6080798
0.4,33159022.971921988,31580228.827045742,34904022.85437411
0.41,32350352.40684508,30810071.557241287,34052785.38483068
0.42,31580192.03881717,30076590.66553431,33242084.96485284
0.432,30703067.61577586,29241240.27979929,32318789.743662648
0.445,29806235.713777825,28387121.383713458,31374749.278281044
0.458,28960318.88202929,27581493.030640937,30484303.623762365
0.475,27923989.822186027,26594521.767467756,29393421.926815707
0.488,27180224.83483766,25886180.885055453,28610504.529739313
0.5,26528002.767821927,25265023.218938187,27923948.63105053
0.515,25755471.31865834,24529286.740568448,27110749.688953638
0.53,25026671.76396648,23835199.685379606,26343584.32009884
