Frequency,Nominal,Min,Max
0.041,-89.93977922217546,-89.943362356048,-89.93613586804872
0.042,-89.93831042383796,-89.94198095103104,-89.93457820763159
0.0432,-89.93654786594014,-89.94032326509988,-89.93270901525887
0.0445,-89.93463842835314,-89.93852743878728,-89.93068405701685
0.0458,-89.93272899091131,-89.93673161259545,-89.928659098948
0.0475,-89.93023203448276,-89.93438322468656,-89.92601107712765
0.0488,-89.92832259739215,-89.93258739878692,-89.9239861194777
0.05,-89.92656004021899,-89.93092971345858,-89.92211692796927
0.0515,-89.92435684394837,-89.92885760696109,-89.9197804388173
0.053,-89.92215364790145,-89.9267855006497,-89.91744394993215
0.055,-89.91921605353146,-89.92402269253337,-89.91432863184708
0.0565,-89.91701285803184,-89.92195058667727,-89.91199214361468
0.058,-89.91480966277763,-89.91987848102535,-89.909655655675
0.06,-89.91187206949837,-89.91711567381641,-89.90654033889085
0.0615,-89.90966887484214,-89.91504356866194,-89.90420385166436
0.063,-89.90746568045304,-89.9129714637297,-89.9018673647565
0.0645,-89.90526248633759,-89.91089935902514,-89.899530878175
0.066,-89.9030592925023,-89.90882725455361,-89.89719439192767
0.0675,-89.9008560989537,-89.90675515032059,-89.89485790602225
0.0688,-89.89894666478183,-89.90495932684908,-89.89283295185349
0.07,-89.89718411036078,-89.90330164381028,-89.89096376362751
0.0715,-89.8949809176085,-89.90122954023973,-89.88862727867189
0.0732,-89.8924839661984,-89.89888115650574,-89.88597926283705
0.075,-89.8898401357389,-89.8963946329226,-89.88317548189603
0.0765,-89.88763694404719,-89.89432253023433,-89.88083899820535
0.078,-89.88543375268777,-89.89225042782253,-89.87850251491098
0.08,-89.8824961647367,-89.88948762504616,-89.87538720448175
0.082,-89.87955857740339,-89.88672482278372,-89.87227189478934
0.084,-89.87662099070327,-89.88396202104802,-89.86915658585212
0.086,-89.8736834046518,-89.88119921985195,-89.86604127768855
0.088,-89.87074581926443,-89.87843641920836,-89.86292597031705
0.09,-89.86780823455658,-89.87567361913007,-89.85981066375604
0.092,-89.86487065054371,-89.87291081962994,-89.85669535802391
0.094,-89.86193306724127,-89.8701480207208,-89.85358005313911
0.096,-89.85899548466469,-89.86738522241552,-89.85046474912005
0.098,-89.85605790282942,-89.86462242472696,-89.84734944598513
0.1,-89.8531203217509,-89.86185962766794,-89.84423414375281
0.102,-89.85018274144457,-89.85909683125132,-89.84111884244147
0.104,-89.84724516192588,-89.85633403548994,-89.83800354206957
0.106,-89.84430758321028,-89.85357124039666,-89.83488824265548
0.108,-89.8413700053132,-89.85080844598433,-89.83177294421766
0.11,-89.83843242825009,-89.84804565226578,-89.82865764677452
0.112,-89.83549485203639,-89.84528285925384,-89.82554235034446
0.115,-89.83108848934226,-89.84113867108903,-89.82086940763921
0.118,-89.8266821286462,-89.8369944845864,-89.81619646731706
0.12,-89.82374455598458,-89.83423169452949,-89.81308117512356
0.122,-89.8208069842496,-89.83146890524347,-89.80996588403526
0.125,-89.81640062841832,-89.82732472278792,-89.80529294951533
0.128,-89.81199427475883,-89.82318054213911,-89.80062001758569
0.13,-89.80905670688479,-89.82041775606505,-89.79750473110234
0.132,-89.80611914001459,-89.81765497082611,-89.79438944581628
0.135,-89.80171279162529,-89.81351079456162,-89.78971652017238
0.138,-89.7973064455815,-89.8093666202484,-89.78504359732597
0.14,-89.79436888288112,-89.80660383847837,-89.78192831701321
0.142,-89.79143132126178,-89.80384105760768,-89.77881303798986
0.145,-89.78702498089355,-89.79969688801604,-89.77414012191268
0.148,-89.78261864304459,-89.79555272052019,-89.76946720884021
0.15,-89.7796810859039,-89.79278994337537,-89.76635193515854
0.155,-89.77233719815348,-89.78588300475707,-89.7585637570386
0.16,-89.76499331788355,-89.77897607236191,-89.75077558784062
0.165,-89.7576494453354,-89.77206914639063,-89.74298742785241
0.17,-89.75030558075035,-89.76516222704393,-89.73519927736173
0.175,-89.74296172436966,-89.75825531452256,-89.7274111366564
0.18,-89.73561787643463,-89.75134840902723,-89.71962300602414
0.185,-89.72827403718654,-89.7444415107587,-89.71183488575276
0.19,-89.72093020686667,-89.73753461991768,-89.70404677613003
0.195,-89.71358638571628,-89.73062773670492,-89.69625867744372
0.2,-89.7062425739767,-89.72372086132113,-89.6884705899816
0.205,-89.69889877188916,-89.71681399396701,-89.68068251403145
0.21,-89.69155497969496,-89.7099071348433,-89.672894449881
0.215,-89.68421119763535,-89.70300028415076,-89.66510639781804
0.22,-89.67686742595163,-89.69609344209006,-89.65731835813031
0.225,-89.66952366488505,-89.68918660886193,-89.64953033110557
0.23,-89.66217991467688,-89.6822797846671,-89.64174231703157
0.235,-89.65483617556839,-89.67537296970627,-89.63395431619607
