Frequency,Nominal,Min,Max
0.041,-66.21272624662308,-67.81447756032466,-64.67854342002579
0.042,-65.5833953190913,-67.18530925964272,-64.04903678489595
0.0432,-64.8475970535656,-66.44971138379633,-63.31302200363638
0.0445,-64.07309066490352,-65.67542853776695,-62.5382740729616
0.0458,-63.32077443545789,-64.92334257002456,-61.78570903043591
0.0475,-62.368399497650174,-63.97127889427416,-60.83299773590046
0.0488,-61.66270532454118,-63.26583051692851,-60.12703793656982
0.05,-61.02768484748326,-62.63104291394029,-59.49176578645976
0.0515,-60.25487015018466,-61.858527399457934,-58.71862773910459
0.053,-59.50409345244519,-61.10805888498482,-57.967517946108316
0.055,-58.53521994627882,-60.139610311739006,-56.99818512894198
0.0565,-57.83123616108406,-59.4359557587342,-56.29384545377343
0.058,-57.145547873391216,-58.7506057449925,-55.607791482778175
0.06,-56.25814478356471,-57.863667773853905,-54.71988555597652
0.0615,-55.61161679739627,-57.21749920818791,-54.07296897876846
0.063,-54.98051723850181,-56.58676815375521,-53.44147098699973
0.0645,-54.36411624686352,-55.970744763247495,-52.824661706199194
0.066,-53.761734301626596,-55.36874952850012,-52.22186160116365
0.0675,-53.17273769525893,-54.780148754626616,-51.63243695015283
0.0688,-52.672642698559144,-54.28040420116561,-51.131962974837364
0.07,-52.21923157820349,-53.82732266362826,-50.67819542102352
0.0715,-51.66313762442384,-53.27164892889135,-50.12164699501723
0.0732,-51.04664536287022,-52.65564399880325,-49.5046276537564
0.075,-50.409088836518734,-52.018616324575014,-48.86649911276094
0.0765,-49.88920464554795,-51.499182957820786,-48.34612728231485
0.078,-49.3792625464346,-50.989700889916904,-47.8356875665729
0.08,-48.71414838853961,-50.325214448415295,-47.16989437973152
0.082,-48.065186126076476,-49.676896316231065,-46.52023530426946
0.084,-47.43159036619046,-49.04396112526001,-45.88592492295625
0.086,-46.81263115667847,-48.42567894677554,-45.26623326126049
0.088,-46.20762888747375,-47.821370192756845,-44.66048068905722
0.09,-45.615949765221956,-47.23040109030262,-44.06803339543613
0.092,-45.03700178535625,-46.6521796535373,-43.48829936101791
0.094,-44.470231137462115,-46.08615208880049,-42.92072476357012
0.096,-43.915118989188244,-45.53179957837592,-42.36479076217922
0.098,-43.37117860186356,-44.988635395919445,-41.820010613139075
0.1,-42.83795273760624,-44.45620231337201,-41.28592707734213
0.102,-42.31501132328645,-43.93407026471884,-40.76211008453551
0.104,-41.80194934141411,-43.42183423666625,-40.24815462451352
0.106,-41.29838492201456,-42.91911236029829,-39.74367883930999
0.108,-40.80395761294953,-42.42554418117077,-39.248322293848176
0.11,-40.31832680903727,-41.94078908819594,-38.76174440540226
0.112,-39.84117032280359,-41.46452488414965,-38.28362301470338
0.115,-39.140661978261846,-40.76538600250808,-37.58163397793971
0.118,-38.45757458728158,-40.0837052621545,-36.89702602231928
0.12,-38.011418559152304,-39.63850761778662,-36.44983422022186
0.122,-37.57236031751616,-39.20042421557329,-36.00972262533951
0.125,-36.92656937637493,-38.55612630222614,-35.36231885071446
0.128,-36.2954737062457,-37.9265604425647,-34.7295712317361
0.13,-35.88256180333203,-37.51468875735092,-34.31553645665256
0.132,-35.47567678083456,-37.10886015446398,-33.90751142864658
0.135,-34.876246262388435,-36.51104448687588,-33.306339040455896
0.138,-34.28936940524638,-35.92581850205886,-32.7176824838548
0.14,-33.90481775858521,-35.542387296220866,-32.33192360400374
0.142,-33.52544380100205,-35.16414954744684,-31.95132599311773
0.145,-32.96576770286332,-34.60620707847623,-31.38978402715123
0.148,-32.41693279760738,-34.05914060346472,-30.839047391240463
0.15,-32.05684393266826,-33.70024979445202,-30.477671148737432
0.155,-31.17601731852753,-32.82248403515033,-29.593559439075776
0.16,-30.321453703726966,-31.971072913521592,-28.735619011467147
0.165,-29.491490194427506,-31.144350302569368,-27.902191990504647
0.17,-28.684615023206305,-30.340800642500774,-27.091772460588285
0.175,-27.899450366932882,-29.559041697538674,-26.302989375995864
0.18,-27.13473762220698,-28.797809765323347,-25.53459193616397
0.185,-26.389324737072663,-28.055946937319646,-24.78543702530188
0.19,-25.662155272824773,-27.332390083751697,-24.054478390529304
0.195,-24.95225892920186,-26.62616129607802,-23.34075729215582
0.2,-24.258743313672074,-25.936359567452683,-22.643394407059937
0.205,-23.580786773541973,-25.262153529672315,-21.96158280404999
0.21,-22.917632140282194,-24.60277509581719,-21.29458184062257
0.215,-22.268581260320236,-23.95751388270931,-20.64171185522192
0.22,-21.632990206790787,-23.325712307628304,-20.002349549130734
0.225,-21.010265083280895,-22.706761270371874,-19.375923968403953
0.23,-20.39985834417907,-22.10009634544396,-18.76191300950331
0.235,-19.801265567394594,-21.50519442046477,-18.159840383052085
0.24,-19.214022624397508,-20.921570726269767,-17.569272978841024
0.245,-18.637703200087714,-20.348776211950014,-16.98981858221518
0.25,-18.071916621210008,-19.78639522456553,-16.421123897525664
0.255,-17.516305957107217,-19.234043458659638,-15.862872838652162
0.26,-16.970546360721684,-18.69136614519433,-15.314785049861976
0.27,-15.90743290088694,-17.633754080987664,-14.248148975404092
0.275,-15.389577635541054,-17.118244014672335,-13.729207864738415
0.28,-14.880568569907862,-16.611255437088086,-13.21964249523716
0.285,-14.380222911924161,-16.112560767734042,-12.719334696993387
0.29,-13.888383581240424,-15.621954818947177,-12.228196137329832
0.295,-13.404918532007088,-15.139254052826967,-11.746167533311091
0.3,-12.929720128591295,-14.66429592458709,-11.273217830245965
0.305,-12.462704552671601,-14.1969382983815,-10.809343310369272
0.31,-12.00381121961003,-13.737058921862921,-10.354566595060072
0.315,-11.553002181342913,-13.284554945750122,-9.908935503558167
0.32,-11.110261492349975,-12.839342474537485,-9.472521731426093
0.33,-10.249027137388564,-11.970548642455029,-8.627742836443383
0.34,-9.420391899430955,-11.130368853037302,-7.821216135312064
0.35,-8.624936058134441,-10.318769059018384,-7.054183299105849
0.36,-7.863495418168299,-9.535972104954434,-6.328050426079329
0.37,-7.137107819718463,-8.78243527965989,-5.64427732038796
0.39,-5.794234376708682,-7.3659596747332055,-4.409147641465227
0.4,-5.180159199896459,-6.70480142597571,-3.859803314205401
0.41,-4.605764333981205,-6.076360048884233,-3.3565911842922986
0.42,-4.071851776229632,-5.481646497816617,-2.8993343988427265
0.432,-3.485222099580987,-4.8138186592887555,-2.41015100536673
0.445,-2.916217778738939,-4.14817397811808,-1.950675959515584
0.458,-2.415129501775395,-3.5436555672087486,-1.548106952779425
0.475,-1.8578215203458859,-2.8454393754330005,-1.1105188180328225
0.488,-1.5014572319830635,-2.380733150832598,-0.8416561506410415
0.5,-1.221437513689482,-2.002926379378086,-0.6374786178046048
0.515,-0.9305643247296352,-1.6115514039925944,-0.433225626845126
0.53,-0.6970461561025008,-1.2865331093164387,-0.27632129466159105
0.55,-0.4597883278691104,-0.9408651740913432,-0.10316474710525628
0.565,-0.32697261034084957,-0.7514262268537591,0.018982871265031995
0.58,-0.22495533358408343,-0.672855527975893,0.1392949559647925
0.6,-0.12656708682197354,-0.5951994487239071,0.2781946437006583
0.615,-0.07464280699333926,-0.5523811417728646,0.3517184222670793
0.63,-0.0370548248795877,-0.5194948906785778,0.4045987187212484
0.645,-0.010648334107078366,-0.49425148634624794,0.44102938192043634
0.66,0.007105928847154678,-0.47485495756077795,0.46447710620677823
0.675,0.018219936672204867,-0.45990348050157975,0.47777287358268805
0.688,0.023719401242517053,-0.4508802864434004,0.48286598573053674
0.7,0.026151224820457914,-0.44493941100965706,0.483384361824043
0.715,0.02644259074913363,-0.4389762687219106,0.4796110065274434
0.732,0.024041845522937928,-0.433626796999036,0.47085219795278865
0.75,0.019313738461105588,-0.4290437598319278,0.4578928547625014
0.765,0.014237181217578908,-0.4257565437659138,0.44736036723437295
0.78,0.008508990577235987,-0.4227518490894632,0.43531360158783206
0.8,0.00031390468371722297,-0.41895483797037447,0.41765024100293013
0.82,-0.008102549799102557,-0.41519827041359786,0.3989520911740024
0.84,-0.016424274576982676,-0.41134234689737004,0.37985252824355953
