Frequency,Nominal,Min,Max
0.041,3.839569289940146e-7,3.820554381813362e-7,3.8597166372862897e-7
0.042,3.8458314204672047e-7,3.8261027022435244e-7,3.866747244795918e-7
0.0432,3.8535406433357605e-7,3.832933554796431e-7,3.8754020155170695e-7
0.0445,3.8621315324469614e-7,3.840546120032483e-7,3.8850459340011015e-7
0.0458,3.870970747231837e-7,3.8483792741835084e-7,3.894967908796146e-7
0.0475,3.882903591929948e-7,3.8589548032547145e-7,3.908361354993197e-7
0.0488,3.8923139748163764e-7,3.867295469864893e-7,3.918922705264286e-7
0.05,3.9012194354476867e-7,3.875189150711753e-7,3.928916679483538e-7
0.0515,3.9126462225098244e-7,3.885318454730602e-7,3.9417391917489776e-7
0.053,3.924400008951456e-7,3.8957384916981655e-7,3.95492753713414e-7
0.055,3.9405790192415967e-7,3.910082997070036e-7,3.973079430942026e-7
0.0565,3.953092715064323e-7,3.921178864791248e-7,3.987117694160478e-7
0.058,3.9659307551444516e-7,3.932563272274447e-7,4.001518624333988e-7
0.06,3.983551293564363e-7,3.948190170661756e-7,4.021282375993916e-7
0.0615,3.997143023849542e-7,3.960245244685009e-7,4.03652585128074e-7
0.063,4.0110564327058223e-7,3.9725866325993924e-7,4.0521288531964646e-7
0.0645,4.025290725147262e-7,3.9852136653601603e-7,4.068090453520159e-7
0.066,4.0398451104957377e-7,3.9981256749429605e-7,4.0844097331848355e-7
0.0675,4.054718803554006e-7,4.011321995238393e-7,4.1010857837806526e-7
0.0688,4.067867020023005e-7,4.022988269150611e-7,4.1158262558955074e-7
0.07,4.08021575354661e-7,4.0339458640366115e-7,4.1296695974923776e-7
0.0715,4.0959371491463113e-7,4.047897113755247e-7,4.1472926929238196e-7
0.0732,4.11413729676459e-7,4.064049279756557e-7,4.167692897464962e-7
0.075,4.1338499301341893e-7,4.08154518818084e-7,4.189786735231441e-7
0.0765,4.150623430250029e-7,4.0964336017510804e-7,4.2085851130370575e-7
0.078,4.167710989602091e-7,4.111601789739798e-7,4.2277343208068664e-7
0.08,4.190981728273794e-7,4.132260174850784e-7,4.253811000515915e-7
0.082,4.2148079282573743e-7,4.153413392491922e-7,4.280508237149768e-7
0.084,4.239188020380863e-7,4.1750600324280553e-7,4.307824337839153e-7
0.086,4.2641204908577165e-7,4.1971987204100006e-7,4.335757690538654e-7
0.088,4.289603884909209e-7,4.2198281211391853e-7,4.3643067683095437e-7
0.09,4.3156368102202343e-7,4.242946941123039e-7,4.393470133359028e-7
0.092,4.3422179402258976e-7,4.2665539314182577e-7,4.4232464408341836e-7
0.094,4.3693460172268967e-7,4.2906478902595617e-7,4.4536344423697336e-7
0.096,4.397019855332303e-7,4.31522766557193e-7,4.484632989389575e-7
0.098,4.4252383432288447e-7,4.34029215736475e-7,4.51624103616259e-7
0.1,4.4540004467763706e-7,4.3658403200067024e-7,4.5484576426138723e-7
0.102,4.4833052114295627e-7,4.3918711643805264e-7,4.58128197689309e-7
0.104,4.5131517644863933e-7,4.4183837599171843e-7,4.6147133177020296e-7
0.106,4.543539317164199e-7,4.4453772365092124e-7,4.648751056383844e-7
0.108,4.574467166504531e-7,4.4728507863033345e-7,4.683394698776763e-7
0.11,4.60593469710826e-7,4.500803665372679e-7,4.71864386683531e-7
0.112,4.6379413827025717e-7,4.5292351952691444e-7,4.754498300022159e-7
0.115,4.6869613985688424e-7,4.5727786413018823e-7,4.809414544278543e-7
0.118,4.737192471865197e-7,4.6173959168944713e-7,4.865692370529041e-7
0.12,4.771352342814898e-7,4.647736622884505e-7,4.903967645170715e-7
0.122,4.806050117612184e-7,4.6785536156947737e-7,4.942848677956999e-7
0.125,4.859105446148033e-7,4.7256715948455125e-7,5.002307065909297e-7
