Frequency,Nominal,Min,Max
0.041,-17.780705869700796,-17.749607121736418,-17.811263051025296
0.042,-17.345111016879073,-17.314000423456097,-17.37567864475191
0.0432,-16.84901127602733,-16.817886127732134,-16.87959172117057
0.0445,-16.341756349682587,-16.31061500758116,-16.37235103424018
0.0458,-15.863290405497217,-15.832132419228131,-15.893899705406069
0.0475,-15.277110461969228,-15.24593001937452,-15.307739453339874
0.0488,-14.856403645907628,-14.825205494552224,-14.887048146451464
0.05,-14.487469758175127,-14.456254842198112,-14.51812892740194
0.0515,-14.050471519289045,-14.01923507645921,-14.081149506891048
0.053,-13.638199493223407,-13.60694088164209,-13.668896842511087
0.055,-13.123469338938005,-13.092180157562657,-13.154193361322594
0.0565,-12.761325034779812,-12.730012158184469,-12.792069713813108
0.058,-12.417902730137492,-12.38656549247401,-12.44866863157436
0.06,-11.98670205499423,-11.955331288565173,-12.017497143468276
0.0615,-11.68169522375141,-11.650298516735221,-11.712512877921059
0.063,-11.391202846861557,-11.359779511488979,-11.422043651933564
0.0645,-11.114212037525544,-11.082761379619019,-11.145076584227402
0.066,-10.849801987624527,-10.818323306626633,-10.880690872117059
0.0675,-10.597133736740995,-10.56562632572177,-10.628047560555748
0.0688,-10.387058597783659,-10.355525710651602,-10.417994526369725
0.07,-10.200062073944437,-10.168505191252397,-10.231018814496377
0.0715,-9.975134313603016,-9.943546784459459,-10.006117623558797
0.0732,-9.731348243704405,-9.69972509847465,-9.762362416654868
0.075,-9.485253908746001,-9.453592019079924,-9.516301638159383
0.0765,-9.289010913537307,-9.257315916881966,-9.320087303056349
0.078,-9.100305760119268,-9.068576903907902,-9.13141144856279
0.08,-8.85969119648042,-8.827916011786037,-8.890836953261358
0.082,-8.630796185602733,-8.59897330610198,-8.661983169057144
0.084,-8.412783112326697,-8.380911155047066,-8.444012493978335
0.086,-8.204892273591067,-8.172969838588562,-8.236165238355044
0.088,-8.006433024662643,-7.974458694683659,-8.037750771066852
0.09,-7.81677610586571,-7.784748445995305,-7.848139846287526
0.092,-7.6353469701703185,-7.6032645274686175,-7.666757931086502
0.094,-7.461619962575533,-7.429481265703781,-7.493079384823582
0.096,-7.295113227067867,-7.262916785905377,-7.326622366117375
0.098,-7.135384237215727,-7.103128542468795,-7.166944363448515
0.1,-6.982025863091034,-6.949709385894764,-7.013638262089014
0.102,-6.8346629009046245,-6.80228409241842,-6.866328873744494
0.104,-6.692949003067142,-6.660506294064619,-6.724669866621157
0.106,-6.556563955789174,-6.524055756243067,-6.588341043031335
0.108,-6.425211259169327,-6.392635957831978,-6.457045919486377
0.11,-6.298615971271862,-6.265971935251772,-6.330509570778608
0.112,-6.1765227831952805,-6.1438083575302125,-6.208476705053783
0.115,-6.001309643893951,-5.968486481368803,-6.033356680794557
0.118,-5.834962281973578,-5.80202653042855,-5.867105645189859
0.12,-5.728660380482042,-5.695647390100282,-5.76086977566768
0.122,-5.62582406037188,-5.592732059342127,-5.658100960821305
0.125,-5.477702708676695,-5.4444888154172935,-5.510083671153064
0.128,-5.336479832037802,-5.303139919179785,-5.368968279955828
0.13,-5.245927168419416,-5.212500906451761,-5.278489208376381
0.132,-5.158098182435565,-5.1245836717391775,-5.190735386214961
0.135,-5.031195855815348,-4.997545351320974,-5.063948797829153
0.138,-4.9097648518536445,-4.875973926274719,-4.9426371866502565
0.14,-4.831676064732352,-4.797789018788514,-4.864630061034404
0.142,-4.755765953404944,-4.721780748727415,-4.788803289969255
0.145,-4.645787657757761,-4.611651329392931,-4.678953201502517
0.148,-4.540220204181017,-4.50592800055977,-4.5735178598736494
0.15,-4.472160963040497,-4.4377621525859725,-4.505548901500325
0.155,-4.309602820255343,-4.274927853134984,-4.343224367862869
0.16,-4.157068993124518,-4.12210370424614,-4.190935744273148
0.165,-4.013641598077294,-3.978371317014397,-4.047765539578499
0.17,-3.878510516383625,-3.842920053565281,-3.9129040394652836
0.175,-3.7509579931459833,-3.715031627305768,-3.78563390485936
0.18,-3.6303458035709353,-3.5940672707433703,-3.6653173374548893
0.185,-3.5161045009177814,-3.479456985312793,-3.5513853267472424
0.19,-3.407724362767628,-3.370690489900559,-3.4433285951891515
0.195,-3.3047477309086686,-3.2673095634155125,-3.340689936738904
0.2,-3.2067625010906653,-3.1689015377156715,-3.243057705023568
0.205,-3.1133965664795746,-3.075093744785368,-3.1500602549150796
0.21,-3.0243130560276423,-2.9855487594464596,-3.061361178698224
0.215,-2.939206238535699,-2.899960308454202,-2.9766552075675023
0.22,-2.8577979867006604,-2.81804974034969,-2.89566467270294
0.225,-2.779834714255961,-2.739562969259879,-2.81813643898614
0.23,-2.7050847144474406,-2.6642678209745467,-2.7438392395496294
0.235,-2.633335840325223,-2.5919517218696093,-2.672561351587566
0.24,-2.5643934772762997,-2.522419681190631,-2.6041085637976216
0.245,-2.4980787663408814,-2.4554925253263584,-2.5383023939403477
0.25,-2.434227043512587,-2.391005349353519,-2.474978521658416
0.255,-2.372686465704318,-2.328806156606065,-2.4139854071801192
0.26,-2.3133167985932457,-2.268754661538688,-2.355183071064936
0.27,-2.200580998132387,-2.1545859732753994,-2.243642258092786
0.275,-2.1469833977276767,-2.1002378778321056,-2.190672496175906
0.28,-2.0950921871324213,-2.047574128843316,-2.139429332942458
0.285,-2.0448113489191875,-1.9964994448357989,-2.089816609702049
0.29,-1.9960516159965889,-1.946925516278246,-2.041744801211481
0.295,-1.9487299475516153,-1.898770505132544,-1.9951304768021572
0.3,-1.902769062792073,-1.851958602520022,-1.949895818444212
0.305,-1.8580970260453356,-1.8064196375589727,-1.905968189422399
0.31,-1.814646877525068,-1.762088731065425,-1.8632797481026286
0.315,-1.7723563047035058,-1.718905988307832,-1.8217671019497619
0.32,-1.7311673497410214,-1.6768162253906889,-1.7813709975345604
0.33,-1.6518826997459963,-1.5957170105370446,-1.7037104579095825
0.34,-1.5764071293798436,-1.518435069337308,-1.629897025700621
0.35,-1.504410457235864,-1.4446761123418341,-1.559580790943741
