Frequency,Nominal,Min,Max
0.041,262.44321863678374,261.9842011168295,262.8942426331334
0.042,262.25807857521164,261.7876864026562,262.7202611086489
0.0432,262.03582336477706,261.55176505849016,262.5114104476447
0.0445,261.794936721915,261.29605242145016,262.2850635685277
0.0458,261.5539322058381,261.0401993282334,262.05861834273526
0.0475,261.2385888996738,260.70540333130424,261.76234465211184
0.0488,260.9972992513052,260.4492101282935,261.53566183685933
0.05,260.7744556471523,260.212587159566,261.3263206932349
0.0515,260.49574196761887,259.91661831755374,261.06451185776
0.053,260.2168463307026,259.62043202173106,260.8025517551115
0.055,259.84469291097247,259.2251671197406,260.45302855418737
0.0565,259.5653512074214,258.92844729747213,260.1906979789586
0.058,259.28580900527083,258.6314874828574,259.9282010272727
0.06,258.91276438787537,258.2351558330077,259.5779382989148
0.0615,258.6327322538562,257.9376091605178,259.3150351171722
0.063,258.35248056682013,257.63979932057003,259.0519500258532
0.0645,258.0720035113431,257.3417192347536,258.7886782857603
0.066,257.7912952259588,257.0433617654488,258.52521512150133
0.0675,257.5103498028062,256.744719715039,258.2615557215047
0.0688,257.2666673499057,256.4856608014189,258.03288842912536
0.07,257.0415642633999,256.2463308195604,257.82167412530873
0.0715,256.75995723214163,255.94689423198645,257.55746763040344
0.0732,256.4404889180985,255.60715579500396,257.2577744036891
0.075,256.101855536142,255.24698451515795,256.94014423030336
0.0765,255.81936055881744,254.9464803509293,256.6752043261718
0.078,255.53658574414902,254.64563946173388,256.4100334756431
0.08,255.15910645863613,254.24398113943792,256.0561042539272
0.082,254.78110339899268,253.84169199613046,255.70174315056693
0.084,254.40256131675932,253.4387533286233,255.34693781790486
0.086,254.02346479037942,253.03514620270187,254.99167577947213
0.088,253.64379822131247,252.6308514475783,254.63594442739782
0.09,253.26354583004903,252.2258496502479,254.27973101971585
0.092,252.88269165204096,251.8201211497606,253.92302267758492
0.094,252.50121953355605,251.41364603141594,253.56580638243
0.096,252.1191131274655,251.0064041208898,253.20806897301648
0.098,251.73635588897088,250.5983749782991,252.8497971424636
0.1,251.35293107127725,250.18953789221146,252.49097743520448
0.102,250.9688217212178,249.77987187360438,252.1315962438978
0.104,250.58401067483376,249.36935564977932,251.77163980629612
0.106,250.19848055291484,248.95796765823545,251.41109420207573
0.108,249.81221375650344,248.5456860405073,251.0499453496303
0.11,249.42519246236571,248.1324886359702,250.68817900283287
0.112,249.03739861843368,247.71835297561816,250.3257807477685
0.115,248.45421925720956,247.09534032866844,249.78096658489468
0.118,247.86919773823757,246.47008701260478,249.23464780766523
0.12,247.4781284368242,246.05196725233216,248.86957430884377
0.122,247.08619273153292,245.63279204630615,248.50379419927174
0.125,246.49662189045128,245.00199669377818,247.95376520188788
0.128,245.90499066030193,244.3686874758045,247.40205834036456
0.13,245.5093914820287,243.94504242194245,247.03329495201461
0.132,245.11282562933806,243.52021608104573,246.66374555293496
0.135,244.5161185926259,242.88070407419934,246.10791157449685
0.138,243.91711784008908,242.23838465732806,245.55021543278474
0.14,243.51647366251055,241.8085665469411,245.177355076134
0.142,243.11475553806068,241.37743187494544,244.80362418322832
0.145,242.5101157349551,240.728199394311,244.24135711843135
0.148,241.90293247876457,240.07584386982455,243.67703157406802
0.15,241.49669200418683,239.63915623964252,243.29964068101756
0.155,240.47583737024812,238.5409742049321,242.35191972674812
0.16,239.44717400397226,237.43317336457767,241.39789887013333
0.165,238.41031092579132,236.31525623065522,240.43727305096292
0.17,237.3648436026779,235.18670727819523,239.46972721527538
0.175,236.31035356819694,234.0469925202634,238.49493600613968
0.18,235.2464080713966,232.89555914417042,237.51256346707683
0.185,234.17255976112423,231.73183522183203,236.52226276136636
0.19,233.08834641330574,230.5552295091982,235.52367591093795
0.195,231.9932907097885,229.36513135176898,234.51643355907106
0.2,230.8869000785279,228.16091071552836,233.50015476169688
0.205,229.76866660619257,226.94191836516012,232.47444681273285
0.21,228.63806703568974,225.70748621415234,231.4389051095857
0.215,227.4945628626631,224.45692787435522,230.39311306572466
0.22,226.3376005466923,223.18953943569542,229.33664207807283
0.225,225.16661185473285,221.9046005100502,228.26905155787733
0.23,223.98101435624807,220.60137557669245,227.18988903470932
0.235,222.78021209151382,219.27911567016895,226.0986903443081
0.24,221.56359643667227,217.93706045487053,224.9949799121145
0.245,220.3305471912657,216.57444073378483,223.87827114553866
0.25,219.08043391613282,215.1904814418167,222.74806694925743
0.255,217.8126175516564,213.7844051764368,221.60386037913497
0.26,216.52645234832778,212.35543632002125,220.44513545167803
0.27,213.89647301846804,209.42575660236884,218.08202748661884
0.275,212.55135637504,207.92354990537848,216.8765771214147
0.28,211.18529246294807,206.39547218740626,215.65447676059978
0.285,209.7976443991086,204.84084304015295,214.41518415543024
0.29,208.38778871004388,203.25902389944886,213.15815724647862
0.295,206.95512042998155,201.64942764507617,211.88285663638908
0.3,205.49905878154388,200.01152907216238,210.5887483919749
0.305,204.01905345977787,198.3448762039752,209.2753071985794
0.31,202.51459153179758,196.64910238690143,207.94201988825336
0.315,200.98520495337755,194.92393907410815,206.588389361103
0.32,199.43047869016567,193.16922916500738,205.21393891598137
0.33,196.2436647298244,189.57118085180093,202.40080239965843
0.34,192.9522326360929,185.85645248688655,199.49939594575602
0.35,189.55571761171888,182.0291901550711,196.50717965891135
0.36,186.0554342771521,178.09656434156497,193.42249877664804
0.37,182.45479542212504,174.0690354756109,190.244813944564
0.39,174.97820427847682,165.78794606319966,183.61529351379374
0.4,171.12168931158797,161.5715448716911,180.17008875718776
0.41,167.20373715370056,157.33357627491105,176.64552943724894
0.42,163.24044297939426,153.09782120219774,173.04990154069685
0.432,158.45022753643335,148.05195749951145,168.65609463259597
0.445,153.255953881387,142.67565849066253,163.82286931641377
0.458,148.10003978983346,137.4386180212609,158.94486950884726
0.475,141.48729703960404,130.8645545276219,152.55775454771103
0.488,136.57885469608837,126.08356858640627,147.71434035609954
0.5,132.1928893562648,121.87746411525868,143.3093868498803
0.515,126.93572427086129,116.91035689271548,137.9323986258925
0.53,121.95199153069207,112.26773730680704,132.73880883584113
0.55,115.75316041944377,106.56818649830876,126.15508041980291
