Freq.	V(out)
4.17000000000000e-02	(-6.48667924579026e+01dB,-9.79071905011892e+01°)
4.26713177781074e-02	(-6.42653256739970e+01dB,-9.80922949521209e+01°)
4.36652604537225e-02	(-6.36637894478006e+01dB,-9.82817794765936e+01°)
4.46823550284082e-02	(-6.30621804771557e+01dB,-9.84757510480261e+01°)
4.57231407791708e-02	(-6.24604953015786e+01dB,-9.86743194977400e+01°)
4.67881695443919e-02	(-6.18587302945582e+01dB,-9.88775976090935e+01°)
4.78780060164200e-02	(-6.12568816554729e+01dB,-9.90857012159510e+01°)
4.89932280409784e-02	(-6.06549454011037e+01dB,-9.92987493057653e+01°)
5.01344269235461e-02	(-6.00529173567258e+01dB,-9.95168641275687e+01°)
5.13022077428763e-02	(-5.94507931467554e+01dB,-9.97401713051921e+01°)
5.24971896718168e-02	(-5.88485681849295e+01dB,-9.99687999560620e+01°)
5.37200063056037e-02	(-5.82462376639963e+01dB,-1.00202882815944e+02°)
5.49713059978022e-02	(-5.76437965448893e+01dB,-1.00442556370044e+02°)
5.62517522040719e-02	(-5.70412395453611e+01dB,-1.00687960990891e+02°)
5.75620238339403e-02	(-5.64385611280484e+01dB,-1.00939241083501e+02°)
5.89028156107688e-02	(-5.58357554879411e+01dB,-1.01196545238299e+02°)
6.02748384401052e-02	(-5.52328165392245e+01dB,-1.01460026392391e+02°)
6.16788197866142e-02	(-5.46297379014651e+01dB,-1.01729841999763e+02°)
6.31155040597898e-02	(-5.40265128851064e+01dB,-1.02006154211087e+02°)
6.45856530086504e-02	(-5.34231344762430e+01dB,-1.02289130063816e+02°)
6.60900461256284e-02	(-5.28195953206366e+01dB,-1.02578941683377e+02°)
6.76294810598673e-02	(-5.22158877069402e+01dB,-1.02875766496286e+02°)
6.92047740401462e-02	(-5.16120035490915e+01dB,-1.03179787456097e+02°)
7.08167603076547e-02	(-5.10079343678392e+01dB,-1.03491193283216e+02°)
7.24662945588489e-02	(-5.04036712713630e+01dB,-1.03810178719640e+02°)
7.41542513986230e-02	(-4.97992049349475e+01dB,-1.04136944799837e+02°)
7.58815258040362e-02	(-4.91945255796713e+01dB,-1.04471699139056e+02°)
7.76490335988415e-02	(-4.85896229500698e+01dB,-1.04814656240510e+02°)
7.94577119390673e-02	(-4.79844862907335e+01dB,-1.05166037822962e+02°)
8.13085198099104e-02	(-4.73791043218018e+01dB,-1.05526073170462e+02°)
8.32024385342022e-02	(-4.67734652133146e+01dB,-1.05894999506063e+02°)
8.51404722927193e-02	(-4.61675565583872e+01dB,-1.06273062391605e+02°)
8.71236486566134e-02	(-4.55613653451730e+01dB,-1.06660516155791e+02°)
8.91530191322430e-02	(-4.49548779275879e+01dB,-1.07057624353048e+02°)
9.12296597186962e-02	(-4.43480799947698e+01dB,-1.07464660255881e+02°)
9.33546714782997e-02	(-4.37409565392586e+01dB,-1.07881907383707e+02°)
9.55291811204160e-02	(-4.31334918238850e+01dB,-1.08309660071469e+02°)
9.77543415988406e-02	(-4.25256693473725e+01dB,-1.08748224081645e+02°)
1.00031332723113e-01	(-4.19174718086668e+01dB,-1.09197917263647e+02°)
1.02361361784066e-01	(-4.13088810700244e+01dB,-1.09659070265019e+02°)
1.04745664193949e-01	(-4.06998781189134e+01dB,-1.10132027299285e+02°)
1.07185504141461e-01	(-4.00904430288026e+01dB,-1.10617146975825e+02°)
1.09682175262037e-01	(-3.94805549189474e+01dB,-1.11114803197690e+02°)
1.12237001323752e-01	(-3.88701919133168e+01dB,-1.11625386133933e+02°)
1.14851336929201e-01	(-3.82593310988501e+01dB,-1.12149303273687e+02°)
1.17526568233728e-01	(-3.76479484832874e+01dB,-1.12686980570014e+02°)
1.20264113680379e-01	(-3.70360189528819e+01dB,-1.13238863682417e+02°)
1.23065424751988e-01	(-3.64235162303801e+01dB,-1.13805419327829e+02°)
1.25931986740764e-01	(-3.58104128337521e+01dB,-1.14387136750986e+02°)
1.28865319535817e-01	(-3.51966800362652e+01dB,-1.14984529326251e+02°)
1.31866978429021e-01	(-3.45822878286314e+01dB,-1.15598136304254e+02°)
1.34938554939655e-01	(-3.39672048841208e+01dB,-1.16228524718180e+02°)
1.38081677658240e-01	(-3.33513985277294e+01dB,-1.16876291466117e+02°)
1.41298013110047e-01	(-3.27348347107224e+01dB,-1.17542065587659e+02°)
1.44589266638705e-01	(-3.21174779921539e+01dB,-1.18226510754901e+02°)
1.47957183310401e-01	(-3.14992915292986e+01dB,-1.18930328000121e+02°)
1.51403548839132e-01	(-3.08802370793340e+01dB,-1.19654258704785e+02°)
1.54930190533521e-01	(-3.02602750150868e+01dB,-1.20399087877087e+02°)
1.58538978265674e-01	(-2.96393643582376e+01dB,-1.21165647748037e+02°)
1.62231825462615e-01	(-2.90174628340590e+01dB,-1.21954821719110e+02°)
1.66010690120808e-01	(-2.83945269525895e+01dB,-1.22767548697700e+02°)
1.69877575844315e-01	(-2.77705121221286e+01dB,-1.23604827860053e+02°)
1.73834532907130e-01	(-2.71453728021156e+01dB,-1.24467723884908e+02°)
1.77883659340264e-01	(-2.65190627038651e+01dB,-1.25357372704727e+02°)
1.82027102044149e-01	(-2.58915350493201e+01dB,-1.26274987825023e+02°)
1.86267057926951e-01	(-2.52627428999954e+01dB,-1.27221867265794e+02°)
1.90605775069402e-01	(-2.46326395706965e+01dB,-1.28199401182102e+02°)
1.95045553916761e-01	(-2.40011791454722e+01dB,-1.29209080223299e+02°)
1.99588748498540e-01	(-2.33683171166842e+01dB,-1.30252504691662e+02°)
2.04237767676642e-01	(-2.27340111721582e+01dB,-1.31331394560851e+02°)
2.08995076422572e-01	(-2.20982221602184e+01dB,-1.32447600411741e+02°)
2.13863197124399e-01	(-2.14609152681404e+01dB,-1.33603115336867e+02°)
2.18844710924155e-01	(-2.08220614563107e+01dB,-1.34800087853376e+02°)
2.23942259086395e-01	(-2.01816391983095e+01dB,-1.36040835846323e+02°)
2.29158544398629e-01	(-1.95396365863647e+01dB,-1.37327861536684e+02°)
2.34496332604375e-01	(-1.88960538723006e+01dB,-1.38663867428521e+02°)
2.39958453869594e-01	(-1.82509065262892e+01dB,-1.40051773132878e+02°)
2.45547804283280e-01	(-1.76042289094238e+01dB,-1.41494732886976e+02°)
2.51267347393007e-01	(-1.69560786712367e+01dB,-1.42996153478950e+02°)
2.57120115776237e-01	(-1.63065419994200e+01dB,-1.44559712142155e+02°)
2.63109212648240e-01	(-1.56557398654917e+01dB,-1.46189373788193e+02°)
2.69237813507451e-01	(-1.50038354257512e+01dB,-1.47889406691312e+02°)
2.75509167819167e-01	(-1.43510427496330e+01dB,-1.49664395403846e+02°)
2.81926600738456e-01	(-1.36976370544293e+01dB,-1.51519249256293e+02°)
2.88493514873196e-01	(-1.30439666217731e+01dB,-1.53459204259846e+02°)
2.95213392088185e-01	(-1.23904665507306e+01dB,-1.55489815569363e+02°)
3.02089795351270e-01	(-1.17376744557432e+01dB,-1.57616936873626e+02°)
3.09126370622482e-01	(-1.10862481328532e+01dB,-1.59846682164672e+02°)
3.16326848787169e-01	(-1.04369850790817e+01dB,-1.62185364332171e+02°)
3.23695047634164e-01	(-9.79084353882772e+00dB,-1.64639404008523e+02°)
3.31234873880024e-01	(-9.14896444721847e+00dB,-1.67215201195772e+02°)
3.38950325240428e-01	(-8.51269322439695e+00dB,-1.69918961668081e+02°)
3.46845492549813e-01	(-7.88359983534656e+00dB,-1.72756470310402e+02°)
3.54924561930390e-01	(-7.26349487344479e+00dB,-1.75732804903888e+02°)
3.63191817011685e-01	(-6.65443869159678e+00dB,-1.78851986996042e+02°)
3.71651641201771e-01	(-6.05873988269730e+00dB,1.77883427962211e+02°)
3.80308520011413e-01	(-5.47893886035017e+00dB,1.74472810549533e+02°)
3.89167043432344e-01	(-4.91777214725567e+00dB,1.70917945175712e+02°)
3.98231908370938e-01	(-4.37811353910355e+00dB,1.67223509617368e+02°)
4.07507921138572e-01	(-3.86288987530582e+00dB,1.63397495679136e+02°)
4.16999999999999e-01	(-3.37497190502239e+00dB,1.59451508623280e+02°)
4.26713177781073e-01	(-2.91704461697825e+00dB,1.55400878423763e+02°)
4.36652604537224e-01	(-2.49146592791613e+00dB,1.51264523085076e+02°)
4.46823550284080e-01	(-2.10012686741283e+00dB,1.47064526242595e+02°)
4.57231407791707e-01	(-1.74432911957312e+00dB,1.42825427408542e+02°)
4.67881695443917e-01	(-1.42469581416919e+00dB,1.38573267951189e+02°)
4.78780060164199e-01	(-1.14112819657859e+00dB,1.34334479158127e+02°)
4.89932280409782e-01	(-8.92814603247938e-01dB,1.30134728909932e+02°)
5.01344269235459e-01	(-6.78290379160532e-01dB,1.25997851656563e+02°)
5.13022077428761e-01	(-4.95539925401058e-01dB,1.21944970033875e+02°)
5.24971896718166e-01	(-3.42126761414509e-01dB,1.17993880572168e+02°)
5.37200063056035e-01	(-2.15335364091218e-01dB,1.14158730875860e+02°)
5.49713059978020e-01	(-1.12309605334059e-01dB,1.10449972921380e+02°)
5.62517522040718e-01	(-3.01759975420795e-02dB,1.06874545454175e+02°)
5.75620238339401e-01	(3.38555744029025e-02dB,1.03436221704137e+02°)
5.89028156107686e-01	(8.24165683062416e-02dB,1.00136055945712e+02°)
6.02748384401050e-01	(1.17929354078130e-01dB,9.69728700065808e+01°)
6.16788197866140e-01	(1.42578704462984e-01dB,9.39437339631596e+01°)
6.31155040597897e-01	(1.58301083759002e-01dB,9.10444098462811e+01°)
