Frequency,Nominal,Min,Max
3.9,1408624.8065499295,1331119.5904082053,1493698.3281491387
4,1368718.4009377968,1292954.4358904492,1451869.0928158287
4.1,1330688.4515479926,1256582.6548953624,1412008.94314228
4.2,1294403.4970702748,1221879.0095822357,1373979.5160720001
4.32,1252997.8249165942,1182277.350084512,1330584.8762186205
4.45,1210569.262611713,1141697.493698199,1286119.5344604445
4.58,1170460.8564007636,1103337.5385257541,1244086.3220372752
4.75,1121203.3494077623,1056229.6562625146,1192464.632530276
4.88,1085767.5618700993,1022342.8295918393,1155326.988321157
5,1054634.3615975415,992572.9544562979,1122697.1841744184
5.15,1017686.3668742498,957246.7477257471,1083970.5542433213
5.3,982758.0665748178,923856.397834597,1047357.3925497938
5.5,939053.2215370625,882084.2831766624,1001537.9062825462
5.65,908241.1811361728,852641.6533235927,969229.5072555507
5.8,878975.2806046093,824682.7158217162,938537.0652975386
6,842167.1875442112,789528.5988246338,899925.9709674391
6.15,816091.9587562075,764633.0214290838,872566.4226608363
6.3,791229.5443502801,740902.420855559,846473.0655290397
6.45,767499.3917512445,718259.6930476775,821561.4541387156
6.6,744828.1250695923,696634.5681166648,797754.7017392621
6.75,723148.7469805717,675962.8517816699,774982.6385963453
6.88,705114.7556117182,658773.0065617186,756034.0476379497
7,689056.4363566611,643471.241452592,739156.6205569842
7.15,669735.9041349412,625067.5130464222,718844.2110390804
7.32,648792.476219841,605126.618835138,696817.0429122916
7.5,627651.4326085581,585007.5393486044,674572.1661160737
7.65,610796.4645357896,568975.0886338175,656829.4208145564
7.8,594594.4963897878,553570.7090027925,639767.086026775
8,573947.7639621865,533950.9139381393,618013.2594676225
8.2,554324.3520600572,515315.28567408613,597325.6053419142
8.4,535655.2846449893,497597.3811221459,577632.2659048607
8.6,517877.70245469816,480736.6143320543,558867.7976845868
8.8,500934.17929255025,464677.60612733196,540972.4503329872
9,484772.129851136,449369.62056342216,523891.54218540335
9.2,469343.2950122281,434766.0748645819,507574.9176963545
9.4,454603.29297305155,420824.1117854211,491976.47445351735
9.6,440511.22650376364,407504.2252023027,477053.7495317851
9.8,427029.3382364002,394769.93125597324,462767.55663005443
10,414122.7071927597,382587.47860884236,449081.66681146703
10.2,401758.9808344672,370925.59240158997,435962.5268021706
10.4,389908.13780704275,359755.247337332,423379.0097411848
10.6,378542.277286834,349049.466020377,411302.19405186974
10.8,367635.43145289354,338783.13925809646,399705.1667530671
11,357163.39811813197,328932.86551964807,388562.84806934645
11.2,347103.5909832643,319476.80715164926,377851.83465333073
11.5,332741.0130123968,305987.60565932165,362546.5656691073
11.8,319193.1752365288,293276.38406213454,348094.8876246917
12,310584.301201582,285205.83118186187,338903.9629356374
