Frequency,Nominal,Min,Max
3.9,-108.14048650401051,-109.24792359373107,-107.03420743895317
4,-108.55771350902717,-109.685510308708,-107.43031011551322
4.1,-108.97169857540084,-110.11936087701096,-107.82362644155988
4.2,-109.38240419654117,-110.5494373451463,-108.21412041280267
4.32,-109.8708726807667,-111.06049802738784,-108.6789397203155
4.45,-110.3945953199284,-111.60789310540552,-109.17778797337606
4.58,-110.9125844937953,-112.14872275665489,-109.6716781853231
4.75,-111.58120587951136,-112.84596376642597,-110.30995360346594
4.88,-112.08574757823499,-113.37144288381423,-110.79217977615784
5,-112.54623671497691,-113.85053566871375,-111.23275142987998
5.15,-113.11472317238184,-114.44130969091421,-111.77725542179793
5.3,-113.67524466897625,-115.02305664006245,-112.3148025241263
5.5,-114.4101443339864,-115.78463032161724,-113.02062040900721
5.65,-114.95193096970972,-116.34522368082212,-113.54174378421737
5.8,-115.48564579288134,-116.89673732193677,-114.0557650337599
6,-116.18468761106408,-117.61797577275364,-114.73003248069641
6.15,-116.6995303055535,-118.14834046428273,-115.22738725163559
6.3,-117.20628729132694,-118.66967789256712,-115.71757486252247
6.45,-117.70497038050117,-119.18202143022589,-116.20058989555973
6.6,-118.19559807272124,-119.68541169409202,-116.67643292817021
6.75,-118.67819517350347,-120.17989605674232,-117.14511024583524
6.88,-119.08997374911357,-120.6012866035575,-117.54550990249928
7,-119.4647639228149,-120.98439413702224,-117.91034943062087
7.15,-119.9261113136329,-121.45540732057545,-118.35998924169787
7.32,-120.43943411821917,-121.9787306029344,-118.86100133943546
7.5,-120.97198463628494,-122.5208014065784,-119.38159486621154
7.65,-121.40722579350603,-122.96316522266524,-119.80769388142541
7.8,-121.83475595568714,-123.39710566936054,-120.22680739154443
8,-122.3929096230873,-123.96273811093837,-120.7748320647142
8.2,-122.93762291914499,-124.51375881229768,-121.31062147540705
8.4,-123.46906163576617,-125.05038671454892,-121.83429345617857
8.6,-123.98739947334347,-125.5728475890447,-122.34597427843511
8.8,-124.492816974231,-126.08137283181833,-122.84579774390669
9,-124.98550052349034,-126.57619834890762,-123.33390432261415
9.2,-125.46564141598742,-127.05756352962008,-123.81044033775991
9.4,-125.9334349884389,-127.52571030437673,-124.27555719752391
9.6,-126.38907981463798,-127.98088228344888,-124.7294106733818
9.8,-126.83277696176634,-128.42332397266642,-125.17216022423459
10,-127.26472930547597,-128.85328006203835,-125.6039683653676
10.2,-127.6851409012224,-129.28105322563948,-126.01877695189324
10.4,-128.0942164092237,-129.69776634234938,-126.41918799941688
10.6,-128.4921605703183,-130.10294014215705,-126.80892426089461
10.8,-128.87917772996778,-130.49680487906087,-127.18816380780389
11,-129.25547140762757,-130.8795888794602,-127.55708488766525
11.2,-129.62124390873652,-131.25151817149532,-127.9158655305011
11.5,-130.1506140760418,-131.7895474357757,-128.43541111924958
11.8,-130.65743214519577,-132.30439701529218,-128.9331345893792
12,-130.9831072955201,-132.63511116706235,-129.25311759453038
12.2,-131.2992436539205,-132.95605617569103,-129.56383565189478
12.5,-131.75597543207488,-133.4196075970181,-130.0129129499174
12.8,-132.1922943439341,-133.86232375380476,-130.442092643236
13,-132.4721345983108,-134.14621997378694,-130.7174323401332
13.2,-132.74334988101086,-134.42134102062133,-130.9843362267
13.5,-133.13437844119665,-134.81797618793203,-131.36922073941548
13.8,-133.50695844197486,-135.19589823091545,-131.7360036782314
14,-133.74536896946762,-135.43774276493713,-131.97072110840003
14.2,-133.97598455802233,-135.67170327337948,-132.19776703386725
14.5,-134.30763139004827,-136.00822278415032,-132.524266532653
14.8,-134.6225978623362,-136.32791679041296,-132.83430317248644
15,-134.8235520830123,-136.53195677720169,-133.03207555814623
15.5,-135.29537899058107,-137.01132583559752,-133.4962500631279
16,-135.7252238249275,-137.4485563087977,-133.91877511091297
16.5,-136.11506561149784,-137.8457256018244,-134.30152032212828
17,-136.46675517982433,-138.20476868746408,-134.64624238726253
17.5,-136.78202029372238,-138.52748503502661,-134.95458841123317
18,-137.06247117899375,-138.81554572808676,-135.22809984183849
18.5,-137.30960626110087,-139.0705006002072,-135.4682167844396
19,-137.52481796943587,-139.29378526266234,-135.6762825471499
19.5,-137.70939850041208,-139.48672793370986,-135.85354829534268
20,-137.86454546006163,-139.65055600672517,-136.00117772249388
20.5,-137.99136732940624,-139.7864023160574,-136.1202516672553
21,-138.09088871364483,-139.89531107598376,-136.21177262507092
21.5,-138.16405535006322,-139.97824348067948,-136.27666911736966
22,-138.21173886030263,-140.03608296251483,-136.31579989306084
22.5,-138.23474124082657,-140.06964011290825,-136.32995794625842
23,-138.23379909162531,-140.07965727495383,-136.3198743413531
23.5,-138.2095875878104,-140.06681282054495,-136.2862218421107
24,-138.1627242021231,-140.03172512706502,-136.22961834573263
24.5,-138.0937721887719,-139.97495627020572,-136.15063012602678
25,-138.0032438406579,-139.8970154503024,-136.04977489222054
25.5,-137.891603533117,-139.79836216992365,-135.927524671681
26,-137.75927056793213,-139.67940918045338,-135.78430852603262
27,-137.43399428250942,-139.38203752580287,-135.4364950906994
27.5,-137.24168727945366,-139.20423423940562,-135.23256341784398
28,-137.02996476793243,-139.00736655106058,-135.00900149054044
28.5,-136.79905733508244,-138.7916507682585,-134.76605919747442
29,-136.54916414798603,-138.55727022146155,-134.5039568622728
29.5,-136.28045478761632,-138.30437705514865,-134.22288709812048
30,-135.99307099091502,-138.0330939130042,-133.92301658336083
30.5,-135.6871283130679,-137.74351553042885,-133.60448776859252
31,-135.36271772169448,-137.43571024711125,-133.26742052551114
31.5,-135.01990713435313,-137.10972145201046,-132.91191374747862
32,-134.65874291046276,-136.76556897277334,-132.53804691152584
33,-133.88143991885045,-136.02274250716263,-131.7354630694896
34,-133.03080330999498,-135.20696866065978,-130.8599743080479
35,-132.10657436276327,-134.31769201345531,-129.88165330230962
36,-131.10828697222038,-133.38232819151114,-128.71077218854742
37,-130.03531515934208,-132.44006325643588,-127.40228910560249
39,-127.66232043201951,-130.3562126139,-124.52530427515812
40,-126.36071866201405,-129.29454596368794,-122.95537134763214
41,-124.98139790210251,-128.165407541113,-121.29728733157916
