Frequency,Nominal,Min,Max
3.9,4.646292232412178e-7,4.6413853670525155e-7,4.651239085120031e-7
4,4.6479581498847145e-7,4.6428013368374477e-7,4.653157578969717e-7
4.1,4.6496652981047053e-7,4.6442521482092505e-7,4.6551238158754943e-7
4.2,4.6514136074960823e-7,4.6457377271908746e-7,4.6571377349108263e-7
4.32,4.6535658112343336e-7,4.647566208615208e-7,4.659617290345022e-7
4.45,4.6559639904047616e-7,4.649603282606805e-7,4.66238072958806e-7
4.58,4.658431299541862e-7,4.651698654305219e-7,4.665224372897855e-7
4.75,4.6617618081216364e-7,4.654526421133613e-7,4.669063755064956e-7
4.88,4.6643879970951373e-7,4.656755634727128e-7,4.6720919144681855e-7
5,4.6668730239185514e-7,4.6588645770225645e-7,4.6749578826012757e-7
5.15,4.6700612335447065e-7,4.6615696455274044e-7,4.6786356503911844e-7
5.3,4.673340203778006e-7,4.6643509744657503e-7,4.6824190802787533e-7
5.5,4.677852837198942e-7,4.668177499516208e-7,4.68762756954522e-7
5.65,4.681342424441062e-7,4.671135541948737e-7,4.691656529238506e-7
5.8,4.6849217627299966e-7,4.6741687747205743e-7,4.695790265743668e-7
6,4.6898332756122286e-7,4.6783294644225075e-7,4.7014644172697833e-7
6.15,4.6936207838220163e-7,4.6815368186429583e-7,4.7058415370377924e-7
6.3,4.6974969559491877e-7,4.684818212487834e-7,4.710322479687916e-7
6.45,4.7014614513007843e-7,4.6881732856847365e-7,4.714906946131676e-7
6.6,4.7055139226562853e-7,4.69160167123143e-7,4.7195946314799996e-7
6.75,4.709654016376636e-7,4.695102995522187e-7,4.724385225133701e-7
6.88,4.7133126963016114e-7,4.6981961822987315e-7,4.728620070077806e-7
7,4.7167479085007406e-7,4.7010995869085423e-7,4.732597371645503e-7
7.15,4.721119885339824e-7,4.704793539164473e-7,4.737660826526426e-7
7.32,4.726179065914704e-7,4.7090664498354155e-7,4.7435223614213067e-7
7.5,4.731656007799657e-7,4.713690175933569e-7,4.7498705589150504e-7
7.65,4.736314063914502e-7,4.7176209334720003e-7,4.755271771701392e-7
7.8,4.7410570966265256e-7,4.721621840538599e-7,4.760773566518691e-7
8,4.747512632343466e-7,4.7270647751115324e-7,4.76826514320754e-7
8.2,4.7541175590559565e-7,4.7326306551128427e-7,4.775934054523342e-7
8.4,4.7608708950963834e-7,4.738318449534155e-7,4.783779435615367e-7
8.6,4.7677716427893996e-7,4.744127111451749e-7,4.791800407113101e-7
8.8,4.774818788962024e-7,4.7500555786168767e-7,4.799996075543594e-7
9,4.782011305456278e-7,4.75610277404885e-7,4.808365533750045e-7
9.2,4.789348149643803e-7,4.7622676066303417e-7,4.816907861311201e-7
9.4,4.79682826494198e-7,4.76854897170426e-7,4.825622124961105e-7
9.6,4.804450581331042e-7,4.774945751671715e-7,4.834507379008731e-7
9.8,4.81221401587172e-7,4.781456816590384e-7,4.84356266575708e-7
10,4.820117473222899e-7,4.788081024772873e-7,4.852787015921286e-7
10.2,4.828159846158868e-7,4.79481722338438e-7,4.862179449045323e-7
10.4,4.836340016085633e-7,4.801664249039244e-7,4.871738973916855e-7
10.6,4.844656853555902e-7,4.808620928395787e-7,4.881464588979841e-7
10.8,4.853109218782245e-7,4.815686078748958e-7,4.891355282744467e-7
11,4.861695962148027e-7,4.822858508620295e-7,4.901410034194007e-7
11.2,4.870415924715657e-7,4.830137018344684e-7,4.911627813188206e-7
11.5,4.883743097823056e-7,4.841251039819056e-7,4.927257883522093e-7
11.8,4.897363409023239e-7,4.85259691940137e-7,4.943248885543384e-7
12,4.906604490208168e-7,4.86028760847314e-7,4.954108304735004e-7
12.2,4.915972873643081e-7,4.868078276528085e-7,4.965125477744364e-7
12.5,4.930261504290788e-7,4.879949032759199e-7,4.981944668720983e-7
12.8,4.944829764653768e-7,4.892037767112189e-7,4.999112721369814e-7
13,4.95469525682064e-7,4.900215944761663e-7,5.010750080639306e-7
13.2,4.964681975262353e-7,4.908487881250836e-7,5.022539749763275e-7
13.5,4.979886662578233e-7,4.921068843855033e-7,5.040507415415837e-7
13.8,4.995357179966015e-7,4.93385371300007e-7,5.058811540714189e-7
14,5.005816479124886e-7,4.942488148347221e-7,5.07119935156123e-7
14.2,5.016390827766069e-7,4.95121007028411e-7,5.08373390237812e-7
14.5,5.032465349842515e-7,4.964454245180532e-7,5.10280840311777e-7
14.8,5.04879173739451e-7,4.977888209268413e-7,5.122206724059907e-7
15,5.059813845086038e-7,4.986947537508126e-7,5.1353169495499e-7
15.5,5.087842501285444e-7,5.009948489984181e-7,5.168707263401171e-7
16,5.116531857847454e-7,5.033437671625801e-7,5.202961535546902e-7
16.5,5.145862491718834e-7,5.057395796123432e-7,5.238061897876679e-7
17,5.175815049483953e-7,5.081803759494143e-7,5.273990443244167e-7
17.5,5.206370276878702e-7,5.106642674988608e-7,5.310729242523347e-7
18,5.237509045610783e-7,5.131893905177423e-7,5.348260358610107e-7
18.5,5.269212377383034e-7,5.157539091156109e-7,5.386565857206371e-7
19,5.301461465021459e-7,5.183560178820207e-7,5.425627814220147e-7
19.5,5.334237690613513e-7,5.209939442172453e-7,5.465428319609887e-7
20,5.367522640564398e-7,5.23665950363329e-7,5.505949477494425e-7
20.5,5.401298117480225e-7,5.263703351333551e-7,5.547173402341679e-7
21,5.435546148786748e-7,5.291054353374683e-7,5.589082211039501e-7
21.5,5.470248991990877e-7,5.318696269046716e-7,5.63165801064146e-7
22,5.505389136490036e-7,5.346613256998079e-7,5.674882881568517e-7
22.5,5.54094930183098e-7,5.374789880353869e-7,5.718738856035375e-7
23,5.576912432315779e-7,5.403211108780779e-7,5.763207891457471e-7
23.5,5.613261687848031e-7,5.431862317497324e-7,5.808271838582065e-7
24,5.64998043090731e-7,5.46072928322775e-7,5.8539124040743e-7
24.5,5.68705220953464e-7,5.489798177096856e-7,5.900111107277989e-7
25,5.724460736206424e-7,5.5190555544612e-7,5.94684923086041e-7
25.5,5.762189862469238e-7,5.54848834166993e-7,5.994107765042438e-7
26,5.800223549203233e-7,5.57808381974569e-7,6.041867345109723e-7
27,5.877140784162586e-7,5.637713626380183e-7,6.138809984950198e-7
27.5,5.915992469247634e-7,5.667724100091512e-7,6.187951878041745e-7
28,5.955084896242776e-7,5.697849500536164e-7,6.237512306800697e-7
28.5,5.994401964009191e-7,5.728078528482146e-7,6.287468938149473e-7
29,6.033927402797331e-7,5.75840007587417e-7,6.337798551341403e-7
29.5,6.073644710066219e-7,5.788803187446932e-7,6.388476920397323e-7
