Frequency,Nominal,Min,Max
3.9,0.00665236531272386,0.007047683500747135,0.006263647387301534
4,0.006652583229321178,0.007047940067658515,0.006263831287230684
4.1,0.00665280670266893,0.0070482031837361455,0.006264019872018741
4.2,0.006653035735813941,0.007048472853098866,0.006264213143890154
4.32,0.006653317918931732,0.00704880511263535,0.006264451260305902
4.45,0.006653632663526815,0.007049175725170206,0.006264716844694146
4.58,0.006653956823308176,0.007049557438629529,0.006264990364212302
4.75,0.006654394943485983,0.00705007336932318,0.006265360025881627
4.88,0.006654740859809789,0.007050480739807766,0.006265651878524727
5,0.006655068546637179,0.007050866657828372,0.006265928340586215
5.15,0.006655489477693118,0.007051362412287978,0.006266283456129583
5.3,0.006655923001678598,0.007051873024521618,0.006266649178408919
5.5,0.006656520646327057,0.0070525769850113456,0.00626715332471323
5.65,0.006656983607696816,0.00705312233844487,0.00626754383526926
5.8,0.0066574592092718,0.007053682613773995,0.006267944986968265
6,0.006658113033540594,0.007054452895079293,0.006268496427909598
6.15,0.006658618188745536,0.007055048069382991,0.006268922452433564
6.3,0.006659136036559721,0.007055658236756216,0.006269359156190348
6.45,0.006659666593733094,0.0070562834199688375,0.006269806551344109
6.6,0.0066602098775000625,0.007056923642459341,0.006270264650405673
6.75,0.006660765905585132,0.0070575789283431325,0.006270733466236276
6.88,0.006661258119399796,0.007058159046538879,0.0062711484521703964
7,0.006661720989481359,0.007058704613364218,0.006271538677052107
7.15,0.006662311092857125,0.007059400191434173,0.006272036136516879
7.32,0.006662995367968739,0.007060206838741346,0.006272612940778988
7.5,0.0066637378661781235,0.007061082201166557,0.006273238772084118
7.65,0.0066643707605683585,0.007061828412829244,0.006273772178728287
7.8,0.006665016537566698,0.007062589876378818,0.006274316402311723
8,0.006665897651040105,0.007063628937969201,0.006275058887484848
8.2,0.006666801759185809,0.007064695240034307,0.006275820669465228
8.4,0.006667728917087641,0.007065788857870546,0.006276601788041192
8.6,0.006668679181611199,0.007066909869256593,0.0062774022842638205
8.8,0.006669652611433275,0.007068058354496452,0.006278222200466626
9,0.006670649267071772,0.007069234396463333,0.00627906158028562
9.2,0.006671669210916137,0.007070438080644186,0.006279920468679699
9.4,0.006672712507258323,0.007071669495184942,0.006280798911951442
9.6,0.006673779222324229,0.007072928730936414,0.006281696957768201
9.8,0.006674869424305566,0.007074215881500813,0.006282614655183564
10,0.006675983183392263,0.00707553104327888,0.00628355205465915
10.2,0.006677120571805223,0.00707687431551762,0.006284509208086703
10.4,0.006678281663829582,0.007078245800358541,0.006285486168810511
10.6,0.0066794665358483225,0.0070796456028864516,0.006286482991650134
10.8,0.006680675266376281,0.007081073831178744,0.006287499732923397
11,0.0066819079360945725,0.007082530596355111,0.0062885364504697075
11.2,0.006683164627885313,0.007084016012627735,0.006289593203673615
11.5,0.006685094893773457,0.00708629811542867,0.00629121603410823
