Frequency,Nominal,Min,Max
3.9,-9.3399208990643,-9.894947635048977,-8.794160931771355
4,-9.579719850222496,-10.14903369742826,-9.019917053612184
4.1,-9.81954269313934,-10.403147899194549,-9.24569333109966
4.2,-10.059390032550679,-10.657290953885486,-9.471490273561914
4.32,-10.34724002752263,-10.962301711170497,-9.74247460002774
4.45,-10.659119526969958,-11.29277951172267,-10.036076385200023
4.58,-10.971044010270521,-11.623310304812367,-10.329716112513243
4.75,-11.37901535336103,-12.055625461542638,-10.713765644257581
4.88,-11.691048742513837,-12.386284563694284,-11.00749722019224
5,-11.979123383946922,-12.69155998409107,-11.278671013055186
5.15,-12.339277491643044,-13.073225912381915,-11.617689527664249
5.3,-12.699501087202764,-13.454973730787247,-11.956766632404214
5.5,-13.179910879727572,-13.964102430322463,-12.408963582932195
5.65,-13.540304658055323,-14.346050836396866,-12.748184160937676
5.8,-13.900774828959518,-14.728089297560102,-13.087469132789737
6,-14.381524152447684,-15.237618253371274,-13.539952284284732
6.15,-14.742180669882618,-15.619876425613944,-13.879394309687912
6.3,-15.102920530917444,-16.002232880963096,-14.21890656623971
6.45,-15.463745830648245,-16.38469010116764,-14.558490812221022
6.6,-15.824658668940149,-16.767250574483395,-14.89814880936388
6.75,-16.18566115057187,-17.14991679587381,-15.237882322954148
6.88,-16.498604110129413,-17.481648326467493,-15.532380486335637
7,-16.787536893493026,-17.78793562567783,-15.80427746617131
7.15,-17.148788753014244,-18.170896092751562,-16.14422101539445
7.32,-17.558325393671222,-18.605057061451195,-16.52958962154079
7.5,-17.992092238680932,-19.064921943149702,-16.937744684627116
7.65,-18.35367707460526,-19.44827544893174,-17.277968580217703
7.8,-18.715366437487287,-19.831752372871723,-17.61828045769132
8,-19.1977852349955,-20.3432513413513,-18.07216959595636
8.2,-19.680398793116506,-20.85498034858127,-18.52622261626135
8.4,-20.163212245273026,-21.366945506200533,-18.980443807036565
8.6,-20.646230746268273,-21.879152955218412,-19.434837472080787
8.8,-21.12945947302062,-22.391608867044763,-19.889407931078274
9,-21.61290362531254,-22.904319444541198,-20.34415952012541
9.2,-22.096568426554242,-23.41729092309354,-20.79909659226716
9.4,-22.580459124562164,-23.93052957170584,-21.25422351804368
9.6,-23.064580992352536,-24.444041694116247,-21.709544686046904
9.8,-23.54893932895004,-24.95783362993487,-22.165064503487617
10,-24.033539460212147,-25.471911755803966,-22.62078739677294
10.2,-24.518386739668777,-25.9862824865807,-23.07671781209437
10.4,-25.003486549377953,-26.500952276542375,-23.532860216026553
10.6,-25.488844300797194,-27.015927620614697,-23.98921909613691
10.8,-25.97446543567098,-27.531215055622955,-24.44579896160617
11,-26.460355426934505,-28.04682116156624,-24.90260434386004
11.2,-26.946519779633583,-28.562752562915026,-25.359639797212015
11.5,-27.67629286022211,-29.337274197874688,-26.045634381208068
11.8,-28.40671455823962,-30.11256547907017,-26.732172484122035
12,-28.894032082469245,-30.629865242892006,-27.19017424588653
12.2,-29.381652008372292,-31.147524138588558,-27.64842921692294
12.5,-30.11366141902203,-31.924701006360888,-28.3362967423001
12.8,-30.846383571752966,-32.70272508798916,-29.02476058267679
13,-31.335270679273027,-33.22189025924667,-29.484075729298553
13.2,-31.824489178963375,-33.74144971868467,-29.94366789853846
13.5,-32.55895125905499,-34.5215439780998,-30.633586191652906
13.8,-33.2941924915054,-35.302566196621314,-31.324155217985577
14,-33.784796247099756,-35.823775495023234,-31.784904314392918
14.2,-34.27576146928125,-36.34541574609748,-32.245955015260485
14.5,-35.0129005355289,-37.128700653127865,-32.93810756001034
14.8,-35.750887762419,-37.91299788187417,-33.63096709655105
15,-36.243360934315255,-38.436437967309814,-34.093274748517096
15.5,-37.476276289624586,-39.74710879013023,-35.250486140331105
16,-38.71174760591434,-41.06083748252088,-36.40982352194444
16.5,-39.94987817163195,-42.37775158897594,-37.571370294310405
17,-41.190773688317876,-43.697982016823815,-38.735211563865164
17.5,-42.43454240287809,-45.021663219099274,-39.90143423607783
18,-43.68129524274771,-46.3489333804573,-41.07012711140004
18.5,-44.93114595362073,-47.67993460548528,-42.24138098346047
19,-46.184211239370185,-49.01481310867667,-43.41528873932323
19.5,-47.440610903729315,-50.35371940522986,-44.59194546159971
20,-48.700467993245184,-51.696808501727105,-45.77144853217313
20.5,-49.96390894095367,-53.04424008563074,-46.95389773726107
21,-51.231063710156036,-54.396178712407156,-48.139395373505856
21.5,-52.50206593760456,-55.75279398895067,-49.328046354744075
22,-53.77705307532482,-57.11426075183125,-50.519958319065594
22.5,-55.05616653021732,-58.48075923872831,-51.715241735727105
23,-56.33955180048907,-59.852475251239476,-52.91401001143951
23.5,-57.627358607867244,-61.22960030706602,-54.116379595494735
24,-58.91974102443886,-62.61233177937402,-55.322470083145184
24.5,-60.216857592848726,-64.0008730209144,-56.5324043165887
25,-61.51887143846171,-65.3954334702514,-57.74630848284902
25.5,-62.82595037196686,-66.79622873720163,-58.96431220777441
26,-64.13826698075758,-68.20348066431832,-60.18654864530494
27,-66.77932791232213,-71.03827320630936,-62.64427040938062
27.5,-68.10844192125298,-72.46628881694897,-63.88004040229719
28,-69.44353305062594,-73.90171097516303,-65.12061256994996
28.5,-70.78479861288864,-75.34479251267479,-66.36613881045214
29,-72.13244089632697,-76.79579214506877,-67.61677492823115
29.5,-73.48666711736827,-78.25497425133727,-68.87268065919558
30,-74.84768934209345,-79.72260859274992,-70.13401968112423
30.5,-76.21572437358846,-81.19896996486435,-71.40095960752835
31,-77.59099360153733,-82.68433777613372,-72.6736719631109
31.5,-78.97372281022359,-84.17899554622244,-73.95233213881218
32,-80.36414194087263,-85.68323031681822,-75.23711932429262
33,-83.16898873748494,-88.7215924285212,-77.82580989531743
34,-86.00744433032412,-91.8017622540925,-80.44124895470557
35,-88.88146107035227,-94.92607911634119,-83.08499357722692
36,-91.79301493025059,-98.09684466886299,-85.75864500483684
37,-94.74408199828038,-101.31627497312405,-88.4638383462249
39,-100.77247838626901,-107.9092085205765,-93.97547661532381
40,-103.85346381352268,-111.28614244965874,-96.78522235091624
41,-106.98118156798637,-114.7184338565657,-99.63306529318349
42,-110.15703174422856,-118.20679290645133,-102.5205313236257
43.2,-114.03313763692795,-122.46696132305304,-106.03977880237534
44.5,-118.31368683018074,-127.17206928750363,-109.92147095031098
45.8,-122.67923382835623,-131.96703919367081,-113.87720731745254
47.5,-128.51396473841552,-138.36190702750588,-119.16399886280423
48.8,-133.06771865144782,-143.334737541993,-123.29420288235588
50,-137.33634042142648,-147.97599630220094,-127.1728147094521
51.5,-142.7497129641197,-153.82607335733218,-132.10690457269777
53,-148.23341891105542,-159.70237851342642,-137.12972561763482
55,-155.6174240081762,-167.52089706691456,-143.94655393268047
56.5,-161.17680233684658,-173.32695196097694,-149.13034959704387
58,-166.72306944706696,-179.0448921354241,-154.35512744208862
60,-174.04634558554955,-186.47668606644643,-161.3482384540516
61.5,-179.44707124360548,-191.8709771788699,-166.58241538827
63,-184.73898023680297,-197.08724244888987,-171.77981950257214
64.5,-189.8983494205067,-202.1099009973883,-176.91563676186027
66,-194.90551943308927,-206.92892391567963,-181.9662608246431
67.5,-199.74531174237978,-211.5393416383101,-186.91024968556394
68.8,-203.79606378221342,-215.3657147754559,-191.0943734803796
70,-207.41270137534224,-218.75970481231224,-194.86445323497205
71.5,-211.7654782445423,-222.81992891120638,-199.442780321535
73.2,-216.47281510871034,-227.18509354503712,-204.44070982471123
75,-221.19973890298326,-231.5465562718656,-209.50324384043708
76.5,-224.94271208289842,-234.9880404371354,-213.5391816333316
78,-228.51437291534708,-238.2645738216293,-217.4095595452529
80,-233.0232700656858,-242.39387503409506,-222.3175219644052
82,-237.26048522113803,-246.27059932952525,-226.9468954854184
84,-241.2459447525368,-249.91655321557963,-231.31159958923067
86,-244.9992960367465,-253.35202312556942,-235.4274292716749
88,-248.5393638976478,-256.59563816490356,-239.31100072716325
90,-251.88383517992014,-259.66435746732964,-242.97899356495427
92,-255.0491040773462,-262.5735329247658,-246.44763777353205
94,-258.0502255221961,-265.3370136868525,-249.73239029342406
96,-260.9009376415495,-267.9672703605703,-252.8477513682425
98,-263.6137256149463,-270.47552497747245,-255.80717959551532
100,-266.19990799289013,-272.8718783434913,-258.6230738006341
102,-268.66973294282275,-275.16543005968794,-261.306798065742
104,-271.0324764317059,-277.36438886768724,-263.86873294838574
106,-273.2965374850577,-279.47617245033535,-266.31834109977115
108,-275.46952776625466,-281.5074967047118,-268.6642393335354
