Frequency,Nominal,Min,Max
3.9,-0.163012371564501,-0.1726994155440309,-0.15348706320966254
4,-0.1671976528050406,-0.1771340539159771,-0.1574272508423185
4.1,-0.17138335103543267,-0.18156918341287603,-0.1613677902573713
4.2,-0.1755694768103089,-0.18600481648830888,-0.1653086903442738
4.32,-0.18059340697441859,-0.19132825845693363,-0.1700382590624017
4.45,-0.1860367311092463,-0.1970961841813182,-0.1751625769033911
4.58,-0.19148084036042318,-0.2028650347999615,-0.1802875569596651
4.75,-0.198601283551136,-0.21041035769118005,-0.1869904857793463
4.88,-0.2040472935680092,-0.21618144772541453,-0.19211706889647784
5,-0.20907514455251863,-0.2215095089367483,-0.19684994442705736
5.15,-0.2153610195463982,-0.22817083602810412,-0.20276693373220597
5.3,-0.22164810733228774,-0.23483359237158258,-0.20868494562804807
5.5,-0.23003283997066848,-0.24371956449486903,-0.21657727128223922
5.65,-0.23632289800619033,-0.2503858217536117,-0.22249778725895314
5.8,-0.2426142893436952,-0.2570536507701626,-0.22841942712030788
6,-0.251004947915299,-0.26594660868331627,-0.23631674792369584
6.15,-0.25729959161331495,-0.27261827238160646,-0.24224112888661958
6.3,-0.26359568993155946,-0.2792916514437038,-0.24816673561432412
6.45,-0.2698932794363573,-0.28596678918429813,-0.25409359879460036
6.6,-0.2761923967772689,-0.2926437290316459,-0.2600217491754727
6.75,-0.2824930786896128,-0.2993225145310743,-0.2659512175669918
6.88,-0.2879549637048274,-0.30511232197261434,-0.27109118015907496
7,-0.2929977920914739,-0.3104580438008757,-0.2758366776834361
7.15,-0.2993028264690712,-0.3171419648562877,-0.2817698118882953
7.32,-0.30645058925609236,-0.3247195032437443,-0.2884957628993702
7.5,-0.3140212488874997,-0.3327456595436775,-0.2956194126089118
7.65,-0.32033209479966274,-0.33943644041863713,-0.3015574397809289
7.8,-0.32664476505139467,-0.3461293753468097,-0.30749700252648704
8,-0.3350645614414248,-0.35505671646733306,-0.3154188624282518
8.2,-0.34348775704540135,-0.36398807252145793,-0.3233435826111985
8.4,-0.35191444145845274,-0.37292355017740575,-0.3312712379225553
8.6,-0.3603447046488673,-0.38186325661600873,-0.3392019034777813
8.8,-0.3687786369709158,-0.3908072995486883,-0.3471356546695893
9,-0.3772163291779227,-0.3997557872358027,-0.355072567177138
9.2,-0.38565787243559435,-0.4087088285053645,-0.3630127169753945
9.4,-0.39410335833560617,-0.4176665327721354,-0.37095618034467465
9.6,-0.4025528789094528,-0.42662901005710113,-0.3789030338803571
9.8,-0.4110065266425622,-0.4355963710073315,-0.3868533545027811
10,-0.41946439448868267,-0.44456872691622906,-0.3948072194673247
10.2,-0.4279265758845379,-0.4535461897441724,-0.4027647063746689
10.4,-0.43639316476476103,-0.4625288721395513,-0.4107258931812474
10.6,-0.44486425557710296,-0.4715168874602039,-0.41869085820988716
10.8,-0.453339943297922,-0.48051034979525437,-0.4266596801606385
11,-0.461820323447957,-0.48950937398735134,-0.43463243812179986
11.2,-0.47030549210838285,-0.498514075655316,-0.44260921158113675
11.5,-0.48304243515707457,-0.5120320283132918,-0.4545820757227167
11.8,-0.49579069871548787,-0.5255634138321581,-0.4665644260589611
