Freq.	V(out)
4.00000000000000e+00	(5.99968356145055e-03dB,-9.21353300494878e+00°)
4.09317196912302e+00	(6.28276295778880e-03dB,-9.42852999548021e+00°)
4.18851419220360e+00	(6.57907192603484e-03dB,-9.64856256001775e+00°)
4.28607722095043e+00	(6.88922321865659e-03dB,-9.87374997311537e+00°)
4.38591278457274e+00	(7.21385743364372e-03dB,-1.01042144296930e+01°)
4.48807381720785e+00	(7.55364422768957e-03dB,-1.03400811232783e+01°)
4.59261448598753e+00	(7.90928357703259e-03dB,-1.05814783268078e+01°)
4.69959021975812e+00	(8.28150708728709e-03dB,-1.08285374761028e+01°)
4.80905773846965e+00	(8.67107935363866e-03dB,-1.10813932561373e+01°)
4.92107508324952e+00	(9.07879937256368e-03dB,-1.13401836902279e+01°)
5.03570164717667e+00	(9.50550200650561e-03dB,-1.16050502322770e+01°)
5.15299820677253e+00	(9.95205950247172e-03dB,-1.18761378622146e+01°)
5.27302695422563e+00	(1.04193830658138e-02dB,-1.21535951847883e+01°)
5.39585153036661e+00	(1.09084244901680e-02dB,-1.24375745318626e+01°)
5.52153705841154e+00	(1.14201778444093e-02dB,-1.27282320683977e+01°)
5.65015017849101e+00	(1.19556812176739e-02dB,-1.30257279022886e+01°)
5.78175908298371e+00	(1.25160185226797e-02dB,-1.33302261982577e+01°)
5.91643355267283e+00	(1.31023213583220e-02dB,-1.36418952960034e+01°)
6.05424499374483e+00	(1.37157709314564e-02dB,-1.39609078328252e+01°)
6.19526647564992e+00	(1.43576000381628e-02dB,-1.42874408709550e+01°)
6.33957276984445e+00	(1.50290951043190e-02dB,-1.46216760298412e+01°)
6.48724038943572e+00	(1.57315982846877e-02dB,-1.49637996236505e+01°)
6.63834762975024e+00	(1.64665096202773e-02dB,-1.53140028042665e+01°)
6.79297460984697e+00	(1.72352892521542e-02dB,-1.56724817100838e+01°)
6.95120331499750e+00	(1.80394596904705e-02dB,-1.60394376209196e+01°)
7.11311764015569e+00	(1.88806081364214e-02dB,-1.64150771193810e+01°)
7.27880343443993e+00	(1.97603888545075e-02dB,-1.67996122590554e+01°)
7.44834854665146e+00	(2.06805255914862e-02dB,-1.71932607399131e+01°)
7.62184287185298e+00	(2.16428140384975e-02dB,-1.75962460913394e+01°)
7.79937839903217e+00	(2.26491243308271e-02dB,-1.80087978632443e+01°)
7.98104925987551e+00	(2.37014035800607e-02dB,-1.84311518257278e+01°)
8.16695177867811e+00	(2.48016784315043e-02dB,-1.88635501778160e+01°)
8.35718452341615e+00	(2.59520576389874e-02dB,-1.93062417658181e+01°)
8.55184835800892e+00	(2.71547346477984e-02dB,-1.97594823118966e+01°)
8.75104649579820e+00	(2.84119901748541e-02dB,-2.02235346534873e+01°)
8.95488455427335e+00	(2.97261947738934e-02dB,-2.06986689942520e+01°)
9.16347061107108e+00	(3.10998113711689e-02dB,-2.11851631673013e+01°)
9.37691526127968e+00	(3.25353977555723e-02dB,-2.16833029114792e+01°)
9.59533167607795e+00	(3.40356090040059e-02dB,-2.21933821615640e+01°)
9.81883566274011e+00	(3.56031998211103e-02dB,-2.27157033533084e+01°)
1.00475457260383e+01	(3.72410267684060e-02dB,-2.32505777443133e+01°)
1.02815831310754e+01	(3.89520503554019e-02dB,-2.37983257518110e+01°)
1.05210719675815e+01	(4.07393369607132e-02dB,-2.43592773085221e+01°)
1.07661392157076e+01	(4.26060605472806e-02dB,-2.49337722378462e+01°)
1.10169148133527e+01	(4.45555041305730e-02dB,-2.55221606497518e+01°)
1.12735317250578e+01	(4.65910609531285e-02dB,-2.61248033588483e+01°)
1.15361260125064e+01	(4.87162353124863e-02dB,-2.67420723262490e+01°)
1.18048369066655e+01	(5.09346429818264e-02dB,-2.73743511269766e+01°)
1.20798068816080e+01	(5.32500111548896e-02dB,-2.80220354448163e+01°)
1.23611817300543e+01	(5.56661778366085e-02dB,-2.86855335966939e+01°)
1.26491106406735e+01	(5.81870905901075e-02dB,-2.93652670888448e+01°)
1.29437462771851e+01	(6.08168045382162e-02dB,-3.00616712072509e+01°)
1.32452448593036e+01	(6.35594795026650e-02dB,-3.07751956450530e+01°)
1.35537662455681e+01	(6.64193761476665e-02dB,-3.15063051699040e+01°)
1.38694740181012e+01	(6.94008509746005e-02dB,-3.22554803345174e+01°)
1.41925355693430e+01	(7.25083499923355e-02dB,-3.30232182339799e+01°)
1.45231221908040e+01	(7.57464008606561e-02dB,-3.38100333137534e+01°)
1.48614091638869e+01	(7.91196032738958e-02dB,-3.46164582326868e+01°)
1.52075758528224e+01	(8.26326173155062e-02dB,-3.54430447857965e+01°)
1.55618057997712e+01	(8.62901494720435e-02dB,-3.62903648920672e+01°)
1.59242868221399e+01	(9.00969359452650e-02dB,-3.71590116530709e+01°)
1.62952111121645e+01	(9.40577228425479e-02dB,-3.80496004888154e+01°)
1.66747753388134e+01	(9.81772427565058e-02dB,-3.89627703579174e+01°)
1.70631807520637e+01	(1.02460187163383e-01dB,-3.98991850699559e+01°)
1.74606332896066e+01	(1.06911173972433e-01dB,-4.08595346987196e+01°)
1.78673436860385e+01	(1.11534709444327e-01dB,-4.18445371060057e+01°)
1.82835275845950e+01	(1.16335143559732e-01dB,-4.28549395866962e+01°)
1.87094056514879e+01	(1.21316617756803e-01dB,-4.38915206470123e+01°)
1.91452036929055e+01	(1.26483003763359e-01dB,-4.49550919291626e+01°)
1.95911527747378e+01	(1.31837832017800e-01dB,-4.60465002970600e+01°)
2.00474893450908e+01	(1.37384207897690e-01dB,-4.71666300993844e+01°)
2.05144553596545e+01	(1.43124713644740e-01dB,-4.83164056280524e+01°)
2.09922984099909e+01	(1.49061293480572e-01dB,-4.94967937920897e+01°)
2.14812718548101e+01	(1.55195118934856e-01dB,-5.07088070290307e+01°)
2.19816349543049e+01	(1.61526430841776e-01dB,-5.19535064782589e+01°)
2.24936530076139e+01	(1.68054353781899e-01dB,-5.32320054431581e+01°)
2.30175974934862e+01	(1.74776677933989e-01dB,-5.45454731715450e+01°)
2.35537462142235e+01	(1.81689602326485e-01dB,-5.58951389865521e+01°)
2.41023834429743e+01	(1.88787432310929e-01dB,-5.72822968028761e+01°)
2.46638000744592e+01	(1.96062222681092e-01dB,-5.87083100659905e+01°)
2.52382937792077e+01	(2.03503356188411e-01dB,-6.01746171544321e+01°)
2.58261691613862e+01	(2.11097045203354e-01dB,-6.16827372873843e+01°)
2.64277379203038e+01	(2.18825741884929e-01dB,-6.32342769812529e+01°)
2.70433190156792e+01	(2.26667439374976e-01dB,-6.48309370993700e+01°)
2.76732388367574e+01	(2.34594843152280e-01dB,-6.64745205378694e+01°)
2.83178313753654e+01	(2.42574387674390e-01dB,-6.81669405874679e+01°)
2.89774384029995e+01	(2.50565068704240e-01dB,-6.99102300044367e+01°)
2.96524096520366e+01	(2.58517056161600e-01dB,-7.17065508132523e+01°)
3.03431030011673e+01	(2.66370045850019e-01dB,-7.35582048466678e+01°)
3.10498846651476e+01	(2.74051300891195e-01dB,-7.54676450041582e+01°)
3.17731293889712e+01	(2.81473325072306e-01dB,-7.74374871741651e+01°)
3.25132206465639e+01	(2.88531100543084e-01dB,-7.94705227158134e+01°)
3.32705508441067e+01	(2.95098811424793e-01dB,-8.15697313273911e+01°)
3.40455215280950e+01	(3.01025963071987e-01dB,-8.37382940363316e+01°)
3.48385435982431e+01	(3.06132794307180e-01dB,-8.59796059218661e+01°)
3.56500375253497e+01	(3.10204867559011e-01dB,-8.82972880186518e+01°)
3.64804335742363e+01	(3.12986710527920e-01dB,-9.06951976377432e+01°)
3.73301720318795e+01	(3.14174374425297e-01dB,-9.31774360691812e+01°)
3.81997034408573e+01	(3.13406770461775e-01dB,-9.57483522863313e+01°)
3.90894888382323e+01	(3.10255651698422e-01dB,-9.84125408443512e+01°)
3.99999999999999e+01	(3.04214126692895e-01dB,-1.01174831644638e+02°)
4.09317196912300e+01	(2.94683631479309e-01dB,-1.04040268620550e+02°)
4.18851419220358e+01	(2.80959356388797e-01dB,-1.07014073695272e+02°)
4.28607722095041e+01	(2.62214235441233e-01dB,-1.10101591598286e+02°)
4.38591278457273e+01	(2.37481771972390e-01dB,-1.13308210361464e+02°)
4.48807381720784e+01	(2.05638209314099e-01dB,-1.16639251654543e+02°)
4.59261448598752e+01	(1.65384872966486e-01dB,-1.20099824731213e+02°)
4.69959021975810e+01	(1.15231918535907e-01dB,-1.23694637889999e+02°)
4.80905773846964e+01	(5.34852131502988e-02dB,-1.27427762346882e+02°)
4.92107508324951e+01	(-2.17613696415597e-02dB,-1.31302345687392e+02°)
5.03570164717665e+01	(-1.12625411325250e-01dB,-1.35320276066760e+02°)
5.15299820677252e+01	(-2.21423895252739e-01dB,-1.39481804440959e+02°)
5.27302695422561e+01	(-3.50646196231756e-01dB,-1.43785140476261e+02°)
5.39585153036660e+01	(-5.02908972380042e-01dB,-1.48226048044226e+02°)
5.52153705841152e+01	(-6.80890811028419e-01dB,-1.52797477240123e+02°)
5.65015017849100e+01	(-8.87246324750478e-01dB,-1.57489279587635e+02°)
5.78175908298369e+01	(-1.12450210068821e+00dB,-1.62288058547495e+02°)
5.91643355267281e+01	(-1.39494023346229e+00dB,-1.67177205293986e+02°)
6.05424499374481e+01	(-1.70047856420859e+00dB,-1.72137157278847e+02°)
6.19526647564990e+01	(-2.04255938641010e+00dB,-1.77145893699794e+02°)
6.33957276984443e+01	(-2.42205937366944e+00dB,1.77820349862553e+02°)
6.48724038943569e+01	(-2.83923218854746e+00dB,1.72786199775397e+02°)
6.63834762975022e+01	(-3.29369155677231e+00dB,1.67776176667371e+02°)
6.79297460984695e+01	(-3.78443716066105e+00dB,1.62813738411395e+02°)
6.95120331499748e+01	(-4.30991972461206e+00dB,1.57920428477167e+02°)
7.11311764015566e+01	(-4.86813652963594e+00dB,1.53115205284455e+02°)
7.27880343443991e+01	(-5.45674540773192e+00dB,1.48413997398440e+02°)
7.44834854665144e+01	(-6.07318449939510e+00dB,1.43829494920741e+02°)
7.62184287185296e+01	(-6.71478647778069e+00dB,1.39371157022460e+02°)
7.79937839903215e+01	(-7.37887882223564e+00dB,1.35045394455788e+02°)
7.98104925987549e+01	(-8.06286516408526e+00dB,1.30855875822453e+02°)
8.16695177867808e+01	(-8.76428595567356e+00dB,1.26803906149153e+02°)
8.35718452341612e+01	(-9.48085924320736e+00dB,1.22888832986798e+02°)
8.55184835800889e+01	(-1.02105039747656e+01dB,1.19108445484819e+02°)
8.75104649579817e+01	(-1.09513490996670e+01dB,1.15459342896747e+02°)
8.95488455427332e+01	(-1.17017318953394e+01dB,1.11937258884610e+02°)
