Frequency,Nominal,Min,Max
19.5,-0.25428664555434227,-0.26971782691474816,-0.23911867711452414
20,-0.2608248863865539,-0.2766552558788594,-0.24526493632552623
20.5,-0.267364511554704,-0.28359434043000675,-0.25141234432813825
21,-0.273905557183574,-0.29053512400778736,-0.25756093094988997
21.5,-0.28044805951525215,-0.2974776502111167,-0.26371072610362584
22,-0.2869920549125881,-0.3044219628030055,-0.2698617597899745
22.5,-0.2935375798626926,-0.3113681057153957,-0.2760140620998497
23,-0.3000846709804742,-0.3183161230540611,-0.28216766321697423
23.5,-0.3066333650122232,-0.32526605910356843,-0.28832259342043526
24,-0.3131836988392346,-0.3322179583323042,-0.29447888308726544
24.5,-0.3197357094814771,-0.3391718653975644,-0.3006365626950562
25,-0.3262894341013063,-0.3461278251507114,-0.30679566282459697
25.5,-0.3328449100072227,-0.3530858826423972,-0.31295621416254726
26,-0.3394021746576738,-0.36004608312785324,-0.319118247504137
27,-0.35252222079886064,-0.3739730951561202,-0.33144688393843214
27.5,-0.3590850779911167,-0.3809399982808636,-0.33761354918919567
28,-0.36564987533888466,-0.3879092275743069,-0.3437818207653355
28.5,-0.37221665110904595,-0.39488082939634483,-0.34995173004654434
29,-0.37878544374224143,-0.4018548503446503,-0.3561233085379522
29.5,-0.3853562918570117,-0.4088313372604547,-0.3622965878730513
30,-0.3919292342539837,-0.4158103372344041,-0.3684715998166547
30.5,-0.39850430992010955,-0.42279189761248537,-0.374648376267887
31,-0.40508155803295626,-0.4297760660020266,-0.38082694926321065
31.5,-0.41166101796504434,-0.43676289027777354,-0.38700735097948563
32,-0.41824272928823936,-0.44375241858803577,-0.39318961373706385
33,-0.43141306541884594,-0.45773978131058984,-0.405559852393809
34,-0.4445928871567105,-0.47173854506582724,-0.4179379267858906
35,-0.457782518713005,-0.48574910553299266,-0.4303241009655555
36,-0.47098228792780256,-0.4997718633843605,-0.4427186415900909
37,-0.48419252642310684,-0.5138072244999558,-0.45512181802935364
39,-0.5106457575946783,-0.541917407404409,-0.47995517005579236
40,-0.523889433849065,-0.5559930689912411,-0.4923858989458528
41,-0.5371449468698064,-0.5700830139007734,-0.5048263704877677
42,-0.5504126496018023,-0.5841876774383876,-0.5172768693086371
43.2,-0.5663504873086738,-0.6011333249468035,-0.5322311097005239
44.5,-0.5836375961442418,-0.6195166471484479,-0.5484488846467472
45.8,-0.6009474592441995,-0.6379275099130506,-0.5646853363582619
47.5,-0.6236191461810772,-0.6620465226333216,-0.5859469038986367
48.8,-0.6409847043600427,-0.6805249029971876,-0.6022290034809554
50,-0.6570371116131074,-0.6976093852182418,-0.6172771795951456
51.5,-0.6771342992452496,-0.7190034935783167,-0.636113299710684
53,-0.6972679802880424,-0.7404420107890393,-0.6549792247043412
55,-0.7241721154957519,-0.7690988749608227,-0.6801821003407013
56.5,-0.7443965325533635,-0.7906480445856556,-0.6991219841684775
58,-0.7646623186395117,-0.8122477730061072,-0.7180955195492342
60,-0.7917503958164513,-0.8411294529155492,-0.7434480143555844
61.5,-0.8121187914120833,-0.862854870591877,-0.762504838099086
63,-0.8325338704408127,-0.8846376029393239,-0.7815994726735237
64.5,-0.8529973215977643,-0.9064798065762305,-0.8007332332378831
66,-0.8735108799476741,-0.9283837016930403,-0.8199074681325664
67.5,-0.8940763284793133,-0.9503515740110153,-0.8391235600515508
68.8,-0.9119431056557866,-0.9694439641872954,-0.8558124593163188
70,-0.928472387552677,-0.9871132885961462,-0.8712472640301592
71.5,-0.9491853074852798,-1.0092634596903167,-0.8905820082914901
73.2,-0.9727312159311239,-1.0344553127282374,-0.9125519090295067
75,-0.997747871728927,-1.0612354092696952,-0.9358828198043927
76.5,-1.0186649743191607,-1.0836390379533016,-0.9553811592702435
78,-1.03964791182205,-1.106124622168125,-0.9749320923479866
80,-1.0677314115201282,-1.1362378540035465,-1.001084756265352
82,-1.0959413173779384,-1.1665088999719493,-1.027338089849716
84,-1.1242832384643633,-1.1969450140014088,-1.053696381911473
86,-1.152762976212233,-1.2275536929502395,-1.080164066640184
88,-1.181386525293825,-1.258342672884782,-1.1067457260969806
90,-1.2101600731910964,-1.2893199227609022,-1.133446092085557
92,-1.239089998269777,-1.3204936351520329,-1.1602700473035086
94,-1.2681828661491599,-1.351872213636661,-1.18722262566658
96,-1.2974454241413995,-1.3834642564281252,-1.2143090116886106
98,-1.3268845935156173,-1.4152785358001774,-1.2415345387897423
100,-1.356507459323314,-1.4473239728339342,-1.2689046863947104
102,-1.386321257502873,-1.4796096069867049,-1.2964250756719329
104,-1.4163333589627407,-1.5121445599622851,-1.3241014637527642
106,-1.4465512503257059,-1.5449379933473402,-1.3519397362587253
108,-1.4769825110013068,-1.5779990594716429,-1.379945897953086
110,-1.5076347862405737,-1.6113368449536174,-1.4081260613219946
112,-1.5385157558180498,-1.6449603064097968,-1.4364864328797498
115,-1.585282797803748,-1.6959502151794057,-1.479378644294354
118,-1.6326073531437404,-1.7476307762064338,-1.5227119131245717
120,-1.6644792172184384,-1.782481179907958,-1.5518564380380644
122,-1.6966172452690005,-1.8176572379549292,-1.5812129477950858
125,-1.7453384362284878,-1.8710455619110289,-1.6256590038394574
128,-1.7946959552290656,-1.9251984030002234,-1.6706172012223712
130,-1.8279642828837752,-1.9617314386524543,-1.7008838793105618
132,-1.8615293022815687,-1.9986121005969597,-1.7313929154826084
135,-1.9124425732598804,-2.0545861031417827,-1.7776227520738996
138,-1.9640446017823656,-2.111339286200046,-1.8244270924017307
140,-1.998832088581743,-2.1496013775077856,-1.8559565847102486
142,-2.0339293322252687,-2.1881974920206915,-1.8877518166798888
145,-2.0871541743511415,-2.2466983176914974,-1.9359496363028277
148,-2.1410660412726568,-2.3058913786939015,-1.9847599670267457
150,-2.1773814528653483,-2.345712980344813,-2.017642422723112
155,-2.269426513063982,-2.4463855172699045,-2.1010438046373325
160,-2.363131844285827,-2.548355203334168,-2.1861225907649806
165,-2.4582626201988163,-2.6511638349141293,-2.2727992824158765
170,-2.554504082545537,-2.754269063711464,-2.3609388317450923
175,-2.6514650788415315,-2.8570676610480987,-2.4503454845678716
180,-2.7486886810895554,-2.95892674308296,-2.5407608535610144
185,-2.8456697811178553,-3.059219189875477,-2.6318662413857905
190,-2.94187831166096,-3.157358475722416,-2.723289855282088
195,-3.036785604800121,-3.2528282729627467,-2.8146189365733427
200,-3.129890720431587,-3.345203441148049,-2.9054160659554187
205,-3.2207435838178786,-3.43416090874741,-2.9952381688591925
210,-3.3089624607020234,-3.5194808673874727,-3.083656231490662
215,-3.3942444406631513,-3.60104011626202,-3.170273598349733
