Frequency,Nominal,Min,Max
1.95,3.2050277349662086e-7,3.186606949907735e-7,3.224548463153609e-7
2,3.211344574970898e-7,3.1922025526310553e-7,3.231642040175411e-7
2.05,3.2178166689597083e-7,3.197936090817652e-7,3.238909427879669e-7
2.1,3.224443709099456e-7,3.2038073147986737e-7,3.2463502519159243e-7
2.15,3.2312253848055736e-7,3.2098159721901003e-7,3.253964135391118e-7
2.2,3.2381613830417945e-7,3.215961808109999e-7,3.26175069927535e-7
2.25,3.2452513886213316e-7,3.222244565397282e-7,3.2697095628087893e-7
2.3,3.252495084509283e-7,3.228663984831831e-7,3.277840343909391e-7
2.35,3.259892152126004e-7,3.235219805355758e-7,3.2861426595809875e-7
2.4,3.26744227165117e-7,3.241911764295652e-7,3.294616126321448e-7
2.45,3.27514512232829e-7,3.248739597585612e-7,3.303260360530477e-7
2.5,3.2830003827694025e-7,3.255703039990925e-7,3.312074978916786e-7
2.55,3.2910077312597323e-7,3.262801825332173e-7,3.321059598904234e-7
2.6,3.299166846062062e-7,3.2700356867096426e-7,3.330213839036676e-7
2.7,3.3159390893640467e-7,3.284907567720067e-7,3.349029661929251e-7
2.75,3.324551577007911e-7,3.292545051972578e-7,3.3586904909960736e-7
2.8,3.3333145498554244e-7,3.3003165419487133e-7,3.368519433616986e-7
2.85,3.342227690597306e-7,3.3082217705123194e-7,3.378516119941446e-7
2.9,3.3512906837099214e-7,3.3162604711506505e-7,3.388680183623969e-7
2.95,3.36050321575174e-7,3.324432378196496e-7,3.399011262211856e-7
3,3.369864975657932e-7,3.332737227049427e-7,3.4095089975295313e-7
3.05,3.3793756550329054e-7,3.341174754396045e-7,3.4201730360592745e-7
3.1,3.389034948440653e-7,3.349744698429092e-7,3.431003029318131e-7
3.15,3.398842553692758e-7,3.358446799065335e-7,3.4419986342308666e-7
3.2,3.4087981721339247e-7,3.367280798162093e-7,3.4531595134987744e-7
3.3,3.429152273322603e-7,3.385343470158104e-7,3.47597577697052e-7
3.4,3.4500949441082655e-7,3.4039306962201193e-7,3.499449250613816e-7
3.5,3.4716239509351847e-7,3.4230405027954953e-7,3.5235774805905095e-7
3.6,3.4937371432214784e-7,3.442670967610822e-7,3.548358139338253e-7
3.7,3.5164324617842173e-7,3.462820226180884e-7,3.5737890362478064e-7
3.9,3.5635617470373905e-7,3.504667993689822e-7,3.6265935286558103e-7
4,3.5879921251231e-7,3.5263631192529903e-7,3.6539635191948907e-7
4.1,3.6129974675574775e-7,3.548570283834614e-7,3.681976557000339e-7
4.2,3.63857629075603e-7,3.5712880045802117e-7,3.710631284788499e-7
4.32,3.6700259875759907e-7,3.5992212547435834e-7,3.745862365173661e-7
4.45,3.7050238475814616e-7,3.6303071195037454e-7,3.78506836384171e-7
4.58,3.740984030875756e-7,3.662248372048933e-7,3.825353484723941e-7
4.75,3.7894580891812355e-7,3.7053047594664476e-7,3.8796609604047e-7
4.88,3.8276332019024534e-7,3.73921215297645e-7,3.9224342236951664e-7
5,3.8637224694048967e-7,3.771265243651039e-7,3.962874787023918e-7
5.15,3.9099824139189215e-7,3.8123482010998987e-7,4.0147199363266906e-7
5.3,3.957519038332318e-7,3.8545598454732326e-7,4.0680065187306497e-7
5.5,4.0228902793336403e-7,3.9125974730853276e-7,4.1413057829656455e-7
5.65,4.0734143154994217e-7,3.957443104545219e-7,4.1979762352709044e-7
5.8,4.125224839415656e-7,4.003419602081731e-7,4.256109090923327e-7
6,4.196316017552303e-7,4.066484933943251e-7,4.335910857822996e-7
6.15,4.251150799572167e-7,4.1151107645106886e-7,4.3974950681062304e-7
6.3,4.307294054670623e-7,4.1648786225893185e-7,4.460578778533987e-7
6.45,4.364754884007608e-7,4.215793727159772e-7,4.5252759225435175e-7
6.6,4.4235435778328076e-7,4.2678621923831486e-7,4.5917893709240295e-7
6.75,4.4836716298220703e-7,4.3210910428870615e-7,4.659877668753452e-7
6.88,4.5368757917141404e-7,4.3681674558709216e-7,4.7201758714678895e-7
7,4.586896472568341e-7,4.4119256402830586e-7,4.776909461151066e-7
7.15,4.650661604350369e-7,4.4674612079614343e-7,4.849293079930725e-7
7.32,4.7246123815632906e-7,4.5317877148736537e-7,4.933868801961083e-7
7.5,4.804889995238593e-7,4.601522825954179e-7,5.025949610807341e-7
7.65,4.873364038506844e-7,4.660928610009793e-7,5.104601593785996e-7
7.8,4.943292176850444e-7,4.721525803320499e-7,5.185025830091396e-7
8,5.038828550378413e-7,4.80420303864127e-7,5.295063842466549e-7
8.2,5.137041599828948e-7,4.889067441542451e-7,5.408372824265072e-7
8.4,5.237988623223634e-7,4.976162986010835e-7,5.525026429292283e-7
8.6,5.341730397849095e-7,5.065536861639005e-7,5.645101567902081e-7
8.8,5.448330991519677e-7,5.157239370897335e-7,5.768678010332578e-7
9,5.557857525526192e-7,5.251323802643633e-7,5.895837894273007e-7
9.2,5.670379882182358e-7,5.347846278958191e-7,6.026665121231626e-7
9.4,5.785970348876914e-7,5.446865571904417e-7,6.161244624215747e-7
9.6,5.90470318943288e-7,5.548442886276198e-7,6.299661487008742e-7
9.8,6.026654132361973e-7,5.652641603797577e-7,6.441999892951218e-7
10,6.151899764281267e-7,5.759526983585511e-7,6.588341878635306e-7
10.2,6.280516815334974e-7,5.869165812968861e-7,6.73876586535478e-7
10.4,6.412581321947423e-7,5.981626001975269e-7,6.893344938599862e-7
10.6,6.548167650643638e-7,6.096976113952248e-7,7.052144843460653e-7
10.8,6.687347365043526e-7,6.21528482388261e-7,7.215221661672425e-7
11,6.830187916511042e-7,6.336620294993306e-7,7.382619134421573e-7
11.2,6.976751137389096e-7,6.461049463252096e-7,7.554365594231658e-7
11.5,7.203692675468244e-7,6.653635056853187e-7,7.82015412681202e-7
11.8,7.439272867181906e-7,6.853532075963123e-7,8.095674430113291e-7
12,7.601166995441282e-7,6.990949648739449e-7,8.28465976352651e-7
12.2,7.7669392107225e-7,7.131744172678222e-7,8.477765561524775e-7
12.5,8.022824304400975e-7,7.349347821807052e-7,8.774798540396085e-7
12.8,8.287227268207475e-7,7.574716238953526e-7,9.080002212581991e-7
13,8.468080550509973e-7,7.729287885955381e-7,9.28750695750697e-7
13.2,8.652447186120239e-7,7.88730609558216e-7,9.497786002561417e-7
13.5,8.935182018088729e-7,8.130716857806768e-7,9.817337593118733e-7
13.8,9.224605438926514e-7,8.381593826085641e-7,0.0000010140050520433173
14,9.42074851360649e-7,8.552829500424885e-7,0.0000010355749382254933
14.2,9.618991818572458e-7,8.727092955749257e-7,0.0000010570905555878722
14.5,9.919253768202558e-7,8.993767446251094e-7,0.0000010890481882614782
14.8,0.000001022128350023931,9.266077161896116e-7,0.0000011202944077983138
15,0.000001042250368725857,9.450262731478591e-7,0.0000011405249967314504
15.5,0.0000010919229741112423,9.917247322092107e-7,0.0000011896071745860966
16,0.000001139498018353929,0.0000010387477887116174,0.0000012384259096090075
16.5,0.0000011832537572234867,0.0000010851262686457415,0.000001283255089957631
17,0.000001221306692096871,0.0000011203214031898886,0.0000013297184702359802
17.5,0.0000012518050330865197,0.0000011452361015200334,0.0000013676487164254798
18,0.0000012731781259249355,0.0000011625327436804802,0.0000013948847331829474
18.5,0.000001284386617659231,0.0000011714866834161894,0.0000014098961261501793
19,0.0000012851003349437564,0.0000011719032114099047,0.0000014120716201413948
19.5,0.0000012757449557498434,0.0000011641385879299497,0.000001401826879446592
20,0.000001257403310514488,0.0000011490261259017328,0.0000013804928938639155
20.5,0.0000012316090479671525,0.000001127732732260884,0.0000013500329169969198
21,0.000001200100735780261,0.000001101588648104007,0.0000013126922681813115
21.5,0.0000011646013714950535,0.000001064585782299793,0.0000012706844029462854
22,0.0000011266619531845872,0.0000010235912029694183,0.0000012316494204333782
22.5,0.0000010875774905985404,9.836547294248863e-7,0.000001192961652401269
23,0.0000010483631905711243,9.452561586824683e-7,0.0000011544784777864126
23.5,0.000001009770610371056,9.086824770066336e-7,0.000001118076181394291
24,9.723246937467168e-7,8.740791460355988e-7,0.000001080934260178775
24.5,9.363677222158854e-7,8.414919500597761e-7,0.0000010438492201783552
25,9.021017510745975e-7,8.108992776867481e-7,0.0000010074140980772524
25.5,8.696254235376783e-7,7.822360438818305e-7,9.720476770419758e-7
26,8.389638483557744e-7,7.554108725520905e-7,9.380274352634407e-7
27,7.829508741132965e-7,7.068460343951367e-7,8.746137841537502e-7
27.5,7.574625353705062e-7,6.848822498966489e-7,8.45331205900414e-7
28,7.335367314165327e-7,6.643171960677319e-7,8.176568453358388e-7
28.5,7.110783589691052e-7,6.450462432731283e-7,7.915458769467138e-7
29,6.899914774800315e-7,6.269708776804629e-7,7.669352516455844e-7
29.5,6.701821066087562e-7,6.099992562477259e-7,7.437510995158306e-7
30,6.515599884406864e-7,5.940463494898935e-7,7.219140207100302e-7
30.5,6.340396242731635e-7,5.790338208121016e-7,7.013427859735918e-7
31,6.175408109749155e-7,5.648897446322873e-7,6.8195685996021e-7
31.5,6.019888384301125e-7,5.515482327055752e-7,6.636836481623517e-7
32,5.873144628343369e-7,5.389422980417863e-7,6.464454847432789e-7
33,5.603477512459486e-7,5.157427206778953e-7,6.147828797662864e-7
34,5.361877090285215e-7,4.949151223116405e-7,5.864567527974957e-7
35,5.144518220494455e-7,4.761356429847854e-7,5.610221645966692e-7
36,4.948176622703107e-7,4.5913318747082536e-7,5.380932119476358e-7
37,4.770132625004169e-7,4.43680012577419e-7,5.173463711562061e-7
39,4.460090125426795e-7,4.1668226901627343e-7,4.813381239016567e-7
40,4.3244820356922724e-7,4.048362142419762e-7,4.6564197661135085e-7
41,4.1998442583756914e-7,3.939271986415062e-7,4.5124653964421955e-7
42,4.084959332248669e-7,3.8385326360887017e-7,4.3800487071164766e-7
43.2,3.9585039757212136e-7,3.7274373703358294e-7,4.234609044757079e-7
44.5,3.833871534494464e-7,3.617724621304823e-7,4.09159542946497e-7
45.8,3.720487122425354e-7,3.517722556427042e-7,3.9617783258987164e-7
47.5,3.586903047194108e-7,3.3996706047733676e-7,3.809192392062758e-7
48.8,3.494524194023934e-7,3.317884924130217e-7,3.7039007496209483e-7
50,3.41584636617086e-7,3.2481345167612963e-7,3.614371879652474e-7
51.5,3.3254014953142174e-7,3.1678459572537006e-7,3.5116186109159936e-7
53,3.2427397967872497e-7,3.094368781319157e-7,3.4178608081379867e-7
55,3.1430736106287994e-7,3.005655314409016e-7,3.305006799341224e-7
56.5,3.07525285214122e-7,2.945214116946584e-7,3.2283285820861064e-7
58,3.012657485133515e-7,2.889378661320708e-7,3.1576397013266497e-7
60,2.936390424944067e-7,2.8212841649824386e-7,3.071613890114756e-7
61.5,2.883983510807939e-7,2.7744540594321893e-7,3.012564290011618e-7
63,2.835240440822956e-7,2.730870688406156e-7,2.957687305240097e-7
64.5,2.789814371277068e-7,2.6902305788271737e-7,2.9065818536198045e-7
66,2.74739997517525e-7,2.6522660281318277e-7,2.8588957046465914e-7
67.5,2.707727446636596e-7,2.6167400186695516e-7,2.8143183051122014e-7
68.8,2.675376810291063e-7,2.587759948754971e-7,2.7779859485184356e-7
70,2.6470617682174435e-7,2.562387499460289e-7,2.746198580816281e-7
71.5,2.613601093463788e-7,2.5323955574782647e-7,2.70864922267362e-7
73.2,2.5780688759486704e-7,2.500537153489416e-7,2.668791789311045e-7
75,2.542970871652308e-7,2.4690589025443864e-7,2.6294373126653536e-7
76.5,2.5155353855856796e-7,2.4444469808447103e-7,2.5986850052584776e-7
78,2.4896147913821835e-7,2.4211895662838476e-7,2.5696386487729884e-7
80,2.4572178313864274e-7,2.3921154848229716e-7,2.5333451322568544e-7
82,2.427077528385384e-7,2.3650613280564519e-7,2.49958920527979e-7
