Frequency,Nominal,Min,Max
1.95,-15.991205292810875,-16.95892138480589,-15.040059988641032
2,-16.40277514573648,-17.395588960245565,-15.426991514086266
2.05,-16.81445991986924,-17.832392424126123,-15.814019476973604
2.1,-17.226262252206368,-18.269334862277173,-16.201146111863505
2.15,-17.638184763829127,-18.706419339824052,-16.588373641274142
2.2,-18.05023005970554,-19.14364890096994,-16.9757042755123
2.25,-18.46240072850671,-19.581026568798645,-17.36314021251299
2.3,-18.874699342437115,-20.018555345098434,-17.750683637688475
2.35,-19.287128457079238,-20.456238210207307,-18.138336723786413
2.4,-19.699690611252997,-20.894078122880373,-18.526101630757744
2.45,-20.11238832688988,-21.332078020179527,-18.913980505634314
2.5,-20.525224108922494,-21.770240817386092,-19.30197548241635
2.55,-20.938200445189636,-22.208569407936817,-19.690088681970384
2.6,-21.35131980635721,-22.647066663383548,-20.07832221193724
2.7,-22.177997399831618,-23.5245785456766,-20.855158627067663
2.75,-22.591560487121992,-23.96359880618157,-21.24376566070717
2.8,-23.005276309237534,-24.40279899899283,-21.632501321603538
2.85,-23.4191472503693,-24.842181886496707,-22.021367650268587
2.9,-23.833175677410612,-25.28175020947679,-22.410366673666324
2.95,-24.24736393999731,-25.72150668725212,-22.79950040519931
3,-24.661714370566006,-26.161454017842694,-23.188770844706855
3.05,-25.076229284430983,-26.601594878162327,-23.578179978475376
3.1,-25.490910979879757,-27.04193192423977,-23.967729779261113
3.15,-25.905761738287723,-27.482467791467805,-24.35742220632532
3.2,-26.32078382425189,-27.92320509488154,-24.747259205482063
3.3,-27.15135095428576,-28.80529437048951,-25.527374636471134
3.4,-27.98263015751822,-29.688220276598976,-26.308091372432827
3.5,-28.81463896493322,-30.57200303577399,-27.089424503675144
3.6,-29.647394658790958,-31.45666258177557,-27.871388914477905
3.7,-30.480914281803457,-32.34221857572588,-28.653999287850787
3.9,-32.150312353113314,-34.11609730004216,-30.221215682936243
4,-32.986223791105765,-35.00445816366497,-31.0058501200068
4.1,-33.822965165873725,-35.89379178865878,-31.79118736643131
4.2,-34.660552509141354,-36.78411678794705,-32.57724120279846
4.32,-35.66679634463345,-37.85384141533062,-33.521470882828666
4.45,-36.758325844856806,-39.01438759271438,-34.54559996140581
