Freq.	V(out)
2.00000000000000e+00	(-4.45321607708015e-03dB,-1.64531508225754e+01°)
2.04658598456151e+00	(-4.67977775121862e-03dB,-1.68375402159108e+01°)
2.09425709610180e+00	(-4.91855557132126e-03dB,-1.72309628757763e+01°)
2.14303861047521e+00	(-5.17026296377351e-03dB,-1.76336346429952e+01°)
2.19295639228637e+00	(-5.43565869502195e-03dB,-1.80457767429758e+01°)
2.24403690860393e+00	(-5.71554991175006e-03dB,-1.84676159331454e+01°)
2.29630724299376e+00	(-6.01079537906739e-03dB,-1.88993846550162e+01°)
2.34979510987906e+00	(-6.32230892583916e-03dB,-1.93413211910352e+01°)
2.40452886923483e+00	(-6.65106310837393e-03dB,-1.97936698263830e+01°)
2.46053754162476e+00	(-6.99809310085413e-03dB,-2.02566810158808e+01°)
2.51785082358833e+00	(-7.36450082218665e-03dB,-2.07306115561784e+01°)
2.57649910338627e+00	(-7.75145930811829e-03dB,-2.12157247633933e+01°)
2.63651347711281e+00	(-8.16021733534389e-03dB,-2.17122906563783e+01°)
2.69792576518331e+00	(-8.59210430486754e-03dB,-2.22205861458003e+01°)
2.76076852920577e+00	(-9.04853538901642e-03dB,-2.27408952292166e+01°)
2.82507508924551e+00	(-9.53101694468819e-03dB,-2.32735091923398e+01°)
2.89087954149185e+00	(-1.00411521936916e-02dB,-2.38187268166913e+01°)
2.95821677633641e+00	(-1.05806471671806e-02dB,-2.43768545938478e+01°)
3.02712249687241e+00	(-1.11513169071435e-02dB,-2.49482069464952e+01°)
3.09763323782496e+00	(-1.17550919145219e-02dB,-2.55331064565126e+01°)
3.16978638492222e+00	(-1.23940248268280e-02dB,-2.61318841003235e+01°)
3.24362019471786e+00	(-1.30702973026432e-02dB,-2.67448794917649e+01°)
3.31917381487512e+00	(-1.37862270811885e-02dB,-2.73724411327415e+01°)
3.39648730492349e+00	(-1.45442751780669e-02dB,-2.80149266719601e+01°)
3.47560165749875e+00	(-1.53470531654616e-02dB,-2.86727031720611e+01°)
3.55655882007784e+00	(-1.61973304741627e-02dB,-2.93461473855055e+01°)
3.63940171721996e+00	(-1.70980416392241e-02dB,-3.00356460396150e+01°)
3.72417427332573e+00	(-1.80522933949369e-02dB,-3.07415961312211e+01°)
3.81092143592649e+00	(-1.90633715049367e-02dB,-3.14644052314446e+01°)
3.89968919951609e+00	(-2.01347471904511e-02dB,-3.22044918012109e+01°)
3.99052462993776e+00	(-2.12700829961843e-02dB,-3.29622855182136e+01°)
4.08347588933905e+00	(-2.24732379009531e-02dB,-3.37382276161608e+01°)
4.17859226170807e+00	(-2.37482714504314e-02dB,-3.45327712373003e+01°)
4.27592417900446e+00	(-2.50994466494927e-02dB,-3.53463817994083e+01°)
4.37552324789910e+00	(-2.65312313108490e-02dB,-3.61795373786606e+01°)
4.47744227713667e+00	(-2.80482975088684e-02dB,-3.70327291100904e+01°)
4.58173530553554e+00	(-2.96555187346139e-02dB,-3.79064616076793e+01°)
4.68845763063984e+00	(-3.13579642903398e-02dB,-3.88012534065462e+01°)
4.79766583803898e+00	(-3.31608903957900e-02dB,-3.97176374302006e+01°)
4.90941783137005e+00	(-3.50697274089523e-02dB,-4.06561614864308e+01°)
5.02377286301915e+00	(-3.70900624857478e-02dB,-4.16173887961215e+01°)
5.14079156553772e+00	(-3.92276169201198e-02dB,-4.26018985601642e+01°)
5.26053598379076e+00	(-4.14882173165027e-02dB,-4.36102865706545e+01°)
5.38306960785382e+00	(-4.38777596524203e-02dB,-4.46431658738070e+01°)
5.50845740667633e+00	(-4.64021651897800e-02dB,-4.57011674934757e+01°)
5.63676586252890e+00	(-4.90673270926882e-02dB,-4.67849412259038e+01°)
5.76806300625320e+00	(-5.18790465088338e-02dB,-4.78951565183725e+01°)
5.90241845333276e+00	(-5.48429567724811e-02dB,-4.90325034468359e+01°)
6.03990344080402e+00	(-5.79644342962240e-02dB,-5.01976938104644e+01°)
6.18059086502717e+00	(-6.12484946407502e-02dB,-5.13914623643562e+01°)
6.32455532033675e+00	(-6.46996721934730e-02dB,-5.26145682155818e+01°)
6.47187313859255e+00	(-6.83218818580404e-02dB,-5.38677964122815e+01°)
6.62262242965181e+00	(-7.21182611693949e-02dB,-5.51519597608582e+01°)
6.77688312278404e+00	(-7.60909913183269e-02dB,-5.64679009124850e+01°)
6.93473700905062e+00	(-8.02410957146969e-02dB,-5.78164947673234e+01°)
7.09626778467150e+00	(-8.45682149621591e-02dB,-5.91986512531461e+01°)
7.26156109540201e+00	(-8.90703574936315e-02dB,-6.06153185446476e+01°)
7.43070458194344e+00	(-9.37436256577640e-02dB,-6.20674868007629e+01°)
7.60378792641121e+00	(-9.85819178046388e-02dB,-6.35561925099963e+01°)
7.78090289988560e+00	(-1.03576607949372e-01dB,-6.50825235482896e+01°)
7.96214341106993e+00	(-1.08716205971207e-01dB,-6.66476250705497e+01°)
