Quantity,Reference Designator,Model
2,"R1A, R5A","511k ohm, 0603, 1%"
1,R2A,"255k ohm, 0603, 1%"
2,"R1B, R5B","210k ohm, 0603, 1%"
1,R2B,"105k ohm, 0603, 1%"
2,"R5M, JP2","0 ohm, 0603"
2,"C5A, C5B","470nF, 1206, X7R, 5%"
1,C6A,"33nF, 1206, C0G, 5%"
4,"C9A, C0A, C9B, C0B","100nF, 0603, X7R, 20%"
1,C6B,"200nF, 1206, X7R, 5%"
2,"C101M, C100M","10µF, 6032, tantalum, 20%"
2,"U2A, U2B","LT6004, MSOP"
4,"J1M, J2M, J3M, J4M","67996-206HLF, 2x3 0.1"" header"
2,"J3M, J4M","65474-010LF, 0.1"" jumper"
2,"J1A, J1B","BCS-103-L-D-TE, 2x3 0.1"" socket"
2,"J5M, J6M","142-0701-851, SMA Jack, board edge female"
3,"+VS, -VS, GND","68000-101HLF, Test pin"
