Frequency,Nominal,Min,Max
0.34,-2.8230132870213303,-2.81586399379763,-2.830041200861462
0.35,-2.7389706194246304,-2.7318195843516744,-2.746000050898985
0.36,-2.6595962171597507,-2.6524433875459774,-2.6666272119486476
0.37,-2.5845115498743487,-2.57735687282871,-2.5915441538103923
0.39,-2.44589141657961,-2.4387328851635974,-2.452927376943511
0.4,-2.3817784487737805,-2.374617909984365,-2.3888161567498294
0.41,-2.320792163565415,-2.3136295636415225,-2.3278316656492564
0.42,-2.2627092064142,-2.255544491358622,-2.269750549281135
0.432,-2.1965581423105065,-2.189390817476718,-2.2036017559899936
0.445,-2.1289192707636597,-2.121749030021598,-2.1359654210237657
0.458,-2.06511884056209,-2.0579455911550046,-2.072167607424657
0.475,-1.9869548694968984,-1.979777544722185,-1.994007179572618
0.488,-1.9308554285420483,-1.9236748787188889,-1.9379105416520177
0.5,-1.8816593501702665,-1.8744757392234195,-1.8887171231063404
0.515,-1.8233866691627176,-1.8161991173642513,-1.830447865267413
0.53,-1.7684106640369623,-1.7612190432087549,-1.7754753933948102
0.55,-1.6997711951507701,-1.6925739475991894,-1.7068408082365716
0.565,-1.6514785110086347,-1.6442768908632248,-1.6585519175933623
0.58,-1.605681925193093,-1.5984758003180954,-1.6127592383455538
0.6,-1.5481789728240036,-1.5409666338544923,-1.5552616723068402
0.615,-1.5075040420351264,-1.5002868848982533,-1.5145909157653679
0.63,-1.4687641907392046,-1.4615420787843867,-1.4758553551799292
0.645,-1.4318243638343422,-1.4245971589414261,-1.4389199365514882
0.66,-1.3965617834631026,-1.3893293459871288,-1.4036618831660217
0.675,-1.3628645848564827,-1.3556267735712613,-1.3699693314393524
0.688,-1.3348473902040872,-1.3276048061160066,-1.341956262011351
0.7,-1.3099077645219457,-1.302660678574246,-1.3170205256886152
0.715,-1.2799087712033776,-1.2726559266709154,-1.2870265050845449
0.732,-1.2473939402269865,-1.240134390856794,-1.2545174605611857
0.75,-1.2145704605695378,-1.2073036024031845,-1.2217002844416287
0.765,-1.1883954107728196,-1.181122294925409,-1.1955306281994094
