Quantity,Reference Designator,Model
1,R1A,"324 ohm, 0603, 1%"
1,R2A,"732 ohm, 0603, 1%"
5,"R4A, R4B, R4C, R5M, JP2","0 ohm, 0603"
1,R1B,"3.92k ohm, 0603, 1%"
1,R2B,"7.32k ohm, 0603, 1%"
1,R1C,"4.02k ohm, 0603, 1%"
1,R2C,"8.87k ohm, 0603, 1%"
1,C5A,"680nF, 1206, X7R, 5%"
1,C6A,"39nF, 1206, C0G, 5%"
6,"C9A, C0A, C9B, C0B, C9C, C0C","100nF, 0603, X7R, 20%"
1,C5B,"22nF, 1206, C0G, 5%"
1,C2B,"10nF, 0603, C0G, 5%"
1,C5C,"15nF, 1206, C0G, 5%"
1,C6C,"12nF, 1206, C0G, 5%"
2,"C101M, C100M","10µF, 6032, tantalum, 20%"
3,"U1A, U1B, U1C","LT1490A, SOIC"
4,"J1M, J2M, J3M, J4M","67996-206HLF, 2x3 0.1"" header"
1,J4M,"65474-010LF, 0.1"" jumper"
3,"J1A, J1B, J1C","BCS-103-L-D-TE, 2x3 0.1"" socket"
2,"J5M, J6M","142-0701-851, SMA Jack, board edge female"
3,"+VS, -VS, GND","68000-101HLF, Test pin"
