Frequency,Nominal,Min,Max
195,17729.090365320648,16585.788889623593,18983.429220570997
200,17157.359095327625,16040.072438359684,18383.49850667982
205,16612.91315922978,15520.596460109587,17812.018893808723
210,16093.904850376586,15025.590239886566,17267.05520273874
215,15598.654435787026,14553.443043150242,16746.849179043675
220,15125.631050263682,14102.685966009974,16249.799335590757
225,14673.436154204017,13671.97622270553,15774.443496973941
230,14240.789163679692,13260.08349767012,15319.44363385389
235,13826.514927991113,12865.878052977494,14883.572645308659
240,13429.53278405776,12488.320333577236,14465.702804259357
245,13048.846961224614,12126.451854858684,14064.795627565853
250,12683.538146328805,11779.387191634187,13679.89297053455
255,12332.756048742353,11446.30691610011,13310.109177009383
260,11995.712829813066,11126.451355866395,12954.624142204946
270,11359.969657219168,10523.641898837084,12283.561500619564
275,11059.957068289417,10239.420661598859,11966.619482896973
280,10771.049379227115,9965.88117795224,11661.238211512788
285,10492.695535426787,9702.490810932564,11366.845668277074
290,10224.380273163713,9448.751327445623,11082.907249088174
295,9965.621165155097,9204.196084114088,10808.92264902997
300,9715.965962197579,8968.387493604143,10544.423060770529
305,9474.990196490844,8740.914738858075,10288.968649920504
310,9242.29501674001,8521.391706914443,10042.146275723228
315,9017.505228964197,8309.455117637857,9803.567429499539
320,8800.267520234029,8104.762825810632,9572.866366738344
330,8387.134959298319,7715.839105747986,9133.738416151333
340,8000.450663298497,7352.250768481383,8722.231048662265
350,7638.028660096497,7011.880554831062,8336.083271182237
360,7297.909295011853,6692.830699073761,7973.2684672286205
370,6978.330322570414,6393.395106033306,7631.964176829548
390,6394.588574427481,5847.36269460883,7007.4688657359975
400,6127.685938454549,5598.11665510873,6721.442702600092
410,5875.810916572689,5363.154407107253,6451.222439916569
420,5637.885792858488,5141.43586031282,6195.691426347793
432,5369.411162955443,4891.526313005302,5907.014831246219
445,5097.857116958401,4639.059508624936,5614.650741645019
458,4844.66204261345,4403.950649265958,5341.697723550318
475,4538.671351600053,4120.202954456913,5011.352997713523
488,4322.117936150979,3919.654215238274,4777.236678643112
500,4134.4538683215305,3746.041137493198,4574.125512703037
515,3915.0282639125003,3543.2636582392906,4336.3625923757345
530,3711.0177466502687,3354.948828308312,4115.028078595948
550,3460.6401360715263,3124.128105670957,3843.014785742826
565,3287.5280094418695,2964.73208492087,3654.6947885745226
580,3125.8067292608307,2815.971589811468,3478.5769922559944
600,2926.2717625160353,2632.628548843968,3261.020240035486
615,2787.6022080328858,2505.34539937534,3109.6531258129576
630,2657.511050748066,2386.0381739301133,2967.5175383375904
645,2535.3252043147804,2274.0726564117267,2833.8998478219937
660,2420.4350082475717,2168.8752664041094,2708.1526324373895
675,2312.2873103494603,2069.9263546695274,2589.6875581505783
688,2223.623485835092,1988.8593175792632,2492.4931163962274
700,2145.679674310884,1917.6357358581654,2406.9954538841794
715,2053.174714748447,1833.1584319518483,2305.457819119299
732,1954.4903525144289,1743.1016608683674,2197.054667492601
750,1856.5762230403782,1653.8146248697667,2089.4110239213664
765,1779.7529938415157,1583.8082430760157,2004.8920351465026
780,1706.9546802488367,1517.5098502106077,1924.749488141547
800,1615.6906616090594,1434.451742535317,1824.2052025450125
820,1530.530604272922,1357.0086407744386,1730.3096463833544
840,1450.9577960448978,1284.7013765603335,1642.505526762778
860,1376.5085021573145,1217.1005038981016,1560.291947097909
880,1306.7656959319663,1153.8203494132156,1483.217817408708
900,1241.3536283109281,1094.5138688423774,1410.8761344579054
920,1179.9331119036906,1038.8681888218557,1342.8990043922431
940,1122.1974153969636,986.600732894203,1278.9533010099558
960,1067.8686808086597,937.455846982278,1218.7368696540875
980,1016.6947898181652,891.2018530479743,1161.9752007074012
1000,968.4466168110108,847.6284708006675,1108.4185082803122
1020,922.9156157683802,806.5445565771608,1057.8391593699573
1040,879.9116960567568,767.7761162251693,1010.0294068725419
1060,839.2613488086777,731.1645552633368,964.7993866318056
1080,800.8059911579198,696.565134986105,921.975344429911
1100,764.4005002842688,663.8456077128989,881.3980636573314
1120,729.9119131838921,632.8850081953151,842.9214684854544
1150,681.5091967531298,589.5023770173412,788.8548247929414
1180,636.7769560187608,549.4946645359968,738.8069752706493
1200,608.8316799499651,524.5506499389427,707.494397741837
1220,582.2845943975065,500.89632677401283,677.7101318411003
1250,544.911610701554,467.6769301792689,635.7062044519918
1280,510.26012777702886,436.97929186375114,596.669163061759
1300,488.5627254496764,417.81876392201576,572.1717421784002
1320,467.9195791281413,399.6411407445711,548.8192566524256
1350,438.8151106717407,374.1150882812645,515.8062541523565
1380,411.7982097944796,350.5507977338586,485.04860448071673
1400,394.87386846295175,335.8677775481246,465.71379445309964
1420,378.77290535136643,321.96606026076904,447.26253115994336
1450,356.08690520259955,302.51107629170673,421.1523055702687
1480,335.0620541086298,284.64995124619855,396.80962064009043
1500,321.91936411111,273.58627443764715,381.50620876436744
1550,291.9327418182004,248.71943664239893,346.26461488618565
1600,265.76707235647444,227.60042930830213,315.0036770037613
1650,243.12482123005674,209.96211098556412,287.3718835847839
1700,223.75541661603265,195.55956052255092,263.0772804996154
1750,207.43978032644395,184.1506108297743,241.87576265505814
1800,193.97490660100434,175.48031189244875,223.5597532284528
1850,183.1594412883759,169.27241804537604,207.9468603033254
1900,174.78206300715635,164.74252826700933,194.86852175272313
1950,168.6147614435381,161.0939331861896,184.15920633371206
2000,164.4124129827747,157.51141443014347,175.64729161037374
2050,161.9184526811066,155.24936225321932,169.1490168158832
2100,160.8746810748177,154.51569521827562,167.6011353224148
2150,161.03226896805143,155.0393818790117,167.8532391158382
2200,162.16125816029992,155.5629336644876,169.9646956281099
2250,164.05695898186747,156.3667284455665,173.32510816071576
2300,166.54290682836626,157.98420297312327,176.97022117262424
2350,169.47092604786204,160.237742845013,180.79939317560476
2400,172.7192174763704,162.86540531808555,184.7342309241366
2450,176.1893657093188,165.26475312993838,188.71441070823394
2500,179.80295511362112,168.03709798918928,192.69405136772758
2550,183.49824107646958,171.08370526576186,196.63868532686547
2600,187.22712084222343,174.32390167038167,200.52279210598908
2700,194.64612430972488,181.1377305850956,208.04063724632138
2750,198.2866923088132,184.61822472065361,211.65227055077807
2800,201.85846072334678,188.1018125915548,215.1569732274905
2850,205.3500284994704,191.56346106420366,218.55145776068196
2900,208.75340450557837,194.98395088244175,221.83431296142487
2950,212.06326150341806,198.34872523990242,225.00554770098128
3000,215.276345475777,201.64695169874713,228.06623584217456
3050,218.39100871397258,204.87076297098162,231.01824006489187
3100,221.40684108570906,208.01464519275447,233.86399720040032
3150,224.3243790076809,211.0749464785501,236.6063515496993
3200,227.14487585022363,214.04948283852394,239.2484256703754
3300,232.5022967038701,219.73803340578522,244.24503811751495
3400,237.49748758816244,225.08166577092945,248.8811174106481
3500,242.15207073052315,230.09058273768073,253.1839923275444
3600,246.48887966042872,234.7800085785028,257.18005593519985
3700,250.5307330796716,239.16776124359473,260.89423780955843
3900,257.8167702491725,247.1138537944574,267.56802582209303
4000,261.10151071449116,250.70966544763016,270.5686972331469
4100,264.17213384769417,254.07782329096247,273.3697109558892
4200,267.0454278153462,257.2349914917264,275.98741358116274
4320,270.2545339001945,260.76693817750777,278.90752598261537
4450,273.46342808179367,264.3043207689652,281.8239640677643
4580,276.4207656597468,267.56905912013997,284.5088870918899
4750,279.9489063116613,271.4693681738803,287.70864435603755
4880,282.4147896930147,274.1986534829845,289.94294895580623
5000,284.5305282208299,276.5424262457055,291.8587036346087
5150,286.9790465532272,279.25708152819624,294.0743571830776
5300,289.23077342194233,281.7555814529225,296.1106331931658
5500,291.9612260198724,284.7877619510056,298.57821495649443
5650,293.82755371465214,286.86183998013547,300.26387480377883
5800,295.5550354317632,288.78267770833116,301.8234284251427
6000,297.66491321031833,291.1300655902795,303.72730319472845
6150,299.11709581599985,292.7465712879109,305.0371256806007
6300,300.4688557311431,294.25190744144567,306.2559502992539
6450,301.7290843309639,295.6558468026408,307.3918781970917
6600,302.90572287201536,296.96712935434203,308.4521376458144
6750,304.00587969091504,298.1935875290182,309.44319305227765
6880,304.90242942113673,299.1933594516711,310.2506235836447
7000,305.68653976694196,300.0679670750969,310.95663387427925
7150,306.6122033471083,301.1007345735755,311.7899039173395
7320,307.59376811468894,302.1961973055947,312.67325801331833
7500,308.5615778860957,303.27664765548855,313.54398388422385
7650,309.31664118373084,304.1198325156765,314.2231243369368
7800,310.0286507826939,304.9151407894594,314.86338835713076
8000,310.9164282793009,305.90706682332524,315.6614911312694
8200,311.7399371693624,306.8274843138074,316.4015867765498
8400,312.5051119326586,307.68297801339236,317.08904323690086
8600,313.21722115745723,308.4793966792761,317.7286243150576
8800,313.8809548137275,309.22194900917157,318.3245691884639
9000,314.5004985575961,309.9152854254796,318.8806600430493
9200,315.07959720543454,310.5635680183363,319.4002797984493
9400,315.62160913128315,311.1705305479306,319.88646153978357
9600,316.12955303106423,311.73953007426553,320.34193098289296
9800,316.6061482459288,312.27359151262607,320.7691430672929
10000,317.0538496331146,312.77544619306934,321.17031358257873
10200,317.47487780642695,313.2475653224321,321.54744658066346
10400,317.8712454324489,313.6921890998902,321.9023582010138
10600,318.24478015694956,314.1113521157918,322.2366974334434
10800,318.59714464401134,314.5069055633665,322.5519642586356
