Frequency,Nominal,Min,Max
195,-118.65636356702299,-120.16208546828209,-117.12603215717215
200,-119.23650597631966,-120.75798581359244,-117.68816015202347
205,-119.8074791379312,-121.34364420505676,-118.24216919969021
210,-120.36929970335653,-121.91910452468473,-118.78805422712507
215,-120.92199261718318,-122.48441963463286,-119.32581757753579
220,-121.46559063891561,-123.03965075653898,-119.85546865742144
225,-122.00013386985253,-123.58486686438312,-120.37702358313544
230,-122.52566928683862,-124.12014409283609,-120.89050482850477
235,-123.04225028451921,-124.64556516278832,-121.39594087491888
240,-123.5499362275282,-125.1612188254732,-121.89336586515608
245,-124.0487920138646,-125.6671993263262,-122.38281926212778
250,-124.53888765051714,-126.16360588949705,-122.8643455135637
255,-125.02029784225005,-126.65054222370247,-123.33799372357247
260,-125.49310159427885,-127.12811604989523,-123.80381733188517
270,-126.41322502030324,-128.05562444418976,-124.71222431521869
275,-126.86072083654041,-128.50579057463483,-125.15493348189388
280,-127.29996180778895,-128.94705653230247,-125.59006905226637
285,-127.73104300207865,-129.37954378980126,-126.01770164524393
290,-128.15406171985055,-129.80337546192635,-126.43790448454217
295,-128.56911720347253,-130.21867598610058,-126.85075314596463
300,-128.9763103621111,-130.62557082321794,-127.25632531540413
305,-129.37574351171824,-131.02418617829602,-127.65470055760079
310,-129.76752012986444,-131.41464874027852,-128.04596009564264
315,-130.1517446250786,-131.79708544030711,-128.4301866011345
320,-130.52852212032693,-132.17162322774087,-128.80746399492446
330,-131.260158971454,-132.89750872776537,-129.54151225399568
340,-131.96327857777416,-133.5933137349229,-130.24879430098315
350,-132.6387286262178,-134.26003541275063,-130.93000850619063
360,-133.28735189036803,-134.89865510541838,-131.58585754313813
370,-133.90998221940794,-135.51013465006238,-132.21704431897638
390,-135.08053513334622,-136.65540586872237,-133.40822313244243
400,-135.6300531523937,-137.19099993002158,-133.96959269254512
410,-136.15676494664288,-137.70305547719693,-134.50905023216683
420,-136.6614195165294,-138.19240349949453,-135.0272558728268
432,-137.2389117190422,-138.75077361736186,-135.62195807321592
445,-137.8312717069754,-139.3216147312386,-136.23399088407726
458,-138.3904844980001,-139.85859799739984,-136.81380548923644
475,-139.07408726713766,-140.53183101071673,-137.5255399218515
488,-139.56208130972234,-141.01969086172952,-138.02127086505396
500,-139.98700549126818,-141.44440207199958,-138.44653758008513
515,-140.4851569538903,-141.94223859872022,-138.94528683142698
530,-140.94824936948794,-142.40503474713833,-139.40908326532303
550,-141.51396007090386,-142.9704947320587,-139.97576675021264
