Frequency,Nominal,Min,Max
195,9.091937922310683e-8,9.054852465264547e-8,9.129858180105682e-8
200,9.101836760737932e-8,9.062872005632061e-8,9.141687723900526e-8
205,9.111968325619808e-8,9.071077808345154e-8,9.153798580031017e-8
210,9.122331348859271e-8,9.07946868827244e-8,9.166189458148844e-8
215,9.132924539539068e-8,9.088043439460473e-8,9.178859044465978e-8
220,9.143746584465537e-8,9.096800835675688e-8,9.191806002288495e-8
225,9.154796148717188e-8,9.105739630951117e-8,9.205028972554458e-8
230,9.166071876197574e-8,9.114858560137569e-8,9.218526574375419e-8
235,9.177572390192049e-8,9.124156339458698e-8,9.232297405581155e-8
240,9.189296293927905e-8,9.133631667069592e-8,9.246340043267034e-8
245,9.201242171137535e-8,9.143283223618408e-8,9.26065304434377e-8
250,9.213408586624105e-8,9.153109672810613e-8,9.275234946088958e-8
255,9.225794086829388e-8,9.163109661975437e-8,9.290084266700091e-8
260,9.238397200403276e-8,9.173281822634039e-8,9.305199505848552e-8
270,9.264250296722767e-8,9.194137108895065e-8,9.336221649140372e-8
275,9.277497252950084e-8,9.204817423629444e-8,9.35212546498812e-8
280,9.290955770653867e-8,9.215664289263563e-8,9.368289023890663e-8
285,9.304624298098565e-8,9.226676266833488e-8,9.384710741206289e-8
290,9.318501269187018e-8,9.237851904990107e-8,9.401389017090259e-8
295,9.3325851040308e-8,9.249189740568181e-8,9.418322237044911e-8
300,9.346874209519137e-8,9.260688299153992e-8,9.435508772467872e-8
305,9.361366979886114e-8,9.272346095651199e-8,9.452946981197929e-8
310,9.3760617972758e-8,9.284161634844539e-8,9.4706352080582e-8
315,9.390957032305012e-8,9.296133411961098e-8,9.488571785396471e-8
320,9.406051044623351e-8,9.308240780465848e-8,9.506755033622201e-8
330,9.436828788228544e-8,9.332865631314122e-8,9.543854767879821e-8
340,9.468381707025886e-8,9.35807837983601e-8,9.582043997975973e-8
350,9.500696339755379e-8,9.383865847781579e-8,9.621208406593789e-8
360,9.53375910223627e-8,9.410214754923487e-8,9.661331081658733e-8
370,9.567556304344933e-8,9.437111736726488e-8,9.702399162135371e-8
390,9.637298836803525e-8,9.492460594000383e-8,9.787319670257609e-8
400,9.673216405289172e-8,9.520663408298973e-8,9.831145994810916e-8
410,9.709812921132062e-8,9.549336495329331e-8,9.875865546981263e-8
420,9.747074406926223e-8,9.578465240563954e-8,9.92146516985011e-8
432,9.792646253536526e-8,9.61400063984087e-8,9.977327859820644e-8
445,9.84304557086111e-8,9.653184818745068e-8,1.0039228066088196e-7
458,9.894486014560723e-8,9.69305290389466e-8,1.0102537671300086e-7
475,9.963274382210765e-8,9.746167249431222e-8,1.0187660106187658e-7
488,1.0017001015728608e-7,9.787492828018652e-8,1.025470488999042e-7
500,1.0067430420447024e-7,9.82615488711618e-8,1.0317820142435407e-7
515,1.0131558466531424e-7,9.875140334342215e-8,1.0398341545844579e-7
530,1.019685661423586e-7,9.924813126558967e-8,1.0480636403024399e-7
550,1.0285663417821519e-7,9.992033252149333e-8,1.0593058402930469e-7
565,1.035351823418137e-7,1.0043132190499498e-7,1.067935008896028e-7
580,1.042239604166518e-7,1.0094768238854834e-7,1.0767295837109787e-7
600,1.0515751065186364e-7,1.0164377440090483e-7,1.088707078314856e-7
615,1.0586851955843423e-7,1.0217100840244813e-7,1.0978744329380378e-7
630,1.0658837459446835e-7,1.0270221645719803e-7,1.1071961093180076e-7
645,1.0731668040911404e-7,1.0323700279950988e-7,1.1166689708278945e-7
660,1.080530514859489e-7,1.0377498314280031e-7,1.1262899731512755e-7
675,1.0879711246831724e-7,1.0431578499929095e-7,1.1360561664437155e-7
688,1.0944790326867843e-7,1.047864833388761e-7,1.144635435749988e-7
700,1.1005331648934624e-7,1.0522241811995041e-7,1.1526480950685234e-7
715,1.1081612897006237e-7,1.0576901550505717e-7,1.1627877773631877e-7
732,1.1168837469760955e-7,1.0639036217732729e-7,1.1744427292744288e-7
750,1.1262037180994087e-7,1.0704993704608998e-7,1.1869685321318209e-7
765,1.1340328911294025e-7,1.0760053602034423e-7,1.197549358750761e-7
780,1.1419157187924302e-7,1.08151697528132e-7,1.2082574455509097e-7
800,1.1525046684777644e-7,1.0888698722963961e-7,1.222729100044056e-7
820,1.1631774088016764e-7,1.0962218805341103e-7,1.237418206446206e-7
840,1.1739277906067136e-7,1.1035673282695199e-7,1.2523201040382418e-7
860,1.184750009278487e-7,1.1109009464657026e-7,1.2674303713131918e-7
880,1.1956385953413865e-7,1.1182178635788076e-7,1.2827447964598279e-7
900,1.2065884019463583e-7,1.1255135987060826e-7,1.29825934076099e-7
920,1.2175945889037432e-7,1.1327840530199422e-7,1.3139700938223272e-7
940,1.228652602838677e-7,1.1400254993957898e-7,1.329873219361903e-7
960,1.239758152963492e-7,1.147234570103677e-7,1.3459648900846532e-7
980,1.2509071818703067e-7,1.1544082423942002e-7,1.3622412099367892e-7
1000,1.2620958306472487e-7,1.1615438217669177e-7,1.378698121783632e-7
1020,1.2733203975130975e-7,1.1686389226651082e-7,1.3953312982801124e-7
1040,1.2845772890474918e-7,1.1756914462936703e-7,1.4121360134080613e-7
1060,1.295862962967324e-7,1.182699555207282e-7,1.4291069918416725e-7
1080,1.3071738612651757e-7,1.1896616442635931e-7,1.4462382329780633e-7
1100,1.3185063323836285e-7,1.1965763074811195e-7,1.4635228061428452e-7
1120,1.3298565409521713e-7,1.2034423002838513e-7,1.4809526131647742e-7
1150,1.3469059833517337e-7,1.213647589596448e-7,1.5073482979823402e-7
1180,1.3639701769541586e-7,1.2237372881212196e-7,1.534008894395154e-7
1200,1.3753453081427438e-7,1.2303977510356836e-7,1.5519048170946098e-7
1220,1.3867119964915998e-7,1.2370040193011028e-7,1.5698768456993006e-7
1250,1.4037288875847234e-7,1.246808650451815e-7,1.5969273732449745e-7
1280,1.420677040662114e-7,1.2564820330053405e-7,1.62400392396117e-7
1300,1.431917947608189e-7,1.2628540428776817e-7,1.6420115983723171e-7
1320,1.4430957507434892e-7,1.2691608667360106e-7,1.6599353862261839e-7
1350,1.459705672567565e-7,1.2784899242325402e-7,1.6865523077745164e-7
1380,1.476063296519707e-7,1.2876456457344653e-7,1.712663317233492e-7
