Frequency,Nominal,Min,Max
195,-21.785957951715734,-23.101065390180448,-20.493106920313306
200,-22.346130714275002,-23.695235186719675,-21.019886990269516
205,-22.906420110860594,-24.289542522619875,-21.546765388617878
210,-23.466828927299044,-24.883990715377337,-22.073744442093435
215,-24.02735995046558,-25.47858308618017,-22.600826476532422
220,-24.588015968953332,-26.073322960700022,-23.128013817426137
225,-25.148799773728165,-26.668213669861714,-23.655308790466943
230,-25.70971415876751,-27.26325855058993,-24.182713722084745
235,-26.270761921682222,-27.858460946531846,-24.710230939972593
240,-26.831945864320534,-28.453824208755687,-25.237862773600476
245,-27.39326879335338,-29.04935169642437,-25.765611554716386
250,-27.954733520840787,-29.64504677744507,-26.29347961783371
255,-28.51634286477905,-30.240912829094217,-26.82146930070468
260,-29.07809964962838,-30.83695323861872,-27.349582944779122
270,-30.202066875253337,-32.02957073357964,-28.406191503474844
275,-30.76428300175125,-32.62615464845281,-28.93469112340493
280,-31.32665794152819,-33.22292658112171,-29.46332411596907
285,-31.88919455861734,-33.81988997691884,-29.992092847465546
290,-32.45189572628984,-34.41704829429558,-30.520999690330154
295,-33.014764327456504,-35.014405005279684,-31.05004702349177
300,-33.57780325505339,-35.611963595915974,-31.579237232713947
305,-34.141015412413054,-36.209727566692294,-32.108572710923056
310,-34.704403713621474,-36.80770043295106,-32.63805585852383
315,-35.26797108386205,-37.40588572528862,-33.16768908370219
320,-35.83172045974701,-38.004286989942315,-33.69747480271636
330,-36.95977703395479,-39.20175170160657,-34.75751342931609
340,-38.08859716963338,-40.400123264770166,-35.81819124021367
350,-39.21820480250693,-41.599430649778746,-36.87952788332436
360,-40.3486240795965,-42.79970311151998,-37.94154316018691
370,-41.4798793677742,-44.00097020018618,-39.004257033083
390,-43.744996593398795,-46.406607999271905,-41.131861259795585
400,-44.87890843706403,-47.61103938210447,-42.196792400785405
410,-46.01375611999764,-48.81658675813537,-43.262503724235955
420,-47.149565228925084,-50.0232813140957,-44.32901609140877
432,-48.51384166426978,-51.47287350305858,-45.609917974702746
445,-49.99346459014636,-53.045244562206584,-46.99894027525844
458,-51.47486735320717,-54.619743791101584,-48.3894424473048
475,-53.41487034463449,-56.6820361086562,-50.21010425104339
488,-54.90060747185906,-58.261724925242696,-51.60420562288943
500,-56.27381201513049,-59.72200317204978,-52.89252380010819
515,-57.99276318105673,-61.55028546985801,-54.50494794324294
530,-59.714522202433365,-63.38194026660708,-56.11969671449597
550,-62.0147398831121,-65.8296047453557,-58.27644883888116
565,-63.74343855375984,-67.66960950856499,-59.89693348244012
580,-65.4752825043251,-69.51340570378575,-61.52001342236241
600,-67.78948363272237,-71.97792724438331,-63.688303320990244
615,-69.52908204261749,-73.83108962155008,-65.31777015887097
630,-71.27218760854439,-75.68849692130362,-66.95012021322879
645,-73.01891432239081,-77.55029295584944,-68.58544364297784
660,-74.7693789253382,-79.41662550107131,-70.22383250669593
675,-76.52370105920495,-81.28764653325193,-71.86538085787708
688,-78.04732864916377,-82.91311134957523,-73.29068603148868
700,-79.45647830044702,-84.41686077863206,-74.60857800111006
715,-81.22169593151617,-86.3011621625107,-76.25902775393378
732,-83.22751008262713,-88.44310318395479,-78.13380213878538
750,-85.35758639176638,-90.71872544807441,-80.1239597389524
765,-87.13775027717156,-92.62133812206224,-81.78656543091557
780,-88.92270531255404,-94.52984415613116,-83.45305418212624
800,-91.31035748814504,-97.08402642550244,-85.68127738334198
820,-93.7071616459201,-99.64952038325202,-87.91688682663847
840,-96.1135019417844,-102.22683549157429,-90.16017282217884
860,-98.52978004846159,-104.81650765784369,-92.41143718398061
880,-100.95641650856564,-107.41910136440721,-94.67099406890335
900,-103.3938521842378,-110.03521194186543,-96.93917087642325
920,-105.8425498061721,-112.66546798559746,-99.21630921194664
940,-108.30299562392993,-115.31053391244514,-101.50276591617312
960,-110.77570115823302,-117.97111265088671,-103.79891416267742
980,-113.26120505437365,-120.64794845353214,-106.10514462541225
1000,-115.76007503392437,-123.34182981521086,-108.421866717221
1020,-118.27290993949468,-126.05359247308374,-110.74950989966354
1040,-120.80034186427825,-128.7841224568775,-113.0885250634648
1060,-123.34303835446849,-131.53435914724608,-115.43938597766646
1080,-125.90170466816843,-134.30529828811981,-117.80259080404409
1100,-128.47708606905937,-137.09799488437923,-120.17866367150975
1120,-131.06997012666758,-139.91356589894156,-122.56815630298857
1150,-134.99394674676674,-144.18241416062855,-126.17883663402588
1180,-138.9621956407231,-148.50967143025406,-129.82311915844554
1200,-141.63388966710173,-151.42922225280594,-132.27241885825575
1220,-144.32773442331836,-154.37822650121763,-134.73836988603313
1250,-148.41242086340696,-158.86029463150842,-138.47017474546047
1280,-152.55328707776897,-163.4174423600602,-142.24385430621263
1300,-155.34711935667008,-166.5000334360566,-144.78433464126425
1320,-158.16906251545277,-169.6202279843168,-147.34563273394645
1350,-162.45764424971875,-174.3748635718708,-151.22872250107343
1380,-166.8172445151818,-179.2239800022016,-155.1642361122278
1400,-169.76551413688236,-182.51208329557662,-157.81881879590497
1420,-172.74900264143656,-185.84638937365963,-160.49943238838114
1450,-177.2935177859711,-190.93776143801037,-164.57170556486298
1480,-181.92556239872198,-196.14088155317273,-168.7092032305927
1500,-185.06456962922152,-199.67335377114617,-171.5058171391767
1550,-193.0997899621738,-208.73081524362988,-178.64039227426866
1600,-201.415600041997,-218.1063247917135,-185.99449574420458
1650,-210.0197302794953,-227.77340714807454,-193.5854608495434
1700,-218.90631236072608,-237.67716541946808,-201.42661971530993
1750,-228.0507032615154,-247.73212348389995,-209.5242682093556
1800,-237.40529972328525,-257.82606767145074,-217.87399459866242
1850,-246.89807240436872,-267.83065380466115,-226.45680590250342
1900,-256.43542754818225,-277.6167632880815,-235.23587183571797
1950,-265.9099422241956,-287.0702469753409,-244.15502265431854
2000,-275.2117267862449,-296.1034869690106,-253.14013079681118
2050,-284.24056317998884,-304.6602961016874,-262.10395167658055
2100,-292.9155970559744,-312.7145193510906,-270.9539341773622
2150,-301.1804870515457,-320.26457444091704,-279.60137574429336
2200,-309.0037633434616,-327.32649875010225,-287.96972890396444
2250,-316.3756271189113,-333.9273741473016,-296.00022421745405
2300,-323.30296742361224,-340.10005749988517,-303.6540305173959
2350,-329.8041202427907,-345.8794233129347,-310.9113093532701
2400,-335.904302307315,-351.29993605626174,-317.76821611711983
2450,-341.6320929295096,-356.39423516966144,-324.23302384718363
2500,-347.01696912279607,-361.19242123320174,-330.3222817496757
2550,-352.0877219611423,-365.7217926123573,-336.0575330320172
2600,-356.8715337027638,-370.0068516888882,-341.4627852643154
2700,-365.67652895635456,-377.9290601144033,-351.3814894016624
2750,-369.7412245062049,-381.6029331491934,-355.94205229020594
2800,-373.6061354378401,-385.1064398866338,-360.26574848401975
2850,-377.2878581415374,-388.4532572054973,-364.3721671479434
2900,-380.8012375298207,-391.65558817239815,-368.27912825260506
2950,-384.1595552454601,-394.72434901718253,-372.0027527921513
3000,-387.374707984018,-397.6693327813524,-375.55757842255053
3050,-390.4573708746405,-400.49935137595145,-378.95669558894804
3100,-393.4171440403924,-403.22235829749434,-382.2118887118443
3150,-396.26268228999635,-405.84555436556207,-385.3337733723466
3200,-399.0018088796704,-408.37547874935467,-388.3319245801704
3300,-404.1885448557212,-413.17882039085504,-393.99081419291775
3400,-409.02676714062574,-417.67418451857856,-399.2484982635902
