Frequency,Nominal,Min,Max
195,-0.38023669695847934,-0.4031896517771574,-0.35767218972270237
200,-0.390013556045131,-0.41355987104267167,-0.3668662363773243
205,-0.3997924507795619,-0.4239324908228861,-0.3760619991861375
210,-0.4095734297836173,-0.43430756901903367,-0.38525951875832926
215,-0.419356541697446,-0.4446851635967821,-0.3944588356873997
220,-0.4291418351911795,-0.45506533260005144,-0.40365999056082874
225,-0.43892935897636143,-0.46544813416444697,-0.41286302396960556
230,-0.44871916181709726,-0.4758336265302913,-0.42206797651759176
235,-0.4585112925409075,-0.4862218680552367,-0.43127488883069504
240,-0.468305800049269,-0.49661291722645706,-0.44048380156583655
245,-0.4781027333278306,-0.5070068326724055,-0.44969475541969606
250,-0.4879021414562986,-0.5174036731741511,-0.4589077911372186
255,-0.4977040736179865,-0.5278034976762873,-0.4681229495198777
260,-0.5075085791090248,-0.5382063652974253,-0.4773402714336822
270,-0.5271255078806862,-0.5590214673013802,-0.4957815696876743
275,-0.5369380303958837,-0.5694338208803547,-0.5050056281509929
280,-0.5467533247256962,-0.5798494559889169,-0.5142320144059078
285,-0.5565714408569324,-0.5902684327594627,-0.5234607697521152
290,-0.5663924289376343,-0.6006908115533562,-0.5326919355964309
295,-0.5762163392840873,-0.6111166529689129,-0.5419255534589965
300,-0.5860432223875509,-0.6215460178490932,-0.5511616649792411
305,-0.5958731289207375,-0.6319789672889351,-0.5604003119216088
310,-0.6057061097440419,-0.6424155626427384,-0.5696415361810654
315,-0.6155422159115459,-0.6528558655310336,-0.5788853797883844
320,-0.6253814986768016,-0.6632999378473385,-0.588131884915227
330,-0.6450698000454952,-0.6841996397423242,-0.6066330491477112
340,-0.6647714280758956,-0.7051151691818003,-0.6251453692507197
350,-0.6844868005251985,-0.7260470317936832,-0.6436691881450651
360,-0.7042163388384255,-0.7469957381720855,-0.662204851432796
370,-0.7239604682977238,-0.7679618040651573,-0.6807527075214532
390,-0.7634942218285121,-0.809948104269633,-0.7178864064569357
400,-0.7832847169278296,-0.8309693975144097,-0.736472961174228
410,-0.8030915455036498,-0.8520101685149271,-0.7550731326442264
420,-0.8229151541285766,-0.8730709615823257,-0.7736872849646306
432,-0.8467262698327132,-0.8983711180909197,-0.7960432402231067
445,-0.8725505615772514,-0.9258141701361229,-0.8202862527514299
458,-0.8984059173408041,-0.9532943657504525,-0.8445550939097715
475,-0.93226535703975,-0.989288156830365,-0.8763316369503087
488,-0.9581963617289407,-1.0168589278367322,-0.9006632959955918
500,-0.982163302312372,-1.0423455912387662,-0.9231486900013509
515,-1.0121646598387803,-1.0742551369914473,-0.9512908002377007
530,-1.0422150236877181,-1.1062235439546662,-0.9794734828885989
550,-1.0823613957281495,-1.1489433480929403,-1.0171159086085027
565,-1.1125328793058016,-1.181057489463321,-1.0453987011166133
580,-1.1427592583739112,-1.2132378038056675,-1.073726790091329
600,-1.1831496876178118,-1.256251819175418,-1.1115705879601188
615,-1.2135114075329394,-1.288595604231063,-1.140010149333198
630,-1.243934338868203,-1.3210134771623396,-1.1685000323268504
645,-1.274420471157364,-1.3535079479657384,-1.1970418105109775
660,-1.304971841918411,-1.3860815958169859,-1.225637090610867
675,-1.3355905392949987,-1.4187370732026006,-1.254287514169662
688,-1.3621828573140062,-1.4471067861227669,-1.2791637822948938
700,-1.3867771583822286,-1.4733521647847934,-1.3021653363503802
715,-1.41758601805864,-1.5062394280333615,-1.3309711186758806
732,-1.4525940791786214,-1.543623351241091,-1.3636921044235923
750,-1.4897709240918298,-1.5833404522816665,-1.3984269071800957
765,-1.5208406451172451,-1.6165473078329278,-1.4274448506672517
780,-1.5519939874847215,-1.6498570219216095,-1.4565305663233263
800,-1.5936663793411903,-1.6944359122181991,-1.4954203976538691
820,-1.6354985034198544,-1.7392122287209495,-1.5344391432280706
840,-1.6774970645061011,-1.7841948632225673,-1.5735918699141287
860,-1.7196690731114728,-1.8293931690712224,-1.6128838453603784
880,-1.7620218690892284,-1.874816998342439,-1.652320552638387
900,-1.8045631469352803,-1.920476741515335,-1.6919077059469827
920,-1.8473009828237892,-1.966383369648939,-1.7316512674252493
940,-1.8902438634105878,-2.0125484790047463,-1.7715574651182995
960,-1.9334007164164622,-2.058984337999109,-1.811632812133694
980,-1.9767809429752634,-2.1057039362905368,-1.8518841270182091
1000,-2.020394451697667,-2.1527210357099387,-1.892318555373962
1020,-2.0642516943589095,-2.200050222622453,-1.9329435927191836
1040,-2.1083637030664004,-2.247706961164081,-1.97376710858159
1060,-2.1527421286991237,-2.295707646620165,-2.014797371790853
1080,-2.197399280333054,-2.3440696580007945,-2.0560430769101634
1100,-2.2423481652732247,-2.3928114086147603,-2.0975133717147423
1120,-2.2876025292009587,-2.4419523931425897,-2.139217885586191
1150,-2.3560888409929674,-2.5164578505770647,-2.202236145599791
1180,-2.4253478497311294,-2.5919827375128897,-2.2658408745238043
1200,-2.4719777070973006,-2.642938512045729,-2.3085892186536014
1220,-2.518994167630865,-2.6944083458358135,-2.351628183281255
1250,-2.590285394921977,-2.772635192008094,-2.416760465120186
1280,-2.662557144247187,-2.852172424371103,-2.4826235983705245
1300,-2.7113187162625083,-2.9059737881398355,-2.5269633447993445
1320,-2.760570915687395,-2.960431456309753,-2.5716664296416996
1350,-2.835420787191225,-3.0434155020450655,-2.639439131228565
1380,-2.9115101658943745,-3.128048549566892,-2.708126801500261
1400,-2.9629671780295768,-3.185436778181955,-2.7544580095968545
1420,-3.0150388756294495,-3.243631397513763,-2.801243542759277
1450,-3.094355627808323,-3.332492603480744,-2.8723181177295336
1480,-3.1752000574000916,-3.4233041808670737,-2.944531074790097
1500,-3.229986068816217,-3.4849574518059367,-2.9933411954019555
1550,-3.3702271197494293,-3.6430399763733115,-3.117863022240229
1600,-3.515365385612877,-3.806673487039536,-3.246216341322951
1650,-3.6655357875276233,-3.975395903219488,-3.3787036758151117
1700,-3.8206359040938307,-4.148249093376927,-3.5155577151946815
1750,-3.980235633402015,-4.32374121775122,-3.6568883430849386
1800,-4.143504141855311,-4.499913778336525,-3.802618560219001
1850,-4.309184280283587,-4.674526746660415,-3.952416876548414
1900,-4.4756425294751505,-4.84532657810674,-4.105640482332676
1950,-4.641004005600108,-5.010320994232992,-4.261309030599204
2000,-4.803350772519046,-5.167980774245359,-4.418128751333452
2050,-4.960933695213769,-5.31732526707529,-4.574576939244443
2100,-5.112341599071762,-5.457897981468052,-4.729038272626964
2150,-5.256591141809621,-5.58967130149248,-4.87996459984373
2200,-5.393133071396767,-5.712925132214388,-5.026019915449661
2250,-5.521796366286864,-5.828132141409405,-5.166178499236029
2300,-5.642701263010002,-5.935865789595031,-5.299762619479899
2350,-5.756167784879978,-6.036734751709944,-5.426426029901205
2400,-5.862636046877032,-6.131340546227311,-5.546101629432652
2450,-5.962604852099183,-6.220252838837564,-5.658933809830646
2500,-6.05658867148429,-6.303996983769648,-5.765211409232217
2550,-6.14509000406828,-6.383049427381509,-5.865310427538303
2600,-6.2285832697551395,-6.457837816909441,-5.95964987589268
2700,-6.38225942755277,-6.596106437963915,-6.132763920620569
2750,-6.453201747988821,-6.660227618721239,-6.212360758769917
2800,-6.520657169042177,-6.721375346655377,-6.287823493207914
2850,-6.584915352367122,-6.779788328332315,-6.359494019358729
2900,-6.646235390564369,-6.835679547443308,-6.427683354382429
2950,-6.704849092030332,-6.889239528141078,-6.492672862705569
3000,-6.76096409327268,-6.940639191243619,-6.5547162742903184
3050,-6.814766710443088,-6.990032333612035,-6.614042060505015
3100,-6.8664244972976345,-7.037557769947553,-6.670855898287832
3150,-6.91608850874466,-7.083341178260705,-6.725343064481103
3200,-6.963895286363396,-7.127496688584374,-6.777670674530271
3300,-7.054420906577124,-7.211330815326704,-6.87643693027962
3400,-7.138863815392071,-7.289789720431523,-6.968200828342512
3500,-7.2179439615583085,-7.363488435673835,-7.05382771004383
3600,-7.2922685849539075,-7.432950603231143,-7.134040344937899
3700,-7.36235482233189,-7.498626089932218,-7.209448289059038
3900,-7.491529978786836,-7.620125993159673,-7.347852184598958
4000,-7.55133960408836,-7.676589117551727,-7.411679243055298
4100,-7.60837091105698,-7.730557950484014,-7.4723878060897295
4200,-7.662884696805811,-7.782267198640634,-7.530273044987683
4320,-7.725302765450246,-7.841629412236892,-7.596373570173358
4450,-7.789616653271314,-7.902979106514168,-7.6642747160224545
4580,-7.850876029094424,-7.961601709932493,-7.728745389833442
4750,-7.926945885510835,-8.034671767510515,-7.808505922861409
4880,-7.982410427560051,-8.088156443375038,-7.866440293953694
5000,-8.031779921560304,-8.135922118748901,-7.917841174307984
5150,-8.091311761470006,-8.193732252561631,-7.979600861247255
5300,-8.148722737194497,-8.249717478964756,-8.038917132474008
5500,-8.222467951513822,-8.321993733060037,-8.114736681952852
5650,-8.276006156293107,-8.374736782048974,-8.169503000333624
5800,-8.328281058160874,-8.426466876272592,-8.222740644143762
6000,-8.396369827451522,-8.494202575406174,-8.291719974901074
6150,-8.446468833970474,-8.544306341959844,-8.342204533212497
6300,-8.49592637654171,-8.59399168771159,-8.391814755706218
6450,-8.544896889207832,-8.643406301945456,-8.440712344161032
6600,-8.59352269509475,-8.692685853720976,-8.489046318668652
6750,-8.641935017551532,-8.741954691796185,-8.536954322151493
6880,-8.683813359104356,-8.784733661780788,-8.578228670945448
7000,-8.722471631500138,-8.82434895079054,-8.616195791550934
7150,-8.770878973632504,-8.87411491622068,-8.663564523989642
7320,-8.825965698196036,-8.930947154902205,-8.71724888114641
7500,-8.88468504355666,-8.99173405830022,-8.77423649837761
7650,-8.934016572039766,-9.04294351659419,-8.821943758519346
7800,-8.983778054324178,-9.094706143676298,-8.869929331986574
8000,-9.050884266303402,-9.164639073378876,-8.93445660678839
8200,-9.118939774588517,-9.235654815012452,-8.999728460138847
8400,-9.18800107224935,-9.307751170313104,-9.065847732544059
8600,-9.258085951204762,-9.380881053746819,-9.132885543484326
8800,-9.329172202694942,-9.454952970717162,-9.200879442460332
9000,-9.401197311791973,-9.529833280816147,-9.269831877834989
9200,-9.474059511473758,-9.605350493463185,-9.339709304976417
