Freq.	V(out)
2.00000000000000e+02	(1.72492923195403e-03dB,-2.26679910102208e+01°)
2.04658598456151e+02	(1.81443348887411e-03dB,-2.31973315120598e+01°)
2.09425709610180e+02	(1.90853748310632e-03dB,-2.37390983980716e+01°)
2.14303861047521e+02	(2.00749448763106e-03dB,-2.42935881339542e+01°)
2.19295639228637e+02	(2.11157318573265e-03dB,-2.48611046076201e+01°)
2.24403690860393e+02	(2.22105872541072e-03dB,-2.54419593408558e+01°)
2.29630724299376e+02	(2.33625385425845e-03dB,-2.60364717089135e+01°)
2.34979510987906e+02	(2.45748014104482e-03dB,-2.66449691684617e+01°)
2.40452886923483e+02	(2.58507929139280e-03dB,-2.72677874943543e+01°)
2.46053754162476e+02	(2.71941456523420e-03dB,-2.79052710257114e+01°)
2.51785082358833e+02	(2.86087230433896e-03dB,-2.85577729218411e+01°)
2.57649910338627e+02	(3.00986357927636e-03dB,-2.92256554285729e+01°)
2.63651347711281e+02	(3.16682596539314e-03dB,-2.99092901556142e+01°)
2.69792576518331e+02	(3.33222545866998e-03dB,-3.06090583655947e+01°)
2.76076852920577e+02	(3.50655854266976e-03dB,-3.13253512755069e+01°)
2.82507508924551e+02	(3.69035442002570e-03dB,-3.20585703713182e+01°)
2.89087954149185e+02	(3.88417742074828e-03dB,-3.28091277365824e+01°)
2.95821677633641e+02	(4.08862960309751e-03dB,-3.35774463959542e+01°)
3.02712249687241e+02	(4.30435356267368e-03dB,-3.43639606745829e+01°)
3.09763323782496e+02	(4.53203546619654e-03dB,-3.51691165744403e+01°)
3.16978638492223e+02	(4.77240832970212e-03dB,-3.59933721687354e+01°)
3.24362019471786e+02	(5.02625556013513e-03dB,-3.68371980156617e+01°)
3.31917381487512e+02	(5.29441478277869e-03dB,-3.77010775928361e+01°)
3.39648730492349e+02	(5.57778197695442e-03dB,-3.85855077539091e+01°)
3.47560165749875e+02	(5.87731594586509e-03dB,-3.94909992089597e+01°)
3.55655882007784e+02	(6.19404314711851e-03dB,-4.04180770304363e+01°)
3.63940171721996e+02	(6.52906291281998e-03dB,-4.13672811865702e+01°)
3.72417427332573e+02	(6.88355309055952e-03dB,-4.23391671043689e+01°)
3.81092143592649e+02	(7.25877613812276e-03dB,-4.33343062645007e+01°)
3.89968919951609e+02	(7.65608570758372e-03dB,-4.43532868306052e+01°)
3.99052462993776e+02	(8.07693375655277e-03dB,-4.53967143158177e+01°)
4.08347588933905e+02	(8.52287822643884e-03dB,-4.64652122895726e+01°)
4.17859226170807e+02	(8.99559133002352e-03dB,-4.75594231280672e+01°)
4.27592417900446e+02	(9.49686849334877e-03dB,-4.86800088121150e+01°)
4.37552324789910e+02	(1.00286379978254e-02dB,-4.98276517765130e+01°)
4.47744227713667e+02	(1.05929713721200e-02dB,-5.10030558154889e+01°)
4.58173530553554e+02	(1.11920945827010e-02dB,-5.22069470492899e+01°)
4.68845763063984e+02	(1.18284000750692e-02dB,-5.34400749575391e+01°)
4.79766583803898e+02	(1.25044597162684e-02dB,-5.47032134856170e+01°)
4.90941783137005e+02	(1.32230386897971e-02dB,-5.59971622310444e+01°)
5.02377286301915e+02	(1.39871103908079e-02dB,-5.73227477176604e+01°)
5.14079156553772e+02	(1.47998723665843e-02dB,-5.86808247663096e+01°)
5.26053598379076e+02	(1.56647633403612e-02dB,-6.00722779718185e+01°)
5.38306960785382e+02	(1.65854813473724e-02dB,-6.14980232972374e+01°)
5.50845740667633e+02	(1.75660029980681e-02dB,-6.29590097977121e+01°)
5.63676586252890e+02	(1.86106038641838e-02dB,-6.44562214879313e+01°)
5.76806300625320e+02	(1.97238799579020e-02dB,-6.59906793689176e+01°)
5.90241845333276e+02	(2.09107702369661e-02dB,-6.75634436320343e+01°)
6.03990344080402e+02	(2.21765800224922e-02dB,-6.91756160605007e+01°)
6.18059086502717e+02	(2.35270051510291e-02dB,-7.08283426515279e+01°)
6.32455532033675e+02	(2.49681565983234e-02dB,-7.25228164854425e+01°)
6.47187313859255e+02	(2.65065852009400e-02dB,-7.42602808719661e+01°)
6.62262242965181e+02	(2.81493059545822e-02dB,-7.60420328082419e+01°)
6.77688312278404e+02	(2.99038211753630e-02dB,-7.78694267883703e+01°)
6.93473700905062e+02	(3.17781415585648e-02dB,-7.97438790102672e+01°)
7.09626778467150e+02	(3.37808038372316e-02dB,-8.16668720327543e+01°)
7.26156109540201e+02	(3.59208833124789e-02dB,-8.36399599441278e+01°)
7.43070458194344e+02	(3.82079989605267e-02dB,-8.56647741132508e+01°)
7.60378792641121e+02	(4.06523080819445e-02dB,-8.77430296057609e+01°)
7.78090289988560e+02	(4.32644864918572e-02dB,-8.98765323615790e+01°)
7.96214341106993e+02	(4.60556889838647e-02dB,-9.20671872459337e+01°)
8.14760555608224e+02	(4.90374831450851e-02dB,-9.43170071050046e+01°)
8.33738766940669e+02	(5.22217474309562e-02dB,-9.66281229795213e+01°)
8.53159037603184e+02	(5.56205215707368e-02dB,-9.90027956558039e+01°)
8.73031664480330e+02	(5.92457936540160e-02dB,-1.01443428764383e+02°)
8.93367184301924e+02	(6.31092033734582e-02dB,-1.03952583672161e+02°)
9.14176379229748e+02	(6.72216345063396e-02dB,-1.06532996455690e+02°)
9.35470282574394e+02	(7.15926613348489e-02dB,-1.09187597291169e+02°)
9.57260184645275e+02	(7.62298027080193e-02dB,-1.11919532651554e+02°)
9.79557638736890e+02	(8.11375230285304e-02dB,-1.14732190762862e+02°)
1.00237446725454e+03	(8.63159005412518e-02dB,-1.17629230839660e+02°)
1.02572276798273e+03	(9.17588585291327e-02dB,-1.20614616692288e+02°)
1.04961492049954e+03	(9.74518226076316e-02dB,-1.23692655372050e+02°)
1.07406359274050e+03	(1.03368624958247e-01dB,-1.26868041589168e+02°)
1.09908174771525e+03	(1.09467421157975e-01dB,-1.30145908691026e+02°)
1.12468265038070e+03	(1.15685313610553e-01dB,-1.33531887007515e+02°)
1.15087987467431e+03	(1.21931283032922e-01dB,-1.37032170328340e+02°)
1.17768731071118e+03	(1.28076910756205e-01dB,-1.40653591130201e+02°)
1.20511917214871e+03	(1.33944223922051e-01dB,-1.44403704853490e+02°)
1.23319000372296e+03	(1.39289807121683e-01dB,-1.48290882938004e+02°)
1.26191468896038e+03	(1.43784093038422e-01dB,-1.52324413316951e+02°)
1.29130845806931e+03	(1.46984470464880e-01dB,-1.56514605422880e+02°)
1.32138689601519e+03	(1.48300538547211e-01dB,-1.60872894173445e+02°)
1.35216595078396e+03	(1.46949516115640e-01dB,-1.65411933462792e+02°)
1.38366194183787e+03	(1.41899540310360e-01dB,-1.70145663844775e+02°)
1.41589156876827e+03	(1.31798468206368e-01dB,-1.75089330711095e+02°)
1.44887192014998e+03	(1.14886022872164e-01dB,1.79740582313899e+02°)
1.48262048260183e+03	(8.88880227563862e-02dB,1.74326555228775e+02°)
1.51715515005836e+03	(5.08934927664783e-02dB,1.68650437645418e+02°)
1.55249423325738e+03	(-2.78064300168641e-03dB,1.62694147279361e+02°)
1.58865646944856e+03	(-7.67260482662328e-02dB,1.56440764306441e+02°)
1.62566103232819e+03	(-1.76559598251041e-01dB,1.49876124511464e+02°)
1.66352754220534e+03	(-3.08986217585495e-01dB,1.42990980306898e+02°)
1.70227607640475e+03	(-4.81760204642908e-01dB,1.35783707788841e+02°)
1.74192717991216e+03	(-7.03488096998262e-01dB,1.28263369198386e+02°)
1.78250187626749e+03	(-9.83221028279181e-01dB,1.20452695591421e+02°)
1.82402167871181e+03	(-1.32981485610302e+00dB,1.12390288830636e+02°)
1.86650860159398e+03	(-1.75109799029531e+00dB,1.04131182109600e+02°)
1.90998517204287e+03	(-2.25296924983061e+00dB,9.57450145447409e+01°)
1.95447444191162e+03	(-2.83861784320277e+00dB,8.73115762119531e+01°)
1.99999999999999e+03	(-3.50806960339164e+00dB,7.89142719560814e+01°)
2.04658598456150e+03	(-4.25819186276916e+00dB,7.06328016310123e+01°)
2.09425709610179e+03	(-5.08315522997411e+00dB,6.25366592080525e+01°)
2.14303861047521e+03	(-5.97521727542294e+00dB,5.46807341742407e+01°)
2.19295639228636e+03	(-6.92562337954487e+00dB,4.71035433060753e+01°)
2.24403690860392e+03	(-7.92543388582632e+00dB,3.98278329598750e+01°)
2.29630724299376e+03	(-8.96615729867622e+00dB,3.28628005162099e+01°)
