Frequency,Nominal,Min,Max
1.48,4633241.029297911,4384842.128975159,4905975.829326535
1.5,4565076.061165994,4319651.026520274,4834517.194572054
1.55,4402093.95764443,4163765.091005253,4663677.403748323
1.6,4248939.5110404305,4017260.8250048296,4503161.530937404
1.65,4104730.294469032,3879297.912253533,4352040.558922377
1.7,3968687.7467558878,3749134.918609048,4209494.836844356
1.75,3840122.317494714,3626115.1457508965,4074798.44253865
1.8,3718421.0884409435,3509654.8433709256,3947306.1514671654
1.85,3603037.4027778385,3399233.333689457,3826442.5191347264
1.9,3493482.132411626,3294384.696054984,3711692.687688199
1.95,3389316.2893136847,3194690.731634426,3602594.607250831
2,3290144.7457203707,3099774.9841946377,3498732.424432004
2.05,3195610.873888768,3009297.6366781634,3399730.8387539275
2.1,3105391.952160324,2922951.1376141165,3305250.2656891206
2.15,3019195.212592982,2840456.4385561002,3214982.675010461
2.2,2936754.4280991014,2761559.745336892,3128647.997026152
2.25,2857826.9551687734,2686029.7032079976,3045991.0083682737
2.3,2782191.1628501206,2613654.9498302583,2966778.6243635444
2.35,2709644.1904567247,2544241.981318902,2890797.53743445
2.4,2639999.9860587395,2477613.2856765604,2817852.151068461
2.45,2573087.5856396393,2413605.7054015845,2747762.767131279
2.5,2508749.5992180505,2352068.99717096,2680363.991053805
2.55,2446840.8755189204,2292864.5615311707,2615503.3249858725
2.6,2387227.321148562,2235864.319692908,2553039.923609277
2.7,2274398.472492335,2128010.8433770533,2434793.301088175
2.75,2220961.4287888426,2076945.635980983,2378777.323508887
2.8,2169374.4882377973,2027659.1862805113,2324691.445705994
2.85,2119545.2690970227,1980063.1067698165,2272438.775488825
2.9,2071387.6500900693,1934074.9689379926,2221929.0166662442
2.95,2024821.2386338727,1889617.7978473206,2173077.9083122746
3,1979770.8925194973,1846619.6175636214,2125806.720338934
3.05,1936166.2888989188,1805013.0415843264,2080041.7989063372
3.1,1893941.5352234666,1764734.9031653234,2035714.156034525
3.15,1853034.817459811,1725725.9210955198,1992759.098497175
3.2,1813388.0814934894,1687930.3970247756,1951115.891691855
3.3,1737659.4305671162,1615773.221722907,1871540.0833007009
3.4,1666356.0054495786,1547879.623049194,1796569.1133032904
3.5,1599122.4116730294,1483907.9967339532,1725831.8431547005
3.6,1535641.3279684896,1423553.0854119076,1658997.165191737
3.7,1475628.3945481523,1366541.1228894463,1595768.6070590725
3.9,1365009.218605931,1261584.561371027,1479090.6136994478
4,1313963.5845584176,1213216.174571117,1425183.9615188655
4.1,1265501.60214174,1167337.726830047,1373962.9638634825
4.2,1219450.9220173173,1123782.7319374953,1325248.60181491
4.32,1167152.6137891477,1074370.67086655,1269871.3371586418
4.45,1113874.6085620252,1024094.6445801558,1213392.370471835
4.58,1063836.8707335352,976938.0280831642,1160283.5925428902
4.75,1002875.9834456707,919575.8397658534,1095487.7427545255
4.88,959395.4068363489,878727.1438303427,1049202.8571240038
5,921480.774732012,843155.7051042367,1008791.5845772815
5.15,876865.488767511,801360.0607543094,961171.9093025194
5.3,835104.3004409898,762304.4969445622,916527.5618766486
5.5,783477.0958549283,714119.9498004388,861231.2657273435
5.65,747539.575764819,680649.2891814164,822664.209013173
5.8,713789.5299035133,649274.0529277694,786382.4220073656
6,671918.153842916,610435.3005210464,741277.6514997291
6.15,642676.0520382931,583373.8200014425,709710.4205441145
6.3,615143.4216689966,557946.5200413933,679932.9545512232
6.45,589203.7060061761,534041.1419750903,651824.2454283875
6.6,564750.4280295735,511555.2268350242,625273.661236917
6.75,541686.1473110236,490395.094906182,600179.8736817914
6.88,522751.4166913836,473062.2214204946,579538.256115501
7,506093.0740331114,457844.59096964775,561345.1558441247
7.15,486315.64352039696,439819.3537118609,539701.795207236
7.32,465221.76299761486,420649.35008583963,516560.10713648004
7.5,444314.9620827833,401712.1113870862,493558.05236576777
7.65,427941.46237464505,386929.9812146356,475492.587127684
7.8,412462.85382445244,372999.8363381263,458368.498417501
8,393129.707123579,355668.2495939807,436909.6610243283
8.2,375187.68591675983,339659.9175957758,416915.31061336683
8.4,358536.9213423985,324879.0525037442,398280.91506624006
8.6,343086.6029852118,311238.4098917054,380911.4538181555
8.8,328753.9306900327,298658.25663713145,364720.3568613619
9,315463.19265994563,287065.4674349052,349628.57092434686
9.2,303144.9531627371,276392.7344408794,335563.7350935439
9.4,291735.33612910216,266577.8772928423,322459.4511871234
9.6,281175.3933305857,257563.24288077946,310254.6366893504
9.8,271410.54776485363,249295.18583478167,298892.9501127912
10,262390.1044193858,241723.6218473377,288322.2803526092
10.2,254066.82178697325,234801.64672396175,278494.2929916392
10.4,246396.53841427987,228485.21454035505,269364.02765211917
10.6,239337.84942123914,222732.86855580748,260889.54140530882
10.8,232851.82837664132,217505.51867180376,253031.59397252012
11,226901.7901972451,212766.25930848368,245753.37100523795
11.2,221453.09089862803,208480.22166745173,239020.24214110724
11.5,214148.8448109003,202829.37535055456,229871.65861828398
11.8,207795.8828504031,198020.9543306733,221773.66225976884
12,204041.63471698586,195078.5010882247,216911.51804232172
12.2,200641.18254998227,192263.5609348666,212447.67538852568
12.5,196149.44994566275,188612.08821984925,206444.32917490075
12.8,192318.77964906298,185381.25187442108,201201.81128365832
13,190096.19994794147,183243.1897297817,198092.92240451003
13.2,188115.12980738532,181358.44726007953,195449.77375973854
13.5,185555.60996376144,178962.4895051147,192631.48618961385
13.8,183438.96062337,177028.30228453322,190295.2489485925
14,182247.48149691496,175966.90028812757,188951.30787702228
14.2,181214.7226768529,175069.63764444782,187762.3850237609
14.5,179934.05191025094,174000.10876206055,186242.47576996704
14.8,178939.07455073285,173222.96810321326,185004.64863801177
15,178416.0396180116,172847.50804005284,184318.87075648765
15.5,177528.35278921784,172331.95799513406,183025.61150708297
16,177135.64328414618,172309.08000566688,182234.8992004273
16.5,177127.94122236216,172197.07564162597,182046.26099909868
17,177416.57059606374,172308.00678150734,182455.32361356134
17.5,177930.4767711878,172698.29063024462,183046.8800469536
18,178613.02687582027,173300.88538119555,183772.93029210684
18.5,179419.28968091105,174062.17459440156,184595.64445455043
19,180313.7661064205,174939.4873126417,185485.3193374798
19.5,181268.5223541767,175899.0143876281,186418.72326026898
20,182261.6703658242,176914.08376973763,187377.76521524662
20.5,183276.1405095975,177963.74882132653,188348.4303984468
21,184298.69576722602,179031.6423342511,189319.93184442603
