Frequency,Nominal,Min,Max
1.48,-100.72392394695446,-101.70883742344223,-99.71965046992776
1.5,-100.853031767747,-101.8496474351046,-99.83674842751535
1.55,-101.17318457924742,-102.19880785787352,-100.12712058922779
1.6,-101.48953265982247,-102.54380626216889,-100.41404031512462
1.65,-101.80199554623772,-102.8845586472126,-100.697431365376
1.7,-102.11049594664232,-103.22098470858201,-100.97722018851266
1.75,-102.41495972986165,-103.55300781573948,-101.25333591967045
1.8,-102.7153159088076,-103.88055498255119,-101.52571037400448
1.85,-103.01149661827272,-104.20355683117316,-101.7942780354578
1.9,-103.30343708739663,-104.52194754968312,-102.05897604108968
1.95,-103.59107560709188,-104.8356648438617,-102.31974416116871
2,-103.87435349272934,-105.14464988351362,-102.57652477524556
2.05,-104.15321504238158,-105.44884724373259,-102.82926284442628
2.1,-104.42760749093169,-105.74820484151189,-103.07790588006843
2.15,-104.69748096034813,-106.04267386809805,-103.32240390912784
2.2,-104.96278840643755,-106.33220871748287,-103.56270943638336
2.25,-105.22348556236906,-106.61676691142222,-103.79877740376644
2.3,-105.47953087927606,-106.89630902136432,-104.03056514702534
2.35,-105.73088546422552,-107.17079858765727,-104.25803234994905
2.4,-105.97751301584512,-107.44020203639793,-104.48114099637138
2.45,-106.21937975788781,-107.70448859427404,-104.69985532017803
2.5,-106.45645437100801,-107.96363020173268,-104.91414175353039
2.55,-106.68870792301425,-108.21760142480207,-105.12396887351518
2.6,-106.91611379785338,-108.4663793658747,-105.32930734742743
2.7,-107.35628719948828,-108.94827595318549,-105.72641114094053
2.75,-107.56901242280485,-109.18136067431507,-105.91812773846418
2.8,-107.77680521486475,-109.40918408202417,-106.10525812982287
2.85,-107.97964944726404,-109.63173460567144,-106.28778257817756
2.9,-108.17753086800519,-109.84900266928248,-106.46568309047
2.95,-108.37043702787155,-110.06098060244331,-106.63894335828266
3,-108.55835720719168,-110.26766255208223,-106.8075486987129
3.05,-108.74128234314936,-110.46904439530434,-106.97148599539935
3.1,-108.91920495778537,-110.6651236534409,-107.1307436398302
3.15,-109.09211908682465,-110.85589940745376,-107.28531147305421
3.2,-109.2600202094534,-111.04137221482259,-107.43518072790859
3.3,-109.58077215573759,-111.39641811477456,-107.72079505061359
3.4,-109.8814509011718,-111.73029228935764,-107.98754215338684
3.5,-110.16206534857425,-112.04304426684376,-108.23539627511774
3.6,-110.42264117674497,-112.33473982621483,-108.46434864545353
3.7,-110.66321891659385,-112.60545878635615,-108.67440585215184
3.9,-111.0846057078431,-113.084344068547,-109.03792866333785
4,-111.26555425338651,-113.29272223779459,-109.19147064586468
4.1,-111.42678061324165,-113.48054404187705,-109.32626753424341
4.2,-111.56837449523788,-113.64793112559835,-109.44238106342576
4.32,-111.71250680421299,-113.82199839062595,-109.55715294225712
4.45,-111.83710327422338,-113.97782476868122,-109.65139358761043
4.58,-111.92911391826313,-114.0998710655488,-109.71451128774908
