Frequency,Nominal,Min,Max
1.48,1.0076180949735882,1.006748029862991,1.0085565040262148
1.5,1.0078250321062925,1.006931376255844,1.0087888698363487
1.55,1.0083544346235336,1.0074004393465206,1.0093833083205528
1.6,1.0089010527012914,1.0078847746792727,1.009997050015586
1.65,1.0094648698428237,1.008384370006236,1.0106300729137603
1.7,1.0100458685787417,1.0088992123821132,1.0112823536653026
1.75,1.0106440304227091,1.0094292881338816,1.0119538675145132
1.8,1.0112593358254385,1.0099745828293591,1.0126445882334134
1.85,1.0118917641269556,1.0105350812446092,1.0133544880528447
1.9,1.0125412935070983,1.0111107673301714,1.0140835375909638
1.95,1.01320790093422,1.0117016241760857,1.0148317057790848
2,1.0138915621120625,1.0123076339757018,1.015598959784815
2.05,1.0145922514247647,1.0129287779882468,1.016385264932432
2.1,1.0153099418799765,1.0135650365001305,1.0171905846204494
2.15,1.0160446050500345,1.0142163887849678,1.0180148802363096
2.2,1.0167962110111721,1.0148828130622918,1.018858111068156
2.25,1.017564728280723,1.015564286454944,1.019720234213621
2.3,1.0183501237522818,1.0162607849451026,1.02060120448557
2.35,1.019152362628781,1.016972283328946,1.0215009743147503
2.4,1.019971408353452,1.017698755169905,1.0224194936492776
2.45,1.020807222538625,1.0184401727505006,1.0233567098509027
2.5,1.0216597648923302,1.0191965070227225,1.0243125675879927
2.55,1.0225289931426644,1.0199677275569392,1.0252870087251762
2.6,1.0234148629598725,1.020753802489306,1.0262799722095763
2.7,1.0252363392028747,1.0223703805957718,1.0283212067140781
2.75,1.0261718459459566,1.0232008123762504,1.0293693399681034
2.8,1.0271237947180485,1.024045955651532,1.0304357197848286
2.85,1.028092129648795,1.024905770543466,1.0315202686938394
2.9,1.0290767922923463,1.025780215391155,1.0326229055496248
2.95,1.0300777215323385,1.026669246687115,1.0337435453922357
3,1.031094853484259,1.02757281901173,1.034882099304039
3.05,1.0321281213951703,1.0284908849659593,1.0360384742625168
3.1,1.0331774555407347,1.0294233951022789,1.0372125729890405
3.15,1.0342427831195096,1.030370297853828,1.0384042937935785
3.2,1.0353240281444702,1.031331085237675,1.0396135304152745
3.3,1.0375339499863674,1.033283053554062,1.0420841022267116
