Frequency,Nominal,Min,Max
1.48,0.06591916057503333,0.05841576791431383,0.0740046885438011
1.5,0.06770282103049594,0.05999747603867675,0.07600563872076034
1.55,0.0722642522130169,0.06404271851659432,0.08112237482049511
1.6,0.07697150366788981,0.06821769414765355,0.08640210607218357
1.65,0.08182419518440931,0.07252210953182192,0.09184434442422329
1.7,0.08682193146107915,0.07695565987050618,0.09744858201928694
1.75,0.09196430181362802,0.08151802876571317,0.10321429077616891
1.8,0.09725087987271164,0.08620888801220826,0.1091409219566154
1.85,0.1026812232712057,0.09102789738258335,0.11522790571705856
1.9,0.10825487332094746,0.09597470440523273,0.12147465064502296
1.95,0.11397135467883263,0.1010489441350414,0.1278805432800335
2,0.11983017500212566,0.10625023891681544,0.1344449476188398
2.05,0.12583082459286904,0.1115781981413356,0.14116720460476126
2.1,0.13197277603129023,0.11703241799395513,0.14804663160098308
2.15,0.13825548379802394,0.12261248119567095,0.1550825218475736
2.2,0.1446783838850875,0.1283179567365669,0.16227414390207778
2.25,0.1512408933954489,0.13414839960160777,0.16962074106346064
2.3,0.15794241013107374,0.14010335048858777,0.1771215307791984
2.35,0.1647823121692808,0.14618233551830417,0.18477570403536595
2.4,0.17175995742735184,0.15238486593671194,0.19258242472949316
2.45,0.1788746832152056,0.1587104378091306,0.20054082902601078
2.5,0.18612580577600157,0.165158531706263,0.20865002469406224
2.55,0.1935126198146347,0.1717286123820741,0.21690909042757417
2.6,0.20103439801384332,0.1784201284433775,0.22531707514730637
2.7,0.2164798245240589,0.19216517837279376,0.24257584404778598
2.75,0.2244019035604863,0.19921752562740577,0.25142457066754487
2.8,0.23245580715249864,0.2063889343203873,0.26041809962699164
2.85,0.24064069017506295,0.21367876707086117,0.26955531987040304
2.9,0.24895568231260226,0.2210863681897553,0.2788350859939032
2.95,0.2573998874856037,0.22861106328906536,0.28825621741692065
3,0.26597238326392325,0.23625215888224155,0.29781749753433906
3.05,0.27467222026681637,0.2440089419755207,0.30751767284929077
3.1,0.28349842154945504,0.2518806796501818,0.3173554520863869
3.15,0.292449981975916,0.25986661863566374,0.3273295052853976
3.2,0.3015258675785349,0.2679621593907907,0.33743846287523993
3.3,0.32004633034299146,0.2843861352865641,0.3580554091941438
3.4,0.3390509362561077,0.30123566914358163,0.3791945058212875
3.5,0.35853030710564826,0.3185022481726575,0.40084327116708557
3.6,0.3784745371147569,0.3361769110678834,0.4229884941509896
3.7,0.39887316910700105,0.35425022972158693,0.4456161998128795
3.9,0.4409889040564403,0.39155267375111447,0.49232470693889563
4,0.46268210862282777,0.41076043556099506,0.5166037954317716
4.1,0.4847818644960527,0.43032408509430875,0.5413421144865637
4.2,0.5072745688069903,0.45023156421363786,0.5665243513429434
4.32,0.5347642972696491,0.4745565436774145,0.5973061734860123
4.45,0.5651296957201036,0.5014200057685303,0.6313137303271761
4.58,0.5960688130991405,0.5283059500100411,0.665968954843716
4.75,0.6373302229478349,0.5638426484075596,0.7121923511477168
4.88,0.6694451356977944,0.591384384725019,0.7481723349842748
5,0.699480583537,0.6170453670684292,0.7818234281723407
5.15,0.7374956387079429,0.649382390974435,0.8244135463820096
5.3,0.7759628855480792,0.6819347544980412,0.8675058054895743
5.5,0.8278151434153664,0.7255261612719687,0.9255783616962422
5.65,0.8670127581657928,0.7582436398861963,0.9694613550642024
5.8,0.9063703190118627,0.7908747061047312,1.0135025563007238
6,0.9589209889226995,0.8340710085705634,1.0722625529569065
6.15,0.9982492334776858,0.866093489154382,1.1168309133737435
6.3,1.037376648293974,0.8976671123538587,1.1631076286278603
6.45,1.0761804574626854,0.9286707518947117,1.2093365481354115
6.6,1.1145308879384834,0.9589775020565707,1.2553895419983854
6.75,1.1522910670195685,0.9884547096751848,1.3011302350069247
6.88,1.184427967859928,1.0132238469800805,1.3404078225823393
7,1.2135186025789932,1.03536177380704,1.3762734276893542
7.15,1.2489812366438908,1.0619357217907244,1.4204497126463722
7.32,1.287769178337013,1.0903965568213039,1.4694358512252204
7.5,1.326948665315467,1.1183677252808026,1.5197757189018648
7.65,1.3578961653700077,1.1397780592966704,1.5602963124519775
7.8,1.387099943384042,1.159284106458219,1.5993080628686673
8,1.4229969065395796,1.1820354051596733,1.64862146624186
8.2,1.4549924670761896,1.2006884645240525,1.6943811920586542
8.4,1.4826112632083912,1.21482878541274,1.7360599051317507
8.6,1.505369806090697,1.2240411962386475,1.7731127874489787
8.8,1.5227811445011858,1.2279141731823846,1.8049820986780627
9,1.534360210645627,1.2260445827772037,1.8311026981470597
9.2,1.5396297882547998,1.2180427694568856,1.8509085161906433
9.4,1.5381270066928465,1.2035378852728567,1.863839915574685
9.6,1.5294102257237863,1.1821833349428381,1.8693518296204494
9.8,1.5130661375643297,1.153662188623885,1.866922505458469
10,1.488716879062581,1.1176923993196495,1.856062622555571
10.2,1.4560269207097256,1.0740316535217236,1.8363245032974662
10.4,1.414709484028092,1.022481684084731,1.8073110895979516
10.6,1.3645322374550726,0.9628918843976769,1.7686843328689856
10.8,1.3053220349497752,0.8951620828314979,1.7201726390740315
11,1.2369684916374841,0.819244365527584,1.6615770292792686
11.2,1.1594262357530234,0.73514387227696,1.59277572010916
11.5,1.0259466595957398,0.5937912795023619,1.4703687083478085
11.8,0.8721957573061272,0.41773817369092775,1.325122225907277
12,0.7587435485588113,0.27878328774968086,1.2158800934522842
12.2,0.6368296004388834,0.12002015651105985,1.106741789176782
12.5,0.4387897824438455,-0.13202756491413528,0.9435747315094279
12.8,0.2236571625091284,-0.3991184757991323,0.7617058894553946
13,0.07142427501358871,-0.5846065094789168,0.6305897862499389
13.2,-0.0873427877455184,-0.7753861686295804,0.49668176106494205
13.5,-0.3367382811277574,-1.0702828253700805,0.2989483065607177
13.8,-0.5982216025015018,-1.3740735127262351,0.08688784027595979
14,-0.7784784715033334,-1.5807081864142267,-0.0618406563038569
14.2,-0.962945555436292,-1.79008101593989,-0.2160095723161198
14.5,-1.2465643103911055,-2.1083207433233224,-0.45661176536010456
14.8,-1.5372056730157548,-2.430375274520892,-0.7072578158937881
15,-1.7341964008856103,-2.6465895045682575,-0.8792888009717749
15.5,-2.235288753967412,-3.19008572816833,-1.323900189529605
16,-2.7446038085164712,-3.734438600045056,-1.784876836065635
16.5,-3.2577773065124074,-4.276225986180032,-2.257236322268353
17,-3.771271076495057,-4.812837832008957,-2.7366691346288556
17.5,-4.282285940370668,-5.342336395474735,-3.219551236189563
18,-4.788658274249592,-5.863326840173832,-3.7029078769172057
18.5,-5.2887554492046505,-6.374844366246279,-4.184349667142644
19,-5.781378824071987,-6.876259532681257,-4.661996523976079
19.5,-6.265678390835304,-7.367200941957188,-5.134399902130156
20,-6.741080287298567,-7.847493297425969,-5.600469523839221
20.5,-7.207226746016268,-8.317108465678034,-6.0594077951448515
21,-7.663927229943985,-8.776127218678962,-6.51065309956664
21.5,-8.111119195714563,-9.2247095707581,-6.953831953985148
22,-8.548836904217993,-9.663071935741671,-7.388719356942443
22.5,-8.97718682355766,-10.091469642114891,-7.815206362570059
23,-9.396328356204695,-10.510183627346475,-8.233273832485013
23.5,-9.806458822345869,-10.919510374725647,-8.642971357435112
24,-10.20780182036782,-11.319754355999159,-9.044400439133712
24.5,-10.600598252247451,-11.711222404395736,-9.437701143817463
25,-10.985099443114553,-12.094219570775104,-9.823041561843935
25.5,-11.36156190118472,-12.469046116393837,-10.200609521451637
26,-11.730243359214041,-12.835995374438617,-10.570606105005215
27,-12.445283347516531,-13.547392364240956,-11.288726599926349
27.5,-12.792140538607473,-13.892381224507862,-11.63727898798654
28,-13.132211357126955,-14.230574151598613,-11.979111665447837
28.5,-13.465728405585619,-14.562216065709599,-12.314435823238146
29,-13.792916441835787,-14.887541570626343,-12.643458667408376
29.5,-14.113992111965931,-15.206775128117368,-12.966382493077294
30,-14.429163843317172,-15.520131313271238,-13.283404032700512
30.5,-14.738631857914974,-15.827815125677189,-13.594714018673153
31,-15.042588275372497,-16.130022337340034,-13.900496912694019
31.5,-15.341217281187998,-16.42693986284959,-14.200930764188914
32,-15.63469534173941,-16.718746140901597,-14.496187167931996
33,-16.206867401289216,-17.287698635539716,-15.071821994021121
34,-16.760371656363866,-17.838152329147498,-15.628647624674855
35,-17.296369138248707,-18.37126811191426,-16.16781388421711
36,-17.81592381571164,-18.888106284850355,-16.69038020628062
37,-18.32001139105535,-19.38963667305946,-17.197322269414858
39,-19.285295594255484,-20.350255025815137,-18.167857809880097
40,-19.748073327761105,-20.810908070039563,-18.633043406661656
41,-20.198559374251168,-21.25939738776006,-19.085800925106795
42,-20.637398797113832,-21.69636008141954,-19.526782520732297
43.2,-21.149469392424407,-22.206326241139994,-20.041263123180464
44.5,-21.687351212274443,-22.742096320544015,-20.58157139373737
45.8,-22.208765410535637,-23.26155916489618,-21.105234720188044
47.5,-22.86741846048248,-23.917879971876346,-21.766584515358886
48.8,-23.354500348375915,-24.40333067094055,-22.255558076225466
50,-23.792132377405288,-24.83956354635438,-22.694816372525494
51.5,-24.323911927312764,-25.36972577731319,-23.228480119390372
53,-24.839712760891747,-25.884042684594675,-23.74601402736659
55,-25.504234859008758,-26.546772560367216,-24.412635108817543
56.5,-25.986334214609847,-27.027653497824744,-24.896165417763125
58,-26.455339044514222,-27.495537084609673,-25.366490240271787
60,-27.0615350109001,-28.100374760646062,-25.974289842559493
61.5,-27.50266457121765,-28.54057852007029,-26.4165157109126
63,-27.93286812206815,-28.96992860632097,-26.84773263343495
64.5,-28.352691718358116,-29.388965230923695,-27.26849330807088
66,-28.762641515087857,-29.798189298303058,-27.679309873922115
67.5,-29.163187574909195,-30.1980661450293,-28.080657791462997
68.8,-29.503059730592707,-30.53740072655774,-28.42117616554171
70,-29.811041424468097,-30.844918844232055,-28.72971685462951
71.5,-30.18856935214375,-31.2219085315752,-29.107896142382558
73.2,-30.60685607935783,-31.63963680707425,-29.526861823810123
75,-31.039181100609447,-32.07142567019232,-29.959842355249418
76.5,-31.391534595876116,-32.423372458544414,-30.312696026733093
78,-31.73700440212248,-32.768469449075376,-30.658627053089354
80,-32.18739724174239,-33.21841417909883,-31.109578552487157
82,-32.626650659289155,-33.65727121096113,-31.549331165354737
84,-33.0553284698836,-34.08560018501302,-31.978453490998344
86,-33.47395307641803,-34.50391975783815,-32.39747221566261
88,-33.88300944005519,-34.91271151355614,-32.806876149770325
90,-34.282948582289386,-35.312423414861264,-33.207119787570925
92,-34.674190683260136,-35.703472857193155,-33.598626455299986
94,-35.05712783082428,-36.086249379470125,-33.98179110353801
96,-35.43212646649522,-36.46111707659695,-34.356982790867924
98,-35.79952956740385,-36.82841675215338,-34.724546898818346
100,-36.159658597653774,-37.18846784400898,-35.0848071121646
102,-36.512815257614896,-37.541570150882386,-35.43806719372149
104,-36.85928305565325,-37.88800538389992,-35.784612578623495
106,-37.19932872338989,-38.22803856387344,-36.12471180960663
108,-37.53320349270751,-38.5619192821996,-36.45861783186808
110,-37.86114425028763,-38.889882840896306,-36.78656916359013
112,-38.18337458339096,-39.212151285260866,-37.10879095609989
115,-38.65647195449757,-39.6853312297367,-37.581842966530544
118,-39.11785875003148,-40.146826623740644,-38.04314970633102
120,-39.41924873239108,-40.44830099495655,-38.344469411858135
122,-39.71587711043248,-40.7450216177446,-38.641015623248414
125,-40.15224159029982,-41.181535895393154,-39.07723761336867
128,-40.578762123789794,-41.60821532182064,-39.5035967779329
130,-40.85787462445693,-41.88743616494307,-39.78259357832004
132,-41.13295344277658,-42.162623347879425,-40.057551888977876
135,-41.53827961022103,-42.5681083869522,-40.46269153127998
138,-41.93520477356098,-42.965182696518944,-40.85942785217988
140,-42.19533687462106,-43.22540573751489,-41.11943541849168
142,-42.452001412123394,-43.48215215662737,-41.37597843679024
145,-42.83070853871887,-43.86096065934963,-41.75451270944368
148,-43.20214167659778,-44.23246300053802,-42.12578971339116
150,-43.44586570800918,-44.476211528475275,-42.36942209454571
155,-44.04211081881519,-45.07242451242711,-42.96549630054752
160,-44.62059607603973,-45.65071155168623,-43.54392096732753
165,-45.182338715148624,-46.212045198350964,-44.10575032276701
170,-45.7282336698318,-46.75727089915715,-44.65192023713233
175,-46.25906411304925,-47.28711720063119,-45.18325912106734
180,-46.775510253636625,-47.802204273090645,-45.700497042272055
185,-47.2781567065048,-48.30305109061838,-46.204273368277484
190,-47.76749870674115,-48.79008156100702,-46.695143191385846
195,-48.24394740290714,-49.26362986915015,-47.17358275313657
200,-48.707834439690984,-49.723945276349035,-47.63999405682075
205,-49.15941602255788,-50.17119660385963,-48.09470883549469
210,-49.59887664524345,-50.605476619294066,-48.53799202797699
215,-50.02633265314774,-51.026806536839686,-48.97004490508134
220,-50.44183581026814,-51.4351408342414,-49.39100798164163
