Frequency,Nominal,Min,Max
1.48,3.5300083237604636e-7,3.5123557747061194e-7,3.5489339917072306e-7
1.5,3.53385276038044e-7,3.515761456260112e-7,3.5532509218584245e-7
1.55,3.5436845590972596e-7,3.5244716401943903e-7,3.5642904679117594e-7
1.6,3.5538311354595976e-7,3.533461379065788e-7,3.5756825493815565e-7
1.65,3.56429183247037e-7,3.54273014411145e-7,3.5874263600222555e-7
1.7,3.5750659830805394e-7,3.552277397586383e-7,3.599521082667891e-7
1.75,3.5861529109411445e-7,3.562102593329267e-7,3.611965890206554e-7
1.8,3.597551931143718e-7,3.572205177323237e-7,3.624759946532304e-7
1.85,3.609262350946932e-7,3.5825845882501845e-7,3.6379024074714026e-7
1.9,3.6212834704873405e-7,3.5932402580371437e-7,3.651392421679825e-7
1.95,3.6336145834721605e-7,3.604171612393309e-7,3.6652291315091285e-7
2,3.6462549778520534e-7,3.615378071336334e-7,3.67941167383779e-7
2.05,3.659203936471945e-7,3.626859049706535e-7,3.693939180865277e-7
2.1,3.672460737697991e-7,3.638613957667659e-7,3.7088107808661895e-7
2.15,3.6860246560188187e-7,3.650642201192952e-7,3.72402559890192e-7
2.2,3.699894962619276e-7,3.662943182535235e-7,3.7395827574873767e-7
2.25,3.7140709259249695e-7,3.6755163006798e-7,3.7554813772104274e-7
2.3,3.728551812115932e-7,3.6883609517789056e-7,3.771720577301826e-7
2.35,3.743336885607817e-7,3.701476529566765e-7,3.7882994761534623e-7
2.4,3.7584254094991183e-7,3.7148624257538824e-7,3.805217191782935e-7
2.45,3.773816645982926e-7,3.7285180303997014e-7,3.8224728422424723e-7
2.5,3.789509856721854e-7,3.742442732262516e-7,3.840065545970398e-7
2.55,3.8055043031847806e-7,3.756635919125679e-7,3.857994422083387e-7
2.6,3.821799246944149e-7,3.7710969780991335e-7,3.876258590607871e-7
2.7,3.8552876746579095e-7,3.8008202590790496e-7,3.913789290496008e-7
2.75,3.8724796843747845e-7,3.8160812542890907e-7,3.933054067661649e-7
2.8,3.889969243213088e-7,3.831607668433058e-7,3.952650628856001e-7
2.85,3.90775561626091e-7,3.84739888885247e-7,3.972578099891826e-7
2.9,3.9258380696019536e-7,3.8634543034586797e-7,3.992835607521291e-7
2.95,3.9442158703061896e-7,3.879773300838531e-7,4.013422279202633e-7
3,3.9628882863730234e-7,3.8963552703291524e-7,4.034337242795853e-7
3.05,3.9818545866261893e-7,3.9131996020612706e-7,4.055579626186435e-7
3.1,4.0011140405596247e-7,3.9303056869704614e-7,4.077148556836214e-7
3.15,4.020665918133637e-7,3.9476729167757956e-7,4.099043161260578e-7
3.2,4.040509489520734e-7,3.965300683925336e-7,4.1212625644311777e-7
3.3,4.081068793602844e-7,4.0013354031313956e-7,4.1666722550680584e-7
3.4,4.1227861055419065e-7,4.0384049945480217e-7,4.213370570187214e-7
3.5,4.165655556533277e-7,4.0765046105733937e-7,4.261350375537809e-7
3.6,4.2096712389055295e-7,4.1156293981992147e-7,4.310604428557578e-7
3.7,4.25482718534086e-7,4.155774488856159e-7,4.3611253407077716e-7
3.9,4.348535553641375e-7,4.2391059497556313e-7,4.465937196574871e-7
4,4.3970755062861324e-7,4.2822823805194274e-7,4.5202122225423014e-7
4.1,4.446730718070612e-7,4.3264591982647225e-7,4.575722160613818e-7
4.2,4.4974944875750656e-7,4.371631220746823e-7,4.632458146922845e-7
4.32,4.5598644854174885e-7,4.4271438319182754e-7,4.7021465186003703e-7
4.45,4.629207407169618e-7,4.488880068097871e-7,4.77959936335318e-7
4.58,4.70038013115366e-7,4.5522655201049486e-7,4.859064479988205e-7
4.75,4.796182461119818e-7,4.637620520446816e-7,4.965973302971511e-7
4.88,4.871505462343638e-7,4.7047599603423844e-7,5.049979104289504e-7
5,4.942599922821769e-7,4.768157174596232e-7,5.129224652703059e-7
5.15,5.033551829289606e-7,4.849303591641454e-7,5.23053503492663e-7
5.3,5.12678096028467e-7,4.932535308571523e-7,5.334292163672654e-7
5.5,5.254549653375886e-7,5.046702153516502e-7,5.476321424938158e-7
5.65,5.352906541342877e-7,5.134676742323703e-7,5.585506128101041e-7
5.8,5.453367430057352e-7,5.224623008655402e-7,5.696873845108288e-7
6,5.590473118806457e-7,5.347544297434493e-7,5.848583134930211e-7
6.15,5.695573441303479e-7,5.441917600088043e-7,5.964629576569285e-7
6.3,5.802526512343406e-7,5.538101532043941e-7,6.082472541387333e-7
6.45,5.911237531151718e-7,5.636035664646492e-7,6.201966360136272e-7
6.6,6.021601331602227e-7,5.735652982892372e-7,6.322949855325435e-7
6.75,6.133501603673216e-7,5.83687930640027e-7,6.445245425762273e-7
6.88,6.231625898133375e-7,5.92584717832737e-7,6.552146099933729e-7
7,6.323062528848321e-7,6.008939135869433e-7,6.651449794858264e-7
7.15,6.438398703674253e-7,6.114032714619618e-7,6.776242715429915e-7
7.32,6.570316131186467e-7,6.234663554932024e-7,6.918275685286166e-7
7.5,6.711108016498495e-7,6.363975100990859e-7,7.068947599593093e-7
7.65,6.829072000943488e-7,6.472823906508629e-7,7.194382239008666e-7
7.8,6.947390223309399e-7,6.582514216537265e-7,7.319377746322972e-7
8,7.105304643405335e-7,6.729814059199104e-7,7.484794410330031e-7
8.2,7.262865257439144e-7,6.877949648251385e-7,7.648044102413496e-7
8.4,7.419448551717623e-7,7.026493782128732e-7,7.81735342619814e-7
8.6,7.574389214576489e-7,7.174982307391846e-7,7.984166537925604e-7
8.8,7.726984872505272e-7,7.322914964901291e-7,8.147418816985203e-7
