Frequency,Nominal,Min,Max
1.48,0.012297386562649762,0.013052242899556109,0.011557549003243064
1.5,0.012300628591029199,0.013056110926888687,0.011560245712875585
1.55,0.012308928075648774,0.013066013517460005,0.011567148828781005
1.6,0.012317505745567576,0.013076248883924028,0.011574282767582272
1.65,0.012326362179630382,0.013086817796914164,0.011581647958357592
1.7,0.012335497973598772,0.013097721049275582,0.011589244842877553
1.75,0.012344913739996343,0.013108959455822822,0.011597073875507657
1.8,0.012354610107945793,0.01312053385308527,0.01160513552310612
1.85,0.01236458772299863,0.013132445099039717,0.01161343026491695
1.9,0.012374847246956196,0.013144694072829465,0.011621958592457857
1.95,0.012385389357682478,0.013157281674469754,0.011630721009403246
2,0.012396214748907978,0.013170208824538641,0.011639718031461835
2.05,0.012407324130024476,0.013183476463853042,0.011648950186248678
2.1,0.012418718225870306,0.013197085553129232,0.011658418013151638
2.15,0.012430397776505796,0.013211037072627163,0.011668122063191915
2.2,0.012442363536978652,0.01322533202177818,0.011678062898878521
2.25,0.012454616277078672,0.01323997141879528,0.011688241094056386
2.3,0.012467156781081554,0.013254956300265438,0.011698657233748168
2.35,0.0124799858474815,0.013270287720723178,0.011709311913989084
2.4,0.012493104288712016,0.01328596675220477,0.011720205741654985
2.45,0.0125065129308546,0.013301994483782352,0.011731339334283148
2.5,0.01252021261333494,0.013318372021077161,0.011742713319885714
2.55,0.012534204188605987,0.0133351004857512,0.011754328336755342
2.6,0.012548488521817664,0.013352181014976386,0.01176618503326305
2.7,0.012577938984067834,0.0133874028899696,0.011790626107797561
2.75,0.012593106903720466,0.013405546582524039,0.011803211831021823
2.8,0.012608571161779552,0.013424047031970743,0.01181604192381476
2.85,0.012624332681420766,0.013442905444227087,0.011829117081609344
2.9,0.012640392396225138,0.01346212303701802,0.011842438008521692
2.95,0.01265675124974066,0.01348170103916421,0.011856005417085527
3,0.012673410195026264,0.013501640689840815,0.01186982002797631
3.05,0.012690370194177748,0.01352194323780556,0.011883882569724826
3.1,0.012707632217834799,0.013542609940595243,0.011898193778419903
3.15,0.012725197244668677,0.013563642063689565,0.011912754397399654
3.2,0.012743066260849993,0.013585040879641196,0.011927565176931434
3.3,0.012779720240094909,0.013628943710227702,0.011957940251360514
3.4,0.012817602173371348,0.013674328718947224,0.01198932512949323
3.5,0.01285672016080905,0.013721206243813537,0.012021726027403406
3.6,0.012897082363920896,0.013769586639811964,0.012055149236939372
3.7,0.012938696983072736,0.013819480241765613,0.012089601112294485
3.9,0.013025716318183035,0.01392384805912718,0.012161616501535166
4,0.013071137402248967,0.013978342468318587,0.01219919290074409
4.1,0.013117843580847667,0.014034390375326196,0.012237823702253193
4.2,0.013165842848343797,0.014092001351643513,0.012277515334573821
4.32,0.013225159900799352,0.01416321079147532,0.012326554580035284
4.45,0.01329154942524676,0.014242927083167909,0.012381427312159899
4.58,0.013360169316910087,0.014325336727256822,0.012438130076387142
4.75,0.013453293959398586,0.01443719460980504,0.012515063172556172
4.88,0.013527118225717486,0.014525880198974626,0.012576039009030334
5,0.01359728491608401,0.014610176418660643,0.012633985726578381
5.15,0.013687736145303981,0.014718842276793518,0.012708675889311098
5.3,0.013781249135333068,0.014831178933292912,0.012785888586419126
5.5,0.01391071601757343,0.014986677266445083,0.012892787416869365
5.65,0.014011412988982064,0.01510758292245188,0.012975938487706827
5.8,0.0141151957849308,0.015232144863337991,0.013061651580850129
6,0.014258366988692017,0.015403875246858595,0.01317993140938979
6.15,0.014369328166277166,0.01553686480620886,0.013271641177114938
6.3,0.014483341287584599,0.015673395919685265,0.013365920450503506
6.45,0.014600381202461593,0.015813408779057955,0.013462763010922793
6.6,0.014720414525504164,0.015956829832444123,0.013562157922659397
6.75,0.014843398848828272,0.016103570615252298,0.013664089038840607
6.88,0.014952332186299395,0.01623335088439775,0.013754464098090386
7,0.015054783820589576,0.016355224056424537,0.013839548013428344
7.15,0.015185352785786662,0.016510259076234886,0.01394811814398989
7.32,0.015336596199911973,0.016689400816118458,0.014074092032145455
7.5,0.015500367036137682,0.016882786136233004,0.014210791247498779
