Frequency,Nominal,Min,Max
1.48,-6.552047560579794,-6.954235016883495,-6.157862108927905
1.5,-6.6423394391557675,-7.0502999005198905,-6.242532684952816
1.55,-6.868381866212015,-7.290835542742682,-6.454469046459801
1.6,-7.094883309446924,-7.53191935714024,-6.666786874127388
1.65,-7.321859134700447,-7.773569771367014,-6.879498887264409
1.7,-7.549324759842449,-8.015805282156656,-7.092617843841062
1.75,-7.777295656197696,-8.258644457168378,-7.306156541569824
1.8,-8.005787349948873,-8.502105936799255,-7.520127818972766
1.85,-8.234815423517087,-8.746208435960451,-7.734544556434689
1.9,-8.464395516918039,-8.990970745815353,-7.949419677241174
1.95,-8.694543329093099,-9.236411735477766,-8.164766148601078
2,-8.925274619213743,-9.482550353667822,-8.380596982652522
2.05,-9.156605207958062,-9.729405630323543,-8.596925237451524
2.1,-9.388550978757952,-9.9769966781657,-8.813764017942638
2.15,-9.621127879015487,-10.225342694213424,-9.031126476910542
2.2,-9.854351921287094,-10.474462961248319,-9.249025815911791
2.25,-10.088239184433725,-10.724376849224177,-9.467475286185673
2.3,-10.322805814735526,-10.97510381661978,-9.686488189543482
2.35,-10.55806802696935,-11.226663411731808,-9.906077879234765
2.4,-10.794042105447181,-11.479075273904922,-10.126257760789906
2.45,-11.030744405013758,-11.732359134696035,-10.347041292837737
2.5,-11.268191352001447,-11.986534818969444,-10.568441987897142
2.55,-11.506399445140294,-12.2416222459196,-10.790473413141402
2.6,-11.745385256421335,-12.497641430017898,-11.013149191134215
2.7,-12.225756692513935,-13.01255560905045,-11.46048857677923
2.75,-12.46717583468326,-13.271491116698797,-11.685179712711605
2.8,-12.709439731073788,-13.53143940822651,-11.91057025920528
2.85,-12.952565331137707,-13.792420985776992,-12.136674125731188
2.9,-13.196569661659044,-14.054456450646812,-12.363505280896648
2.95,-13.441469827224582,-14.317566503592392,-12.591077752944832
3,-13.687283010628365,-14.58177194502808,-12.819405630214414
3.05,-13.934026473207165,-14.847093675110502,-13.04850306155786
3.1,-14.181717555103635,-15.11355269370429,-13.278384256716611
