Frequency,Nominal,Min,Max
1.48,-0.11435480267938003,-0.12137429800210044,-0.10747496868459365
1.5,-0.1159306932483417,-0.12305094651710076,-0.10895274901578852
1.55,-0.11987587784967234,-0.12724908544228758,-0.11265173632878238
1.6,-0.12382907379464053,-0.13145679177679187,-0.1163573814822637
1.65,-0.1277905492677458,-0.1356743871438572,-0.12006990647005014
1.7,-0.13176057336158092,-0.1399021943723867,-0.12378953396072755
1.75,-0.13573941610170273,-0.144140537529168,-0.12751648731651538
1.8,-0.13972734847111934,-0.14838974195050392,-0.13125099061189485
1.85,-0.14372464243438446,-0.1526501342732135,-0.13499326865198968
1.9,-0.14773157096126716,-0.1569220424649681,-0.13874354699068342
1.95,-0.15174840804998346,-0.16120579585393058,-0.14250205194846544
2,-0.15577542874996297,-0.16550172515765624,-0.1462690106299886
2.05,-0.15981290918412827,-0.16981016251122008,-0.1500446509413244
2.1,-0.16386112657066246,-0.1741314414945285,-0.1538292016069036
2.15,-0.1679203592442389,-0.17846589715877198,-0.1576228921861246
2.2,-0.17199088667668888,-0.18281386605197839,-0.1614259530896157
2.25,-0.17607298949707598,-0.18717568624361736,-0.16523861559513242
2.3,-0.1801669495111507,-0.19155169734821112,-0.16906111186307832
2.35,-0.18427304972015662,-0.19594224054789985,-0.17289367495162386
2.4,-0.18839157433895426,-0.2003476586139108,-0.17673653883141222
2.45,-0.19252280881343298,-0.2047682959268787,-0.1805899383998293
2.5,-0.19666703983717657,-0.20920449849595926,-0.18445410949481983
2.55,-0.20082455536734678,-0.21365661397668,-0.18832928890822784
2.6,-0.20499564463975073,-0.2181249916874648,-0.19221571439864235
2.7,-0.21337970783210014,-0.2271119394767864,-0.2000232595519965
2.75,-0.21759326674029517,-0.231631216635573,-0.2039448596740626
2.8,-0.22182156939102027,-0.23616817020766567,-0.20787866681324657
2.85,-0.22606491160802258,-0.2407231580229705,-0.21182492373561349
2.9,-0.2303235905647444,-0.2452965396419428,-0.21578387423935289
2.95,-0.23459790479254228,-0.24988867636093978,-0.21975576316349646
3,-0.23888815418774698,-0.2544999312156776,-0.2237408363959402
3.05,-0.24319464001751848,-0.25913066898270354,-0.22773934088074496
3.1,-0.2475176649244388,-0.26378125617879794,-0.23175152462468485
3.15,-0.2518575329297928,-0.2684520610582144,-0.2357776367030086
3.2,-0.2562145494354835,-0.27314345360766595,-0.23981792726439188
3.3,-0.2649812564600187,-0.2825894902791851,-0.24794204982188317
3.4,-0.27382025680659994,-0.29212236039427236,-0.25612591508854493
3.5,-0.28273404324520246,-0.30174508513768505,-0.2643715631981182
3.6,-0.29172513029210184,-0.3114607120603303,-0.2726810516210208
3.7,-0.3007960538789384,-0.3212723142693051,-0.28105645509019356
3.9,-0.31918765860499837,-0.3411958584235847,-0.2980133914445944
4,-0.328513513895745,-0.3513140640626551,-0.3065991583736191
4.1,-0.33792955240115463,-0.3615407691460358,-0.3152593077191905
4.2,-0.34743840743366655,-0.3718791545338858,-0.32399599662723844
4.32,-0.3589752832148295,-0.3844371367331356,-0.3345841150218357
4.45,-0.37163404285970963,-0.39823472830184914,-0.3461868696550543
4.58,-0.3844654415547597,-0.41224005322255874,-0.3579319287429284
4.75,-0.4015153099595901,-0.4308799529837919,-0.37351368996008905
4.88,-0.4147677455634294,-0.4453917295554355,-0.3856058075973968
5,-0.4271713040113683,-0.45899222904515113,-0.3969083674417695
5.15,-0.4429133005791334,-0.4762782496910503,-0.41123247295034887
5.3,-0.45892775303304234,-0.49389134147763236,-0.4257813687187462
5.5,-0.48071983571680804,-0.5179023872218353,-0.4455427485644489
5.65,-0.4974051188723648,-0.53631914820621,-0.4606457771984649
5.8,-0.5143926664302745,-0.5550970550525064,-0.47599890834172
6,-0.5375277718063447,-0.5807124157481355,-0.496871708286676
6.15,-0.5552536823916261,-0.6003691541205438,-0.5128373122041803
6.3,-0.5733095582152198,-0.6204167610239021,-0.5290774964466691
6.45,-0.5917030091959037,-0.6408628261456605,-0.5455992741005473
6.6,-0.6104412089307888,-0.6617141437656935,-0.5624094391957981
6.75,-0.6295308225000582,-0.6829765984094547,-0.5795145235226493
6.88,-0.6463641244390504,-0.7017404041303942,-0.5945823054972443
7,-0.6621439755300537,-0.7193403244086973,-0.6086951131518558
7.15,-0.6821985563821525,-0.7417196733055214,-0.6266160685436244
7.32,-0.705374787627771,-0.7675942173121747,-0.6473085389237335
7.5,-0.730437588130133,-0.7955825534657582,-0.6696677607726044
7.65,-0.7517367861143377,-0.8193686387659249,-0.6886584575036326
7.8,-0.7734127049579126,-0.8435708977893657,-0.7079780426024681
8,-0.8028987686404703,-0.8764772461650256,-0.7342531907929407
8.2,-0.8330482897965155,-0.9100924753841464,-0.7611207706288965
8.4,-0.8638515086933848,-0.9443896302134323,-0.7885814094303658
8.6,-0.8952936324993295,-0.9793345132043475,-0.8166325467373319
8.8,-0.927354501078792,-1.0148854917690986,-0.8452681268792862
9,-0.9600083149593567,-1.0509934562610659,-0.8744783063379854
9.2,-0.9932234434223585,-1.0876019511780588,-0.9042491858666207
9.4,-1.0269623303157438,-1.1246474961170447,-0.9345625783041572
9.6,-1.0611815137255083,-1.1620601055623077,-0.9653958236637878
9.8,-1.0958317729472529,-1.1997640072957343,-0.996721663258179
10,-1.130858412240489,-1.2376785487429998,-1.0285081842370798
10.2,-1.1662016857119326,-1.2757192697028303,-1.060718844860585
10.4,-1.2017973615805237,-1.313799109590784,-1.0933125890548934
10.6,-1.2375774173797367,-1.3518297085494355,-1.1262440562878089
10.8,-1.2734708508182446,-1.3897227554300882,-1.159463889611918
11,-1.3094045845863094,-1.4273913324143348,-1.192919140976879
11.2,-1.3453044379154937,-1.4647512062712962,-1.2265537688002317
11.5,-1.398928433376624,-1.5200377397719969,-1.2772134251171714
11.8,-1.45206348608622,-1.5742005623011341,-1.3279397559129913
12,-1.4870990010434595,-1.609575557739737,-1.3616912673918873
12.2,-1.5217478138098341,-1.644297211346549,-1.3953179331453043
12.5,-1.5728645209053365,-1.6950498845785138,-1.4453917238258194
12.8,-1.6227921026046486,-1.744090744791039,-1.494852239848766
13,-1.6553384051504128,-1.7757842316203702,-1.527394298558374
13.2,-1.687247446915154,-1.8066528362313712,-1.5595323267888628
13.5,-1.733845415737679,-1.851380427800429,-1.6068823886552224
13.8,-1.7788491478178015,-1.8941996840870268,-1.6530838549997275
14,-1.8079353822723145,-1.921686171482581,-1.6831893379951905
14.2,-1.8362746628271824,-1.9483316048059578,-1.7127049550734035
14.5,-1.8773695422389836,-1.98674522662006,-1.7558220555896817
14.8,-1.9167644175606606,-2.0233351960075856,-1.7974989510458086
15,-1.9420889427114212,-2.046743469901242,-1.8244628107144858
15.5,-2.0021748002721504,-2.1019596078003704,-1.8889539996983011
16,-2.057808620776045,-2.1527248974129565,-1.9492724786970614
16.5,-2.109236911616538,-2.199392891090726,-2.0054997450325063
17,-2.156742653427486,-2.2423183103526343,-2.0577927154381808
17.5,-2.200623833935764,-2.281843341994832,-2.1063579896352733
18,-2.2411783000483076,-2.318289520352581,-2.1514308822757227
18.5,-2.278693753495684,-2.3519535705718937,-2.193259385373831
19,-2.3134416638394724,-2.383105917378944,-2.232092579569136
19.5,-2.3456740121337933,-2.411990894239322,-2.2681727317843094
20,-2.37562198704484,-2.4388279686379555,-2.301730267178453
20.5,-2.4034959658179984,-2.4638135175313884,-2.332980877161603
21,-2.4294862949523095,-2.487122847329702,-2.362124149861576
