Freq.	V(out)	frequency
1.50000000000000e+00	(6.73002146773752e-02dB,-6.63096340257128e+00°)	(3.52182518111362e+00dB,0.00000000000000e+00°)
1.53493948842113e+00	(7.04541762959273e-02dB,-6.78859161205597e+00°)	(3.72182518111362e+00dB,0.00000000000000e+00°)
1.57069282207635e+00	(7.37549362957244e-02dB,-6.95012007241140e+00°)	(3.92182518111362e+00dB,0.00000000000000e+00°)
1.60727895785641e+00	(7.72092285738296e-02dB,-7.11565618485600e+00°)	(4.12182518111362e+00dB,0.00000000000000e+00°)
1.64471729421478e+00	(8.08240855882064e-02dB,-7.28531106047267e+00°)	(4.32182518111362e+00dB,0.00000000000000e+00°)
1.68302768145295e+00	(8.46068504648614e-02dB,-7.45919969593860e+00°)	(4.52182518111362e+00dB,0.00000000000000e+00°)
1.72223043224532e+00	(8.85651894635465e-02dB,-7.63744116007970e+00°)	(4.72182518111362e+00dB,0.00000000000000e+00°)
1.76234633240929e+00	(9.27071047949383e-02dB,-7.82015879202314e+00°)	(4.92182518111362e+00dB,0.00000000000000e+00°)
1.80339665192612e+00	(9.70409477791631e-02dB,-8.00748041178115e+00°)	(5.12182518111362e+00dB,0.00000000000000e+00°)
1.84540315621857e+00	(1.01575432331804e-01dB,-8.19953854416372e+00°)	(5.32182518111362e+00dB,0.00000000000000e+00°)
1.88838811769125e+00	(1.06319648759392e-01dB,-8.39647065698752e+00°)	(5.52182518111362e+00dB,0.00000000000000e+00°)
1.93237432753970e+00	(1.11283077841243e-01dB,-8.59841941462449e+00°)	(5.72182518111362e+00dB,0.00000000000000e+00°)
1.97738510783461e+00	(1.16475605169273e-01dB,-8.80553294801419e+00°)	(5.92182518111362e+00dB,0.00000000000000e+00°)
2.02344432388748e+00	(1.21907535710501e-01dB,-9.01796514235290e+00°)	(6.12182518111362e+00dB,0.00000000000000e+00°)
2.07057639690433e+00	(1.27589608549716e-01dB,-9.23587594376794e+00°)	(6.32182518111362e+00dB,0.00000000000000e+00°)
2.11880631693413e+00	(1.33533011761253e-01dB,-9.45943168638812e+00°)	(6.52182518111362e+00dB,0.00000000000000e+00°)
2.16815965611889e+00	(1.39749397348864e-01dB,-9.68880544133361e+00°)	(6.72182518111362e+00dB,0.00000000000000e+00°)
2.21866258225231e+00	(1.46250896181408e-01dB,-9.92417738926827e+00°)	(6.92182518111362e+00dB,0.00000000000000e+00°)
2.27034187265431e+00	(1.53050132839342e-01dB,-1.01657352182881e+01°)	(7.12182518111362e+00dB,0.00000000000000e+00°)
2.32322492836872e+00	(1.60160240271992e-01dB,-1.04136745490599e+01°)	(7.32182518111362e+00dB,0.00000000000000e+00°)
2.37733978869167e+00	(1.67594874148810e-01dB,-1.06681993892752e+01°)	(7.52182518111362e+00dB,0.00000000000000e+00°)
2.43271514603839e+00	(1.75368226768357e-01dB,-1.09295226196512e+01°)	(7.72182518111362e+00dB,0.00000000000000e+00°)
2.48938036115634e+00	(1.83495040366722e-01dB,-1.11978665138811e+01°)	(7.92182518111362e+00dB,0.00000000000000e+00°)
2.54736547869261e+00	(1.91990619641598e-01dB,-1.14734632951332e+01°)	(8.12182518111362e+00dB,0.00000000000000e+00°)
2.60670124312406e+00	(2.00870843279382e-01dB,-1.17565557318977e+01°)	(8.32182518111362e+00dB,0.00000000000000e+00°)
2.66741911505838e+00	(2.10152174239356e-01dB,-1.20473977762008e+01°)	(8.52182518111362e+00dB,0.00000000000000e+00°)
2.72955128791497e+00	(2.19851668511374e-01dB,-1.23462552474438e+01°)	(8.72182518111362e+00dB,0.00000000000000e+00°)
2.79313070499430e+00	(2.29986982019720e-01dB,-1.26534065653730e+01°)	(8.92182518111362e+00dB,0.00000000000000e+00°)
2.85819107694487e+00	(2.40576375296634e-01dB,-1.29691435359603e+01°)	(9.12182518111362e+00dB,0.00000000000000e+00°)
2.92476689963707e+00	(2.51638715491990e-01dB,-1.32937721942587e+01°)	(9.32182518111362e+00dB,0.00000000000000e+00°)
2.99289347245332e+00	(2.63193475220827e-01dB,-1.36276137086021e+01°)	(9.52182518111362e+00dB,0.00000000000000e+00°)
