Frequency,Nominal,Min,Max
2.45,1637430.100332851,1542612.3640477776,1741400.1164174424
2.5,1598835.7129418517,1505702.2102411455,1700955.9663864155
2.55,1561700.9398031374,1470190.2715672823,1662040.2139811518
2.6,1525944.1688582208,1435998.7325767365,1624567.0164097878
2.7,1458268.2864193209,1371294.2319667668,1553636.6286496636
2.75,1426214.4050520184,1340652.7122961301,1520037.7324201686
2.8,1395268.0257106987,1311073.5622833061,1487596.9673322223
2.85,1365373.094842363,1282503.283770018,1456255.4200695807
2.9,1336477.3945638256,1254892.0279073846,1425958.2190705095
2.95,1308532.216514855,1228193.2848936368,1396654.1909081845
3,1281492.0684175368,1202363.6048509462,1368295.5511042352
3.05,1255314.4095865788,1177362.3462643677,1340837.6254230798
3.1,1229959.412119718,1153151.4488672593,1314238.5982045478
3.15,1205389.7449124518,1129695.2282530922,1288459.284729311
3.2,1181570.3779983618,1106960.1898334697,1263462.9249872013
3.3,1136052.8819297138,1063529.6330411602,1215683.0444663914
3.4,1093166.3528151535,1022629.5772719501,1170646.6722816688
3.5,1052697.2204796502,984055.5258386978,1128129.96928159
3.6,1014455.1592122343,947625.1165090909,1087933.5800907514
3.7,978269.9436833141,913175.1338736729,1049879.3168697613
3.9,911474.1909382773,849644.6329670155,979573.9455694105
4,880601.8766224587,820312.6792570241,947049.2704169984
4.1,851259.3374743117,792454.940869263,916115.8763578491
4.2,823344.3679006014,765973.0766464177,886667.1417084454
4.32,791600.3224079488,735885.3644652527,853152.3978561185
4.45,759211.4445110556,705218.5879676241,818924.6060082889
4.58,728741.8430804377,676401.6980860098,786692.0235521783
4.75,691547.9391016547,641272.8971189157,747297.4768462497
4.88,664965.7813361102,616202.139063349,719106.0936544182
5,641746.9476036426,594330.0708432824,694454.1543922311
5.15,614373.9780875792,568579.5317291274,665355.6047642706
5.3,588698.6649198021,544463.2796871772,638022.8109275143
5.5,556879.9592971955,514631.9973839202,604091.9093939951
5.65,534676.1195137721,493855.02734890225,580371.8893179116
5.8,513779.33852580504,474334.1666963844,558013.123649499
6,487789.4040896253,450104.5648934487,530152.61724806
6.15,469592.5764101883,433175.7043782776,510608.18553826486
6.3,452422.0488253602,417230.95377446496,492134.6011962427
6.45,436209.11441765085,402203.7477462914,474660.8211708321
6.6,420890.87272988935,388033.1506329306,458121.80908152444
6.75,406409.62152743357,374663.26808888937,442457.90285074216
6.88,394495.1318743823,363683.9137485779,429547.8785467647
7,383992.04700156534,354021.83350862784,418149.1008894617
7.15,371494.7011510653,342546.93646692776,404562.29160178086
7.32,358129.119847269,330303.0306461433,390000.76545114955
7.5,344840.62956677045,318161.17411412444,375488.7935856697
7.65,334401.1058754418,308646.35521628545,364061.8166701156
7.8,324502.65578200103,299645.72438169504,353203.8774379839
8,312093.4489128993,288393.48279111483,339557.00887528295
8.2,300524.38995706855,277937.48847564304,326795.7597051529
8.4,289734.2263790887,268218.4425108298,314856.7380620784
8.6,279667.02401589084,259182.18681650428,303682.0566214315
8.8,270271.59243100666,250779.14704837603,293218.7408406524
9,261500.98295307806,242963.84699509534,283418.21154729114
9.2,253312.04912686345,235694.48443441046,274235.8312142358
9.4,245665.06097780014,228932.55998492768,265630.5050404881
9.6,238523.36584602608,222642.5517756221,257564.32939500464
9.8,231853.08964906033,216791.62980694685,250002.28135172042
10,225622.87333585374,211349.40474451458,242911.94400060197
10.2,219803.6400392816,206287.70660750673,236263.26300522676
10.4,214368.38905142117,201580.38941948288,230028.33052566665
10.6,209292.01326153323,197203.15840279398,224181.19316306277
10.8,204551.13713071556,193133.4167377921,218697.6810305067
11,200123.97264575717,189350.12928875803,213555.25543073643
11.2,195990.1910104819,185833.70103086988,208732.87293837042
11.5,190298.42587877397,181019.8073949626,202056.70145145062
11.8,185165.42090598497,176709.01267525935,195995.51645348655
12,182027.30049370616,174089.28465071923,192268.78479291347
12.2,179099.18898241527,171656.58844876642,188775.47417137775
12.5,175071.2607113421,168100.01250036107,183942.29554687708
12.8,171443.0970764608,164901.78735357444,179558.09912489896
13,169227.30489787174,162961.73740950035,176864.6074799885
13.2,167161.57634946558,161121.87960814862,174341.52251487007
13.5,164323.06096345608,158378.8284325073,170907.14353795812
13.8,161769.7290630288,155933.03795850114,168065.96846863985
14,160212.17346972972,154452.8721307962,166417.91093546126
14.2,158761.47781298478,153083.46744052344,164873.6623505953
14.5,156770.48463555516,151220.59718832196,162737.61275744298
14.8,154982.22625423875,149566.47134806894,160799.86438383575
15,153892.81034573526,148569.10154741266,159608.9481323438
15.5,151490.1807022686,146403.03199536668,156948.502892671
16,149487.45948100908,144642.08162840674,154685.6051951869
16.5,147821.28449737778,143218.78932014576,152760.40670220726
17,146438.28692089478,142076.61099051312,151122.24108943457
17.5,145293.55641243796,141168.2394085284,149728.22085565818
18,144349.3237449033,140454.15123391178,148542.04005465232
18.5,143573.8353555879,139901.35998051974,147532.9551723125
19,142940.39626065624,139482.35323387006,146674.91984646878
19.5,142426.55954394327,139174.19253400827,145945.8519899799
20,142013.44245753213,138953.62016855163,145327.01439497713
20.5,141685.15108678595,138614.36459607887,144802.49218636163
21,141428.29749533423,138354.9574849419,144384.11964582826
21.5,141231.59520651327,138162.60948586132,144177.55358030033
22,141085.52073193874,138026.52987507416,144017.30686062886
22.5,140982.03057721045,137937.60866103665,143896.1956235538
23,140914.3247104039,137888.14979246052,143808.13862328476
23.5,140876.64885887213,137871.6474057127,143747.98168315314
24,140864.1292044623,137882.5982221073,143711.3511871277
24.5,140872.63408547387,137916.34424688286,143694.5316805005
25,140898.6581995006,137968.9408318641,143694.36349009012
25.5,140939.2255510315,138037.04594961548,143708.15697634764
26,140991.80801826203,138117.82719869763,143733.6206134302
27,141124.7455743865,138308.17996141422,143812.02992068746
27.5,141201.72060950712,138413.99116330064,143861.8857491816
28,141283.86128489638,138524.8557112328,143917.15307563602
28.5,141370.04484064382,138639.53611338628,143976.79426731693
29,141459.317294484,138756.9855309554,144039.92317596736
29.5,141550.86868222384,138876.31951672284,144105.7831989779
30,141644.01205047657,138996.79205562943,144173.72864485797
30.5,141738.16560764812,139117.7752262646,144243.20888081592
