Frequency,Nominal,Min,Max
2.45,-99.98348709208885,-101.54671015343362,-98.39198567472646
2.5,-100.12075880237539,-101.70921274878518,-98.50356665232941
2.55,-100.25449756984905,-101.8678620335406,-98.61195021453338
2.6,-100.38467474713757,-102.02262937264662,-98.71710850292106
2.7,-100.6342378355425,-102.32041259720887,-98.91764508430397
2.75,-100.75357446115486,-102.46338002349806,-99.01297485936736
2.8,-100.8692508670513,-102.6023685086988,-99.1049822821535
2.85,-100.98124623973628,-102.73735799763618,-99.19364656551667
2.9,-101.08954124216213,-102.86833003312371,-99.27894827007215
2.95,-101.19411798211702,-102.99526771531595,-99.36086928045395
3,-101.29495998015986,-103.11815566073004,-99.43939278104477
3.05,-101.3920521371879,-103.23697996103854,-99.51450323125124
3.1,-101.48538070172515,-103.35172814173961,-99.58618634039303
3.15,-101.57493323701291,-103.46238912079818,-99.65442904227288
3.2,-101.66069858797954,-103.5689531673534,-99.7192194694931
3.3,-101.82082932668082,-103.76975804876363,-99.83840186896032
3.4,-101.96570805536324,-103.95409040563437,-99.9436615893777
3.5,-102.0952883102795,-104.12191687423082,-100.03494419699392
3.6,-102.20954098904991,-104.27322184411057,-100.1122119411369
3.7,-102.30845333399033,-104.40800623106678,-100.17544292940099
3.9,-102.4602818073634,-104.62809249299812,-100.25978150787907
4,-102.51324539824905,-104.71346841738065,-100.28091739295768
4.1,-102.55096177635625,-104.78246974648641,-100.28807159339227
4.2,-102.57348575659886,-104.83516328638295,-100.28128974722152
4.32,-102.58055390366685,-104.8769783692479,-100.25483691671795
4.45,-102.56378555784332,-104.89607888273544,-100.20376487591584
4.58,-102.52180485897806,-104.88814194925108,-100.12955538263789
4.75,-102.42923209328406,-104.83736224624471,-99.99794354365488
4.88,-102.3299420532651,-104.76796447876353,-99.87115947739194
5,-102.21662138806754,-104.68065625626781,-99.73426471815235
5.15,-102.0460696214275,-104.5404944645804,-99.53667225280476
5.3,-101.84384089121238,-104.36629828047744,-99.31009115921273
5.5,-101.52578171547577,-104.08194649425127,-98.96373529312045
5.65,-101.25159769096996,-103.83028160100683,-98.67145686247923
5.8,-100.94747289923922,-103.54629472322308,-98.35192113479157
6,-100.49638776610973,-103.1183242838683,-97.88447115063677
6.15,-100.12465593583985,-102.76109693719803,-97.50361249230951
6.3,-99.72496527368912,-102.37345404991306,-97.097502231728
6.45,-99.29795372378918,-101.95600375227555,-96.66678821778831
6.6,-98.84427862871945,-101.50937145212939,-96.21213787908562
6.75,-98.36461660893255,-101.03420046503838,-95.73423742912664
6.88,-97.92842635406687,-100.59981215639165,-95.3017941866846
7,-97.50932990396016,-100.18063629574127,-94.88799046999499
7.15,-96.9638237349287,-99.6326518870307,-94.35157965031195
7.32,-96.31740744194323,-98.9801946713226,-93.71880356641414
7.5,-95.60153228987146,-98.2541359287931,-93.02122599065405
7.65,-94.98123621349507,-97.62234790013775,-92.41919771488075
7.8,-94.34022831342692,-96.96709482208618,-91.79631177835326
8,-93.45476907436071,-96.10882758857498,-90.85148012995906
8.2,-92.5359814520074,-95.25489593516205,-89.87643039017138
8.4,-91.58593526339249,-94.3668577712722,-88.87347586196832
8.6,-90.6067503027712,-93.44656981197977,-87.84496526998416
8.8,-89.60059127229695,-92.49594349296598,-86.7932744587883
9,-88.56966161838919,-91.51694212885793,-85.65738714457231
9.2,-87.51619629857208,-90.51157698631937,-84.48756470699153
9.4,-86.4424535431969,-89.48190225038465,-83.30204817702874
9.6,-85.35070571406287,-88.4300088978604,-82.10352651283374
9.8,-84.24322939613462,-87.42517425027462,-80.89465513110441
10,-83.12229488797169,-86.41359166817793,-79.67804101322108
10.2,-81.99015527993244,-85.38613341901971,-78.4562280976931
10.4,-80.84903532573082,-84.34469588535913,-77.23168327359609
10.6,-79.70112032184596,-83.2911708051443,-76.00678326784693
10.8,-78.54854521032428,-82.22743722551117,-74.78380268648088
11,-77.393384113781,-81.15535329966725,-73.56490342862107
11.2,-76.23764049739266,-80.076748066733,-72.35212564400979
11.5,-74.50711729439742,-78.4505202826415,-70.54858035257344
11.8,-72.78570631834704,-76.81949015615527,-68.76895354062879
12,-71.64595859310299,-75.73223085501748,-67.59840626434402
12.2,-70.51430505249151,-74.64688720959194,-66.44215723459419
12.5,-68.83509148119374,-73.02571937847945,-64.73721248664503
12.8,-67.18161874132537,-71.41694359716215,-63.070661159791285
13,-66.09549355693078,-70.35345988761469,-61.982391857573226
13.2,-65.02348108430488,-69.29858332951665,-60.91315558817531
13.5,-63.443803339705184,-67.73475698913414,-59.34620539469749
13.8,-61.900320430396285,-66.19601072711248,-57.82480124661173
14,-60.892446270392945,-65.18553921065872,-56.836327123226276
14.2,-59.902030323514765,-64.18822823875357,-55.868700744245245
14.5,-58.44996284256773,-62.71834739470762,-54.45652493932372
14.8,-57.03898779977643,-61.281403573664186,-53.09143577876854
15,-56.1214707366024,-60.3424892602151,-52.20738745708441
15.5,-53.90919506949678,-58.064318694723575,-50.087028563000395
16,-51.81301178463012,-55.887594665474,-48.09172531754832
16.5,-49.83096395614252,-53.81387793777171,-46.2164659788154
17,-47.95972560416514,-51.84293136969747,-44.45540101864498
17.5,-46.1950002341023,-49.97309884211041,-42.80220074215325
18,-44.53185078817075,-48.20164695061979,-41.25032927412294
18.5,-42.964964020363105,-46.525061282201214,-39.79324740852619
19,-41.48885596775281,-44.93929495205504,-38.424557280029646
19.5,-40.09802685866752,-43.43997108628628,-37.138100946193084
20,-38.787074117289684,-42.02254336554974,-35.92802344234217
20.5,-37.55077162557405,-40.682419957293405,-34.78880912877066
21,-36.38412247842454,-39.41505652136417,-33.71529845148316
21.5,-35.282391380631886,-38.216023783362914,-32.70269071626185
22,-34.24112174661931,-37.08105466858179,-31.746537183928773
22.5,-33.256141566017504,-36.00607534374221,-30.842727737621836
23,-32.32356123024115,-34.987223833411385,-29.987473531437303
23.5,-31.43976578822589,-34.020859228427405,-29.17728737410713
24,-30.601403506966502,-33.10356391953224,-28.40896309929171
24.5,-29.80537213975352,-32.23214078496091,-27.679554795307496
25,-29.04880393424336,-31.4036068377083,-26.98635648523113
25.5,-28.329050125888706,-30.615184491307794,-26.326882641278985
26,-27.643665443509324,-29.86429132352014,-25.698849767327594
27,-26.36714972854317,-28.465671810166878,-24.528881014341792
27.5,-25.772012747820675,-27.81365525852193,-23.98323953113497
28,-25.203206346481497,-27.190564799612247,-23.461599563609738
28.5,-24.659090014341928,-26.594625040869552,-22.96245417585833
29,-24.138147287392385,-26.024189426939557,-22.484413387366676
29.5,-23.63897546489504,-25.47773050114286,-22.026193914045937
30,-23.160276152449875,-24.953830771686007,-21.586609844650116
30.5,-22.70084658697546,-24.45117419162294,-21.16456417586358
31,-22.259571694481302,-23.96853824526557,-20.75904113200113
31.5,-21.835416829328715,-23.504786622569355,-20.36909919911244
32,-21.427421143509637,-23.058862455681457,-19.99386480780496
33,-20.656397131708747,-22.216629338338638,-19.28433025121947
34,-19.940071818302464,-21.43474820132938,-18.6246029779354
35,-19.272862258845663,-20.70704955913109,-18.00961994530085
36,-18.64990176921971,-20.028148573062143,-17.43497013899901
37,-18.06693279872791,-19.39333021045396,-16.89679576090109
39,-17.006463234906896,-18.23986610935294,-15.916729775363823
40,-16.522759379531916,-17.714344104091225,-15.46921653784969
41,-16.06652510868535,-17.219025789934832,-15.046830481216643
42,-15.63546465365049,-16.751366847371465,-14.64748916600873
43.2,-15.14855300158451,-16.22350843107036,-14.196095252262758
44.5,-14.655030332196178,-15.688918448473805,-13.738230115871696
45.8,-14.193444847056973,-15.189327542854647,-13.309678108113037
47.5,-13.63300930898921,-14.583281774863568,-12.788933814649043
48.8,-13.234128655052098,-14.152300287221077,-12.418021921444087
50,-12.886580832263453,-13.777030146379136,-12.0946518840466
51.5,-12.47756591094289,-13.335686896107232,-11.713861367415353
53,-12.094266342639065,-12.92238420305941,-11.356786024565722
55,-11.619115528960144,-12.410434631142847,-10.913840400019167
56.5,-11.287021390489485,-12.052880077198076,-10.604056234337273
58,-10.97373060136423,-11.715765574735611,-10.31166259385128
60,-10.582555875208518,-11.295109645297462,-9.946377034105462
61.5,-10.307295966160593,-10.999280205943926,-9.689200308031145
63,-10.046211148211734,-10.718818462485288,-9.445165536201186
64.5,-9.798216229412233,-10.4525376155598,-9.213274560954863
66,-9.562334988383682,-10.199370986924418,-8.992628713110221
67.5,-9.337686777241972,-9.958357154166618,-8.782416659173213
68.8,-9.151460291334304,-9.75863500937466,-8.608103207663142
70,-8.98610581190518,-9.581350969464337,-8.453285763334843
71.5,-8.787715937718287,-9.3687141442898,-8.267487798790613
73.2,-8.573303575187524,-9.138984453115693,-8.066623160558638
75,-8.357490457523358,-8.907837316025395,-7.864382759102453
76.5,-8.185837304412633,-8.724046954857833,-7.703480007031158
78,-8.021139815242163,-8.547752870439242,-7.5490601342872035
80,-7.811640743396255,-8.323571021277942,-7.352582368109035
82,-7.612857094890775,-8.11092558579512,-7.1661007050337675
84,-7.4239754447188515,-7.908935036023465,-6.98886072343075
86,-7.2442633790036295,-7.71680622692653,-6.820182685696086
88,-7.073059595589818,-7.533823526825528,-6.659452465493729
90,-6.909765427074133,-7.359339518798439,-6.506113771526059
92,-6.753837552916888,-7.192767014011983,-6.359661456177059
94,-6.604781710056194,-7.033572165635925,-6.219635736006537
96,-6.462147245603547,-6.88126851003516,-6.085617181951003
98,-6.325522382622096,-6.735411792452475,-5.957222361897636
100,-6.194530092118473,-6.595595459000283,-5.834100038337817
