Frequency,Nominal,Min,Max
2.45,1.0170537105995177,1.012532725377024,1.0212140040107864
2.5,1.017738024429144,1.0130263530315053,1.022075722884195
2.55,1.0184345594949054,1.0135280232799662,1.0229537115325
2.6,1.0191432119915038,1.0140376155502333,1.0238478921853003
2.7,1.020596440111886,1.0150800697588138,1.0256845060182447
2.75,1.0213407940652726,1.0156126763873359,1.0266267710916337
2.8,1.0220968220309994,1.0161526943809407,1.0275848918464425
2.85,1.022864405910943,1.0166999888906787,1.0285587776176743
2.9,1.0236434246312127,1.017254422157858,1.0295483349942929
2.95,1.0244337541027337,1.0178158534968824,1.0305534677617159
3,1.0252352671817655,1.0183841392786073,1.0315740768436015
3.05,1.0260478336303944,1.0189591329142462,1.0326100602429344
3.1,1.0268713200770556,1.019540684839892,1.03366131298248
3.15,1.0277055899771266,1.020128642501685,1.0347277270446091
3.2,1.0285505035736497,1.0207228503417085,1.0358091913105425
3.3,1.0302716865321493,1.0219293792251833,1.0380168101047094
3.4,1.032033685170464,1.0231589664593403,1.0402832160504678
3.5,1.0338352618355418,1.0244102581838381,1.042607402243948
3.6,1.0356751238010775,1.0256818514149586,1.0449883061707974
3.7,1.0375519220992462,1.0269722938224208,1.0474248076684474
3.9,1.0414106439118005,1.0296036693318407,1.0524598222008938
4,1.043389578418951,1.0309414501811658,1.055055788247444
4.1,1.0453994692895854,1.0322917758790535,1.0577022538226928
4.2,1.0474386706409322,1.0336529470526041,1.060397779923846
4.32,1.0499219929594121,1.0352982037339595,1.0636950417678053
4.45,1.052653544839609,1.0370917333403826,1.0673411568362883
4.58,1.0554240575291296,1.038892892901187,1.0710607156820984
4.75,1.0590987121870186,1.0412527316430076,1.0760290400741637
4.88,1.061942571639239,1.043055181185374,1.0799027932015381
5,1.0645892371799408,1.0447130412999803,1.0835316160177315
5.15,1.0679207052042046,1.0467716641970926,1.088133526897912
5.3,1.071270637104424,1.0488082656316469,1.0928015864605998
5.5,1.0757519694146702,1.0514765756939528,1.0991147364417428
5.65,1.0791131425136908,1.0534325403328397,1.1039054265702315
5.8,1.0824647848125701,1.0553410560938197,1.1087340439755209
6,1.0869032228534403,1.0577982641430885,1.1152149024938627
6.15,1.0901972035268797,1.0595651985597778,1.1200947676004194
6.3,1.0934507405178593,1.0612580772778637,1.1249796492013686
6.45,1.0966541172466298,1.0628688441164866,1.1298588206934088
6.6,1.0997974677470308,1.0643894681921593,1.1347211985516992
6.75,1.1028708137240826,1.0658119809842634,1.139555371232437
6.88,1.105469987527577,1.066959380086786,1.1437131321351572
7,1.1078101824405349,1.067943506321049,1.147517739695718
7.15,1.1106476671826329,1.0690663333221,1.1522188056177312
7.32,1.1137337785795665,1.070185987284057,1.1574586903817208
7.5,1.116835841601856,1.0711834047579174,1.1628856117123978
7.65,1.1192789445871894,1.0718585248110202,1.1672976052914046
7.8,1.1215829393590955,1.0723849665224547,1.1715959471234116
8,1.1244228410260089,1.0728453825734625,1.1771290219280202
8.2,1.1269787273513123,1.0730180913508698,1.1824095478395429
8.4,1.129231482523451,1.0728918288184468,1.1874098291507298
8.6,1.131163689707224,1.0724570829210003,1.1921034719166677
8.8,1.1327598857961096,1.071706238134862,1.1964657569321453
9,1.1340068016377063,1.0706337002435475,1.2004740137064225
9.2,1.1348935817397907,1.0692359981600599,1.2041079867106148
9.4,1.1354119777084475,1.0675118601031295,1.2073501846948695
9.6,1.1355565101545588,1.0654622620360283,1.2101862037475246
9.8,1.135324594523277,1.0630904469715172,1.2126050150371768
10,1.1347166272305562,1.0604019145075156,1.2145992088597162
10.2,1.133736029595018,1.0574043807528635,1.2161651876979096
10.4,1.1323892482838782,1.054107709596823,1.2173033024552895
10.6,1.1306857122906377,1.050523817034795,1.2180179277861427
10.8,1.1286377477668337,1.0466665509537072,1.2183174744230636
11,1.1262604532769676,1.042551549374898,1.218214338499306
11.2,1.1235715391749677,1.0381960806276653,1.2177247899619865
11.5,1.1189985248561873,1.0312533145002114,1.2163105997214
11.8,1.1138471561220724,1.0225121139020832,1.214154589258773
12,1.110133888121192,1.0161529913957605,1.21235265367636
12.2,1.10622923733387,1.0096450372991588,1.2110674214540678
12.5,1.1000763765647552,0.9985838053082833,1.2100075351332595
12.8,1.0936580391180306,0.9869689882520642,1.2086443935161677
13,1.0892826282960468,0.9791854995252891,1.2076200413844778
13.2,1.0848661280994583,0.97140582695666,1.2065422251926499
13.5,1.0782322043260235,0.959808062454538,1.2049215190783176
13.8,1.0716797031595595,0.9483803540798517,1.205142944621526
14,1.0674072423558612,0.9409002652709489,1.2054092295584888
14.2,1.0632462299574743,0.9335596372507714,1.205809616357328
14.5,1.0572772226997051,0.9228603599110712,1.2067364085520036
14.8,1.051719890577,0.9125988680862988,1.208158464901552
15,1.0482892793634482,0.9060338383416989,1.2094397624511102
15.5,1.0408635347673851,0.8907161982085824,1.2140644035516028
16,1.0353922414689367,0.8771589427229033,1.2211537905428278
16.5,1.0322410168287128,0.8655772213200426,1.2312375978637744
17,1.0317500007655827,0.8561577753844717,1.2448122455146566
17.5,1.0342321304600983,0.849066058907569,1.26230527061088
18,1.0399646268801674,0.8444514609079607,1.2840092044072804
18.5,1.0491678761955459,0.8424493836756732,1.3099624682068047
19,1.0619627693874725,0.8431784383540669,1.3397446267813784
19.5,1.0782929754505093,0.8467300883609798,1.3721465499753558
20,1.097793099518011,0.8531465544902712,1.4046911453739792
20.5,1.1195803702622624,0.8623805775743717,1.4330619084958909
21,1.1419562359283335,0.8742278528887795,1.450713114319646
21.5,1.162047593865674,0.8882206025459021,1.4492875362323787
22,1.1755302042308662,0.9034720625442669,1.4322796478002553
22.5,1.1767677799232374,0.9184744375370245,1.4005118379654113
23,1.1598317864578107,0.9308913460029382,1.3625513471943225
23.5,1.1205548736874782,0.9199377749499185,1.327758879748875
24,1.0587692428743996,0.8244813414385109,1.2628249389300263
24.5,0.9790356884854773,0.7304229768710687,1.191140467570672
25,0.8890048025946502,0.6430276319310583,1.1193159148085654
25.5,0.796587101403897,0.5648040640000185,1.059058869001942
26,0.7078421076561753,0.49633553492903876,0.9830823019458333
27,0.5536231932092783,0.38621961471581945,0.8102856196940145
27.5,0.4898078508685609,0.34250274268780906,0.7254650049190892
28,0.43432689768665744,0.30491989817155574,0.6467541497859141
28.5,0.3862889902695239,0.27252389068736815,0.5757104378191686
29,0.34472939674430236,0.24450005330368996,0.5126860102584039
29.5,0.30872978541735485,0.2201617908369584,0.4573318337398611
30,0.2774686373291667,0.1989364061411843,0.4089594046263775
30.5,0.250235007038012,0.18034835488631232,0.366763022411282
31,0.22642468658820825,0.16400314420776452,0.3299411114864034
31.5,0.2055290587886748,0.14957311727309497,0.29775440929798114
32,0.1871218482326687,0.13678542847262,0.26954823641358333
33,0.15640318854557161,0.1152619187065593,0.2228931890598586
34,0.13205058711884637,0.09801159335159282,0.18637579463273632
35,0.11249182082615287,0.08401894949338802,0.1574106779212931
36,0.09659719998913632,0.0725460317829003,0.1341443759076271
37,0.0835426594791995,0.06304788832057026,0.11523727639560061
39,0.06366459836952912,0.04843988693934914,0.08683399324206265
40,0.05603352254902187,0.04278051145691659,0.07606510671483213
