Frequency,Nominal,Min,Max
2.45,5.510433253368105e-7,5.44280007740623e-7,5.579379086166705e-7
2.5,5.533319013487439e-7,5.463178873829479e-7,5.604788376298183e-7
2.55,5.556614604248303e-7,5.4839268218021e-7,5.630645965361326e-7
2.6,5.580317559167307e-7,5.505041870542892e-7,5.656948866579335e-7
2.7,5.628935720178906e-7,5.548365066603812e-7,5.710878712107602e-7
2.75,5.65384602262548e-7,5.570569115644746e-7,5.738499742053329e-7
2.8,5.679153884910437e-7,5.593132071382696e-7,5.76655425884074e-7
2.85,5.704856878787216e-7,5.616051893780032e-7,5.795039345130119e-7
2.9,5.730952587883365e-7,5.639326548522176e-7,5.823952102264186e-7
2.95,5.757438608954927e-7,5.66295400810387e-7,5.853289651648649e-7
3,5.784312553074663e-7,5.686932252869705e-7,5.883049136041041e-7
3.05,5.81157204675453e-7,5.711259272008713e-7,5.913227720749082e-7
3.1,5.839214733002818e-7,5.735933064503083e-7,5.943822594739879e-7
3.15,5.867238272316598e-7,5.76095164003095e-7,5.974830971661565e-7
3.2,5.89564034361024e-7,5.786313019823522e-7,6.006250090779007e-7
3.3,5.953570895011253e-7,5.838056339717814e-7,6.070309645772185e-7
3.4,6.012988218206947e-7,5.891147454815746e-7,6.135979716500144e-7
3.5,6.073874487896089e-7,5.945571027890763e-7,6.203239215765116e-7
3.6,6.136212241535073e-7,6.001311973471359e-7,6.272067528412238e-7
3.7,6.1999843948199e-7,6.058355474747581e-7,6.342444522822901e-7
3.9,6.331765523682578e-7,6.176292303764613e-7,6.487766487987561e-7
4,6.399742314971851e-7,6.237157457549249e-7,6.562673659737785e-7
4.1,6.469089146443924e-7,6.299268835741978e-7,6.639053911818352e-7
4.2,6.539790945902599e-7,6.362613131338045e-7,6.716889567261148e-7
4.32,6.626401043381871e-7,6.440235473351504e-7,6.812189300200222e-7
4.45,6.722378183535487e-7,6.526283443798538e-7,6.917734356311202e-7
4.58,6.820561477895099e-7,6.614340625626419e-7,7.025640735201077e-7
4.75,6.952235635536454e-7,6.732480879413687e-7,7.170255266921297e-7
4.88,7.055400952407258e-7,6.82507705270391e-7,7.283482251790876e-7
5,7.152507466468173e-7,6.912261031030021e-7,7.389999483367649e-7
5.15,7.276393002626555e-7,7.023521892870832e-7,7.525808487671099e-7
